time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T17:14:03.132	WT901BLE68(F3:F0:16:BF:DC:AE)	0.599	0.805	0.283	-1.221	-8.545	0.732	72.69	-36.97	-54.20	-27.473	44.067	-18.853	0.76517	0.38412	-0.48398	-0.18057	25.8	null	null	13113	75
2026-05-27T17:14:03.191	WT901BLE68(F3:F0:16:BF:DC:AE)	0.608	0.791	0.239	-6.042	4.272	0.061	72.62	-37.19	-54.94	-27.473	44.067	-18.853	0.76517	0.38412	-0.48398	-0.18057	25.8	null	null	13113	75
2026-05-27T17:14:03.312	WT901BLE68(F3:F0:16:BF:DC:AE)	0.612	0.808	0.241	-10.742	0.732	-2.808	71.86	-36.94	-55.06	-27.473	44.067	-18.853	0.76517	0.38412	-0.48398	-0.18057	25.8	null	null	13113	75
2026-05-27T17:14:03.403	WT901BLE68(F3:F0:16:BF:DC:AE)	0.555	0.830	0.291	-12.878	4.211	-3.784	70.52	-36.37	-54.82	-27.473	44.067	-18.853	0.76517	0.38412	-0.48398	-0.18057	25.8	null	null	13113	75
2026-05-27T17:14:03.523	WT901BLE68(F3:F0:16:BF:DC:AE)	0.579	0.843	0.269	-14.404	15.198	-7.324	68.77	-35.26	-54.12	-27.473	44.067	-18.853	0.76517	0.38412	-0.48398	-0.18057	25.8	null	null	13113	75
2026-05-27T17:14:03.611	WT901BLE68(F3:F0:16:BF:DC:AE)	0.681	0.857	0.267	-8.484	33.813	15.869	66.37	-34.56	-51.78	-27.473	44.067	-18.853	0.76517	0.38412	-0.48398	-0.18057	25.8	null	null	13113	75
2026-05-27T17:14:03.730	WT901BLE68(F3:F0:16:BF:DC:AE)	0.904	0.865	0.403	-16.235	112.610	85.083	58.18	-35.48	-39.11	-27.473	44.067	-18.853	0.76517	0.38412	-0.48398	-0.18057	25.8	null	null	13113	75
2026-05-27T17:14:03.789	WT901BLE68(F3:F0:16:BF:DC:AE)	0.978	0.363	0.698	-51.941	119.934	114.380	43.26	-36.67	-20.54	-22.893	42.560	-11.427	0.76517	0.38412	-0.48398	-0.18057	25.8	null	null	13113	75
2026-05-27T17:14:03.943	WT901BLE68(F3:F0:16:BF:DC:AE)	0.641	0.077	0.755	-86.792	98.022	106.201	24.24	-33.43	-2.08	-22.893	42.560	-11.427	0.76517	0.38412	-0.48398	-0.18057	25.8	null	null	13113	75
2026-05-27T17:14:03.999	WT901BLE68(F3:F0:16:BF:DC:AE)	0.264	0.064	0.741	-47.852	118.469	41.992	10.76	-25.83	7.41	-22.893	42.560	-11.427	0.95642	0.13461	-0.24802	0.07440	25.8	null	null	13113	75
2026-05-27T17:14:04.123	WT901BLE68(F3:F0:16:BF:DC:AE)	0.206	0.525	0.980	51.758	94.421	13.000	11.49	-19.73	8.14	-22.893	42.560	-11.427	0.95642	0.13461	-0.24802	0.07440	25.8	null	null	13113	75
2026-05-27T17:14:04.211	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.010	0.804	1.589	-68.237	43.579	20.569	11.96	-8.99	8.87	-22.893	42.560	-11.427	0.95642	0.13461	-0.24802	0.07440	25.8	null	null	13113	75
