time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T17:08:37.662	WT901BLE68(F3:F0:16:BF:DC:AE)	0.021	0.849	0.520	0.305	-24.902	5.188	57.90	14.14	-144.40	-74.820	55.800	-35.867	0.22217	0.26752	-0.41858	-0.83890	25.6	null	null	13113	75
2026-05-27T17:08:37.749	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.258	0.980	0.579	1.038	100.708	-13.733	59.34	14.89	-142.06	-74.820	55.800	-35.867	0.22217	0.26752	-0.41858	-0.83890	25.6	null	null	13113	75
2026-05-27T17:08:37.871	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.446	0.840	0.374	-0.732	122.925	-18.433	61.04	20.75	-134.30	-74.820	55.800	-35.867	0.22217	0.26752	-0.41858	-0.83890	25.6	null	null	13113	75
2026-05-27T17:08:37.930	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.885	0.864	0.082	51.636	-86.670	-79.041	63.11	25.53	-134.36	-74.820	55.800	-35.867	0.22217	0.26752	-0.41858	-0.83890	25.6	null	null	13113	75
2026-05-27T17:08:38.056	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.659	0.655	0.183	107.178	-191.223	-150.330	62.33	30.02	-156.80	-74.820	55.800	-35.867	0.22217	0.26752	-0.41858	-0.83890	25.6	null	null	13113	75
2026-05-27T17:08:38.139	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.280	0.803	0.464	84.290	-189.880	-130.493	58.63	34.12	174.41	-88.013	48.800	-30.307	0.22217	0.26752	-0.41858	-0.83890	25.6	null	null	13113	75
2026-05-27T17:08:38.263	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.056	0.844	0.588	53.406	-54.932	-0.854	55.75	31.30	155.69	-88.013	48.800	-30.307	0.22217	0.26752	-0.41858	-0.83890	25.6	null	null	13113	75
2026-05-27T17:08:38.350	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.382	0.903	0.543	46.692	-8.789	61.157	61.68	25.93	159.07	-88.013	48.800	-30.307	-0.30005	0.11337	-0.50430	-0.80167	25.6	null	null	13113	75
2026-05-27T17:08:38.471	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.558	0.898	0.667	-0.610	15.076	52.368	64.84	19.54	166.29	-88.013	48.800	-30.307	-0.30005	0.11337	-0.50430	-0.80167	25.6	null	null	13113	75
2026-05-27T17:08:38.528	WT901BLE68(F3:F0:16:BF:DC:AE)	0.033	1.133	0.296	13.062	-65.857	54.138	64.92	14.18	172.44	-88.013	48.800	-30.307	-0.30005	0.11337	-0.50430	-0.80167	25.6	null	null	13113	75
2026-05-27T17:08:38.652	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.127	0.870	0.526	-0.732	20.447	53.528	65.88	9.51	179.68	-88.013	48.800	-30.307	-0.30005	0.11337	-0.50430	-0.80167	25.6	null	null	13113	75
