time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T17:17:01.365	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.133	1.012	0.049	4.211	-3.418	2.441	89.14	3.20	-75.15	-68.513	24.753	-30.333	0.55167	0.55948	-0.41599	-0.45767	25.8	null	null	13113	60
2026-05-27T17:17:01.452	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.085	0.996	0.014	0.427	-39.429	5.005	88.92	2.93	-77.26	-68.513	24.753	-30.333	0.55167	0.55948	-0.41599	-0.45767	25.8	null	null	13113	60
2026-05-27T17:17:01.574	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.231	1.000	-0.062	7.141	-11.597	-14.465	88.95	3.61	-78.87	-68.513	24.753	-30.333	0.55167	0.55948	-0.41599	-0.45767	25.8	null	null	13113	60
2026-05-27T17:17:01.630	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.244	1.011	-0.041	11.841	-43.030	-18.372	90.11	5.76	-81.09	-68.513	24.753	-30.333	0.55167	0.55948	-0.41599	-0.45767	25.8	null	null	13113	60
2026-05-27T17:17:01.753	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.204	0.952	-0.000	-1.831	-62.988	-24.109	89.54	8.31	-86.34	-68.513	24.753	-30.333	0.55167	0.55948	-0.41599	-0.45767	25.8	null	null	13113	60
2026-05-27T17:17:01.841	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.084	0.925	0.017	4.517	-61.829	-14.221	88.27	10.32	-92.78	-68.513	24.753	-30.333	0.55167	0.55948	-0.41599	-0.45767	25.8	null	null	13113	60
2026-05-27T17:17:01.962	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.079	0.896	0.098	20.508	-31.921	4.456	88.63	10.40	-97.32	-72.673	18.513	-16.927	0.55167	0.55948	-0.41599	-0.45767	25.8	null	null	13113	60
2026-05-27T17:17:02.084	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.269	1.132	0.238	-49.377	-0.671	35.950	89.10	7.63	-96.73	-72.673	18.513	-16.927	0.55167	0.55948	-0.41599	-0.45767	25.8	null	null	13113	60
2026-05-27T17:17:02.173	WT901BLE68(F3:F0:16:BF:DC:AE)	0.088	0.843	0.001	39.307	-40.161	43.091	88.97	3.76	-98.19	-72.673	18.513	-16.927	0.44229	0.49188	-0.49673	-0.56174	25.8	null	null	13113	60
2026-05-27T17:17:02.264	WT901BLE68(F3:F0:16:BF:DC:AE)	0.184	1.021	-0.040	8.850	7.019	33.691	90.50	-0.22	-98.16	-72.673	18.513	-16.927	0.44229	0.49188	-0.49673	-0.56174	25.8	null	null	13113	60
2026-05-27T17:17:02.381	WT901BLE68(F3:F0:16:BF:DC:AE)	0.032	1.006	-0.166	18.860	-25.879	20.935	91.35	-2.96	-97.64	-72.673	18.513	-16.927	0.44229	0.49188	-0.49673	-0.56174	25.8	null	null	13113	60
2026-05-27T17:17:02.442	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.057	1.003	0.008	13.306	4.333	8.301	93.36	-4.32	-96.39	-72.673	18.513	-16.927	0.44229	0.49188	-0.49673	-0.56174	25.8	null	null	13113	60
2026-05-27T17:17:02.564	WT901BLE68(F3:F0:16:BF:DC:AE)	0.130	0.996	-0.113	22.217	-50.049	9.094	95.22	-4.69	-98.32	-72.673	18.513	-16.927	0.44229	0.49188	-0.49673	-0.56174	25.8	null	null	13113	60
2026-05-27T17:17:02.649	WT901BLE68(F3:F0:16:BF:DC:AE)	0.264	0.942	-0.091	7.263	-42.114	3.357	97.06	-4.69	-101.44	-72.673	18.513	-16.927	0.44229	0.49188	-0.49673	-0.56174	25.8	null	null	13113	60
2026-05-27T17:17:02.774	WT901BLE68(F3:F0:16:BF:DC:AE)	0.171	0.987	-0.173	4.089	-39.307	4.028	97.89	-5.08	-103.80	-72.673	18.513	-16.927	0.44229	0.49188	-0.49673	-0.56174	25.8	null	null	13113	60
2026-05-27T17:17:02.861	WT901BLE68(F3:F0:16:BF:DC:AE)	0.147	1.001	-0.134	-0.610	-5.920	-1.282	98.56	-5.28	-104.15	-57.453	27.707	-12.700	0.44229	0.49188	-0.49673	-0.56174	25.8	null	null	13113	60
2026-05-27T17:17:02.984	WT901BLE68(F3:F0:16:BF:DC:AE)	0.011	0.943	-0.221	13.916	-1.953	-5.249	99.34	-5.10	-103.22	-57.453	27.707	-12.700	0.44229	0.49188	-0.49673	-0.56174	25.8	null	null	13113	60
2026-05-27T17:17:03.040	WT901BLE68(F3:F0:16:BF:DC:AE)	0.110	0.970	-0.160	11.780	7.751	-4.517	100.95	-4.77	-101.61	-57.453	27.707	-12.700	0.42490	0.45776	-0.61594	-0.48001	25.8	null	null	13113	60
2026-05-27T17:17:03.161	WT901BLE68(F3:F0:16:BF:DC:AE)	0.121	0.969	-0.215	7.568	-15.869	-7.690	101.65	-3.83	-100.87	-57.453	27.707	-12.700	0.42490	0.45776	-0.61594	-0.48001	25.8	null	null	13113	60
2026-05-27T17:17:03.260	WT901BLE68(F3:F0:16:BF:DC:AE)	0.042	0.995	-0.202	21.545	-1.648	-13.000	103.30	-2.86	-100.05	-57.453	27.707	-12.700	0.42490	0.45776	-0.61594	-0.48001	25.8	null	null	13113	60
2026-05-27T17:17:03.371	WT901BLE68(F3:F0:16:BF:DC:AE)	0.068	1.116	-0.173	31.677	-35.278	-12.634	105.76	-0.79	-99.82	-57.453	27.707	-12.700	0.42490	0.45776	-0.61594	-0.48001	25.8	null	null	13113	60
2026-05-27T17:17:03.465	WT901BLE68(F3:F0:16:BF:DC:AE)	0.034	1.141	-0.181	-15.259	-13.733	-23.743	107.27	0.75	-99.87	-57.453	27.707	-12.700	0.42490	0.45776	-0.61594	-0.48001	25.8	null	null	13113	60
2026-05-27T17:17:03.584	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.138	0.954	0.151	-61.035	-38.025	-11.414	102.44	1.90	-98.79	-57.453	27.707	-12.700	0.42490	0.45776	-0.61594	-0.48001	25.8	null	null	13113	60
2026-05-27T17:17:03.672	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.075	1.084	-0.278	-58.716	-10.925	18.127	95.71	2.65	-101.65	-61.227	22.440	-10.720	0.42490	0.45776	-0.61594	-0.48001	25.8	null	null	13113	60
2026-05-27T17:17:03.791	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.195	0.963	-0.190	-55.664	-12.390	16.846	90.29	0.87	-102.69	-61.227	22.440	-10.720	0.42490	0.45776	-0.61594	-0.48001	25.8	null	null	13113	60
2026-05-27T17:17:03.861	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.046	0.935	-0.063	-44.434	2.136	20.752	85.69	-0.60	-102.78	-61.227	22.440	-10.720	0.45612	0.42426	-0.53638	-0.56934	25.8	null	null	13113	60
2026-05-27T17:17:03.975	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.104	0.912	0.112	-17.578	-5.066	15.442	83.27	-2.14	-101.41	-61.227	22.440	-10.720	0.45612	0.42426	-0.53638	-0.56934	25.8	null	null	13113	60
2026-05-27T17:17:04.061	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.007	0.901	0.144	-4.089	-4.883	7.446	82.44	-3.29	-101.72	-61.227	22.440	-10.720	0.45612	0.42426	-0.53638	-0.56934	25.8	null	null	13113	60
2026-05-27T17:17:04.182	WT901BLE68(F3:F0:16:BF:DC:AE)	0.029	0.953	0.161	10.132	12.756	10.986	82.69	-3.74	-100.20	-61.227	22.440	-10.720	0.45612	0.42426	-0.53638	-0.56934	25.8	null	null	13113	60
