time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T17:12:51.924	WT901BLE68(F3:F0:16:BF:DC:AE)	0.693	0.664	0.531	-2.197	11.230	-0.549	53.45	-43.41	-35.06	-13.107	42.067	-17.673	0.83307	0.29330	-0.45859	-0.09769	25.9	null	null	13113	60
2026-05-27T17:12:52.034	WT901BLE68(F3:F0:16:BF:DC:AE)	0.709	0.731	0.528	-1.526	0.549	-1.404	52.89	-42.48	-34.56	-13.107	42.067	-17.673	0.84305	0.29874	-0.43756	-0.09189	25.9	null	null	13113	60
2026-05-27T17:12:52.123	WT901BLE68(F3:F0:16:BF:DC:AE)	0.598	0.748	0.617	-22.217	2.441	-7.935	51.88	-42.13	-34.67	-13.107	42.067	-17.673	0.84305	0.29874	-0.43756	-0.09189	25.9	null	null	13113	60
2026-05-27T17:12:52.242	WT901BLE68(F3:F0:16:BF:DC:AE)	0.570	0.764	0.550	-44.250	7.996	-25.452	49.11	-40.10	-35.67	-13.107	42.067	-17.673	0.84305	0.29874	-0.43756	-0.09189	25.9	null	null	13113	60
2026-05-27T17:12:52.299	WT901BLE68(F3:F0:16:BF:DC:AE)	0.522	0.749	0.523	-53.894	15.442	-47.729	45.85	-36.45	-37.76	-13.107	42.067	-17.673	0.84305	0.29874	-0.43756	-0.09189	25.9	null	null	13113	60
2026-05-27T17:12:52.423	WT901BLE68(F3:F0:16:BF:DC:AE)	0.340	0.800	0.480	-71.533	-2.869	-84.656	42.65	-30.70	-42.29	-13.107	42.067	-17.673	0.84305	0.29874	-0.43756	-0.09189	25.9	null	null	13113	60
2026-05-27T17:12:52.510	WT901BLE68(F3:F0:16:BF:DC:AE)	0.310	0.857	0.468	-78.125	-23.499	-121.521	40.86	-25.44	-53.09	-13.107	42.067	-17.673	0.84305	0.29874	-0.43756	-0.09189	25.9	null	null	13113	60
2026-05-27T17:12:52.632	WT901BLE68(F3:F0:16:BF:DC:AE)	0.268	0.917	0.471	-62.988	7.813	-164.551	39.39	-17.63	-66.36	-13.107	42.067	-17.673	0.84305	0.29874	-0.43756	-0.09189	25.9	null	null	13113	60
2026-05-27T17:12:52.721	WT901BLE68(F3:F0:16:BF:DC:AE)	0.580	0.760	0.447	-14.099	-32.227	-171.448	39.84	-8.82	-82.10	-43.853	29.647	5.147	0.84305	0.29874	-0.43756	-0.09189	25.9	null	null	13113	60
2026-05-27T17:12:52.841	WT901BLE68(F3:F0:16:BF:DC:AE)	0.643	0.446	0.738	34.546	67.993	-85.571	42.51	-1.07	-91.47	-43.853	29.647	5.147	0.84305	0.29874	-0.43756	-0.09189	25.9	null	null	13113	60
2026-05-27T17:12:52.901	WT901BLE68(F3:F0:16:BF:DC:AE)	0.274	0.421	0.894	34.790	27.466	-17.822	46.33	4.87	-90.87	-43.853	29.647	5.147	0.63702	0.28394	-0.25452	-0.66983	25.9	null	null	13113	60
2026-05-27T17:12:53.023	WT901BLE68(F3:F0:16:BF:DC:AE)	0.112	0.464	0.762	13.672	17.578	9.949	47.91	5.52	-88.30	-43.853	29.647	5.147	0.63702	0.28394	-0.25452	-0.66983	25.9	null	null	13113	60
2026-05-27T17:12:53.110	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.360	0.716	1.315	-22.339	66.101	44.434	47.80	6.00	-82.23	-43.853	29.647	5.147	0.63702	0.28394	-0.25452	-0.66983	25.9	null	null	13113	60
2026-05-27T17:12:53.236	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.128	0.804	0.632	47.180	137.085	78.430	48.50	6.19	-71.64	-43.853	29.647	5.147	0.63702	0.28394	-0.25452	-0.66983	25.9	null	null	13113	60
2026-05-27T17:12:53.321	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.228	1.012	0.476	6.287	46.875	45.166	53.53	7.39	-59.44	-43.853	29.647	5.147	0.63702	0.28394	-0.25452	-0.66983	25.9	null	null	13113	60
2026-05-27T17:12:53.443	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.068	0.962	0.840	-36.377	57.068	82.214	53.97	6.48	-51.54	-43.853	29.647	5.147	0.63702	0.28394	-0.25452	-0.66983	25.9	null	null	13113	60
2026-05-27T17:12:53.531	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.153	0.669	0.436	-22.156	43.701	77.576	50.59	0.90	-44.47	-43.853	29.647	5.147	0.63702	0.28394	-0.25452	-0.66983	25.9	null	null	13113	60
2026-05-27T17:12:53.651	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.198	1.166	0.427	-12.207	54.443	-7.813	50.17	1.61	-42.32	-54.607	31.240	-24.487	0.63702	0.28394	-0.25452	-0.66983	25.9	null	null	13113	60
2026-05-27T17:12:53.711	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.096	0.711	0.761	3.845	10.437	-5.371	49.97	2.52	-42.95	-54.607	31.240	-24.487	0.63702	0.28394	-0.25452	-0.66983	25.9	null	null	13113	60
2026-05-27T17:12:53.833	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.202	0.765	0.606	3.113	-49.316	-33.447	50.32	3.00	-46.41	-54.607	31.240	-24.487	0.83896	0.40143	-0.13492	-0.34161	25.9	null	null	13113	60
2026-05-27T17:12:53.922	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.163	0.750	0.583	17.761	-40.405	-40.405	51.18	3.44	-52.89	-54.607	31.240	-24.487	0.83896	0.40143	-0.13492	-0.34161	25.9	null	null	13113	60
2026-05-27T17:12:54.043	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.031	0.854	0.650	19.287	-98.206	-50.903	52.94	2.45	-62.23	-54.607	31.240	-24.487	0.83896	0.40143	-0.13492	-0.34161	25.9	null	null	13113	60
2026-05-27T17:12:54.134	WT901BLE68(F3:F0:16:BF:DC:AE)	0.109	0.838	0.496	6.287	-71.533	-60.059	54.06	0.34	-74.60	-54.607	31.240	-24.487	0.83896	0.40143	-0.13492	-0.34161	25.9	null	null	13113	60
2026-05-27T17:12:54.257	WT901BLE68(F3:F0:16:BF:DC:AE)	0.004	0.786	0.581	27.222	-43.640	-56.396	55.76	1.83	-81.90	-54.607	31.240	-24.487	0.83896	0.40143	-0.13492	-0.34161	25.9	null	null	13113	60
2026-05-27T17:12:54.313	WT901BLE68(F3:F0:16:BF:DC:AE)	0.014	0.912	0.333	15.015	-26.733	-42.603	57.71	4.45	-85.87	-54.607	31.240	-24.487	0.83896	0.40143	-0.13492	-0.34161	25.9	null	null	13113	60
2026-05-27T17:12:54.433	WT901BLE68(F3:F0:16:BF:DC:AE)	0.049	0.866	0.484	6.409	-13.611	-11.658	58.67	5.79	-88.09	-54.607	31.240	-24.487	0.83896	0.40143	-0.13492	-0.34161	25.9	null	null	13113	60
2026-05-27T17:12:54.521	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.265	0.832	0.791	-10.010	-11.780	-25.818	58.50	6.88	-90.42	-66.540	18.387	-13.980	0.83896	0.40143	-0.13492	-0.34161	25.9	null	null	13113	60
2026-05-27T17:12:54.669	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.147	0.731	0.575	-20.569	-40.588	-27.100	56.06	8.22	-92.68	-66.540	18.387	-13.980	0.83896	0.40143	-0.13492	-0.34161	25.9	null	null	13113	60
2026-05-27T17:12:54.729	WT901BLE68(F3:F0:16:BF:DC:AE)	0.165	0.763	1.351	-31.738	-24.292	7.141	52.86	7.53	-95.16	-66.540	18.387	-13.980	0.57925	0.35211	-0.28806	-0.67630	25.9	null	null	13113	60
2026-05-27T17:12:54.854	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.235	0.849	0.624	-22.827	-25.208	19.653	49.72	4.59	-95.20	-66.540	18.387	-13.980	0.57925	0.35211	-0.28806	-0.67630	25.9	null	null	13113	60
2026-05-27T17:12:54.941	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.143	0.844	0.606	2.869	-18.433	14.221	49.07	2.13	-94.60	-66.540	18.387	-13.980	0.57925	0.35211	-0.28806	-0.67630	25.9	null	null	13113	60
2026-05-27T17:12:55.065	WT901BLE68(F3:F0:16:BF:DC:AE)	0.033	0.739	0.564	0.122	4.761	25.269	49.48	0.43	-92.73	-66.540	18.387	-13.980	0.57925	0.35211	-0.28806	-0.67630	25.9	null	null	13113	60
2026-05-27T17:12:55.124	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.011	0.793	0.670	-5.737	-5.005	5.920	49.09	-0.57	-91.19	-66.540	18.387	-13.980	0.57925	0.35211	-0.28806	-0.67630	25.9	null	null	13113	60
2026-05-27T17:12:55.245	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.039	0.726	0.599	-0.854	3.784	4.089	48.67	-0.82	-90.12	-66.540	18.387	-13.980	0.57925	0.35211	-0.28806	-0.67630	25.9	null	null	13113	60
2026-05-27T17:12:55.333	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.027	0.725	0.780	-4.517	4.395	-3.723	48.58	0.00	-88.47	-66.540	18.387	-13.980	0.57925	0.35211	-0.28806	-0.67630	25.9	null	null	13113	60
2026-05-27T17:12:55.453	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.022	0.708	0.577	-5.615	-10.864	-10.010	48.23	0.77	-87.30	-61.147	17.767	-3.953	0.57925	0.35211	-0.28806	-0.67630	25.9	null	null	13113	60
2026-05-27T17:12:55.541	WT901BLE68(F3:F0:16:BF:DC:AE)	0.007	0.721	0.616	3.784	-4.333	-8.972	48.13	1.12	-87.59	-61.147	17.767	-3.953	0.57925	0.35211	-0.28806	-0.67630	25.9	null	null	13113	60
