time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T16:37:02.919	WT901BLE68(F3:F0:16:BF:DC:AE)	0.578	0.597	0.712	-60.974	15.076	98.206	44.88	-39.30	-40.90	-25.920	43.507	-29.180	-0.71826	-0.28323	0.50726	0.38263	26.5	null	null	13113	60
2026-05-27T16:37:03.040	WT901BLE68(F3:F0:16:BF:DC:AE)	0.598	0.536	0.588	-41.992	-30.457	102.966	32.49	-44.64	-29.69	-25.920	43.507	-29.180	-0.71826	-0.28323	0.50726	0.38263	26.5	null	null	13113	60
2026-05-27T16:37:03.132	WT901BLE68(F3:F0:16:BF:DC:AE)	0.633	0.314	0.516	-10.132	5.981	76.965	23.05	-48.82	-18.65	-25.920	43.507	-29.180	-0.71826	-0.28323	0.50726	0.38263	26.5	null	null	13113	60
2026-05-27T16:37:03.247	WT901BLE68(F3:F0:16:BF:DC:AE)	0.753	0.141	0.519	-2.258	17.639	61.951	14.86	-50.41	-7.65	-25.920	43.507	-29.180	-0.71826	-0.28323	0.50726	0.38263	26.5	null	null	13113	60
2026-05-27T16:37:03.340	WT901BLE68(F3:F0:16:BF:DC:AE)	0.910	0.123	0.641	-3.357	61.829	25.024	9.48	-47.01	0.58	-25.920	43.507	-29.180	-0.71826	-0.28323	0.50726	0.38263	26.5	null	null	13113	60
2026-05-27T16:37:03.460	WT901BLE68(F3:F0:16:BF:DC:AE)	0.506	-0.096	0.629	-17.395	44.861	18.066	6.08	-41.88	4.47	7.660	23.753	-2.580	-0.71826	-0.28323	0.50726	0.38263	26.5	null	null	13113	60
2026-05-27T16:37:03.517	WT901BLE68(F3:F0:16:BF:DC:AE)	0.526	-0.154	0.800	0.183	46.814	-19.653	3.93	-37.22	6.19	7.660	23.753	-2.580	-0.94275	-0.05035	0.32343	-0.06323	26.5	null	null	13113	60
2026-05-27T16:37:03.643	WT901BLE68(F3:F0:16:BF:DC:AE)	0.574	0.022	0.697	-20.630	-13.428	-13.062	3.77	-37.38	3.37	7.660	23.753	-2.580	-0.94275	-0.05035	0.32343	-0.06323	26.5	null	null	13113	60
2026-05-27T16:37:03.727	WT901BLE68(F3:F0:16:BF:DC:AE)	0.608	0.253	0.665	9.277	9.277	-15.381	3.94	-36.83	1.63	7.660	23.753	-2.580	-0.94275	-0.05035	0.32343	-0.06323	26.5	null	null	13113	60
2026-05-27T16:37:03.850	WT901BLE68(F3:F0:16:BF:DC:AE)	0.577	0.253	0.614	6.958	-39.185	-14.709	6.52	-38.31	-1.20	7.660	23.753	-2.580	-0.94275	-0.05035	0.32343	-0.06323	26.5	null	null	13113	60
2026-05-27T16:37:03.939	WT901BLE68(F3:F0:16:BF:DC:AE)	0.563	0.084	0.751	10.315	-46.692	-32.715	10.59	-42.20	-5.98	7.660	23.753	-2.580	-0.94275	-0.05035	0.32343	-0.06323	26.5	null	null	13113	60
2026-05-27T16:37:04.064	WT901BLE68(F3:F0:16:BF:DC:AE)	0.795	-0.083	0.958	15.869	-50.354	-15.869	15.44	-47.92	-11.27	7.660	23.753	-2.580	-0.94275	-0.05035	0.32343	-0.06323	26.5	null	null	13113	60
2026-05-27T16:37:04.119	WT901BLE68(F3:F0:16:BF:DC:AE)	0.660	-0.067	0.926	10.681	7.202	26.794	15.97	-49.49	-9.92	7.660	23.753	-2.580	-0.94275	-0.05035	0.32343	-0.06323	26.5	null	null	13113	60
2026-05-27T16:37:04.239	WT901BLE68(F3:F0:16:BF:DC:AE)	0.569	-0.003	0.573	-12.512	17.944	24.780	10.72	-48.05	-3.26	7.660	23.753	-2.580	-0.94275	-0.05035	0.32343	-0.06323	26.5	null	null	13113	60
2026-05-27T16:37:04.363	WT901BLE68(F3:F0:16:BF:DC:AE)	0.760	0.403	0.367	2.136	12.939	-5.066	8.29	-46.00	-0.75	5.793	27.540	-3.480	-0.94275	-0.05035	0.32343	-0.06323	26.5	null	null	13113	60
2026-05-27T16:37:04.450	WT901BLE68(F3:F0:16:BF:DC:AE)	0.811	0.450	0.394	21.362	-36.987	4.517	10.99	-48.24	-1.81	5.793	27.540	-3.480	-0.91235	-0.07623	0.40143	-0.02335	26.5	null	null	13113	60
2026-05-27T16:37:04.539	WT901BLE68(F3:F0:16:BF:DC:AE)	0.793	0.226	0.708	23.193	-30.396	-29.907	17.23	-50.92	-5.15	5.793	27.540	-3.480	-0.91235	-0.07623	0.40143	-0.02335	26.5	null	null	13113	60
2026-05-27T16:37:04.660	WT901BLE68(F3:F0:16:BF:DC:AE)	1.069	-0.065	0.811	-36.072	-83.618	-34.302	24.06	-54.35	-13.87	5.793	27.540	-3.480	-0.91235	-0.07623	0.40143	-0.02335	26.5	null	null	13113	60
2026-05-27T16:37:04.749	WT901BLE68(F3:F0:16:BF:DC:AE)	0.939	-0.202	0.729	-44.922	9.583	39.368	19.78	-58.54	-14.01	5.793	27.540	-3.480	-0.91235	-0.07623	0.40143	-0.02335	26.5	null	null	13113	60
2026-05-27T16:37:04.871	WT901BLE68(F3:F0:16:BF:DC:AE)	0.786	0.098	0.452	-25.879	40.894	57.678	5.62	-56.82	-0.87	5.793	27.540	-3.480	-0.91235	-0.07623	0.40143	-0.02335	26.5	null	null	13113	60
2026-05-27T16:37:04.929	WT901BLE68(F3:F0:16:BF:DC:AE)	0.691	0.328	0.184	5.493	6.470	6.775	-0.53	-54.43	6.02	5.793	27.540	-3.480	-0.91235	-0.07623	0.40143	-0.02335	26.5	null	null	13113	60
2026-05-27T16:37:05.052	WT901BLE68(F3:F0:16:BF:DC:AE)	0.724	0.237	0.345	51.575	-12.634	-37.720	6.21	-55.35	2.38	5.793	27.540	-3.480	-0.91235	-0.07623	0.40143	-0.02335	26.5	null	null	13113	60
2026-05-27T16:37:05.142	WT901BLE68(F3:F0:16:BF:DC:AE)	0.818	0.204	0.779	63.599	-11.230	-49.316	20.85	-55.82	-6.63	5.793	27.540	-3.480	-0.91235	-0.07623	0.40143	-0.02335	26.5	null	null	13113	60
2026-05-27T16:37:05.259	WT901BLE68(F3:F0:16:BF:DC:AE)	1.100	0.130	0.953	-8.301	-10.986	-15.015	27.91	-55.53	-11.60	3.247	33.533	-12.800	-0.91235	-0.07623	0.40143	-0.02335	26.5	null	null	13113	60
2026-05-27T16:37:05.350	WT901BLE68(F3:F0:16:BF:DC:AE)	0.898	0.050	0.628	-40.955	9.094	20.569	22.20	-55.45	-8.89	3.247	33.533	-12.800	-0.91235	-0.07623	0.40143	-0.02335	26.5	null	null	13113	60
2026-05-27T16:37:05.475	WT901BLE68(F3:F0:16:BF:DC:AE)	0.777	0.183	0.316	-1.770	23.132	27.710	15.14	-54.44	-2.62	3.247	33.533	-12.800	-0.87653	-0.12137	0.46494	-0.02612	26.5	null	null	13113	60
2026-05-27T16:37:05.531	WT901BLE68(F3:F0:16:BF:DC:AE)	0.658	0.417	0.230	59.570	52.551	-26.672	16.44	-51.54	0.17	3.247	33.533	-12.800	-0.87653	-0.12137	0.46494	-0.02612	26.5	null	null	13113	60
2026-05-27T16:37:05.651	WT901BLE68(F3:F0:16:BF:DC:AE)	0.911	0.462	0.629	53.955	-11.230	-53.711	28.03	-47.57	-6.33	3.247	33.533	-12.800	-0.87653	-0.12137	0.46494	-0.02612	26.5	null	null	13113	60
2026-05-27T16:37:05.742	WT901BLE68(F3:F0:16:BF:DC:AE)	0.876	0.247	0.777	7.080	-48.767	-19.653	36.73	-49.41	-14.71	3.247	33.533	-12.800	-0.87653	-0.12137	0.46494	-0.02612	26.5	null	null	13113	60
2026-05-27T16:37:05.864	WT901BLE68(F3:F0:16:BF:DC:AE)	0.848	0.252	0.852	-0.549	6.653	21.790	37.44	-51.45	-15.60	3.247	33.533	-12.800	-0.87653	-0.12137	0.46494	-0.02612	26.5	null	null	13113	60
2026-05-27T16:37:05.951	WT901BLE68(F3:F0:16:BF:DC:AE)	0.792	0.346	0.632	-31.433	29.785	36.316	29.50	-51.24	-8.11	3.247	33.533	-12.800	-0.87653	-0.12137	0.46494	-0.02612	26.5	null	null	13113	60
2026-05-27T16:37:06.073	WT901BLE68(F3:F0:16:BF:DC:AE)	0.617	0.317	0.304	-40.405	5.493	11.597	21.67	-50.03	-3.07	3.247	33.533	-12.800	-0.87653	-0.12137	0.46494	-0.02612	26.5	null	null	13113	60
2026-05-27T16:37:06.128	WT901BLE68(F3:F0:16:BF:DC:AE)	0.497	0.265	0.109	17.029	-25.269	-44.922	23.47	-51.21	-6.98	-2.227	37.873	-13.753	-0.87653	-0.12137	0.46494	-0.02612	26.5	null	null	13113	60
2026-05-27T16:37:06.281	WT901BLE68(F3:F0:16:BF:DC:AE)	0.827	0.560	0.509	119.690	34.180	-93.689	41.21	-48.35	-18.75	-2.227	37.873	-13.753	-0.87653	-0.12137	0.46494	-0.02612	26.5	null	null	13113	60
2026-05-27T16:37:06.337	WT901BLE68(F3:F0:16:BF:DC:AE)	1.028	0.635	0.922	56.702	-19.958	-57.922	55.81	-42.64	-26.49	-2.227	37.873	-13.753	-0.85336	-0.31784	0.41296	0.00952	26.5	null	null	13113	60
2026-05-27T16:37:06.464	WT901BLE68(F3:F0:16:BF:DC:AE)	0.664	0.682	0.693	-25.574	1.038	12.146	56.14	-40.91	-25.66	-2.227	37.873	-13.753	-0.85336	-0.31784	0.41296	0.00952	26.5	null	null	13113	60
2026-05-27T16:37:06.551	WT901BLE68(F3:F0:16:BF:DC:AE)	0.658	0.594	0.337	-35.400	-3.723	13.245	52.70	-43.45	-27.19	-2.227	37.873	-13.753	-0.85336	-0.31784	0.41296	0.00952	26.5	null	null	13113	60
2026-05-27T16:37:06.671	WT901BLE68(F3:F0:16:BF:DC:AE)	0.488	0.578	0.243	-5.310	-5.371	-15.198	51.97	-44.25	-28.71	-2.227	37.873	-13.753	-0.85336	-0.31784	0.41296	0.00952	26.5	null	null	13113	60
2026-05-27T16:37:06.761	WT901BLE68(F3:F0:16:BF:DC:AE)	0.601	0.691	0.221	46.692	-16.235	-73.303	58.97	-40.64	-35.00	-2.227	37.873	-13.753	-0.85336	-0.31784	0.41296	0.00952	26.5	null	null	13113	60
2026-05-27T16:37:06.882	WT901BLE68(F3:F0:16:BF:DC:AE)	0.695	0.800	0.497	106.323	40.588	-75.256	68.39	-32.59	-36.62	-2.227	37.873	-13.753	-0.85336	-0.31784	0.41296	0.00952	26.5	null	null	13113	60
2026-05-27T16:37:06.938	WT901BLE68(F3:F0:16:BF:DC:AE)	0.604	0.953	0.639	14.038	26.978	-8.728	72.75	-28.20	-34.27	-37.213	39.367	-42.067	-0.85336	-0.31784	0.41296	0.00952	26.5	null	null	13113	60
2026-05-27T16:37:07.060	WT901BLE68(F3:F0:16:BF:DC:AE)	0.597	0.914	0.495	-62.683	-36.438	51.270	69.00	-32.03	-35.56	-37.213	39.367	-42.067	-0.85336	-0.31784	0.41296	0.00952	26.5	null	null	13113	60
2026-05-27T16:37:07.149	WT901BLE68(F3:F0:16:BF:DC:AE)	0.485	0.722	0.265	-59.631	-32.288	44.434	62.55	-37.95	-36.75	-37.213	39.367	-42.067	-0.85336	-0.31784	0.41296	0.00952	26.5	null	null	13113	60
2026-05-27T16:37:07.273	WT901BLE68(F3:F0:16:BF:DC:AE)	0.448	0.644	0.183	-11.047	5.859	-0.793	59.69	-39.49	-36.51	-37.213	39.367	-42.067	-0.82214	-0.36838	0.42337	0.09491	26.5	null	null	13113	60
2026-05-27T16:37:07.362	WT901BLE68(F3:F0:16:BF:DC:AE)	0.568	0.699	0.244	26.001	-4.639	-41.992	62.80	-36.96	-39.03	-37.213	39.367	-42.067	-0.82214	-0.36838	0.42337	0.09491	26.5	null	null	13113	60
2026-05-27T16:37:07.484	WT901BLE68(F3:F0:16:BF:DC:AE)	0.605	0.810	0.342	63.232	42.358	-43.152	67.70	-31.61	-38.71	-37.213	39.367	-42.067	-0.82214	-0.36838	0.42337	0.09491	26.5	null	null	13113	60
2026-05-27T16:37:07.568	WT901BLE68(F3:F0:16:BF:DC:AE)	0.621	0.924	0.470	29.541	57.922	0.977	70.56	-28.05	-33.92	-37.213	39.367	-42.067	-0.82214	-0.36838	0.42337	0.09491	26.5	null	null	13113	60
2026-05-27T16:37:07.696	WT901BLE68(F3:F0:16:BF:DC:AE)	0.588	0.877	0.636	-56.030	-36.804	52.185	66.75	-31.00	-32.18	-37.213	39.367	-42.067	-0.82214	-0.36838	0.42337	0.09491	26.5	null	null	13113	60
