time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T16:42:14.501	WT901BLE68(F3:F0:16:BF:DC:AE)	0.045	0.959	-0.270	-2.258	42.419	-1.526	108.85	-4.21	-31.24	-46.807	15.640	-67.520	-0.53842	-0.76987	0.26117	0.22150	26.0	null	null	13113	60
2026-05-27T16:42:14.620	WT901BLE68(F3:F0:16:BF:DC:AE)	0.136	0.920	-0.344	2.197	13.428	0.854	108.49	-4.86	-29.35	-46.807	15.640	-67.520	-0.53842	-0.76987	0.26117	0.22150	26.0	null	null	13113	60
2026-05-27T16:42:14.680	WT901BLE68(F3:F0:16:BF:DC:AE)	0.175	0.951	-0.254	-0.122	6.714	-5.066	108.70	-4.88	-28.89	-46.807	15.640	-67.520	-0.53842	-0.76987	0.26117	0.22150	26.0	null	null	13113	60
2026-05-27T16:42:14.802	WT901BLE68(F3:F0:16:BF:DC:AE)	0.118	1.007	-0.249	-10.681	13.794	-14.832	107.85	-4.22	-27.24	-46.807	15.640	-67.520	-0.53842	-0.76987	0.26117	0.22150	26.0	null	null	13113	60
2026-05-27T16:42:14.889	WT901BLE68(F3:F0:16:BF:DC:AE)	0.079	0.930	-0.423	-11.963	-8.545	-10.315	106.27	-3.33	-26.66	-34.413	12.333	-71.020	-0.53842	-0.76987	0.26117	0.22150	26.0	null	null	13113	60
2026-05-27T16:42:15.012	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.277	1.119	0.014	-43.579	3.601	-24.231	103.97	-1.64	-26.06	-34.413	12.333	-71.020	-0.53842	-0.76987	0.26117	0.22150	26.0	null	null	13113	60
2026-05-27T16:42:15.099	WT901BLE68(F3:F0:16:BF:DC:AE)	0.215	0.938	-0.532	-15.137	-152.222	4.883	98.91	2.22	-36.67	-34.413	12.333	-71.020	-0.61545	-0.75012	0.18698	0.15317	26.0	null	null	13113	60
2026-05-27T16:42:15.223	WT901BLE68(F3:F0:16:BF:DC:AE)	0.040	0.650	-0.296	-20.752	39.917	-16.418	96.44	2.47	-36.35	-34.413	12.333	-71.020	-0.61545	-0.75012	0.18698	0.15317	26.0	null	null	13113	60
2026-05-27T16:42:15.311	WT901BLE68(F3:F0:16:BF:DC:AE)	0.170	1.627	0.859	-6.714	160.095	33.508	97.91	-1.05	-32.31	-34.413	12.333	-71.020	-0.61545	-0.75012	0.18698	0.15317	26.0	null	null	13113	60
2026-05-27T16:42:15.431	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.116	1.156	-0.061	-43.823	-69.580	-10.071	94.11	0.14	-26.95	-34.413	12.333	-71.020	-0.61545	-0.75012	0.18698	0.15317	26.0	null	null	13113	60
2026-05-27T16:42:15.489	WT901BLE68(F3:F0:16:BF:DC:AE)	0.068	0.960	0.193	-32.227	30.945	-14.709	90.47	0.75	-27.70	-34.413	12.333	-71.020	-0.61545	-0.75012	0.18698	0.15317	26.0	null	null	13113	60
2026-05-27T16:42:15.613	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.075	0.949	0.175	-22.217	-14.893	-17.578	87.57	2.52	-27.73	-34.413	12.333	-71.020	-0.61545	-0.75012	0.18698	0.15317	26.0	null	null	13113	60
2026-05-27T16:42:15.700	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.041	1.076	0.211	-21.973	-13.428	-8.850	84.61	3.52	-29.40	-34.413	12.333	-71.020	-0.61545	-0.75012	0.18698	0.15317	26.0	null	null	13113	60
2026-05-27T16:42:15.818	WT901BLE68(F3:F0:16:BF:DC:AE)	0.010	1.094	0.288	-18.921	2.563	1.709	81.67	4.23	-30.29	-40.507	28.987	-56.287	-0.61545	-0.75012	0.18698	0.15317	26.0	null	null	13113	60
2026-05-27T16:42:15.911	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.131	1.022	0.133	-34.302	-10.864	-2.930	78.71	4.37	-31.70	-40.507	28.987	-56.287	-0.61545	-0.75012	0.18698	0.15317	26.0	null	null	13113	60
2026-05-27T16:42:16.029	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.198	0.862	0.135	-38.208	-27.893	-4.517	76.05	4.41	-33.26	-40.507	28.987	-56.287	-0.74374	-0.60544	0.14597	0.24258	26.0	null	null	13113	60
2026-05-27T16:42:16.091	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.143	0.888	0.226	-38.696	-15.137	-5.981	73.17	4.58	-34.59	-40.507	28.987	-56.287	-0.74374	-0.60544	0.14597	0.24258	26.0	null	null	13113	60
2026-05-27T16:42:16.215	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.117	0.954	0.290	-30.212	4.395	-7.690	70.40	4.97	-35.06	-40.507	28.987	-56.287	-0.74374	-0.60544	0.14597	0.24258	26.0	null	null	13113	60
2026-05-27T16:42:16.303	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.055	0.944	0.480	-22.583	10.925	-2.197	67.82	5.78	-34.81	-40.507	28.987	-56.287	-0.74374	-0.60544	0.14597	0.24258	26.0	null	null	13113	60
2026-05-27T16:42:16.421	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.175	0.757	0.359	-21.118	6.226	0.366	65.42	6.04	-34.22	-40.507	28.987	-56.287	-0.74374	-0.60544	0.14597	0.24258	26.0	null	null	13113	60
2026-05-27T16:42:16.513	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.147	0.805	0.415	-0.549	16.846	-3.418	63.43	6.52	-33.73	-40.507	28.987	-56.287	-0.74374	-0.60544	0.14597	0.24258	26.0	null	null	13113	60
