time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T16:29:22.980	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.025	0.964	0.266	-0.977	4.517	-0.610	73.33	0.47	-35.43	-39.740	41.307	-45.113	-0.75629	-0.57242	0.18390	0.25775	26.5	null	null	13113	60
2026-05-27T16:29:23.030	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.012	0.959	0.274	2.197	-2.686	-2.930	73.44	0.70	-35.41	-39.740	41.307	-45.113	-0.75629	-0.57242	0.18390	0.25775	26.5	null	null	13113	60
2026-05-27T16:29:23.157	WT901BLE68(F3:F0:16:BF:DC:AE)	0.000	0.965	0.288	2.686	-2.808	-2.441	73.75	0.92	-35.72	-39.740	41.307	-45.113	-0.75629	-0.57242	0.18390	0.25775	26.5	null	null	13113	60
2026-05-27T16:29:23.243	WT901BLE68(F3:F0:16:BF:DC:AE)	0.018	0.967	0.283	1.770	2.625	-0.916	73.93	1.06	-35.77	-39.740	41.307	-45.113	-0.75629	-0.57242	0.18390	0.25775	26.5	null	null	13113	60
2026-05-27T16:29:23.365	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.006	0.947	0.273	4.578	-3.845	3.418	74.23	0.90	-35.60	-39.953	40.420	-46.120	-0.75629	-0.57242	0.18390	0.25775	26.5	null	null	13113	60
2026-05-27T16:29:23.451	WT901BLE68(F3:F0:16:BF:DC:AE)	0.003	0.968	0.279	6.226	-8.423	8.301	74.77	0.09	-36.17	-39.953	40.420	-46.120	-0.75629	-0.57242	0.18390	0.25775	26.5	null	null	13113	60
2026-05-27T16:29:23.570	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.012	0.992	0.282	2.075	6.104	4.211	75.13	-0.58	-35.91	-39.953	40.420	-46.120	-0.75467	-0.57761	0.19049	0.24588	26.5	null	null	13113	60
2026-05-27T16:29:23.632	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.021	0.957	0.264	0.977	3.113	-1.282	75.14	-0.36	-35.23	-39.953	40.420	-46.120	-0.75467	-0.57761	0.19049	0.24588	26.5	null	null	13113	60
2026-05-27T16:29:23.787	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.009	0.978	0.273	0.854	-3.479	0.610	75.24	-0.39	-35.34	-39.953	40.420	-46.120	-0.75467	-0.57761	0.19049	0.24588	26.5	null	null	13113	60
2026-05-27T16:29:23.842	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.008	0.974	0.286	-4.333	-1.709	-5.371	75.01	-0.08	-35.47	-39.953	40.420	-46.120	-0.75467	-0.57761	0.19049	0.24588	26.5	null	null	13113	60
2026-05-27T16:29:23.964	WT901BLE68(F3:F0:16:BF:DC:AE)	0.009	0.970	0.267	-8.057	10.071	-5.859	74.28	0.59	-35.23	-39.953	40.420	-46.120	-0.75467	-0.57761	0.19049	0.24588	26.5	null	null	13113	60
2026-05-27T16:29:24.054	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.014	0.958	0.256	-5.371	4.456	-2.502	73.64	1.20	-34.45	-39.953	40.420	-46.120	-0.75467	-0.57761	0.19049	0.24588	26.5	null	null	13113	60
2026-05-27T16:29:24.175	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.001	0.968	0.247	-2.258	10.315	-2.502	73.35	1.51	-34.04	-39.953	40.420	-46.120	-0.75467	-0.57761	0.19049	0.24588	26.5	null	null	13113	60
2026-05-27T16:29:24.267	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.055	0.945	0.261	6.409	1.099	3.113	73.76	1.77	-32.92	-39.233	40.793	-45.753	-0.75467	-0.57761	0.19049	0.24588	26.5	null	null	13113	60
2026-05-27T16:29:24.383	WT901BLE68(F3:F0:16:BF:DC:AE)	0.009	1.025	0.309	2.991	-13.367	0.732	74.36	1.05	-34.29	-39.233	40.793	-45.753	-0.75467	-0.57761	0.19049	0.24588	26.5	null	null	13113	60
2026-05-27T16:29:24.442	WT901BLE68(F3:F0:16:BF:DC:AE)	0.000	0.966	0.291	-5.005	21.179	-0.427	74.11	1.31	-33.56	-39.233	40.793	-45.753	-0.75980	-0.57928	0.17096	0.24048	26.5	null	null	13113	60
2026-05-27T16:29:24.564	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.025	0.932	0.269	1.221	-0.549	8.667	73.89	1.17	-32.49	-39.233	40.793	-45.753	-0.75980	-0.57928	0.17096	0.24048	26.5	null	null	13113	60
2026-05-27T16:29:24.653	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.035	0.978	0.292	5.493	-17.883	11.536	74.33	-0.19	-33.24	-39.233	40.793	-45.753	-0.75980	-0.57928	0.17096	0.24048	26.5	null	null	13113	60
2026-05-27T16:29:24.775	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.028	0.968	0.305	-0.732	-4.639	1.831	74.51	-0.92	-34.04	-39.233	40.793	-45.753	-0.75980	-0.57928	0.17096	0.24048	26.5	null	null	13113	60
2026-05-27T16:29:24.863	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.025	0.963	0.282	-6.775	-5.920	-1.892	73.97	-0.88	-34.57	-39.233	40.793	-45.753	-0.75980	-0.57928	0.17096	0.24048	26.5	null	null	13113	60
2026-05-27T16:29:24.988	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.021	0.983	0.257	-9.460	2.747	-10.254	73.10	-0.16	-34.74	-39.233	40.793	-45.753	-0.75980	-0.57928	0.17096	0.24048	26.5	null	null	13113	60
2026-05-27T16:29:25.042	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.014	0.959	0.239	-5.859	-0.916	-17.883	72.44	1.40	-35.01	-38.427	41.627	-44.807	-0.75980	-0.57928	0.17096	0.24048	26.5	null	null	13113	60
2026-05-27T16:29:25.199	WT901BLE68(F3:F0:16:BF:DC:AE)	0.010	0.951	0.245	2.197	-6.104	-12.695	72.49	2.69	-35.96	-38.427	41.627	-44.807	-0.75980	-0.57928	0.17096	0.24048	26.5	null	null	13113	60
2026-05-27T16:29:25.253	WT901BLE68(F3:F0:16:BF:DC:AE)	0.021	0.958	0.262	8.667	-2.625	-1.404	73.25	2.96	-36.62	-38.427	41.627	-44.807	-0.75729	-0.57217	0.16711	0.26663	26.5	null	null	13113	60
2026-05-27T16:29:25.376	WT901BLE68(F3:F0:16:BF:DC:AE)	0.010	0.970	0.274	11.658	4.944	7.874	74.41	2.35	-36.40	-38.427	41.627	-44.807	-0.75729	-0.57217	0.16711	0.26663	26.5	null	null	13113	60
2026-05-27T16:29:25.466	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.006	0.962	0.280	11.414	3.540	11.292	75.57	1.41	-35.67	-38.427	41.627	-44.807	-0.75729	-0.57217	0.16711	0.26663	26.5	null	null	13113	60
2026-05-27T16:29:25.590	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.000	0.986	0.289	8.301	9.155	16.052	76.46	0.07	-34.79	-38.427	41.627	-44.807	-0.75729	-0.57217	0.16711	0.26663	26.5	null	null	13113	60
2026-05-27T16:29:25.676	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.037	0.988	0.277	1.526	13.611	9.644	76.70	-0.81	-32.99	-38.427	41.627	-44.807	-0.75729	-0.57217	0.16711	0.26663	26.5	null	null	13113	60
2026-05-27T16:29:25.793	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.023	0.971	0.261	-2.808	4.272	-2.808	76.42	-0.74	-32.23	-38.427	41.627	-44.807	-0.75729	-0.57217	0.16711	0.26663	26.5	null	null	13113	60
2026-05-27T16:29:25.852	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.022	0.964	0.250	-2.502	-0.366	-5.188	76.01	-0.08	-32.11	-38.427	41.627	-44.807	-0.75729	-0.57217	0.16711	0.26663	26.5	null	null	13113	60
2026-05-27T16:29:25.975	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.026	0.986	0.264	0.244	-10.437	-5.920	75.89	0.35	-32.79	-38.427	41.627	-44.807	-0.75729	-0.57217	0.16711	0.26663	26.5	null	null	13113	60
2026-05-27T16:29:26.060	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.003	0.972	0.293	-2.075	-22.400	-6.958	75.75	0.55	-34.79	-37.407	39.707	-48.493	-0.75729	-0.57217	0.16711	0.26663	26.5	null	null	13113	60
2026-05-27T16:29:26.186	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.003	0.970	0.291	-8.423	-8.606	-0.305	75.06	0.61	-36.24	-37.407	39.707	-48.493	-0.75729	-0.57217	0.16711	0.26663	26.5	null	null	13113	60
2026-05-27T16:29:26.275	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.022	0.972	0.271	-9.583	-10.437	2.625	74.08	0.23	-36.97	-37.407	39.707	-48.493	-0.75415	-0.57697	0.18680	0.25168	26.5	null	null	13113	60
2026-05-27T16:29:26.398	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.025	0.958	0.246	-8.423	-2.441	-0.488	73.17	-0.09	-37.58	-37.407	39.707	-48.493	-0.75415	-0.57697	0.18680	0.25168	26.5	null	null	13113	60
2026-05-27T16:29:26.452	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.040	0.942	0.242	0.000	-8.728	-3.174	72.79	0.08	-37.89	-37.407	39.707	-48.493	-0.75415	-0.57697	0.18680	0.25168	26.5	null	null	13113	60
2026-05-27T16:29:26.575	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.029	0.954	0.274	6.958	-18.799	-6.836	73.30	0.19	-39.24	-37.407	39.707	-48.493	-0.75415	-0.57697	0.18680	0.25168	26.5	null	null	13113	60
2026-05-27T16:29:26.665	WT901BLE68(F3:F0:16:BF:DC:AE)	0.001	0.970	0.305	4.822	-21.790	-9.399	74.01	0.52	-41.35	-37.407	39.707	-48.493	-0.75415	-0.57697	0.18680	0.25168	26.5	null	null	13113	60
2026-05-27T16:29:26.788	WT901BLE68(F3:F0:16:BF:DC:AE)	0.018	0.982	0.295	-3.906	-0.183	-7.568	74.00	0.88	-42.80	-37.407	39.707	-48.493	-0.75415	-0.57697	0.18680	0.25168	26.5	null	null	13113	60
2026-05-27T16:29:26.875	WT901BLE68(F3:F0:16:BF:DC:AE)	0.032	0.975	0.246	-7.935	22.400	-5.554	73.30	1.48	-42.15	-37.407	39.707	-48.493	-0.75415	-0.57697	0.18680	0.25168	26.5	null	null	13113	60
2026-05-27T16:29:26.994	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.028	0.938	0.232	1.038	7.629	-0.671	72.99	2.36	-40.22	-44.420	40.113	-43.433	-0.75415	-0.57697	0.18680	0.25168	26.5	null	null	13113	60
2026-05-27T16:29:27.086	WT901BLE68(F3:F0:16:BF:DC:AE)	0.013	0.966	0.272	5.859	-7.141	9.399	73.53	1.66	-40.55	-44.420	40.113	-43.433	-0.75415	-0.57697	0.18680	0.25168	26.5	null	null	13113	60
2026-05-27T16:29:27.206	WT901BLE68(F3:F0:16:BF:DC:AE)	0.000	0.975	0.274	1.587	16.235	9.888	74.01	0.68	-39.89	-44.420	40.113	-43.433	-0.74786	-0.56583	0.19995	0.28366	26.5	null	null	13113	60
2026-05-27T16:29:27.263	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.033	0.972	0.268	1.343	9.460	6.104	74.16	0.31	-38.13	-44.420	40.113	-43.433	-0.74786	-0.56583	0.19995	0.28366	26.5	null	null	13113	60
2026-05-27T16:29:27.388	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.021	0.967	0.270	1.465	6.714	2.686	74.33	0.09	-37.38	-44.420	40.113	-43.433	-0.74786	-0.56583	0.19995	0.28366	26.5	null	null	13113	60
2026-05-27T16:29:27.478	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.024	0.970	0.270	1.099	5.798	-0.671	74.47	0.22	-36.69	-44.420	40.113	-43.433	-0.74786	-0.56583	0.19995	0.28366	26.5	null	null	13113	60
2026-05-27T16:29:27.596	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.023	0.988	0.277	2.380	-1.709	-2.136	74.63	0.51	-36.41	-44.420	40.113	-43.433	-0.74786	-0.56583	0.19995	0.28366	26.5	null	null	13113	60
2026-05-27T16:29:27.687	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.004	0.974	0.287	1.831	-9.033	-3.418	74.83	0.66	-37.00	-44.420	40.113	-43.433	-0.74786	-0.56583	0.19995	0.28366	26.5	null	null	13113	60
2026-05-27T16:29:27.806	WT901BLE68(F3:F0:16:BF:DC:AE)	0.014	0.958	0.289	-0.122	-4.944	0.610	74.84	0.61	-37.79	-44.420	40.113	-43.433	-0.74786	-0.56583	0.19995	0.28366	26.5	null	null	13113	60
2026-05-27T16:29:27.865	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.007	0.958	0.283	-0.427	-8.118	5.188	74.71	0.15	-38.10	-41.540	40.227	-45.833	-0.74786	-0.56583	0.19995	0.28366	26.5	null	null	13113	60
2026-05-27T16:29:27.982	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.014	0.965	0.277	-1.404	-5.127	4.028	74.57	-0.51	-38.57	-41.540	40.227	-45.833	-0.74786	-0.56583	0.19995	0.28366	26.5	null	null	13113	60
2026-05-27T16:29:28.072	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.021	0.969	0.267	-2.991	-3.540	-0.732	74.30	-0.70	-38.81	-41.540	40.227	-45.833	-0.75217	-0.56976	0.20444	0.26022	26.5	null	null	13113	60
2026-05-27T16:29:28.196	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.021	0.962	0.261	-1.953	-5.066	-5.066	74.05	-0.42	-39.09	-41.540	40.227	-45.833	-0.75217	-0.56976	0.20444	0.26022	26.5	null	null	13113	60
2026-05-27T16:29:28.286	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.007	0.967	0.267	-0.549	-5.798	-7.080	73.97	0.10	-39.69	-41.540	40.227	-45.833	-0.75217	-0.56976	0.20444	0.26022	26.5	null	null	13113	60
2026-05-27T16:29:28.409	WT901BLE68(F3:F0:16:BF:DC:AE)	0.001	0.970	0.272	-0.854	-2.136	-6.714	73.93	0.68	-40.18	-41.540	40.227	-45.833	-0.75217	-0.56976	0.20444	0.26022	26.5	null	null	13113	60
2026-05-27T16:29:28.494	WT901BLE68(F3:F0:16:BF:DC:AE)	0.007	0.967	0.274	-1.160	-2.075	-3.174	73.86	1.09	-40.46	-41.540	40.227	-45.833	-0.75217	-0.56976	0.20444	0.26022	26.5	null	null	13113	60
2026-05-27T16:29:28.614	WT901BLE68(F3:F0:16:BF:DC:AE)	0.002	0.977	0.273	-1.831	5.188	0.000	73.73	1.17	-40.26	-41.540	40.227	-45.833	-0.75217	-0.56976	0.20444	0.26022	26.5	null	null	13113	60
2026-05-27T16:29:28.673	WT901BLE68(F3:F0:16:BF:DC:AE)	0.007	0.962	0.271	-1.282	3.906	-0.305	73.63	1.23	-39.79	-43.887	40.460	-43.660	-0.75217	-0.56976	0.20444	0.26022	26.5	null	null	13113	60
2026-05-27T16:29:28.795	WT901BLE68(F3:F0:16:BF:DC:AE)	0.004	0.963	0.266	0.244	7.629	3.296	73.62	1.16	-39.23	-43.887	40.460	-43.660	-0.75217	-0.56976	0.20444	0.26022	26.5	null	null	13113	60
2026-05-27T16:29:28.883	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.004	0.973	0.265	1.221	8.179	2.563	73.76	1.01	-38.33	-43.887	40.460	-43.660	-0.75217	-0.56976	0.20444	0.26022	26.5	null	null	13113	60
2026-05-27T16:29:29.005	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.000	0.968	0.267	0.977	13.367	2.869	73.92	1.06	-37.14	-43.887	40.460	-43.660	-0.75406	-0.56979	0.18939	0.26599	26.5	null	null	13113	60
2026-05-27T16:29:29.097	WT901BLE68(F3:F0:16:BF:DC:AE)	0.009	0.974	0.272	0.549	15.198	6.165	74.08	0.87	-35.85	-43.887	40.460	-43.660	-0.75406	-0.56979	0.18939	0.26599	26.5	null	null	13113	60
2026-05-27T16:29:29.215	WT901BLE68(F3:F0:16:BF:DC:AE)	0.000	0.976	0.251	1.099	21.423	6.714	74.18	0.70	-33.91	-43.887	40.460	-43.660	-0.75406	-0.56979	0.18939	0.26599	26.5	null	null	13113	60
2026-05-27T16:29:29.273	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.009	0.952	0.231	6.287	25.391	6.897	74.65	0.74	-31.48	-43.887	40.460	-43.660	-0.75406	-0.56979	0.18939	0.26599	26.5	null	null	13113	60
2026-05-27T16:29:29.395	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.023	0.971	0.257	12.512	19.226	7.324	75.71	0.57	-29.29	-43.887	40.460	-43.660	-0.75406	-0.56979	0.18939	0.26599	26.5	null	null	13113	60
2026-05-27T16:29:29.489	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.020	0.976	0.311	11.719	3.296	4.761	76.93	0.31	-28.24	-43.887	40.460	-43.660	-0.75406	-0.56979	0.18939	0.26599	26.5	null	null	13113	60
2026-05-27T16:29:29.604	WT901BLE68(F3:F0:16:BF:DC:AE)	0.003	0.980	0.345	1.648	-1.770	3.052	77.35	-0.04	-28.37	-43.887	40.460	-43.660	-0.75406	-0.56979	0.18939	0.26599	26.5	null	null	13113	60
2026-05-27T16:29:29.694	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.006	0.958	0.324	-9.949	6.592	-0.366	76.50	-0.08	-28.21	-34.920	38.727	-50.340	-0.75406	-0.56979	0.18939	0.26599	26.5	null	null	13113	60
2026-05-27T16:29:29.814	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.033	0.958	0.289	-12.085	-3.540	0.183	75.05	0.04	-28.10	-34.920	38.727	-50.340	-0.75406	-0.56979	0.18939	0.26599	26.5	null	null	13113	60
2026-05-27T16:29:29.901	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.016	0.970	0.291	-12.085	-10.803	-3.235	73.78	-0.09	-29.21	-34.920	38.727	-50.340	-0.77170	-0.58630	0.14920	0.19580	26.5	null	null	13113	60
2026-05-27T16:29:30.025	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.024	0.981	0.290	-15.564	13.977	-8.240	72.32	0.73	-29.10	-34.920	38.727	-50.340	-0.77170	-0.58630	0.14920	0.19580	26.5	null	null	13113	60
2026-05-27T16:29:30.088	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.048	0.946	0.258	-7.202	-9.888	-9.399	71.26	1.65	-29.37	-34.920	38.727	-50.340	-0.77170	-0.58630	0.14920	0.19580	26.5	null	null	13113	60
2026-05-27T16:29:30.204	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.025	0.949	0.265	2.869	-33.447	-4.150	71.21	1.53	-32.16	-34.920	38.727	-50.340	-0.77170	-0.58630	0.14920	0.19580	26.5	null	null	13113	60
