time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T16:35:52.753	WT901BLE68(F3:F0:16:BF:DC:AE)	0.224	1.072	0.227	0.305	12.756	-51.819	73.14	-11.04	-18.17	-42.473	38.040	-40.880	-0.77591	-0.56213	0.23178	0.16785	26.6	null	null	13113	75
2026-05-27T16:35:52.840	WT901BLE68(F3:F0:16:BF:DC:AE)	0.235	0.985	0.134	-39.246	-108.765	-15.625	72.06	-9.21	-25.54	-42.473	38.040	-40.880	-0.77591	-0.56213	0.23178	0.16785	26.6	null	null	13113	75
2026-05-27T16:35:52.960	WT901BLE68(F3:F0:16:BF:DC:AE)	0.403	0.898	0.200	-9.949	-36.255	-2.930	71.32	-12.12	-34.73	-42.473	38.040	-40.880	-0.77591	-0.56213	0.23178	0.16785	26.6	null	null	13113	75
2026-05-27T16:35:53.052	WT901BLE68(F3:F0:16:BF:DC:AE)	0.278	0.889	0.249	25.818	21.240	-10.681	72.81	-11.24	-34.66	-42.473	38.040	-40.880	-0.77591	-0.56213	0.23178	0.16785	26.6	null	null	13113	75
2026-05-27T16:35:53.169	WT901BLE68(F3:F0:16:BF:DC:AE)	0.266	0.930	0.303	26.123	25.574	14.954	75.24	-11.32	-33.14	-37.700	40.740	-38.440	-0.77591	-0.56213	0.23178	0.16785	26.6	null	null	13113	75
2026-05-27T16:35:53.230	WT901BLE68(F3:F0:16:BF:DC:AE)	0.200	1.022	0.330	10.132	23.804	40.283	76.13	-13.61	-30.01	-37.700	40.740	-38.440	-0.77591	-0.56213	0.23178	0.16785	26.6	null	null	13113	75
2026-05-27T16:35:53.351	WT901BLE68(F3:F0:16:BF:DC:AE)	0.182	0.945	0.320	-5.127	3.784	52.124	75.43	-18.00	-28.23	-37.700	40.740	-38.440	-0.77484	-0.56650	0.25027	0.12628	26.6	null	null	13113	75
2026-05-27T16:35:53.445	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.062	0.936	0.360	-14.526	4.150	-1.038	73.70	-19.85	-26.38	-37.700	40.740	-38.440	-0.77484	-0.56650	0.25027	0.12628	26.6	null	null	13113	75
2026-05-27T16:35:53.560	WT901BLE68(F3:F0:16:BF:DC:AE)	0.272	0.959	0.313	-4.517	-19.409	-40.039	73.67	-17.39	-29.99	-37.700	40.740	-38.440	-0.77484	-0.56650	0.25027	0.12628	26.6	null	null	13113	75
2026-05-27T16:35:53.651	WT901BLE68(F3:F0:16:BF:DC:AE)	0.203	0.947	0.292	-9.949	-17.090	-33.752	73.39	-13.63	-32.03	-37.700	40.740	-38.440	-0.77484	-0.56650	0.25027	0.12628	26.6	null	null	13113	75
2026-05-27T16:35:53.773	WT901BLE68(F3:F0:16:BF:DC:AE)	0.272	0.915	0.288	-4.089	-16.479	-27.893	73.19	-11.39	-35.31	-37.700	40.740	-38.440	-0.77484	-0.56650	0.25027	0.12628	26.6	null	null	13113	75
2026-05-27T16:35:53.829	WT901BLE68(F3:F0:16:BF:DC:AE)	0.263	0.914	0.290	2.991	8.057	-16.968	73.38	-9.47	-36.16	-37.700	40.740	-38.440	-0.77484	-0.56650	0.25027	0.12628	26.6	null	null	13113	75
2026-05-27T16:35:53.952	WT901BLE68(F3:F0:16:BF:DC:AE)	0.255	0.958	0.278	-3.418	1.404	5.493	73.23	-9.28	-36.13	-37.700	40.740	-38.440	-0.77484	-0.56650	0.25027	0.12628	26.6	null	null	13113	75
2026-05-27T16:35:54.040	WT901BLE68(F3:F0:16:BF:DC:AE)	0.257	0.940	0.268	-3.113	5.798	23.193	72.70	-11.17	-35.81	-38.273	40.533	-40.327	-0.77484	-0.56650	0.25027	0.12628	26.6	null	null	13113	75
2026-05-27T16:35:54.162	WT901BLE68(F3:F0:16:BF:DC:AE)	0.225	0.937	0.276	3.235	16.052	23.071	72.42	-13.24	-34.06	-38.273	40.533	-40.327	-0.77484	-0.56650	0.25027	0.12628	26.6	null	null	13113	75
2026-05-27T16:35:54.251	WT901BLE68(F3:F0:16:BF:DC:AE)	0.239	0.927	0.278	11.597	15.625	16.296	72.76	-14.69	-32.48	-38.273	40.533	-40.327	-0.78751	-0.53378	0.26212	0.16153	26.6	null	null	13113	75
2026-05-27T16:35:54.372	WT901BLE68(F3:F0:16:BF:DC:AE)	0.220	0.930	0.288	22.156	36.255	3.235	73.84	-14.53	-29.49	-38.273	40.533	-40.327	-0.78751	-0.53378	0.26212	0.16153	26.6	null	null	13113	75
2026-05-27T16:35:54.460	WT901BLE68(F3:F0:16:BF:DC:AE)	0.211	0.952	0.299	13.184	24.414	-3.906	74.83	-13.47	-26.84	-38.273	40.533	-40.327	-0.78751	-0.53378	0.26212	0.16153	26.6	null	null	13113	75
2026-05-27T16:35:54.585	WT901BLE68(F3:F0:16:BF:DC:AE)	0.223	0.963	0.287	-2.197	-2.686	-2.502	74.93	-12.83	-26.47	-38.273	40.533	-40.327	-0.78751	-0.53378	0.26212	0.16153	26.6	null	null	13113	75
2026-05-27T16:35:54.641	WT901BLE68(F3:F0:16:BF:DC:AE)	0.256	0.946	0.257	-4.822	-4.211	5.737	74.44	-13.33	-27.52	-38.273	40.533	-40.327	-0.78751	-0.53378	0.26212	0.16153	26.6	null	null	13113	75
2026-05-27T16:35:54.763	WT901BLE68(F3:F0:16:BF:DC:AE)	0.223	0.904	0.244	1.526	12.695	5.676	74.18	-13.71	-26.88	-38.273	40.533	-40.327	-0.78751	-0.53378	0.26212	0.16153	26.6	null	null	13113	75
2026-05-27T16:35:54.852	WT901BLE68(F3:F0:16:BF:DC:AE)	0.222	0.944	0.237	0.305	-4.456	0.977	74.20	-13.86	-26.78	-38.273	40.533	-40.327	-0.78751	-0.53378	0.26212	0.16153	26.6	null	null	13113	75
2026-05-27T16:35:54.975	WT901BLE68(F3:F0:16:BF:DC:AE)	0.256	0.943	0.246	5.005	-1.892	4.028	74.60	-14.27	-27.98	-28.780	40.667	-44.207	-0.78751	-0.53378	0.26212	0.16153	26.6	null	null	13113	75
2026-05-27T16:35:55.062	WT901BLE68(F3:F0:16:BF:DC:AE)	0.224	0.963	0.268	8.423	7.324	-0.183	75.26	-14.38	-27.70	-28.780	40.667	-44.207	-0.78751	-0.53378	0.26212	0.16153	26.6	null	null	13113	75
2026-05-27T16:35:55.180	WT901BLE68(F3:F0:16:BF:DC:AE)	0.218	0.954	0.275	-0.061	-7.690	-2.197	75.70	-14.09	-27.87	-28.780	40.667	-44.207	-0.78015	-0.56635	0.24017	0.11319	26.6	null	null	13113	75
2026-05-27T16:35:55.243	WT901BLE68(F3:F0:16:BF:DC:AE)	0.237	0.940	0.269	-1.892	-7.080	-5.493	75.66	-13.95	-29.08	-28.780	40.667	-44.207	-0.78015	-0.56635	0.24017	0.11319	26.6	null	null	13113	75
2026-05-27T16:35:55.365	WT901BLE68(F3:F0:16:BF:DC:AE)	0.235	0.938	0.267	-3.479	-7.263	-7.080	75.54	-13.38	-29.97	-28.780	40.667	-44.207	-0.78015	-0.56635	0.24017	0.11319	26.6	null	null	13113	75
2026-05-27T16:35:55.449	WT901BLE68(F3:F0:16:BF:DC:AE)	0.246	0.930	0.257	-4.028	-9.460	-4.700	75.28	-13.05	-31.15	-28.780	40.667	-44.207	-0.78015	-0.56635	0.24017	0.11319	26.6	null	null	13113	75
2026-05-27T16:35:55.570	WT901BLE68(F3:F0:16:BF:DC:AE)	0.249	0.937	0.253	-0.916	-5.981	-2.930	75.16	-12.94	-32.18	-28.780	40.667	-44.207	-0.78015	-0.56635	0.24017	0.11319	26.6	null	null	13113	75
2026-05-27T16:35:55.663	WT901BLE68(F3:F0:16:BF:DC:AE)	0.251	0.941	0.259	1.282	-2.197	-0.122	75.26	-13.00	-32.92	-28.780	40.667	-44.207	-0.78015	-0.56635	0.24017	0.11319	26.6	null	null	13113	75
2026-05-27T16:35:55.782	WT901BLE68(F3:F0:16:BF:DC:AE)	0.229	0.938	0.261	-1.038	-5.493	4.578	75.33	-13.32	-33.25	-28.780	40.667	-44.207	-0.78015	-0.56635	0.24017	0.11319	26.6	null	null	13113	75
2026-05-27T16:35:55.868	WT901BLE68(F3:F0:16:BF:DC:AE)	0.253	1.000	0.277	2.014	6.348	-0.061	75.28	-13.85	-33.63	-31.647	39.873	-44.040	-0.78015	-0.56635	0.24017	0.11319	26.6	null	null	13113	75
2026-05-27T16:35:55.991	WT901BLE68(F3:F0:16:BF:DC:AE)	0.192	0.945	0.266	-8.179	-6.287	0.305	75.04	-13.37	-33.00	-31.647	39.873	-44.040	-0.78015	-0.56635	0.24017	0.11319	26.6	null	null	13113	75
2026-05-27T16:35:56.048	WT901BLE68(F3:F0:16:BF:DC:AE)	0.210	0.932	0.232	-13.733	-15.442	-4.333	74.09	-13.70	-34.38	-31.647	39.873	-44.040	-0.77698	-0.54837	0.26422	0.16019	26.6	null	null	13113	75
2026-05-27T16:35:56.173	WT901BLE68(F3:F0:16:BF:DC:AE)	0.243	0.925	0.221	-9.644	-29.419	-7.568	73.52	-13.56	-36.92	-31.647	39.873	-44.040	-0.77698	-0.54837	0.26422	0.16019	26.6	null	null	13113	75
