time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T16:26:23.603	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.331	0.877	0.550	9.399	-273.499	-17.456	60.08	6.42	-126.36	-79.760	7.693	10.213	-0.41141	-0.33380	0.38150	0.75739	26.0	null	null	13113	60
2026-05-27T16:26:23.724	WT901BLE68(F3:F0:16:BF:DC:AE)	0.112	0.670	0.533	-11.292	-23.560	-13.794	58.42	3.86	-134.58	-79.760	7.693	10.213	-0.41141	-0.33380	0.38150	0.75739	26.0	null	null	13113	60
2026-05-27T16:26:23.782	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.253	1.179	0.595	14.099	0.244	-18.066	59.79	4.11	-133.31	-79.760	7.693	10.213	-0.41141	-0.33380	0.38150	0.75739	26.0	null	null	13113	60
2026-05-27T16:26:23.902	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.110	0.849	0.638	-5.066	16.541	-22.827	59.96	6.22	-132.42	-79.760	7.693	10.213	-0.41141	-0.33380	0.38150	0.75739	26.0	null	null	13113	60
2026-05-27T16:26:23.993	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.090	0.818	0.525	-15.137	32.471	-24.963	58.90	9.12	-130.87	-79.760	7.693	10.213	-0.41141	-0.33380	0.38150	0.75739	26.0	null	null	13113	60
2026-05-27T16:26:24.119	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.253	0.828	0.580	-10.864	-1.831	-30.151	57.32	12.12	-130.37	-79.760	7.693	10.213	-0.41141	-0.33380	0.38150	0.75739	26.0	null	null	13113	60
2026-05-27T16:26:24.202	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.296	0.790	0.524	1.038	21.423	-13.672	56.84	14.40	-129.81	-79.760	7.693	10.213	-0.41141	-0.33380	0.38150	0.75739	26.0	null	null	13113	60
2026-05-27T16:26:24.323	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.180	0.764	0.616	-17.212	24.902	10.437	56.32	15.12	-127.42	-56.253	-0.307	30.520	-0.41141	-0.33380	0.38150	0.75739	26.0	null	null	13113	60
2026-05-27T16:26:24.413	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.167	0.713	0.685	-10.132	26.794	21.423	55.38	15.42	-123.27	-56.253	-0.307	30.520	-0.41141	-0.33380	0.38150	0.75739	26.0	null	null	13113	60
2026-05-27T16:26:24.535	WT901BLE68(F3:F0:16:BF:DC:AE)	-0.183	0.757	0.723	-6.104	16.113	31.067	55.33	14.39	-118.77	-56.253	-0.307	30.520	-0.37415	-0.32663	0.34460	0.79651	26.0	null	null	13113	60
