time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T16:38:40.001	WT901BLE68(F3:F0:16:BF:DC:AE)	0.280	0.854	-0.396	-4.578	-12.695	4.700	111.91	-10.02	-102.93	-73.480	34.520	-25.560	-0.42673	-0.49792	0.64120	0.39838	26.6	null	null	13113	75
2026-05-27T16:38:40.122	WT901BLE68(F3:F0:16:BF:DC:AE)	0.145	0.916	-0.348	-7.813	0.671	0.488	111.43	-10.13	-102.04	-73.480	34.520	-25.560	-0.42673	-0.49792	0.64120	0.39838	26.6	null	null	13113	75
2026-05-27T16:38:40.210	WT901BLE68(F3:F0:16:BF:DC:AE)	0.203	0.893	-0.435	17.151	-28.564	4.517	112.36	-9.66	-102.95	-73.480	34.520	-25.560	-0.42673	-0.49792	0.64120	0.39838	26.6	null	null	13113	75
2026-05-27T16:38:40.331	WT901BLE68(F3:F0:16:BF:DC:AE)	0.245	0.908	-0.442	13.245	-17.334	4.517	114.60	-9.11	-104.22	-73.480	34.520	-25.560	-0.42673	-0.49792	0.64120	0.39838	26.6	null	null	13113	75
2026-05-27T16:38:40.389	WT901BLE68(F3:F0:16:BF:DC:AE)	0.113	0.960	-0.359	-15.015	-35.095	7.324	114.32	-8.94	-104.71	-73.480	34.520	-25.560	-0.42673	-0.49792	0.64120	0.39838	26.6	null	null	13113	75
2026-05-27T16:38:40.511	WT901BLE68(F3:F0:16:BF:DC:AE)	0.174	0.932	-0.344	-19.226	-27.771	-0.305	112.88	-8.06	-106.38	-73.480	34.520	-25.560	-0.42673	-0.49792	0.64120	0.39838	26.6	null	null	13113	75
2026-05-27T16:38:40.599	WT901BLE68(F3:F0:16:BF:DC:AE)	0.118	0.949	-0.324	-13.489	-17.517	-11.414	111.31	-6.75	-107.47	-65.807	39.527	-18.547	-0.42673	-0.49792	0.64120	0.39838	26.6	null	null	13113	75
2026-05-27T16:38:40.720	WT901BLE68(F3:F0:16:BF:DC:AE)	0.112	1.003	-0.291	-10.010	-11.658	-17.700	109.83	-5.06	-107.06	-65.807	39.527	-18.547	-0.42673	-0.49792	0.64120	0.39838	26.6	null	null	13113	75
2026-05-27T16:38:40.809	WT901BLE68(F3:F0:16:BF:DC:AE)	0.036	0.988	-0.215	-30.396	48.706	-28.625	106.42	-3.80	-102.37	-65.807	39.527	-18.547	-0.37524	-0.47058	0.66235	0.44598	26.6	null	null	13113	75
2026-05-27T16:38:40.933	WT901BLE68(F3:F0:16:BF:DC:AE)	0.090	0.992	-0.231	-32.104	14.526	-24.109	102.93	-1.99	-98.50	-65.807	39.527	-18.547	-0.37524	-0.47058	0.66235	0.44598	26.6	null	null	13113	75
2026-05-27T16:38:41.020	WT901BLE68(F3:F0:16:BF:DC:AE)	0.104	1.066	-0.282	-12.878	34.485	-5.188	101.01	-1.38	-95.26	-65.807	39.527	-18.547	-0.37524	-0.47058	0.66235	0.44598	26.6	null	null	13113	75
