time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	HX(uT)	HY(uT)	HZ(uT)	Q0()	Q1()	Q2()	Q3()	Temperature(°C)	Height(m)	Pressure(kPa)	Version()	Battery level(%)
2026-05-27T16:33:16.357	WT901BLE68(F3:F0:16:BF:DC:AE)	0.246	0.824	0.517	11.047	-6.287	-2.625	60.18	-18.38	-89.45	null	null	null	null	null	null	null	null	null	null	13113	null
2026-05-27T16:33:16.477	WT901BLE68(F3:F0:16:BF:DC:AE)	0.276	0.857	0.488	8.240	-17.029	-1.038	61.46	-18.60	-89.71	null	null	null	null	null	null	null	null	null	null	13113	75
2026-05-27T16:33:16.538	WT901BLE68(F3:F0:16:BF:DC:AE)	0.285	0.873	0.474	-2.075	-20.508	7.141	62.07	-19.61	-90.25	null	null	null	null	null	null	null	null	null	null	13113	75
2026-05-27T16:33:16.658	WT901BLE68(F3:F0:16:BF:DC:AE)	0.014	0.843	0.508	-15.381	29.297	2.014	60.45	-19.22	-86.26	null	null	null	null	null	null	null	null	null	null	13113	75
2026-05-27T16:33:16.749	WT901BLE68(F3:F0:16:BF:DC:AE)	0.248	0.775	0.457	-4.089	-11.841	-39.429	59.35	-16.52	-86.80	null	null	null	null	null	null	null	26.4	null	null	13113	75
2026-05-27T16:33:16.868	WT901BLE68(F3:F0:16:BF:DC:AE)	0.163	0.774	0.568	7.996	12.817	-1.709	59.62	-15.73	-87.65	null	null	null	null	null	null	null	26.4	null	null	13113	75
2026-05-27T16:33:16.958	WT901BLE68(F3:F0:16:BF:DC:AE)	0.317	0.845	0.448	7.751	2.319	-4.150	60.42	-15.97	-87.87	null	null	null	null	null	null	null	26.4	null	null	13113	75
2026-05-27T16:33:17.079	WT901BLE68(F3:F0:16:BF:DC:AE)	0.275	0.820	0.540	0.183	-13.367	-11.475	60.86	-15.54	-88.56	null	null	null	null	null	null	null	26.4	null	null	13113	75
2026-05-27T16:33:17.138	WT901BLE68(F3:F0:16:BF:DC:AE)	0.206	0.807	0.542	6.531	4.456	-7.690	61.09	-14.82	-88.23	null	null	null	null	null	null	null	26.4	null	null	13113	75
2026-05-27T16:33:17.263	WT901BLE68(F3:F0:16:BF:DC:AE)	0.204	0.851	0.524	8.301	-1.831	-11.963	61.71	-13.91	-88.34	-59.633	31.660	1.227	null	null	null	null	26.4	null	null	13113	75
2026-05-27T16:33:17.347	WT901BLE68(F3:F0:16:BF:DC:AE)	0.202	0.874	0.503	-4.272	-3.723	-12.939	61.87	-12.73	-88.15	-59.633	31.660	1.227	null	null	null	null	26.4	null	null	13113	75
2026-05-27T16:33:17.467	WT901BLE68(F3:F0:16:BF:DC:AE)	0.150	0.887	0.520	-5.981	-8.423	-1.709	61.14	-12.50	-88.58	-59.633	31.660	1.227	-0.65164	-0.30096	0.42230	0.55347	26.4	null	null	13113	75
2026-05-27T16:33:17.559	WT901BLE68(F3:F0:16:BF:DC:AE)	0.085	0.901	0.463	9.521	-0.549	3.418	61.79	-12.67	-88.63	-59.633	31.660	1.227	-0.65164	-0.30096	0.42230	0.55347	26.4	null	null	13113	75
2026-05-27T16:33:17.678	WT901BLE68(F3:F0:16:BF:DC:AE)	0.037	0.766	1.104	-1.648	20.752	-5.432	62.24	-12.32	-87.25	-59.633	31.660	1.227	-0.65164	-0.30096	0.42230	0.55347	26.4	null	null	13113	75
2026-05-27T16:33:17.768	WT901BLE68(F3:F0:16:BF:DC:AE)	0.205	0.917	0.498	-2.380	10.132	2.869	60.69	-11.63	-86.44	-59.633	31.660	1.227	-0.65164	-0.30096	0.42230	0.55347	26.4	null	null	13113	75
2026-05-27T16:33:17.888	WT901BLE68(F3:F0:16:BF:DC:AE)	0.042	0.831	0.570	-12.329	13.977	-4.456	59.62	-10.68	-84.51	-59.633	31.660	1.227	-0.65164	-0.30096	0.42230	0.55347	26.4	null	null	13113	75
2026-05-27T16:33:17.950	WT901BLE68(F3:F0:16:BF:DC:AE)	0.103	0.875	0.573	-7.568	24.414	4.578	58.45	-9.67	-82.58	-59.633	31.660	1.227	-0.65164	-0.30096	0.42230	0.55347	26.4	null	null	13113	75
2026-05-27T16:33:18.067	WT901BLE68(F3:F0:16:BF:DC:AE)	0.134	0.801	0.543	-7.568	17.212	9.399	57.48	-9.51	-80.62	-59.633	31.660	1.227	-0.65164	-0.30096	0.42230	0.55347	26.4	null	null	13113	75
2026-05-27T16:33:18.158	WT901BLE68(F3:F0:16:BF:DC:AE)	0.193	0.822	0.526	-3.235	13.489	5.310	56.43	-9.49	-78.55	-60.173	28.067	-0.347	-0.65164	-0.30096	0.42230	0.55347	26.4	null	null	13113	75
2026-05-27T16:33:18.277	WT901BLE68(F3:F0:16:BF:DC:AE)	0.229	0.803	0.581	-8.179	11.353	2.014	55.52	-9.20	-77.33	-60.173	28.067	-0.347	-0.65164	-0.30096	0.42230	0.55347	26.4	null	null	13113	75
2026-05-27T16:33:18.370	WT901BLE68(F3:F0:16:BF:DC:AE)	0.175	0.783	0.596	-6.775	4.456	1.343	54.37	-8.93	-76.91	-60.173	28.067	-0.347	-0.71478	-0.31686	0.34073	0.52200	26.4	null	null	13113	75
2026-05-27T16:33:18.490	WT901BLE68(F3:F0:16:BF:DC:AE)	0.147	0.805	0.613	-9.705	9.705	2.197	53.32	-8.87	-76.20	-60.173	28.067	-0.347	-0.71478	-0.31686	0.34073	0.52200	26.4	null	null	13113	75
2026-05-27T16:33:18.552	WT901BLE68(F3:F0:16:BF:DC:AE)	0.221	0.801	0.650	-9.216	-8.057	-9.766	52.32	-8.68	-76.60	-60.173	28.067	-0.347	-0.71478	-0.31686	0.34073	0.52200	26.4	null	null	13113	75
2026-05-27T16:33:18.668	WT901BLE68(F3:F0:16:BF:DC:AE)	0.184	0.843	0.714	0.305	-19.897	-10.986	52.21	-8.88	-78.80	-60.173	28.067	-0.347	-0.71478	-0.31686	0.34073	0.52200	26.4	null	null	13113	75
2026-05-27T16:33:18.762	WT901BLE68(F3:F0:16:BF:DC:AE)	0.141	0.829	0.584	15.198	-11.047	-9.277	53.20	-8.71	-80.12	-60.173	28.067	-0.347	-0.71478	-0.31686	0.34073	0.52200	26.4	null	null	13113	75
2026-05-27T16:33:18.884	WT901BLE68(F3:F0:16:BF:DC:AE)	0.091	0.818	0.549	37.354	5.493	-5.493	56.03	-8.39	-80.65	-60.173	28.067	-0.347	-0.71478	-0.31686	0.34073	0.52200	26.4	null	null	13113	75
2026-05-27T16:33:18.977	WT901BLE68(F3:F0:16:BF:DC:AE)	0.155	0.849	0.500	-0.549	-15.991	-12.634	58.05	-7.64	-80.15	-60.173	28.067	-0.347	-0.71478	-0.31686	0.34073	0.52200	26.4	null	null	13113	75
2026-05-27T16:33:19.094	WT901BLE68(F3:F0:16:BF:DC:AE)	0.042	0.871	0.577	0.916	4.517	-1.343	57.73	-7.51	-81.06	-59.900	25.927	-3.133	-0.71478	-0.31686	0.34073	0.52200	26.4	null	null	13113	75
2026-05-27T16:33:19.186	WT901BLE68(F3:F0:16:BF:DC:AE)	0.202	0.841	0.451	4.150	1.953	-3.235	58.30	-6.94	-80.60	-59.900	25.927	-3.133	-0.71478	-0.31686	0.34073	0.52200	26.4	null	null	13113	75
2026-05-27T16:33:19.306	WT901BLE68(F3:F0:16:BF:DC:AE)	0.097	0.864	0.537	-1.404	-2.930	11.292	58.45	-7.30	-80.07	-59.900	25.927	-3.133	-0.68460	-0.33826	0.35434	0.53967	26.4	null	null	13113	75
2026-05-27T16:33:19.360	WT901BLE68(F3:F0:16:BF:DC:AE)	0.162	0.846	0.529	-8.423	-16.968	15.320	58.13	-8.84	-79.90	-59.900	25.927	-3.133	-0.68460	-0.33826	0.35434	0.53967	26.4	null	null	13113	75
2026-05-27T16:33:19.484	WT901BLE68(F3:F0:16:BF:DC:AE)	0.168	0.829	0.581	-21.729	-54.565	20.508	56.94	-11.62	-81.17	-59.900	25.927	-3.133	-0.68460	-0.33826	0.35434	0.53967	26.4	null	null	13113	75
