Left_Wrist_Acc_X,Left_Wrist_Acc_Y,Left_Wrist_Acc_Z,Right_Wrist_Acc_X,Right_Wrist_Acc_Y,Right_Wrist_Acc_Z,Upper_Leg_Acc_X,Upper_Leg_Acc_Y,Upper_Leg_Acc_Z,Activity
-0.803,-0.333,-0.089,0.616,-0.327,0.565,0.19,0.928,0.249,0
-0.633,-0.194,-0.326,0.755,-0.43,0.525,0.028,0.937,0.162,0
-0.708,-0.249,-0.139,0.721,-0.435,0.534,0.125,0.937,0.058,0
-1.184,-0.451,0.638,0.704,-0.448,0.437,0.107,1.02,0.107,0
-1.271,-0.338,0.635,0.825,-0.433,0.429,-0.047,0.999,0.174,0
-0.904,-0.317,0.193,0.756,-0.381,0.432,0.148,0.966,0.261,0
-0.702,-0.294,-0.039,0.789,-0.325,0.356,0.043,0.944,0.313,0
-0.907,-0.162,-0.029,0.782,-0.276,0.512,0.093,0.959,0.294,0
-0.82,-0.444,0.27,1.004,-0.5,0.78,0.129,0.969,0.313,0
-1.088,-0.48,0.411,0.878,-0.372,0.443,0.185,0.971,0.346,0
-0.994,-0.438,0.208,0.443,-0.226,0.248,0.067,0.939,0.357,0
-0.789,-0.314,0.034,0.7,-0.133,0.355,0.033,0.958,0.372,0
-0.768,-0.304,-0.027,0.879,-0.434,0.759,0.074,0.922,0.347,0
-0.879,-0.346,0.165,0.947,-0.426,0.751,0.221,0.902,0.361,0
-0.88,-0.253,0.769,0.773,-0.261,0.343,-0.055,0.935,0.396,0
-0.958,-0.242,0.549,0.694,-0.155,0.077,0.137,0.935,0.36,0
-0.897,-0.229,0.298,0.836,-0.292,0.484,0.166,0.93,0.365,0
-0.809,-0.172,0.185,1.036,-0.278,0.863,0.101,0.888,0.388,0
-0.82,-0.173,0.148,0.943,-0.158,0.55,0.121,0.893,0.423,0
-0.95,-0.008,0.342,0.708,-0.038,0.154,0.059,0.912,0.424,0
-0.824,-0.086,0.479,0.568,0.103,0.334,0.101,0.935,0.399,0
-1.267,-0.074,0.352,1.087,0.109,1.061,0.084,0.905,0.378,0
-1.039,-0.02,0.351,1.07,0.025,0.707,0.113,0.875,0.397,0
-0.991,0.015,-0.014,0.825,-0.012,-0.007,0.081,0.895,0.405,0
-1.042,0.123,0.037,0.709,0.015,-0.422,0.12,0.875,0.417,0
-1.066,-0.082,-0.228,0.943,-0.006,0.152,0.143,0.85,0.416,0
-1.098,-0.018,0.15,1.291,0.065,0.691,0.065,0.817,0.475,0
-1.079,-0.046,0.108,1.091,-0.171,0.099,0.139,0.814,0.487,0
-0.95,-0.02,-0.075,0.697,-0.044,-0.1,0.156,0.809,0.573,0
-0.927,0.045,-0.269,0.81,0.121,-0.401,0.098,0.841,0.544,0
-0.708,0.159,-0.156,1.101,0.013,0.205,0.131,0.831,0.561,0
-1.162,-0.203,0.219,1.239,0.083,0.832,0.135,0.836,0.57,0
-1.178,0.004,0.091,0.841,0.231,0.189,0.203,0.901,0.622,0
-1.083,0.112,-0.06,0.62,0.331,0.012,0.151,0.769,0.648,0
-0.705,0.183,0.017,0.706,0.461,0.132,0.049,0.639,0.604,0
-0.906,0.099,0.685,1.206,0.575,0.829,0.212,0.61,0.633,0
-1.092,0.131,0.539,1.109,0.477,0.537,0.106,0.641,0.712,0
-1.005,0.125,-0.002,0.862,0.358,0.06,0.227,0.536,0.773,0
-0.75,-0.01,-0.307,0.628,0.414,-0.032,0.117,0.517,0.721,0
-0.647,-0.054,0.249,0.71,0.491,0.271,0.223,0.573,0.84,0
-1.11,0.095,0.54,1.207,0.191,0.599,0.246,0.553,0.861,0
-1.046,0.069,0.433,1.153,0.157,0.01,0.126,0.482,0.927,0
-0.849,0.094,0.357,0.78,0.4,-0.33,0.181,0.436,0.945,0
-0.938,0.142,0.199,1.342,0.313,0.536,0.218,0.443,1.004,0
-0.905,0.156,0.164,0.579,0.317,0.81,0.114,0.242,0.918,0
