sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:45:05_682 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1279119047,-0.393160,0.427138,0.503316,0.640041,0.167451,1.050406,0.372642
2,1279152381,-0.392775,0.427944,0.507557,0.636379,-0.047223,0.471951,0.512023
3,1279185715,-0.393296,0.427012,0.510561,0.634277,-0.070693,0.182011,0.411942
4,1279219049,-0.395761,0.423933,0.511328,0.634190,-0.277555,0.023844,0.116201
5,1279252383,-0.398182,0.421108,0.511743,0.634223,-0.110791,-0.034666,-0.434058
6,1279285717,-0.399170,0.420433,0.512872,0.633137,-0.150310,-0.384722,-0.553788
7,1279319051,-0.399744,0.420353,0.514071,0.631855,-0.149407,-0.160452,-0.245493
8,1279352385,-0.400052,0.421011,0.516390,0.629324,0.136579,0.073889,-0.368075
9,1279385719,-0.402402,0.420396,0.518995,0.626087,0.279868,0.502684,-0.311193
10,1279419053,-0.405812,0.418169,0.522616,0.622353,0.256794,0.345944,0.359557
11,1279452387,-0.409490,0.414107,0.527974,0.618124,0.259475,0.450910,0.824706
12,1279485721,-0.411210,0.409191,0.536136,0.613211,0.207985,0.374110,1.127524
13,1279519055,-0.411950,0.402030,0.545692,0.609007,0.121250,0.477356,1.178221
14,1279552389,-0.411677,0.392597,0.555917,0.606091,0.081927,0.403125,0.970274
15,1279585723,-0.411378,0.380968,0.565555,0.604797,0.333965,0.493379,0.752432
16,1279619057,-0.412471,0.366402,0.572632,0.606392,0.158998,0.765248,1.319531
17,1279652391,-0.417421,0.346523,0.575876,0.611596,-0.205487,1.012789,1.237416
18,1279685725,-0.423619,0.323807,0.577507,0.618209,-0.215074,0.271782,0.346532
19,1279719059,-0.427886,0.302661,0.580358,0.623294,-0.469710,-0.330956,-0.384330
20,1279752393,-0.431746,0.283134,0.582539,0.627757,-0.479327,-1.257212,-0.933605
21,1279785727,-0.438984,0.264644,0.579833,0.633286,-0.070476,-1.764166,-2.460056
22,1279819061,-0.442867,0.254765,0.574887,0.639116,-0.006014,-2.190609,-3.267884
23,1279852395,-0.446108,0.254913,0.562762,0.647539,-0.448720,-2.822569,-1.229246
24,1279885729,-0.451032,0.266556,0.546749,0.653134,-0.059938,-0.076885,-3.317972
25,1279919063,-0.452983,0.288022,0.533110,0.653945,0.049739,-0.051169,-2.405305
26,1279952397,-0.455915,0.311383,0.519180,0.652407,-0.212867,-1.242156,-0.504245
27,1279985731,-0.461897,0.327786,0.501235,0.654196,-0.613921,-0.899744,0.830449
28,1280019065,-0.465846,0.336826,0.485551,0.658617,-0.404312,1.595267,1.648561
29,1280052399,-0.465223,0.344455,0.479324,0.659673,-0.138262,2.927550,1.876630
30,1280085733,-0.462438,0.349896,0.482066,0.656762,0.002891,2.212136,1.888925
31,1280119067,-0.459993,0.350499,0.489709,0.652489,-0.028824,1.314499,1.548078
32,1280152401,-0.460052,0.345350,0.499708,0.647594,-0.298571,1.456287,1.808945
33,1280185735,-0.463323,0.335185,0.510613,0.642074,-0.368001,1.735426,0.829219
34,1280219069,-0.467141,0.323554,0.523984,0.634455,-0.174332,1.395420,0.206255
