sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:46:26_961 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1360387339,-0.327937,0.366947,-0.354320,-0.795171,0.022496,0.338102,-0.316438
2,1360420673,-0.325872,0.367129,-0.354881,-0.795685,0.117322,0.270436,-0.569168
3,1360454007,-0.324591,0.368460,-0.355866,-0.795153,0.187181,0.350261,-0.525776
4,1360487341,-0.324391,0.370474,-0.357012,-0.793784,-0.040396,0.245148,-0.563429
5,1360520675,-0.324756,0.374351,-0.358538,-0.791124,-0.010680,0.108443,-0.427956
6,1360554009,-0.325878,0.378804,-0.359790,-0.787968,0.008078,0.188440,-0.122208
7,1360587343,-0.327795,0.382653,-0.360419,-0.785021,-0.095390,-0.000145,-0.016257
8,1360620677,-0.329662,0.387268,-0.361016,-0.781694,-0.125719,-0.115629,0.218334
9,1360654011,-0.330439,0.392855,-0.362171,-0.778035,-0.149529,-0.078562,0.627350
10,1360687345,-0.331109,0.396062,-0.362898,-0.775783,-0.251967,-0.244303,0.726905
11,1360720679,-0.331295,0.397681,-0.363858,-0.774424,-0.478825,-0.220802,0.547757
12,1360754013,-0.331240,0.398641,-0.365909,-0.772986,-0.554330,-0.065514,0.551881
13,1360787347,-0.332145,0.397445,-0.368552,-0.771957,-0.730240,-0.016528,0.168592
14,1360820681,-0.334211,0.395815,-0.372496,-0.770008,-0.956362,0.013855,-0.159016
15,1360854015,-0.338084,0.393711,-0.377861,-0.766775,-1.101492,0.036899,-0.111441
16,1360887349,-0.344909,0.389509,-0.384180,-0.762730,-1.387952,-0.034431,-0.020362
17,1360920683,-0.354169,0.384117,-0.391575,-0.757442,-1.041522,-0.126984,0.102146
18,1360954017,-0.363940,0.379666,-0.401005,-0.750085,-0.738883,-0.259104,1.052555
19,1360987351,-0.372045,0.374690,-0.412106,-0.742557,-0.240468,-0.217504,1.538460
20,1361020685,-0.376711,0.368852,-0.424759,-0.735968,0.013158,-0.759977,1.137034
21,1361054019,-0.375118,0.367801,-0.440665,-0.727911,-0.178143,-1.136592,0.865478
22,1361087353,-0.369554,0.368177,-0.457249,-0.720299,-0.183292,-1.064286,0.820920
23,1361120687,-0.362450,0.367422,-0.472879,-0.714177,-0.576922,-0.894379,0.211798
24,1361154021,-0.356966,0.364296,-0.486740,-0.709211,-0.542439,-0.594579,0.226191
25,1361187355,-0.355065,0.357648,-0.498126,-0.705634,-0.370968,-0.356317,-0.452443
26,1361220689,-0.354330,0.353127,-0.509116,-0.700417,0.316773,-0.168722,-1.059433
27,1361254023,-0.351698,0.353674,-0.521199,-0.692537,0.884248,1.441011,0.351419
28,1361287357,-0.354354,0.347040,-0.528290,-0.689157,0.946496,0.688204,-0.347360
29,1361320691,-0.357748,0.339136,-0.531985,-0.688496,0.878196,0.358830,-1.194329
30,1361354025,-0.355347,0.340144,-0.536713,-0.685567,1.185075,0.470133,-1.679930
31,1361387359,-0.346155,0.351570,-0.543111,-0.679439,1.556561,0.872213,-1.430190
32,1361420693,-0.335750,0.365318,-0.546498,-0.674674,1.895152,1.380621,-1.105791
33,1361454027,-0.326268,0.377922,-0.546562,-0.672328,1.044783,1.957974,-1.263764
34,1361487361,-0.321731,0.385720,-0.542306,-0.673532,0.741878,1.757894,-1.088575
35,1361520695,-0.319373,0.391673,-0.534040,-0.677810,1.027302,0.694607,-1.718273
36,1361554029,-0.312763,0.404877,-0.524495,-0.680581,0.502477,0.725027,-0.401543
37,1361587363,-0.308047,0.416254,-0.512545,-0.684959,-0.720761,1.357473,0.466120
38,1361620697,-0.308396,0.418799,-0.499931,-0.692532,-0.441031,0.663983,0.235458
39,1361654031,-0.308795,0.420301,-0.490712,-0.698016,-0.237926,-0.541242,0.205066
40,1361687365,-0.305770,0.427222,-0.485687,-0.698659,0.169001,-0.428954,-0.086679
41,1361720699,-0.299731,0.439549,-0.483222,-0.695332,-0.422532,-0.317495,0.272697
42,1361754033,-0.295303,0.449208,-0.479239,-0.693808,-1.255588,-0.183272,0.862514
43,1361787367,-0.296594,0.450165,-0.473126,-0.696827,-1.865503,0.043268,0.876959
44,1361820701,-0.305490,0.442005,-0.466289,-0.702790,-1.765559,-0.234057,0.721980
45,1361854035,-0.319272,0.427795,-0.459625,-0.709812,-0.773521,-0.750674,0.621078
46,1361887369,-0.332029,0.414763,-0.454190,-0.715172,-0.502119,-0.955945,0.212015
47,1361920703,-0.340230,0.407661,-0.451522,-0.717088,-0.349381,-1.014722,0.080792
48,1361954037,-0.343455,0.405616,-0.452525,-0.716078,-0.364051,-0.798223,0.687599
49,1361987371,-0.343449,0.405042,-0.456885,-0.713633,-0.196603,-0.937029,0.969831
50,1362020705,-0.340696,0.404537,-0.463509,-0.710962,-0.109608,-1.043235,0.781178
51,1362054039,-0.336445,0.403616,-0.471751,-0.708084,-0.312189,-0.877160,0.544439
52,1362087373,-0.330662,0.403293,-0.481301,-0.704555,-0.084777,-0.748915,0.115189
53,1362120707,-0.324004,0.403494,-0.490995,-0.700835,-0.297834,-0.370320,0.119225
54,1362154041,-0.319562,0.401045,-0.499657,-0.698153,-0.493716,-0.339609,-0.076052
55,1362187375,-0.317827,0.396199,-0.507020,-0.696401,-0.670185,-0.277618,-0.046299
56,1362220709,-0.318111,0.390188,-0.513291,-0.695070,0.035671,-0.013657,-0.618015
57,1362254043,-0.317597,0.387354,-0.519420,-0.692332,0.460657,0.383908,-0.456284
58,1362287377,-0.316680,0.386434,-0.524266,-0.689608,0.623932,0.739939,-0.301908
59,1362320711,-0.315071,0.386005,-0.527001,-0.688500,1.118252,0.795377,-0.658830
60,1362354045,-0.313036,0.386610,-0.526634,-0.689368,1.275385,0.762018,-0.935615
61,1362387379,-0.310487,0.388584,-0.523538,-0.691766,1.007313,0.917490,-1.203450
62,1362420713,-0.308064,0.391685,-0.518559,-0.694844,0.781048,0.683763,-1.409160
63,1362454047,-0.304937,0.397967,-0.513024,-0.696760,0.681522,0.756899,-1.241860
64,1362487381,-0.299982,0.407906,-0.507725,-0.697044,0.884247,0.699758,-0.648960
65,1362520715,-0.293340,0.420595,-0.501471,-0.696857,1.165234,0.569109,-0.477029
66,1362554049,-0.285629,0.436294,-0.493111,-0.696374,0.579425,1.511461,-0.785586
67,1362587383,-0.279681,0.451015,-0.483778,-0.695956,0.385082,1.602610,-1.135919
68,1362620717,-0.273782,0.468729,-0.476722,-0.691451,0.117667,1.267141,-1.442396
69,1362654051,-0.267759,0.490134,-0.471943,-0.682184,-0.145696,0.210957,-0.507972
70,1362687385,-0.262724,0.512464,-0.468026,-0.670328,-0.481652,-0.074694,0.166583
71,1362720719,-0.259673,0.532780,-0.464105,-0.658297,-0.930888,-0.959353,0.903188
72,1362754053,-0.258423,0.549833,-0.459306,-0.648052,-1.171299,-1.150582,1.207096
73,1362787387,-0.258586,0.564077,-0.454206,-0.639280,-1.390572,-2.026875,0.908405
74,1362820721,-0.254970,0.580998,-0.450505,-0.628099,-1.100424,-2.254949,0.458956
75,1362854055,-0.246503,0.602479,-0.449000,-0.612116,-1.577941,-1.467211,1.125291
76,1362887389,-0.240048,0.618221,-0.447947,-0.599629,-1.373744,-0.851724,1.956352
77,1362920723,-0.241035,0.619481,-0.445898,-0.599460,-1.165789,-1.035791,1.210294
78,1362954057,-0.244211,0.614562,-0.445966,-0.603176,-0.596402,-0.883060,0.308034
79,1362987391,-0.245084,0.610917,-0.450324,-0.603286,-0.413176,-0.704962,0.270758
80,1363020725,-0.245219,0.606734,-0.457509,-0.602045,-0.180927,-0.201126,0.433279
81,1363054059,-0.246957,0.600190,-0.466106,-0.601299,-0.368236,0.143112,-0.277009
