sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:46:26_970 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1360354005,0.524134,-0.611673,-0.453058,0.381947,0.256424,-0.148242,0.138590
2,1360387339,0.526047,-0.612002,-0.453013,0.378831,0.073590,0.064115,0.079605
3,1360420673,0.527195,-0.612116,-0.453847,0.376043,0.104368,0.079820,0.059955
4,1360454007,0.527878,-0.612521,-0.455053,0.372954,0.122015,-0.037982,0.149367
5,1360487341,0.528982,-0.613165,-0.455891,0.369292,0.066269,-0.130866,0.141291
6,1360520675,0.530288,-0.613530,-0.456535,0.366001,-0.036794,-0.071593,0.110886
7,1360554009,0.531372,-0.613793,-0.457231,0.363108,-0.084810,0.029972,0.141302
8,1360587343,0.532503,-0.613974,-0.457708,0.360535,-0.132284,0.005227,0.146919
9,1360620677,0.533598,-0.613877,-0.458227,0.358415,-0.073027,-0.100522,0.174287
10,1360654011,0.534498,-0.613466,-0.459017,0.356764,0.029289,-0.123083,0.151999
11,1360687345,0.535145,-0.612676,-0.460136,0.355708,0.137810,0.043169,0.050761
12,1360720679,0.535546,-0.611983,-0.461490,0.354541,0.232407,0.131008,0.089946
13,1360754013,0.536245,-0.611848,-0.462467,0.352440,0.228135,0.184975,0.129358
14,1360787347,0.537849,-0.612455,-0.462349,0.349080,0.168487,0.223359,0.145935
15,1360820681,0.539980,-0.613539,-0.461486,0.345004,0.088997,0.109467,0.133514
16,1360854015,0.542194,-0.614668,-0.460446,0.340887,-0.027969,-0.071928,0.155644
17,1360887349,0.544382,-0.615485,-0.459463,0.337233,-0.092015,-0.120937,0.111567
18,1360920683,0.546170,-0.615706,-0.458961,0.334611,-0.133688,-0.141858,0.091834
19,1360954017,0.547518,-0.615430,-0.458939,0.332943,-0.142746,-0.231984,0.181993
20,1360987351,0.548635,-0.614767,-0.459226,0.331931,-0.087318,-0.133219,0.114799
21,1361020685,0.549657,-0.613964,-0.459611,0.331194,-0.056252,0.044649,0.130728
22,1361054019,0.550767,-0.613457,-0.459874,0.329922,0.072007,0.122207,0.175022
23,1361087353,0.552268,-0.613657,-0.459480,0.327581,0.102033,0.104981,0.167833
24,1361120687,0.554320,-0.614493,-0.458288,0.324202,0.042569,0.186107,0.038205
25,1361154021,0.555880,-0.615520,-0.457280,0.320988,-0.034965,0.095318,0.079680
26,1361187355,0.557240,-0.616445,-0.456406,0.318085,-0.108059,-0.050957,0.121749
27,1361220689,0.558367,-0.616903,-0.455829,0.316042,-0.127028,-0.110431,0.194185
28,1361254023,0.559837,-0.616847,-0.455002,0.314739,-0.048604,-0.129443,0.128728
29,1361287357,0.561523,-0.616748,-0.453860,0.313578,-0.025012,-0.011044,0.180411
30,1361320691,0.564245,-0.617191,-0.451362,0.311417,-0.109042,0.169776,0.186205
31,1361354025,0.567499,-0.618787,-0.447583,0.307772,-0.094611,0.000720,0.244661
32,1361387359,0.569998,-0.620500,-0.444373,0.304337,-0.440442,-0.457334,0.132092
33,1361420693,0.570709,-0.620487,-0.443808,0.303854,-0.546391,-0.386317,0.090349
34,1361454027,0.570813,-0.619630,-0.444531,0.304352,-0.222848,-0.284898,0.212666
35,1361487361,0.571577,-0.618856,-0.444497,0.304541,-0.437990,-0.115014,0.220583
36,1361520695,0.573281,-0.617962,-0.443310,0.304884,-0.790004,0.111568,0.177965
37,1361554029,0.575406,-0.616185,-0.441326,0.307346,-0.716244,-0.267343,-0.019318
38,1361587363,0.578631,-0.613915,-0.437286,0.311579,-0.676083,-0.012845,-0.289948
39,1361620697,0.581010,-0.611334,-0.434101,0.316640,-0.010168,0.268261,0.092215
40,1361654031,0.583186,-0.609735,-0.430992,0.319950,0.564584,0.678242,-0.017543
41,1361687365,0.585781,-0.609711,-0.426513,0.321256,0.485722,0.664172,0.131623
42,1361720699,0.589683,-0.610959,-0.420015,0.320307,0.338751,0.564095,0.151879
43,1361754033,0.593498,-0.612627,-0.413452,0.318609,0.029147,0.139233,0.032724
44,1361787367,0.597236,-0.614044,-0.406948,0.317267,-0.161552,-0.275325,0.110106
45,1361820701,0.600965,-0.614574,-0.400594,0.317285,0.027514,-0.122421,0.055742
46,1361854035,0.603803,-0.614363,-0.395484,0.318714,0.147175,-0.257086,0.014393
47,1361887369,0.606761,-0.614879,-0.389533,0.319429,-0.055421,-0.029856,0.132838
48,1361920703,0.609950,-0.614304,-0.383421,0.321848,0.158396,-0.084901,0.091426
49,1361954037,0.612331,-0.613397,-0.378726,0.324602,0.389324,-0.138997,0.096848
50,1361987371,0.614926,-0.613539,-0.373300,0.325713,0.154030,-0.170670,0.080245
51,1362020705,0.616806,-0.613029,-0.368742,0.328301,-0.057975,-0.070547,0.182235
52,1362054039,0.617961,-0.612203,-0.365676,0.331088,0.087690,-0.135612,0.124980
53,1362087373,0.619241,-0.612038,-0.362057,0.332972,-0.168011,-0.167317,0.006090
54,1362120707,0.619708,-0.611004,-0.359534,0.336715,-0.123504,-0.129206,0.161695
55,1362154041,0.619462,-0.609752,-0.358255,0.340778,-0.004012,-0.169203,0.106823
56,1362187375,0.620215,-0.609209,-0.355155,0.343612,-0.219223,0.128007,-0.181738
57,1362220709,0.619938,-0.606974,-0.353239,0.349982,0.188081,0.063850,0.243454
58,1362254043,0.619187,-0.604987,-0.352379,0.355576,0.639086,0.119656,0.321140
59,1362287377,0.620131,-0.605060,-0.348870,0.357262,-0.074728,0.012302,0.072145
60,1362320711,0.620661,-0.603572,-0.346199,0.361432,-0.146561,-0.023282,0.162434
61,1362354045,0.620950,-0.601938,-0.344040,0.365698,0.228050,0.024339,0.033272
62,1362387379,0.621652,-0.601081,-0.340812,0.368923,0.201322,0.081934,0.038437
63,1362420713,0.622351,-0.599892,-0.337345,0.372844,-0.109901,-0.048904,0.232163
64,1362454047,0.622801,-0.598063,-0.334772,0.377322,0.211313,0.039390,0.117433
65,1362487381,0.622885,-0.596407,-0.332997,0.381355,0.367825,0.042128,0.159526
66,1362520715,0.622787,-0.595509,-0.331063,0.384590,0.204952,0.038957,0.161966
67,1362554049,0.623070,-0.594303,-0.328962,0.387786,-0.073486,-0.131144,0.194754
68,1362587383,0.623091,-0.592836,-0.327493,0.391226,0.318669,0.089601,0.056145
69,1362620717,0.623224,-0.592739,-0.325588,0.392747,0.052544,0.142745,0.038467
70,1362654051,0.623598,-0.592701,-0.323417,0.394003,-0.046027,0.267160,0.107934
71,1362687385,0.623427,-0.591919,-0.321944,0.396647,-0.073743,0.266804,0.094949
72,1362720719,0.623246,-0.590826,-0.320843,0.399443,0.156404,0.236900,0.195255
73,1362754053,0.623462,-0.589813,-0.319465,0.401701,0.299780,0.256010,0.108437
74,1362787387,0.624331,-0.588527,-0.317634,0.403685,0.408013,0.142173,0.110409
75,1362820721,0.624869,-0.587869,-0.315762,0.405276,0.343317,-0.075255,0.367794
76,1362854055,0.625479,-0.587292,-0.313709,0.406764,0.256274,-0.023092,0.131044
