sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:42:06_540 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1099982131,-0.711108,0.643560,0.026133,0.281909,-0.078942,2.067587,1.656956
2,1100015465,-0.715894,0.639937,0.032784,0.277312,1.685041,-0.169612,0.852328
3,1100048799,-0.722710,0.630104,0.026156,0.282800,-0.032757,-0.031432,-0.309710
4,1100082133,-0.729941,0.620990,0.021027,0.284809,-0.659168,0.022362,-0.436654
5,1100115467,-0.736362,0.614600,0.021047,0.282126,-0.616342,-0.027551,-0.441935
6,1100148801,-0.741497,0.611911,0.026022,0.273989,-0.617313,0.016707,-0.003019
7,1100182135,-0.745062,0.612182,0.034775,0.262501,-0.391899,-0.584638,-0.248699
8,1100215469,-0.746977,0.613986,0.040894,0.251743,-0.041249,-1.243231,-0.258706
9,1100248803,-0.747978,0.615692,0.039590,0.244716,0.249998,-1.149629,-0.278007
10,1100282137,-0.747992,0.617542,0.032033,0.241093,0.257474,-0.870627,-0.267014
11,1100315471,-0.746890,0.620188,0.022353,0.238795,0.300377,-0.577846,-0.241115
12,1100348805,-0.744747,0.623926,0.014009,0.236373,0.282790,-0.264778,0.066074
13,1100382139,-0.741783,0.628830,0.009331,0.232903,0.406824,-0.207451,0.309645
14,1100415473,-0.738404,0.634546,0.009213,0.228097,0.487086,-0.058219,0.529738
15,1100448807,-0.734829,0.640650,0.012389,0.222355,0.641572,0.012137,0.715823
16,1100482141,-0.730826,0.646498,0.015895,0.218361,0.769646,0.417128,0.678816
17,1100515475,-0.726065,0.652092,0.017481,0.217487,0.856141,1.441679,0.780876
18,1100548809,-0.721316,0.656045,0.015133,0.221541,0.898981,2.083925,0.835975
19,1100582143,-0.718424,0.656337,0.009591,0.230214,0.659311,2.585104,0.624800
20,1100615477,-0.719360,0.652650,0.005795,0.237773,0.146311,1.776325,-0.098720
21,1100648811,-0.723080,0.647559,0.007114,0.240361,-0.138895,1.100922,0.001782
22,1100682145,-0.728939,0.642087,0.014335,0.236997,-0.007641,0.551481,0.358755
23,1100715479,-0.735926,0.636300,0.024971,0.230027,0.038918,0.127423,0.366023
24,1100748813,-0.742399,0.630768,0.035543,0.222965,0.236740,-0.250013,0.439919
25,1100782147,-0.747515,0.625825,0.043443,0.218353,0.363497,-0.385637,0.284053
26,1100815481,-0.751064,0.621700,0.047507,0.217107,0.438946,-0.642121,-0.024293
27,1100848815,-0.752931,0.618355,0.046637,0.220358,0.293831,-0.950618,-0.037574
28,1100882149,-0.753596,0.615342,0.041282,0.227474,0.195539,-1.034734,0.098050
29,1100915483,-0.753734,0.612467,0.034755,0.235716,-0.152954,-0.816869,0.048017
30,1100948817,-0.754008,0.609709,0.030791,0.242444,-0.599726,-0.627013,-0.075112
