sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:40:36_455 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1009913663,-0.193525,0.527943,-0.480419,-0.673091,-0.467896,-0.133267,0.285405
2,1009946997,-0.193747,0.527166,-0.480743,-0.673405,-0.361638,-0.314840,0.190310
3,1009980331,-0.195153,0.525222,-0.480222,-0.674888,-0.215501,-0.549439,0.091044
4,1010013665,-0.197212,0.522983,-0.478416,-0.677307,-0.133517,-0.251071,-0.020378
5,1010046999,-0.198702,0.521332,-0.476394,-0.679565,0.197706,0.095952,-0.150944
6,1010080333,-0.198129,0.521786,-0.474601,-0.680639,-0.060596,0.703827,-0.013359
7,1010113667,-0.197675,0.521009,-0.472624,-0.682738,-0.190608,1.093472,0.210962
8,1010147001,-0.193046,0.521007,-0.468946,-0.686589,1.882824,1.236365,-0.383783
9,1010180335,-0.183354,0.524224,-0.460876,-0.692238,2.032970,1.358410,-0.869652
10,1010213669,-0.174931,0.527380,-0.447214,-0.700927,1.371893,1.020100,-1.673474
11,1010247003,-0.169388,0.531114,-0.431380,-0.709342,0.273581,-0.079507,-1.458029
12,1010280337,-0.164510,0.539314,-0.416734,-0.713050,-0.451339,-0.628107,-0.642593
13,1010313671,-0.160203,0.548859,-0.404966,-0.713527,-0.679589,-0.873618,0.236739
14,1010347005,-0.156851,0.557712,-0.396134,-0.712365,-0.924812,-1.179285,0.768786
15,1010380339,-0.154117,0.564759,-0.390034,-0.710773,-0.812953,-0.944717,0.939829
16,1010413673,-0.152066,0.569245,-0.386224,-0.709716,-0.855189,-0.797414,0.781908
17,1010447007,-0.150676,0.571676,-0.384152,-0.709184,-0.742277,-0.580997,0.565003
18,1010480341,-0.150300,0.571946,-0.382785,-0.709785,-0.466168,-0.501523,0.241130
19,1010513675,-0.151118,0.570577,-0.381645,-0.711325,-0.498132,-0.497794,0.026053
20,1010547009,-0.152701,0.569017,-0.381323,-0.712408,-0.402780,-0.540759,-0.067212
21,1010580343,-0.154474,0.567741,-0.382278,-0.712532,-0.291256,-0.514507,0.282108
22,1010613677,-0.156202,0.565384,-0.384666,-0.712744,-0.484311,-0.558513,0.672758
23,1010647011,-0.158605,0.560056,-0.388460,-0.714361,-0.478067,-0.608354,0.696312
24,1010680345,-0.159463,0.554567,-0.395439,-0.714623,-0.838655,-0.609285,0.790854
25,1010713679,-0.159385,0.548846,-0.406215,-0.713010,-1.079943,-0.330196,0.881362
26,1010747013,-0.160516,0.539180,-0.419536,-0.712418,-0.930112,-0.224921,0.429973
27,1010780347,-0.162435,0.528407,-0.434983,-0.710789,-0.895529,-0.033497,-0.162449
28,1010813681,-0.166014,0.516854,-0.452175,-0.707721,-2.146367,0.105282,0.130402
29,1010847015,-0.173433,0.501093,-0.469596,-0.705929,-0.922595,0.130176,-0.017358
30,1010880349,-0.182801,0.484875,-0.484780,-0.704627,0.215243,-0.679941,-0.798306
31,1010913683,-0.190937,0.474768,-0.497443,-0.700513,-0.049197,-0.143508,-0.761931
32,1010947017,-0.198693,0.469067,-0.508196,-0.694452,0.560467,0.036792,-1.170924
33,1010980351,-0.206408,0.467083,-0.516652,-0.687263,0.990923,0.288892,-1.544105
34,1011013685,-0.214094,0.468188,-0.522402,-0.679772,1.486189,0.816464,-1.412262
35,1011047019,-0.220240,0.472197,-0.525581,-0.672546,1.985063,1.497345,-1.073155
36,1011080353,-0.222382,0.480823,-0.527444,-0.664220,1.144343,1.932447,-1.246726
37,1011113687,-0.224187,0.488519,-0.527002,-0.658322,0.964771,2.881635,-0.019327
38,1011147021,-0.229877,0.488700,-0.521286,-0.660773,0.631746,1.967643,-0.719467
39,1011180355,-0.235781,0.490926,-0.512664,-0.663781,-0.355310,1.903213,-0.444330
40,1011213689,-0.243309,0.491764,-0.503130,-0.667727,-0.362096,1.912001,1.228711
41,1011247023,-0.253861,0.486710,-0.494015,-0.674276,-0.337109,-0.177077,1.794724
42,1011280357,-0.265023,0.477226,-0.484637,-0.683502,0.055441,-0.775890,1.120743
43,1011313691,-0.274041,0.466607,-0.476853,-0.692691,-0.097476,-1.754664,0.381403
44,1011347025,-0.277972,0.461880,-0.473545,-0.696551,-1.033483,-1.909475,0.083858
45,1011380359,-0.278105,0.461847,-0.476438,-0.694545,-1.415760,-1.136042,0.808656
46,1011413693,-0.278698,0.458872,-0.483147,-0.691638,-0.953612,-0.851168,0.521216
47,1011447027,-0.280341,0.453717,-0.491624,-0.688393,-0.731599,-0.849921,-0.122684
48,1011480361,-0.283415,0.447709,-0.500865,-0.684395,-1.186172,-0.161395,0.356348
49,1011513695,-0.291063,0.435250,-0.509635,-0.682746,-1.377027,0.265713,1.462790
50,1011547029,-0.303679,0.414356,-0.518205,-0.683800,-1.474794,0.083622,1.041287
51,1011580363,-0.315480,0.391638,-0.530722,-0.682244,-1.924009,-1.021469,0.525046
52,1011613697,-0.318287,0.376745,-0.549250,-0.674619,-0.910419,-0.621010,0.239757
53,1011647031,-0.314952,0.366476,-0.571180,-0.663539,-0.472695,-0.254945,0.762617
54,1011680365,-0.312230,0.354320,-0.593365,-0.651857,-0.521988,0.284862,-0.163833
55,1011713699,-0.314144,0.339645,-0.611086,-0.642307,0.870316,-0.153253,-0.627487
56,1011747033,-0.324869,0.322395,-0.619483,-0.637803,0.946638,-1.081103,-1.823958
57,1011780367,-0.333594,0.314962,-0.625287,-0.631316,0.195628,-0.682223,-2.479125
58,1011813701,-0.340619,0.315532,-0.630746,-0.621779,0.805783,0.157687,-0.968995
59,1011847035,-0.348788,0.316283,-0.632739,-0.614804,1.681460,0.056480,-1.012366
60,1011880369,-0.348262,0.324608,-0.637812,-0.605449,1.338090,0.299194,-1.285249
61,1011913703,-0.338152,0.341399,-0.647181,-0.591850,1.466414,1.816000,-0.846984
62,1011947037,-0.330710,0.353468,-0.651766,-0.583886,2.894472,1.723286,-0.536841
63,1011980371,-0.328283,0.362984,-0.648898,-0.582610,1.689143,1.592699,-1.688023
64,1012013705,-0.330201,0.371154,-0.640464,-0.585703,0.531254,0.708013,-1.802638
65,1012047039,-0.329206,0.386348,-0.631915,-0.585724,0.545632,0.779863,-1.709849
66,1012080373,-0.328158,0.406324,-0.622628,-0.582733,0.153972,0.391965,-0.470697
67,1012113707,-0.333033,0.424014,-0.608247,-0.582553,1.167219,-0.567741,-0.288074
68,1012147041,-0.345418,0.433155,-0.587582,-0.589780,-0.662038,0.733116,2.522071
69,1012180375,-0.361408,0.430148,-0.568289,-0.601194,-1.525032,0.408066,3.007488
70,1012213709,-0.377446,0.415936,-0.555867,-0.612841,-2.455821,-0.200045,3.662928
71,1012247043,-0.389202,0.395063,-0.553549,-0.621337,-3.415743,-0.231316,3.107121
72,1012280377,-0.394361,0.373862,-0.561193,-0.624339,-3.079991,-0.083848,2.061231
73,1012313711,-0.393330,0.355281,-0.575140,-0.623146,-1.517949,-0.907094,1.302758
74,1012347045,-0.389087,0.338664,-0.590864,-0.620345,-0.714327,-1.028565,1.043465
75,1012380379,-0.386144,0.319535,-0.603821,-0.619855,0.350837,-1.536784,0.446736
76,1012413713,-0.385496,0.300035,-0.611448,-0.622522,0.106599,-2.360495,-0.828151
77,1012447047,-0.385666,0.286187,-0.616519,-0.623934,-0.808338,-1.466866,-1.787256
78,1012480381,-0.389048,0.277833,-0.619661,-0.622495,-0.061245,-0.733556,-2.365065
79,1012513715,-0.396716,0.274237,-0.619849,-0.619054,1.327009,-0.142778,-2.910540
80,1012547049,-0.404505,0.277528,-0.618110,-0.614267,2.286612,1.641764,-2.574633
81,1012580383,-0.412497,0.283923,-0.612740,-0.611403,2.738648,1.761573,-2.992350
82,1012613717,-0.415593,0.296619,-0.606030,-0.609965,2.351012,2.026975,-2.933930
83,1012647051,-0.412675,0.316635,-0.599471,-0.608363,1.936711,2.467896,-2.552975
84,1012680385,-0.409139,0.338330,-0.591118,-0.607246,1.499295,2.648167,-1.824977
85,1012713719,-0.406513,0.357596,-0.582183,-0.606601,0.883425,3.828304,-1.129292
86,1012747053,-0.405627,0.372341,-0.576266,-0.603968,-0.148522,3.170119,-0.045394
87,1012780387,-0.409051,0.381680,-0.573401,-0.598531,-0.319771,2.856111,-0.129040
88,1012813721,-0.415515,0.387774,-0.575407,-0.588145,-1.249986,2.765089,-0.048220
89,1012847055,-0.427149,0.389488,-0.581084,-0.572900,-1.686367,2.014694,0.201057
90,1012880389,-0.444216,0.387344,-0.588857,-0.553096,-1.189820,1.820829,0.524537
91,1012913723,-0.466915,0.379670,-0.598056,-0.529340,-1.277362,0.796740,0.823649
92,1012947057,-0.488698,0.371171,-0.612008,-0.498882,-0.927665,-0.398851,0.935664
93,1012980391,-0.507368,0.360516,-0.629723,-0.464849,0.423037,-0.346829,2.359239
