sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:40:36_466 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1009913663,-0.440057,0.259861,0.494371,0.703150,0.229813,-0.122134,0.070881
2,1009946997,-0.437761,0.260064,0.495717,0.703560,0.304003,0.030273,0.109322
3,1009980331,-0.434120,0.261238,0.495890,0.705258,0.204182,-0.460650,0.372756
4,1010013665,-0.431836,0.261359,0.491113,0.709942,0.278740,-0.626414,-0.186985
5,1010046999,-0.430455,0.263225,0.484119,0.714878,0.330624,0.261834,-0.547338
6,1010080333,-0.431764,0.266021,0.477492,0.717506,0.596231,1.314999,-1.391631
7,1010113667,-0.435880,0.271047,0.476769,0.713606,0.745135,1.848604,-0.529089
8,1010147001,-0.439497,0.279476,0.485219,0.702353,1.167503,2.175855,0.749090
9,1010180335,-0.445253,0.284624,0.496734,0.688473,1.223379,2.280171,0.932028
10,1010213669,-0.449660,0.287461,0.514235,0.671368,1.026416,1.472322,2.011088
11,1010247003,-0.448223,0.289681,0.538210,0.652313,0.616128,0.781985,1.688830
12,1010280337,-0.442708,0.288488,0.564216,0.634386,-0.652614,0.084680,2.130910
13,1010313671,-0.440335,0.278467,0.583356,0.623103,-0.507611,-1.038630,1.594257
14,1010347005,-0.439244,0.264006,0.596373,0.617823,-1.174499,-1.162885,0.651167
15,1010380339,-0.435769,0.249874,0.607462,0.615352,-0.867632,-1.115819,-0.024018
16,1010413673,-0.429804,0.238248,0.617460,0.614208,-0.368501,-1.504855,-0.164347
17,1010447007,-0.424015,0.227720,0.625280,0.614313,-0.738374,-0.857075,-0.532935
18,1010480341,-0.419826,0.217068,0.631689,0.614490,-0.185901,-1.167321,-0.754648
19,1010513675,-0.416080,0.207869,0.637581,0.614134,-0.334206,-0.961604,-0.918389
20,1010547009,-0.410454,0.201086,0.645360,0.612048,-0.628852,-1.020228,-0.641000
21,1010580343,-0.403488,0.196647,0.654023,0.608918,-0.553618,-1.646617,-0.960200
22,1010613677,-0.397608,0.195531,0.659895,0.606807,-1.335514,-1.579813,-0.659795
23,1010647011,-0.392224,0.203907,0.655152,0.612666,-0.624522,-2.314944,-0.893263
24,1010680345,-0.387753,0.217472,0.638316,0.628416,0.128467,-2.803971,-2.451367
25,1010713679,-0.381895,0.233781,0.616477,0.647657,-0.098378,-1.989779,-1.727831
26,1010747013,-0.375368,0.254177,0.593431,0.665082,0.446181,-0.103804,-1.935104
27,1010780347,-0.366400,0.279570,0.572797,0.677861,1.064493,-0.482399,-1.905494
28,1010813681,-0.357314,0.305485,0.554689,0.686533,0.386827,0.038484,-0.510638
29,1010847015,-0.350039,0.330108,0.539825,0.690718,-0.326082,1.200762,0.979446
30,1010880349,-0.344298,0.352001,0.528690,0.691406,-0.784604,1.315928,1.806183
31,1010913683,-0.338487,0.368404,0.520759,0.691748,-0.132137,1.232635,1.576888
32,1010947017,-0.330174,0.382678,0.516040,0.691553,0.436976,1.665032,1.545930
