sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:40:36_464 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1009913663,0.567908,-0.599310,-0.497869,0.265405,-0.050505,0.039079,0.129314
2,1009946997,0.568401,-0.599959,-0.496925,0.264652,-0.071276,0.094968,0.146112
3,1009980331,0.568918,-0.600596,-0.495916,0.263989,-0.092904,0.079868,0.158134
4,1010013665,0.569406,-0.601099,-0.495025,0.263464,-0.100532,0.055383,0.152200
5,1010046999,0.569862,-0.601451,-0.494246,0.263137,-0.015536,0.002045,0.134963
6,1010080333,0.570255,-0.601689,-0.493585,0.262982,0.018681,-0.077034,0.114466
7,1010113667,0.570450,-0.601697,-0.493283,0.263105,0.033311,-0.089813,0.134233
8,1010147001,0.570613,-0.601539,-0.493131,0.263400,0.003756,-0.051704,0.162246
9,1010180335,0.570614,-0.601187,-0.493251,0.263976,0.075958,-0.043513,0.160760
10,1010213669,0.570516,-0.600781,-0.493526,0.264597,0.086567,-0.035843,0.104355
11,1010247003,0.570363,-0.600457,-0.493794,0.265161,0.063548,-0.005193,0.142570
12,1010280337,0.570295,-0.600207,-0.493950,0.265583,-0.025278,0.070738,0.161236
13,1010313671,0.570289,-0.600082,-0.493962,0.265857,-0.077843,0.094590,0.141989
14,1010347005,0.570385,-0.600169,-0.493692,0.265957,-0.081042,0.123596,0.113729
15,1010380339,0.570578,-0.600520,-0.493156,0.265743,-0.049854,0.085531,0.146001
16,1010413673,0.570986,-0.601201,-0.492237,0.265031,-0.108439,0.053972,0.151567
17,1010447007,0.571501,-0.602176,-0.491040,0.263925,-0.081733,0.019539,0.127386
18,1010480341,0.572141,-0.603260,-0.489695,0.262559,-0.082861,-0.010928,0.122922
19,1010513675,0.572678,-0.604276,-0.488505,0.261265,-0.097145,-0.085661,0.118515
20,1010547009,0.573136,-0.605174,-0.487500,0.260054,-0.090596,-0.026441,0.155664
21,1010580343,0.573622,-0.605960,-0.486543,0.258944,-0.086128,-0.028994,0.132816
22,1010613677,0.574141,-0.606670,-0.485603,0.257895,-0.107267,-0.032461,0.147900
23,1010647011,0.574492,-0.607205,-0.484946,0.257087,-0.148041,-0.135964,0.112020
24,1010680345,0.574487,-0.607446,-0.484884,0.256647,-0.057926,0.016015,0.146688
25,1010713679,0.574430,-0.607361,-0.485083,0.256600,-0.228796,-0.123169,0.130148
26,1010747013,0.574167,-0.606928,-0.485758,0.256936,-0.045285,0.015801,0.165606
27,1010780347,0.573983,-0.606438,-0.486336,0.257411,0.002260,-0.065576,0.121898
28,1010813681,0.573784,-0.605922,-0.486934,0.257937,0.093120,-0.034628,0.173175
29,1010847015,0.573653,-0.605441,-0.487458,0.258367,0.140450,0.007580,0.124701
30,1010880349,0.573559,-0.605092,-0.487849,0.258655,0.119978,-0.035262,0.121342
31,1010913683,0.573488,-0.604785,-0.488194,0.258880,0.024264,0.021908,0.164800
32,1010947017,0.573430,-0.604499,-0.488481,0.259135,-0.003489,0.082767,0.160289
33,1010980351,0.573420,-0.604216,-0.488653,0.259491,-0.062501,0.077455,0.143756
34,1011013685,0.573357,-0.603671,-0.488988,0.260269,-0.064572,0.052703,0.150495
35,1011047019,0.573053,-0.602840,-0.489691,0.261541,-0.102885,-0.040732,0.099889
36,1011080353,0.572324,-0.601706,-0.490944,0.263393,0.067621,0.096651,0.127895
37,1011113687,0.571548,-0.600579,-0.492195,0.265305,0.213416,0.082081,0.148399
38,1011147021,0.570630,-0.599710,-0.493411,0.266985,0.276727,0.100854,0.076472
39,1011180355,0.569730,-0.599425,-0.494323,0.267857,0.233023,0.237816,0.146916
40,1011213689,0.569379,-0.599806,-0.494362,0.267681,-0.089014,0.151112,0.114602
41,1011247023,0.569113,-0.600736,-0.493887,0.267036,-0.285055,0.090556,0.125314
42,1011280357,0.569006,-0.602187,-0.492749,0.266097,-0.309151,0.300175,0.149638
43,1011313691,0.569483,-0.604261,-0.490567,0.264402,-0.169288,0.451601,0.202057
44,1011347025,0.570539,-0.606873,-0.487334,0.262110,-0.108694,0.199315,0.108454
45,1011380359,0.571624,-0.609808,-0.483749,0.259563,-0.086630,0.201808,0.134068
46,1011413693,0.572512,-0.612647,-0.480435,0.257066,-0.122255,0.111674,0.109967
47,1011447027,0.572974,-0.615096,-0.477700,0.255277,-0.070619,0.081238,0.130767
48,1011480361,0.573331,-0.617202,-0.475193,0.254068,-0.011718,0.094721,0.150269
49,1011513695,0.573664,-0.619086,-0.472808,0.253180,0.003755,0.051555,0.149631
50,1011547029,0.573864,-0.620651,-0.470766,0.252700,0.060583,0.002898,0.127444
51,1011580363,0.573809,-0.621976,-0.469121,0.252627,0.162475,-0.039037,0.081211
52,1011613697,0.573361,-0.623213,-0.467887,0.252885,0.187180,-0.035065,0.083338
53,1011647031,0.572597,-0.624523,-0.466952,0.253110,0.209889,0.048659,0.117874
54,1011680365,0.571790,-0.625899,-0.466094,0.253119,0.121689,0.021813,0.135518
55,1011713699,0.570972,-0.627080,-0.465341,0.253427,-0.071538,-0.100520,0.120785
56,1011747033,0.569881,-0.628059,-0.464981,0.254118,-0.058550,0.004689,0.131323
57,1011780367,0.568450,-0.628791,-0.465098,0.255296,-0.118191,0.082913,0.073495
58,1011813701,0.566593,-0.629500,-0.465582,0.256790,-0.001981,0.284529,0.106610
59,1011847035,0.564682,-0.630365,-0.465909,0.258281,-0.120923,0.286113,0.105813
60,1011880369,0.562793,-0.631259,-0.466126,0.259824,-0.224194,0.289279,0.129573
61,1011913703,0.561012,-0.632082,-0.466168,0.261594,-0.266747,0.174085,0.118310
62,1011947037,0.559008,-0.632573,-0.466565,0.263978,-0.268553,-0.056178,0.141627
63,1011980371,0.556626,-0.632606,-0.467536,0.267195,-0.291723,-0.106257,0.117356
64,1012013705,0.553868,-0.632271,-0.468985,0.271149,-0.113184,0.073848,0.075325
65,1012047039,0.550796,-0.632013,-0.470509,0.275337,-0.103208,0.048380,0.115246
66,1012080373,0.547607,-0.631621,-0.472096,0.279845,-0.235855,0.057633,0.113501
67,1012113707,0.544395,-0.631374,-0.473522,0.284226,-0.218878,0.162712,0.116603
68,1012147041,0.541362,-0.631500,-0.474479,0.288115,-0.268981,0.114861,0.181973
69,1012180375,0.538508,-0.631796,-0.474985,0.291956,-0.379311,0.217337,0.118278
70,1012213709,0.535916,-0.632172,-0.475057,0.295768,-0.324724,0.294539,-0.004049
71,1012247043,0.533556,-0.632794,-0.474613,0.299396,-0.282228,0.264919,0.091536
72,1012280377,0.531618,-0.633521,-0.473546,0.302973,-0.209262,0.111007,0.092299
73,1012313711,0.529930,-0.634675,-0.471881,0.306096,-0.132775,0.232324,0.176145
74,1012347045,0.528926,-0.635771,-0.469575,0.309093,-0.359192,0.075809,0.235744
75,1012380379,0.528276,-0.636058,-0.467220,0.313156,-0.611750,-0.179139,0.261086
76,1012413713,0.528000,-0.634684,-0.465035,0.319594,-0.789417,-0.337778,0.158553
77,1012447047,0.528666,-0.631249,-0.462712,0.328543,-0.694091,-0.219907,0.184674
78,1012480381,0.529637,-0.626725,-0.460255,0.338927,-0.399518,-0.508790,0.239235
79,1012513715,0.529602,-0.621238,-0.458558,0.351163,0.010516,-0.794343,0.052034
80,1012547049,0.527431,-0.615385,-0.458533,0.364514,0.811489,-0.562871,0.174702
81,1012580383,0.524275,-0.610997,-0.459471,0.375115,1.690914,0.247657,0.348766
82,1012613717,0.521753,-0.610043,-0.459924,0.379601,2.502360,1.407482,0.206076
83,1012647051,0.522540,-0.616627,-0.454660,0.374184,1.747057,0.875511,0.033761
84,1012680385,0.527070,-0.627798,-0.443943,0.361921,0.501245,0.452905,0.047112
85,1012713719,0.530955,-0.637856,-0.434105,0.350408,-1.121197,0.133414,0.024378
86,1012747053,0.532367,-0.644439,-0.428089,0.343553,-1.690319,-0.328636,0.012465
87,1012780387,0.531718,-0.647898,-0.425028,0.341850,-1.732364,-0.471717,0.125010
88,1012813721,0.530169,-0.648626,-0.423575,0.344667,-1.028088,-0.492613,0.327087
89,1012847055,0.529499,-0.648135,-0.421573,0.349047,-0.319496,-0.190376,0.328485
90,1012880389,0.530692,-0.646960,-0.418259,0.353375,0.186974,0.291504,-0.071618
91,1012913723,0.532144,-0.646313,-0.414843,0.356390,0.573777,0.367485,-0.069552
92,1012947057,0.533238,-0.646949,-0.411835,0.357088,0.813861,0.116752,-0.019259
93,1012980391,0.534537,-0.648844,-0.408378,0.355675,0.606334,-0.078791,0.117798
94,1013013725,0.536202,-0.651439,-0.404341,0.353029,0.371497,-0.130776,0.150567
95,1013047059,0.537958,-0.654311,-0.400119,0.349841,0.186057,-0.169202,0.134340
96,1013080393,0.539454,-0.657387,-0.396053,0.346381,0.070063,-0.137680,0.137984
97,1013113727,0.540727,-0.660666,-0.392117,0.342616,0.048274,-0.101744,0.158477
98,1013147061,0.541953,-0.664065,-0.388165,0.338584,-0.024854,-0.009992,0.114208
99,1013180395,0.543699,-0.667394,-0.383637,0.334372,0.158023,0.132023,0.044249
100,1013213729,0.546143,-0.671036,-0.378274,0.329171,0.350013,0.380173,0.010083
101,1013247063,0.549377,-0.675296,-0.371847,0.322327,0.124302,0.261869,0.069629
102,1013280397,0.553222,-0.679250,-0.365042,0.315144,-0.184370,-0.047057,0.121552
103,1013313731,0.557124,-0.682089,-0.359017,0.309000,-0.111978,-0.248624,0.174227
104,1013347065,0.561153,-0.684666,-0.352865,0.303038,-0.015335,-0.384073,0.102116
105,1013380399,0.564842,-0.687806,-0.346017,0.296908,-0.000779,-0.321260,0.247831
106,1013413733,0.568275,-0.691571,-0.338297,0.290436,0.221177,0.075321,0.049162
107,1013447067,0.571661,-0.697302,-0.328632,0.281033,0.521761,0.450295,-0.098822
108,1013480401,0.575452,-0.704498,-0.316862,0.268593,0.306653,0.450224,0.090181
109,1013513735,0.579240,-0.711070,-0.305214,0.256340,-0.217673,0.272958,0.195107
110,1013547069,0.582727,-0.716207,-0.295212,0.245626,-0.570508,-0.130763,0.370883
111,1013580403,0.585619,-0.719050,-0.288272,0.238586,-0.651889,-0.448226,0.451077
112,1013613737,0.587951,-0.719623,-0.284571,0.235544,-0.267696,-0.588369,0.265273
113,1013647071,0.589707,-0.719432,-0.282545,0.234174,0.144502,-0.288482,0.067801
114,1013680405,0.590922,-0.719129,-0.281417,0.233401,0.133593,-0.096838,0.116848
115,1013713739,0.591510,-0.718327,-0.281684,0.234058,0.021003,-0.143551,0.196691
116,1013747073,0.591748,-0.716954,-0.283260,0.235756,0.132462,-0.048218,0.224788
117,1013780407,0.591605,-0.715493,-0.285543,0.237791,-0.034259,-0.102803,0.406626
118,1013813741,0.591389,-0.713753,-0.288423,0.240070,-0.237355,-0.209028,0.320507
119,1013847075,0.591228,-0.711350,-0.292029,0.243219,-0.209564,-0.191173,0.070178
120,1013880409,0.591324,-0.708442,-0.295697,0.247012,-0.147867,0.032375,-0.029068
121,1013913743,0.591955,-0.704821,-0.299631,0.251082,0.374748,0.633713,-0.145621
122,1013947077,0.594376,-0.701257,-0.302095,0.252389,0.743677,0.824714,-0.042725
123,1013980411,0.599503,-0.698534,-0.301055,0.249036,0.118647,0.013473,0.258381
124,1014013745,0.605419,-0.694962,-0.299338,0.246776,-1.423709,-1.343455,0.393656
125,1014047079,0.608366,-0.688819,-0.302819,0.252438,-1.857686,-1.950446,0.526007
126,1014080413,0.607722,-0.678902,-0.313627,0.267227,-0.765616,-1.742868,0.381644
127,1014113747,0.604127,-0.667068,-0.328102,0.287063,0.045859,-1.117963,0.385763
128,1014147081,0.598361,-0.654310,-0.343772,0.309306,0.375341,-0.863228,0.399214
129,1014180415,0.591166,-0.640712,-0.359828,0.332476,0.879477,-0.353957,0.234213
130,1014213749,0.583244,-0.627502,-0.375048,0.354136,1.170928,0.085296,0.127473
131,1014247083,0.575385,-0.615594,-0.388523,0.372869,1.112218,0.122487,-0.174540
132,1014280417,0.567023,-0.605077,-0.401239,0.389075,0.923356,-0.040890,-0.248552
133,1014313751,0.556989,-0.594232,-0.415129,0.405370,0.779995,-0.045082,-0.257798
134,1014347085,0.545345,-0.583213,-0.429910,0.421479,0.815039,0.257026,-0.185184
135,1014380419,0.533302,-0.572976,-0.444454,0.435608,0.721354,0.850812,-0.057902
136,1014413753,0.521903,-0.564478,-0.457743,0.446608,0.325401,1.227009,0.002805
137,1014447087,0.511747,-0.557561,-0.469445,0.454827,-0.088456,1.565752,-0.026501
138,1014480421,0.503757,-0.552504,-0.479089,0.459834,-0.268997,1.822006,-0.120714
139,1014513755,0.499009,-0.550501,-0.485802,0.460371,-0.398135,1.456443,0.003173
140,1014547089,0.497162,-0.550683,-0.489873,0.457829,-0.602717,0.506973,0.199780
141,1014580423,0.496752,-0.551294,-0.492435,0.454782,-0.768353,-0.220075,0.389696
142,1014613757,0.496803,-0.551611,-0.494073,0.452559,-0.898073,-0.924514,0.304762
143,1014647091,0.496098,-0.550182,-0.495861,0.453116,-0.931619,-1.205720,0.285043
144,1014680425,0.494075,-0.546222,-0.498219,0.457509,-0.772017,-0.949438,0.237101
145,1014713759,0.491019,-0.540032,-0.501118,0.464923,-0.376135,-0.248592,0.204473
146,1014747093,0.487957,-0.532576,-0.503842,0.473719,0.063514,0.200565,0.295619
147,1014780427,0.485928,-0.525369,-0.505423,0.482095,0.296524,0.504000,0.312310
148,1014813761,0.485776,-0.519970,-0.505041,0.488459,0.356970,0.665597,0.277615
149,1014847095,0.487224,-0.517021,-0.502563,0.492685,0.477947,0.183463,0.249337
150,1014880429,0.488232,-0.514925,-0.500011,0.496464,0.543208,-0.114045,-0.106827
151,1014913763,0.487469,-0.511768,-0.499406,0.501066,0.581338,0.315997,-0.380964
152,1014947097,0.486006,-0.509321,-0.500209,0.504170,0.467064,0.884547,-0.364212
153,1014980431,0.484856,-0.508635,-0.501509,0.504679,0.246786,0.917554,-0.201310
154,1015013765,0.484202,-0.509280,-0.502752,0.503417,0.111951,0.790160,0.078452
