sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:38:54_208 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,907611617,-0.201457,-0.205889,0.266415,-0.919809,-0.274995,-0.618298,-0.847302
2,907644951,-0.208153,-0.190659,0.264488,-0.922154,-0.871857,0.243075,-0.049088
3,907678285,-0.216279,-0.181087,0.263164,-0.922592,-0.419498,0.843148,0.233743
4,907711619,-0.223704,-0.179837,0.261780,-0.921459,0.803761,0.652566,0.289343
5,907744953,-0.227803,-0.184654,0.260025,-0.919998,0.534504,0.265937,-0.383687
6,907778287,-0.229121,-0.185053,0.258051,-0.920146,-0.023639,0.083591,-0.392189
7,907811621,-0.229627,-0.185004,0.256961,-0.920335,0.446515,-0.006701,0.067865
8,907844955,-0.229345,-0.182216,0.256508,-0.921088,-0.181562,1.044298,0.300688
9,907878289,-0.228039,-0.183842,0.256432,-0.921110,0.225114,0.842376,0.293517
10,907911623,-0.225022,-0.188593,0.256714,-0.920813,0.205999,0.329761,0.154798
11,907944957,-0.220793,-0.195509,0.256919,-0.920337,0.264593,0.022457,0.230328
12,907978291,-0.216500,-0.202795,0.256568,-0.919878,0.122827,0.108186,0.110795
13,908011625,-0.212994,-0.208097,0.255613,-0.919778,0.001868,0.363178,-0.070446
14,908044959,-0.211523,-0.207266,0.254022,-0.920746,0.317911,0.287452,0.175947
15,908078293,-0.210595,-0.206203,0.252806,-0.921531,0.304114,0.188755,0.358535
16,908111627,-0.212801,-0.197522,0.250635,-0.923517,-1.670456,0.441892,0.413678
17,908144961,-0.220619,-0.172988,0.246495,-0.927709,-0.372175,0.143868,1.079119
18,908178295,-0.229020,-0.152896,0.241213,-0.930586,0.554432,-0.590196,0.339482
19,908211629,-0.238541,-0.132784,0.234476,-0.933000,-0.476181,0.155517,1.464605
20,908244963,-0.249648,-0.111330,0.226522,-0.934864,-0.241218,-0.708268,0.277347
21,908278297,-0.260429,-0.098460,0.220818,-0.934731,-0.845790,-0.440827,-0.202330
22,908311631,-0.271200,-0.090528,0.217383,-0.933274,-0.035508,-0.366105,-2.153787
23,908344965,-0.284426,-0.089031,0.216920,-0.929581,-1.457203,0.252941,-1.067420
24,908378299,-0.302250,-0.079459,0.216076,-0.925010,-1.714612,0.149416,-0.076736
25,908411633,-0.320029,-0.065800,0.216515,-0.919986,-0.161881,0.144813,-0.624165
26,908444967,-0.333354,-0.060290,0.220255,-0.914729,1.165755,-0.184114,-1.044456
27,908478301,-0.339147,-0.057806,0.226422,-0.911247,2.120348,0.366088,-0.995034
28,908511635,-0.337467,-0.048543,0.230910,-0.911285,3.958045,-0.790761,-0.517078
29,908544969,-0.327183,-0.046880,0.234397,-0.914227,2.961425,-0.189994,0.888378
30,908578303,-0.314667,-0.052587,0.238091,-0.917351,0.189584,2.135267,1.952154
31,908611637,-0.311545,-0.057245,0.238561,-0.918015,-2.259169,3.048303,1.995324
32,908644971,-0.312750,-0.061007,0.237934,-0.917526,1.446682,-1.222396,0.485808
33,908678305,-0.311647,-0.068322,0.238586,-0.917216,0.810182,-0.360466,0.559983
34,908711639,-0.310290,-0.074537,0.239564,-0.916937,0.163898,-0.274901,0.554343
35,908744973,-0.308712,-0.081533,0.241844,-0.916276,0.057783,0.288687,0.489867
36,908778307,-0.307682,-0.085853,0.243138,-0.915885,0.480677,0.214612,-0.287855
37,908811641,-0.307037,-0.085775,0.242357,-0.916316,0.616558,0.431362,0.054268
38,908844975,-0.305198,-0.084176,0.240387,-0.917596,1.160475,-0.021265,-0.071341
39,908878309,-0.303257,-0.080982,0.238207,-0.919095,1.334752,-0.280973,0.521381
40,908911643,-0.300754,-0.079813,0.236947,-0.920344,1.493439,-0.544675,0.375834
41,908944977,-0.297194,-0.080696,0.237277,-0.921338,0.419131,0.314002,0.082050
42,908978311,-0.292853,-0.080908,0.239343,-0.922175,0.011960,0.702870,-0.139925
43,909011645,-0.288917,-0.078619,0.242345,-0.922830,-0.136326,0.714588,-0.300691
