sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:07:31_377 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3319807925,0.781114,-0.573004,-0.200045,0.146778,0.100088,-5.096399,-0.816949
2,3319841259,0.783247,-0.575684,-0.179872,0.150974,-0.249581,-5.718587,-1.824992
3,3319874593,0.783325,-0.576442,-0.167883,0.161140,-0.477248,-4.848055,-2.689364
4,3319907927,0.781542,-0.576677,-0.161811,0.174606,-0.363404,-3.935439,-2.210753
5,3319941261,0.778711,-0.577022,-0.157949,0.189055,-0.369067,-3.459584,-1.279601
6,3319974595,0.775518,-0.577800,-0.152958,0.203363,0.034306,-3.261032,-0.183929
7,3320007929,0.771447,-0.578313,-0.148044,0.220319,0.394868,-2.867165,0.711308
8,3320041263,0.765976,-0.578542,-0.143613,0.240791,0.553295,-2.215203,0.994159
9,3320074597,0.759173,-0.578922,-0.137970,0.263637,0.647508,-1.679795,1.449390
10,3320107931,0.751217,-0.578846,-0.131727,0.288605,0.672942,-1.110559,1.378015
11,3320141265,0.741744,-0.577742,-0.125786,0.316609,0.901498,-0.886178,1.262257
12,3320174599,0.730533,-0.574005,-0.123198,0.348851,0.843591,-0.631406,0.882320
13,3320207933,0.717887,-0.567486,-0.123583,0.383876,0.752239,-0.282263,1.338572
14,3320241267,0.704933,-0.559004,-0.124159,0.418572,0.522469,0.119297,2.110477
15,3320274601,0.695139,-0.546288,-0.122503,0.450975,0.334111,0.342625,1.688604
16,3320307935,0.687193,-0.536787,-0.112468,0.476457,0.421779,0.368903,1.871185
17,3320341269,0.682006,-0.528923,-0.092438,0.496586,-1.031362,-0.018754,2.425807
18,3320374603,0.679383,-0.524894,-0.061807,0.509057,-0.399234,-0.095270,0.493222
19,3320407937,0.675647,-0.525485,-0.023478,0.516575,-1.066124,-1.215502,1.194438
20,3320441271,0.669876,-0.525568,0.018971,0.524136,-1.090809,-2.062229,0.269206
21,3320474605,0.661535,-0.522713,0.060802,0.534304,-1.526988,-1.809670,0.457493
22,3320507939,0.651459,-0.514975,0.100376,0.548052,-0.936658,-1.327147,-0.129139
23,3320541273,0.641066,-0.500882,0.132026,0.566352,-0.873645,1.820540,-1.204821
24,3320574607,0.630373,-0.489053,0.162605,0.580561,0.340744,3.085599,-2.945255
25,3320607941,0.618702,-0.480714,0.188343,0.592185,0.490593,4.076436,-3.998892
26,3320641275,0.611430,-0.470893,0.202373,0.602903,0.724709,4.879188,-4.054320
27,3320674609,0.612622,-0.455715,0.199633,0.614165,1.072661,6.605952,-3.874524
28,3320707943,0.614784,-0.447746,0.190149,0.620840,1.529046,6.753387,-4.668623
29,3320741277,0.612077,-0.452343,0.181341,0.622815,2.127368,5.923024,-3.766498
30,3320774611,0.606362,-0.459384,0.170917,0.626189,2.541074,5.648673,-1.890588
31,3320807945,0.599727,-0.460204,0.152040,0.636756,2.227292,3.731138,-1.286185
32,3320841279,0.589556,-0.461715,0.129601,0.649985,-0.728425,2.032376,0.160971
33,3320874613,0.576087,-0.475621,0.114926,0.654778,-1.947524,-1.867648,1.781159
34,3320907947,0.567892,-0.485926,0.095471,0.657491,-2.606440,-3.867540,4.857493
35,3320941281,0.565430,-0.481032,0.072566,0.666082,-4.236731,-4.464094,5.695105
36,3320974615,0.568729,-0.474889,0.063030,0.668647,-6.686247,-3.647208,4.117565
37,3321007949,0.576293,-0.477335,0.073318,0.659315,-5.044072,-3.463044,4.440418
38,3321041283,0.589989,-0.475059,0.090700,0.646560,-3.305169,-2.459145,3.901747
39,3321074617,0.609170,-0.467752,0.111890,0.630582,-2.381377,-0.690980,2.422986
40,3321107951,0.630162,-0.465611,0.145267,0.604180,-1.082926,0.889570,0.569391
41,3321141285,0.646564,-0.474372,0.195600,0.564537,2.673703,-0.254331,-0.665410
42,3321174619,0.661079,-0.476273,0.241496,0.527117,5.274501,-1.293967,-1.053666
43,3321207953,0.673355,-0.472381,0.270166,0.500494,6.133817,-2.646140,-2.823391
44,3321241287,0.679447,-0.470178,0.281763,0.487779,5.782986,-2.165384,-4.076139
