sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:08:00_210 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3348641835,-0.436738,0.543819,0.523443,-0.489424,0.317126,-0.071351,0.068690
2,3348675169,-0.435775,0.545463,0.523921,-0.487939,-0.225165,-0.046111,0.192610
3,3348708503,-0.435331,0.545505,0.524457,-0.487713,-0.536266,-0.106038,0.370077
4,3348741837,-0.434579,0.544118,0.525615,-0.488686,-0.292357,0.138766,0.143646
5,3348775171,-0.434098,0.542366,0.526509,-0.490097,0.172941,0.419843,0.071529
6,3348808505,-0.435032,0.541925,0.525790,-0.490528,-0.033086,0.307231,0.093617
7,3348841839,-0.437135,0.542338,0.523723,-0.490413,-0.145616,0.318255,0.122596
8,3348875173,-0.441463,0.542896,0.519521,-0.490389,-0.701318,0.324421,0.433887
9,3348908507,-0.448802,0.541412,0.513317,-0.491897,-0.874618,0.524013,0.750160
10,3348941841,-0.459794,0.535997,0.505991,-0.495255,-0.764991,-0.187589,0.705570
11,3348975175,-0.471699,0.527726,0.499663,-0.499349,-0.388999,-0.522887,0.128447
12,3349008509,-0.482382,0.516187,0.494654,-0.506146,-0.153572,-0.832274,0.040351
13,3349041843,-0.493747,0.506963,0.487295,-0.511620,-0.156318,-0.466317,-0.039242
14,3349075177,-0.504567,0.496848,0.477457,-0.520190,-0.600928,-0.378937,-0.314900
15,3349108511,-0.512815,0.484374,0.468919,-0.531531,0.348679,-1.080001,0.055193
16,3349141845,-0.513281,0.470359,0.468906,-0.543545,2.554347,-1.211339,0.066063
17,3349175179,-0.512611,0.456150,0.471551,-0.553899,2.217135,0.362339,-0.399588
18,3349208513,-0.514181,0.447152,0.470415,-0.560705,-0.411233,1.191510,0.654336
19,3349241847,-0.518595,0.439871,0.462141,-0.569216,0.031400,0.462879,0.151689
20,3349275181,-0.525750,0.430876,0.452339,-0.577347,0.540584,0.201942,-1.050756
21,3349308515,-0.531842,0.421261,0.446291,-0.583537,-0.244347,0.316394,0.712959
