sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:08:24_663 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3373075657,0.607888,-0.436423,-0.442797,0.493902,0.408082,-0.365718,-0.075486
2,3373108991,0.607200,-0.430928,-0.444294,0.498210,0.578467,-0.387856,-0.045321
3,3373142325,0.606116,-0.425362,-0.446170,0.502616,0.608653,-0.307232,-0.268538
4,3373175659,0.604777,-0.419811,-0.448429,0.506869,0.572324,-0.194778,-0.362386
5,3373208993,0.602068,-0.414449,-0.451428,0.511821,0.838671,-0.337840,0.305406
6,3373242327,0.595643,-0.409289,-0.457341,0.518201,0.827683,-0.315519,0.555685
7,3373275661,0.586023,-0.404352,-0.467043,0.524355,0.617599,0.021275,0.544162
8,3373308995,0.578365,-0.401552,-0.475226,0.527647,0.244577,0.472518,0.465513
9,3373342329,0.576732,-0.403174,-0.476788,0.526787,-0.045178,0.501050,0.228078
10,3373375663,0.578449,-0.406477,-0.474517,0.524411,-0.305380,-0.164642,0.256861
11,3373408997,0.578413,-0.407136,-0.474288,0.524147,-0.138268,-0.477782,-0.068574
12,3373442331,0.575030,-0.404450,-0.478315,0.526285,-0.125803,-0.237176,-0.655810
13,3373475665,0.570504,-0.400353,-0.483928,0.529205,-0.407786,0.103933,-1.370008
14,3373508999,0.567256,-0.397781,-0.488203,0.530706,-0.575766,0.514491,-2.392467
15,3373542333,0.566504,-0.398373,-0.490131,0.529287,-0.911964,0.674460,-2.842814
16,3373575667,0.568034,-0.401596,-0.489497,0.525787,-1.176244,0.765921,-2.618482
17,3373609001,0.570409,-0.405852,-0.487099,0.522162,-1.155564,0.952025,-1.704988
18,3373642335,0.572855,-0.409185,-0.484067,0.519697,-0.946165,0.974794,-0.553930
19,3373675669,0.575869,-0.408595,-0.482072,0.518683,-0.796749,0.968541,-0.338326
20,3373709003,0.579297,-0.402758,-0.483990,0.517645,-0.327913,1.079694,-0.337790
21,3373742337,0.584844,-0.395652,-0.487375,0.513696,-0.703265,1.079594,-0.380325
22,3373775671,0.593791,-0.388044,-0.489917,0.506770,-0.751867,1.066227,-0.807627
23,3373809005,0.605002,-0.380561,-0.491220,0.497844,-0.396029,1.190299,-0.569265
24,3373842339,0.616605,-0.373237,-0.492102,0.488190,-0.404352,0.918748,0.179783
25,3373875673,0.627657,-0.365055,-0.493049,0.479255,-0.001384,0.749658,0.996768
26,3373909007,0.636333,-0.354916,-0.496164,0.472162,0.764409,0.745397,1.762961
27,3373942341,0.643488,-0.343684,-0.500055,0.466637,1.069650,0.968859,1.921652
28,3373975675,0.650866,-0.331285,-0.504578,0.460462,1.146574,0.884055,2.102613
29,3374009009,0.658557,-0.318475,-0.509788,0.452762,1.058477,0.635807,2.492265
30,3374042343,0.667961,-0.305653,-0.513642,0.443369,0.354436,0.700750,2.329390
31,3374075677,0.679470,-0.291968,-0.515321,0.433037,0.248150,0.167678,2.336311
32,3374109011,0.689766,-0.276768,-0.517401,0.424168,0.071207,0.043409,2.026692
33,3374142345,0.698220,-0.260312,-0.521842,0.415220,-0.167146,0.602223,1.900195
