sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:05:25_569 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3194005409,0.706411,-0.557945,-0.160833,0.404781,-0.047158,0.014745,0.039354
2,3194038743,0.706669,-0.558047,-0.160803,0.404202,-0.026875,-0.020000,0.048656
3,3194072077,0.706883,-0.558208,-0.160722,0.403639,-0.032425,-0.079602,0.048542
4,3194105411,0.707007,-0.558398,-0.160700,0.403168,-0.005038,-0.066890,0.045639
5,3194138745,0.707066,-0.558678,-0.160584,0.402721,-0.006517,-0.055561,0.055647
6,3194172079,0.707052,-0.559101,-0.160281,0.402280,-0.027543,-0.076887,0.049346
7,3194205413,0.706938,-0.559537,-0.159830,0.402053,-0.071023,-0.032961,0.074476
8,3194238747,0.706809,-0.560048,-0.159151,0.401839,-0.088279,0.025449,0.091150
9,3194272081,0.706788,-0.560620,-0.158069,0.401504,-0.155817,0.085648,0.049189
10,3194305415,0.706798,-0.561178,-0.156830,0.401192,-0.195721,0.096945,0.113084
11,3194338749,0.706943,-0.561579,-0.155620,0.400846,-0.338835,0.184377,-0.003365
12,3194372083,0.707193,-0.562118,-0.154039,0.400260,-0.383403,0.257735,-0.100932
13,3194405417,0.707322,-0.562734,-0.152467,0.399768,-0.402700,0.204699,-0.227393
14,3194438751,0.707569,-0.563113,-0.151453,0.399182,-0.230194,0.063255,-0.246616
15,3194472085,0.707897,-0.562632,-0.152365,0.398932,-0.129178,0.083993,-0.104151
16,3194505419,0.708464,-0.561552,-0.155109,0.398389,-0.019183,0.082627,0.139860
17,3194538753,0.709479,-0.560557,-0.158704,0.396564,0.051715,0.039941,0.586704
18,3194572087,0.711073,-0.559821,-0.161909,0.393441,0.129994,-0.074828,0.537881
19,3194605421,0.712838,-0.559512,-0.163689,0.389934,0.183691,-0.266477,0.320779
20,3194638755,0.714401,-0.559475,-0.164029,0.386973,0.210775,-0.414317,0.133107
21,3194672089,0.715524,-0.559085,-0.164051,0.385448,0.249416,-0.528179,-0.058445
22,3194705423,0.716329,-0.558397,-0.164135,0.384916,0.281465,-0.446755,-0.238917
23,3194738757,0.716937,-0.558037,-0.164474,0.384160,0.361162,-0.650832,-0.028319
24,3194772091,0.717132,-0.557581,-0.165941,0.383827,0.329632,-0.494836,-0.278419
25,3194805425,0.716903,-0.557761,-0.167766,0.383199,0.532299,-0.609338,-0.052104
26,3194838759,0.716203,-0.558856,-0.169545,0.382129,0.516265,-0.540047,0.211126
27,3194872093,0.714731,-0.561067,-0.170909,0.381037,0.428555,-0.658415,0.080467
28,3194905427,0.711560,-0.563747,-0.172660,0.382223,0.319909,-0.856943,0.085740
29,3194938761,0.706287,-0.565558,-0.176326,0.387617,0.103945,-0.911417,0.149150
30,3194972095,0.699643,-0.565317,-0.182641,0.396979,-0.186403,-0.677035,0.305146
31,3195005429,0.693186,-0.563316,-0.190000,0.407559,-0.434492,-0.432915,0.322708
32,3195038763,0.688477,-0.560566,-0.196010,0.416390,-0.617111,-0.168563,0.130566
33,3195072097,0.686450,-0.558281,-0.198460,0.421613,-0.656525,-0.151369,-0.029402
34,3195105431,0.686996,-0.556444,-0.197418,0.423636,-0.416994,-0.241137,0.019146
35,3195138765,0.689286,-0.554629,-0.194185,0.423791,-0.108954,-0.204312,0.173688
36,3195172099,0.692474,-0.553065,-0.189875,0.422589,0.223586,-0.202320,0.460772
37,3195205433,0.695692,-0.551634,-0.186113,0.420843,0.495003,-0.189333,0.752307
38,3195238767,0.698127,-0.550267,-0.183693,0.419662,0.629605,-0.289512,0.295215
39,3195272101,0.698601,-0.548991,-0.182763,0.420949,0.672510,-0.472946,-0.318846
40,3195305435,0.696415,-0.546815,-0.184943,0.426417,0.669222,-0.567906,-0.244990
41,3195338769,0.692324,-0.542794,-0.191281,0.435326,0.603576,-0.376472,-0.120484
42,3195372103,0.687824,-0.537899,-0.199825,0.444598,0.541415,-0.022120,-0.047363
43,3195405437,0.684153,-0.533505,-0.208107,0.451700,0.435252,0.020920,0.084662
44,3195438771,0.681773,-0.530723,-0.214308,0.455660,0.549571,-0.125030,-0.115571
45,3195472105,0.679564,-0.528814,-0.219458,0.458717,0.770347,-0.455728,0.004927
46,3195505439,0.676623,-0.526542,-0.224790,0.463076,0.586663,-0.412934,-0.007378
47,3195538773,0.673016,-0.524794,-0.229158,0.468147,0.687237,-0.329320,0.177525
48,3195572107,0.668767,-0.523487,-0.232713,0.473911,0.575144,-0.337872,0.237477
49,3195605441,0.664028,-0.522469,-0.235411,0.480322,0.419228,-0.205562,0.103065
50,3195638775,0.658998,-0.522125,-0.236786,0.486903,0.359500,-0.199103,-0.094092
51,3195672109,0.653491,-0.522188,-0.237505,0.493858,0.215170,-0.153712,-0.228037
52,3195705443,0.647478,-0.522437,-0.238322,0.501068,0.131607,-0.146292,-0.250754
53,3195738777,0.641082,-0.522394,-0.240022,0.508471,0.013984,-0.157721,-0.330829
54,3195772111,0.634414,-0.521814,-0.242961,0.515978,-0.113815,-0.154821,-0.337580
55,3195805445,0.627791,-0.520576,-0.247052,0.523334,-0.227545,-0.144255,-0.227924
56,3195838779,0.621607,-0.518998,-0.251717,0.530018,-0.341835,-0.086816,-0.020275
57,3195872113,0.616169,-0.517447,-0.256114,0.535747,-0.407063,-0.113167,0.070360
58,3195905447,0.611415,-0.516159,-0.259603,0.540734,-0.466526,-0.112583,0.163964
59,3195938781,0.607130,-0.515118,-0.262010,0.545373,-0.440390,-0.145266,0.225164
60,3195972115,0.603027,-0.514137,-0.263431,0.550146,-0.389894,-0.114829,0.144121
61,3196005449,0.598786,-0.513200,-0.264298,0.555214,-0.337166,-0.148138,0.203897
62,3196038783,0.594054,-0.511703,-0.265213,0.561210,-0.602017,-0.077656,0.131584
63,3196072117,0.589187,-0.510314,-0.264610,0.567851,-0.947698,-0.021045,0.209971
64,3196105451,0.585024,-0.509282,-0.261145,0.574645,-1.386961,0.370463,0.156197
65,3196138785,0.583291,-0.508574,-0.254808,0.579855,-1.132760,0.780860,0.655222
66,3196172119,0.584116,-0.508113,-0.246560,0.582986,-1.149261,1.150398,0.136921
67,3196205453,0.587362,-0.510849,-0.235105,0.582065,-1.045379,1.342459,-0.158648
68,3196238787,0.592141,-0.517224,-0.220768,0.577187,-0.488757,1.309761,-0.559829
69,3196272121,0.596976,-0.524627,-0.206400,0.570806,-0.173239,1.257182,-0.458991
70,3196305455,0.600365,-0.530124,-0.195391,0.566027,0.103861,1.083593,-0.824726
71,3196338789,0.601838,-0.535633,-0.187500,0.561932,-0.272711,1.243505,-1.173759
72,3196372123,0.603170,-0.543765,-0.180179,0.555046,-0.823417,1.497178,-1.087902
73,3196405457,0.605507,-0.556832,-0.171429,0.542169,-0.844929,1.026267,-0.157718
74,3196438791,0.609198,-0.569297,-0.165687,0.526651,-0.356921,-0.081060,0.582526
75,3196472125,0.612647,-0.576162,-0.166895,0.514667,-0.628617,-0.595579,0.868577
76,3196505459,0.615690,-0.579521,-0.170860,0.505888,-1.062198,-0.182045,0.940674
77,3196538793,0.619206,-0.582621,-0.171898,0.497618,-0.519992,-0.618045,0.978338
78,3196572127,0.622454,-0.586009,-0.169475,0.490365,0.290272,-1.003984,0.963123
79,3196605461,0.624339,-0.585359,-0.169106,0.488871,0.106377,-0.351989,0.545339
80,3196638795,0.625092,-0.583092,-0.170380,0.490173,-0.129156,0.022095,0.212034
81,3196672129,0.625522,-0.580258,-0.172599,0.492205,-0.291399,0.368931,0.132241
82,3196705463,0.625870,-0.577820,-0.175076,0.493755,-0.404240,0.509016,0.302009
83,3196738797,0.626452,-0.575059,-0.177916,0.495223,-0.576589,0.597885,0.492715
84,3196772131,0.628138,-0.572128,-0.179520,0.495902,-0.786784,0.735362,0.361688
85,3196805465,0.631147,-0.570160,-0.178405,0.494751,-0.865393,0.710402,0.468708
86,3196838799,0.635132,-0.568338,-0.175995,0.492605,-0.991704,0.888418,0.214264
87,3196872133,0.639503,-0.568662,-0.171377,0.488184,-0.801980,0.885091,0.126801
88,3196905467,0.644168,-0.570001,-0.166177,0.482251,-0.652678,0.833245,0.247209
89,3196938801,0.649100,-0.570741,-0.161965,0.476158,-0.511688,0.770575,-0.110742
90,3196972135,0.654359,-0.571493,-0.158240,0.469261,-0.408989,0.868854,0.017339
91,3197005469,0.659876,-0.572980,-0.154909,0.460756,-0.369443,0.767932,0.061632
92,3197038803,0.664981,-0.575225,-0.152542,0.451311,-0.070882,0.415612,-0.044591
93,3197072137,0.670126,-0.576655,-0.151681,0.442073,-0.052003,0.112988,0.037568
94,3197105471,0.675511,-0.576990,-0.151790,0.433316,-0.085396,-0.044585,-0.222599
95,3197138805,0.681044,-0.577589,-0.151308,0.423923,0.041911,-0.120375,0.012344
96,3197172139,0.686528,-0.578192,-0.150784,0.414333,-0.009323,-0.213426,0.171293
97,3197205473,0.691927,-0.578824,-0.150125,0.404596,-0.069994,-0.265699,-0.030763
98,3197238807,0.696735,-0.579767,-0.148625,0.395445,-0.004460,-0.447037,-0.228944
99,3197272141,0.700643,-0.580204,-0.147302,0.388329,-0.014776,-0.524173,-0.270429
100,3197305475,0.703760,-0.580074,-0.146649,0.383100,-0.029765,-0.526527,-0.267590
101,3197338809,0.706450,-0.579689,-0.146603,0.378724,-0.006583,-0.481527,-0.204001
102,3197372143,0.708894,-0.579415,-0.146921,0.374427,-0.027311,-0.572906,-0.124056
103,3197405477,0.711233,-0.578850,-0.147971,0.370432,-0.098431,-0.728819,-0.030708
104,3197438811,0.713590,-0.577783,-0.149365,0.366988,-0.063441,-0.693197,0.105880
105,3197472145,0.716190,-0.576193,-0.150398,0.363990,-0.031806,-0.560130,0.223953
106,3197505479,0.719005,-0.574324,-0.150132,0.361495,0.013112,-0.500232,0.030009
107,3197538813,0.721925,-0.572828,-0.147284,0.359215,0.026130,-0.386084,-0.023196
108,3197572147,0.724865,-0.571660,-0.142349,0.357137,0.197048,-0.293272,0.195832
109,3197605481,0.727708,-0.570303,-0.137249,0.355519,0.420334,-0.277223,0.485160
110,3197638815,0.730237,-0.568876,-0.133043,0.354216,0.554874,-0.189260,-0.004249
111,3197672149,0.731444,-0.568242,-0.130260,0.353777,0.863867,-0.431594,-0.263383
112,3197705483,0.730551,-0.567126,-0.131484,0.356947,0.832662,-0.503248,-0.447176
113,3197738817,0.727934,-0.564842,-0.137471,0.363598,0.893785,-0.346892,-0.254234
114,3197772151,0.724787,-0.562173,-0.146149,0.370569,0.706382,0.050462,0.053198
115,3197805485,0.722903,-0.559810,-0.153805,0.374704,0.572394,0.023470,0.059509
116,3197838819,0.723110,-0.558902,-0.156887,0.374382,0.398032,0.308113,-0.402312
117,3197872153,0.725328,-0.561141,-0.152661,0.368442,0.454208,-0.060753,-0.370751
118,3197905487,0.728473,-0.564873,-0.144365,0.359776,0.465543,-0.432675,-0.256376
119,3197938821,0.731434,-0.568631,-0.135948,0.351023,0.591569,-0.639944,0.120724
120,3197972155,0.733599,-0.571982,-0.129380,0.343460,0.620795,-0.604347,0.285202
121,3198005489,0.734510,-0.575372,-0.124529,0.337593,0.510394,-0.632881,0.278308
122,3198038823,0.733815,-0.578708,-0.121593,0.334457,0.373148,-0.693045,0.364379
123,3198072157,0.731613,-0.581523,-0.120807,0.334686,0.170655,-0.491122,0.500624
124,3198105491,0.728328,-0.584047,-0.120824,0.337438,0.022342,-0.292636,0.346231
125,3198138825,0.724095,-0.586397,-0.121020,0.342365,-0.216345,-0.180623,0.151240
126,3198172159,0.719189,-0.588360,-0.121690,0.349037,-0.418506,-0.144190,0.022820
127,3198205493,0.714098,-0.589274,-0.124033,0.357031,-0.589628,-0.026725,-0.068572
128,3198238827,0.709535,-0.589028,-0.128226,0.364965,-0.671820,0.019141,-0.161646
129,3198272161,0.706145,-0.587970,-0.133530,0.371288,-0.803283,0.136801,-0.404631
130,3198305495,0.704342,-0.587279,-0.137696,0.374273,-0.751788,0.075940,-0.363171
131,3198338829,0.704033,-0.586475,-0.141206,0.374808,-0.578668,-0.146877,-0.067106
132,3198372163,0.704977,-0.584716,-0.145098,0.374293,-0.426083,-0.106911,0.239100
133,3198405497,0.707086,-0.582749,-0.147920,0.372272,-0.257767,-0.017020,0.390748
134,3198438831,0.710114,-0.581295,-0.148260,0.368629,-0.070315,-0.139814,0.447935
135,3198472165,0.713411,-0.580096,-0.146578,0.364807,0.114144,-0.269494,0.603772
136,3198505499,0.716477,-0.578867,-0.143623,0.361913,0.341618,-0.287206,0.526533
137,3198538833,0.718736,-0.577836,-0.140301,0.360381,0.457518,-0.275684,0.542479
138,3198572167,0.719959,-0.577022,-0.137678,0.360255,0.559147,-0.351956,0.191235
139,3198605501,0.719730,-0.576212,-0.137111,0.362220,0.563793,-0.483783,-0.312500
140,3198638835,0.717697,-0.575072,-0.139539,0.367105,0.608864,-0.537504,-0.409302
141,3198672169,0.714088,-0.573256,-0.145732,0.374504,0.436030,-0.494426,-0.409665
142,3198705503,0.709742,-0.570352,-0.155138,0.383317,0.282848,-0.448631,-0.299616
143,3198738837,0.705777,-0.566432,-0.165553,0.391997,0.211120,-0.242590,-0.025751
144,3198772171,0.703249,-0.561919,-0.174475,0.399101,0.112416,-0.010708,0.359097
145,3198805505,0.703009,-0.558843,-0.178711,0.401957,0.431824,0.382916,1.017766
146,3198838839,0.704919,-0.559035,-0.176038,0.399518,0.437822,0.312144,0.406116
147,3198872173,0.706546,-0.562331,-0.168094,0.395418,0.907322,-0.550993,-0.256698
148,3198905507,0.702767,-0.563145,-0.167147,0.401351,1.992959,-2.445982,0.157943
149,3198938841,0.688464,-0.550937,-0.189479,0.431994,2.031605,-1.912675,0.628566
150,3198972175,0.665124,-0.526386,-0.226597,0.478765,0.856610,0.495723,0.427472
151,3199005509,0.640620,-0.503886,-0.256051,0.519787,-0.187839,1.460345,0.137056
152,3199038843,0.620904,-0.491556,-0.271326,0.547054,-0.770879,1.317817,-0.274405
153,3199072177,0.609286,-0.487768,-0.276315,0.560837,-1.310774,0.580267,-0.718275
154,3199105511,0.602846,-0.487861,-0.277104,0.567288,-2.661752,0.975082,-0.783788
155,3199138845,0.603319,-0.491808,-0.273936,0.564912,-2.850577,0.876355,-0.294836
156,3199172179,0.610377,-0.500409,-0.266406,0.553257,-2.872411,1.484577,-0.759739
157,3199205513,0.625174,-0.517760,-0.250719,0.527501,-1.207978,0.917439,0.174112
158,3199238847,0.640643,-0.530454,-0.236059,0.502500,-0.603158,-0.356544,2.551860
159,3199272181,0.649533,-0.530549,-0.229890,0.493772,-0.722103,-0.264027,2.609395
160,3199305515,0.652243,-0.525547,-0.226269,0.497209,-0.142423,0.283093,1.231278
161,3199338849,0.650984,-0.516095,-0.227393,0.508128,-0.220828,1.285749,0.614014
162,3199372183,0.650184,-0.508397,-0.226479,0.517238,-0.410375,1.058094,-0.521879
163,3199405517,0.651276,-0.501809,-0.226299,0.522352,-0.382597,0.627811,-0.858140
164,3199438851,0.655492,-0.496697,-0.227657,0.521374,-0.405517,0.437661,-0.726065
165,3199472185,0.664741,-0.492826,-0.229728,0.512350,-0.314055,0.824872,0.264214
166,3199505519,0.681835,-0.489029,-0.228983,0.493511,-0.151338,2.760879,3.706779
167,3199538853,0.707511,-0.491608,-0.210215,0.462162,0.199675,2.948419,0.332800
168,3199572187,0.730861,-0.503155,-0.173976,0.427135,1.068036,0.318170,-1.158201
169,3199605521,0.744942,-0.511706,-0.141326,0.404079,0.363804,-0.048072,-1.818193
170,3199638855,0.753038,-0.517461,-0.119918,0.388360,0.738525,-1.441274,-1.335823
171,3199672189,0.757965,-0.517001,-0.119644,0.379367,0.831188,-2.097608,-0.033178
172,3199705523,0.762285,-0.509301,-0.139376,0.374357,0.546553,-1.490591,1.697514
173,3199738857,0.768145,-0.496831,-0.166628,0.367944,0.079866,-0.410449,1.130565
174,3199772191,0.775310,-0.487518,-0.184065,0.356898,-0.311674,-0.184578,-1.193270
175,3199805525,0.782218,-0.486291,-0.183136,0.343732,-0.342977,-0.084155,-2.830342
176,3199838859,0.786282,-0.491693,-0.171744,0.332472,0.375799,-1.437726,-3.191638
177,3199872193,0.785717,-0.499631,-0.165621,0.324996,0.768867,-3.188023,-1.433499
178,3199905527,0.782157,-0.502019,-0.176370,0.324248,0.888890,-4.054438,0.413184
179,3199938861,0.777556,-0.498159,-0.195940,0.329979,0.411280,-2.818025,-0.754105
180,3199972195,0.772088,-0.495005,-0.210310,0.338607,0.357962,-1.303706,-1.893480
181,3200005529,0.765846,-0.497126,-0.212122,0.348403,0.092435,-0.601876,-2.770310
182,3200038863,0.757127,-0.505820,-0.202851,0.360266,0.795042,-0.946721,-1.395874
183,3200072197,0.743034,-0.518012,-0.190473,0.378574,1.273160,-1.487045,0.503424
184,3200105531,0.722349,-0.524720,-0.194047,0.406524,2.364935,-1.289109,6.122886
185,3200138865,0.698143,-0.512386,-0.226107,0.446058,1.411190,-0.749390,7.695084
186,3200172199,0.675036,-0.486683,-0.262809,0.488296,0.252044,0.244712,2.128950
187,3200205533,0.655832,-0.463728,-0.280611,0.525483,-0.731969,2.785802,-0.133687
188,3200238867,0.643895,-0.457419,-0.272956,0.549270,-1.651504,3.085942,-1.033016
189,3200272201,0.637600,-0.462709,-0.251170,0.562419,-0.758264,1.623678,-0.729872
190,3200305535,0.634767,-0.470280,-0.225183,0.570294,-0.249893,1.881743,-0.431430
191,3200338869,0.634329,-0.479313,-0.199432,0.572841,0.271789,1.961241,0.056660
192,3200372203,0.634869,-0.486268,-0.180585,0.572633,-0.694680,1.538997,0.233721
193,3200405537,0.636342,-0.490845,-0.165834,0.571554,-1.194026,0.714557,-0.796549
194,3200438871,0.636509,-0.491430,-0.160394,0.572417,-1.046928,0.740650,-1.582306
195,3200472205,0.635519,-0.492604,-0.163217,0.571710,0.815867,0.336587,-2.143058
196,3200505539,0.629886,-0.491902,-0.178870,0.573861,0.912681,0.281494,-1.412867
