sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:05:25_578 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3194038743,-0.408348,0.550124,0.507432,-0.522621,-0.078370,-0.098480,0.061728
2,3194072077,-0.407883,0.549774,0.507028,-0.523743,-0.075745,0.036836,0.112344
3,3194105411,-0.407176,0.549558,0.506806,-0.524734,0.035264,0.029639,0.073986
4,3194138745,-0.406545,0.549677,0.506401,-0.525489,0.007425,0.090381,0.073210
5,3194172079,-0.406414,0.549938,0.505433,-0.526248,0.003767,0.108352,0.145890
6,3194205413,-0.406838,0.550322,0.503921,-0.526969,-0.068197,0.114812,0.131362
7,3194238747,-0.407549,0.550743,0.502098,-0.527719,-0.238753,0.198428,0.089386
8,3194272081,-0.408840,0.551169,0.499748,-0.528506,-0.407140,0.215138,0.146230
9,3194305415,-0.411238,0.551326,0.496463,-0.529577,-0.749517,0.205547,0.183723
10,3194338749,-0.416040,0.550609,0.491331,-0.531355,-1.340245,0.309432,0.245836
11,3194372083,-0.424337,0.548609,0.483526,-0.534016,-2.050100,0.394048,0.360551
12,3194405417,-0.435677,0.545000,0.473385,-0.537654,-2.100350,0.407737,0.368470
13,3194438751,-0.447685,0.538785,0.463544,-0.542605,-1.232288,0.408635,0.440841
14,3194472085,-0.457237,0.529998,0.456540,-0.549192,0.597318,-0.252773,-0.026903
15,3194505419,-0.460884,0.523005,0.454551,-0.554472,2.086662,-0.129681,0.571177
16,3194538753,-0.465957,0.518753,0.452310,-0.556057,1.596186,0.974392,0.425694
17,3194572087,-0.474560,0.517687,0.447413,-0.553732,0.608480,0.095253,-0.075870
18,3194605421,-0.483868,0.518613,0.441357,-0.549655,0.623022,-0.238265,-0.044610
19,3194638755,-0.490682,0.518950,0.438839,-0.545295,1.025629,-0.153821,-0.158957
20,3194672089,-0.496510,0.519150,0.438306,-0.540234,0.712175,-0.212232,-0.479753
21,3194705423,-0.499751,0.517113,0.442525,-0.535741,0.339618,0.390021,-0.330847
22,3194738757,-0.498985,0.512662,0.452436,-0.532445,0.937214,-1.667949,0.020898
23,3194772091,-0.496969,0.506788,0.460559,-0.532990,-1.046183,-2.429188,0.629951
24,3194805425,-0.498417,0.502436,0.460064,-0.536176,-2.587621,-2.218086,1.382730
25,3194838759,-0.499208,0.500470,0.455175,-0.541425,-1.788448,-2.456874,0.952437
26,3194872093,-0.495716,0.498928,0.451181,-0.549342,0.089604,-2.744071,-0.157253
27,3194905427,-0.489617,0.499321,0.445970,-0.558631,1.295376,-1.156460,-0.477154
28,3194938761,-0.484118,0.503747,0.439975,-0.564176,1.850481,1.944084,-0.858440
29,3194972095,-0.480247,0.511713,0.433779,-0.565114,2.930234,2.492027,-0.868251
30,3195005429,-0.479099,0.522835,0.425482,-0.562208,1.734237,0.779481,-0.557266
31,3195038763,-0.476835,0.532635,0.420154,-0.558931,0.899040,-0.347223,-0.656236
32,3195072097,-0.470996,0.539386,0.421079,-0.556707,0.610833,-1.545975,-0.224101
33,3195105431,-0.460123,0.541376,0.428390,-0.558288,-0.088969,-1.760071,-0.120691
34,3195138765,-0.446985,0.540827,0.438032,-0.561999,-0.675058,-1.340856,0.685480
35,3195172099,-0.435925,0.537145,0.447725,-0.566561,-1.106001,0.000504,1.189544
36,3195205433,-0.424480,0.529453,0.461492,-0.571425,0.173006,1.586892,0.492809
37,3195238767,-0.415738,0.524492,0.473232,-0.572822,-0.209132,1.237444,0.114317
38,3195272101,-0.412373,0.521012,0.478995,-0.573640,-1.995344,-0.489512,0.692522
39,3195305435,-0.409064,0.519323,0.483069,-0.574125,-0.891901,-0.270956,-0.185588
40,3195338769,-0.406843,0.520482,0.487496,-0.570902,-0.619117,0.848945,0.331583
41,3195372103,-0.407323,0.519946,0.490725,-0.568277,-0.923547,0.514287,0.788045
42,3195405437,-0.408696,0.517687,0.494992,-0.565646,-1.120541,0.298797,0.310883
43,3195438771,-0.409198,0.511914,0.500985,-0.565261,-0.803277,-0.164854,0.451853
44,3195472105,-0.410982,0.506602,0.505354,-0.564863,-0.100121,-0.768374,-0.409769
45,3195505439,-0.411813,0.506024,0.509709,-0.560849,0.375423,-0.119675,-0.241133
46,3195538773,-0.413388,0.507507,0.512754,-0.555550,0.172285,0.458400,0.198319
47,3195572107,-0.415165,0.510291,0.516135,-0.548498,-0.043272,-0.097661,0.091784
48,3195605441,-0.415045,0.512583,0.520924,-0.541883,-0.254319,-0.592571,0.158583
49,3195638775,-0.412498,0.513509,0.527541,-0.536524,-0.305551,-0.596739,-0.005603
50,3195672109,-0.409035,0.513748,0.534567,-0.531973,-0.333246,-0.208805,0.027525
