sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:03:06_904 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3055335969,0.782439,-0.158424,-0.491875,0.347493,-1.672995,0.768120,2.897516
2,3055369303,0.784211,-0.139621,-0.498034,0.342757,-1.625347,1.078879,3.473089
3,3055402637,0.789009,-0.114562,-0.501418,0.336038,-1.059644,1.837640,4.395455
4,3055435971,0.800555,-0.082678,-0.495037,0.327436,-0.611785,1.880180,5.174928
5,3055469305,0.815639,-0.042575,-0.483497,0.314884,-0.461562,1.456490,4.263959
6,3055502639,0.830766,0.003819,-0.470090,0.298044,0.142197,1.430286,3.849683
7,3055535973,0.847884,0.051167,-0.446604,0.281105,0.262465,1.580582,2.304344
8,3055569307,0.864900,0.095337,-0.414501,0.266550,0.325964,1.383598,0.466292
9,3055602641,0.879443,0.133298,-0.379475,0.254581,0.785533,0.878743,-0.385802
10,3055635975,0.891012,0.164245,-0.344520,0.245822,0.666657,0.998987,-1.809518
11,3055669309,0.900317,0.184272,-0.311053,0.242321,0.806308,1.657082,-3.054423
12,3055702643,0.907243,0.192036,-0.287687,0.239311,1.374183,0.611709,-3.741004
13,3055735977,0.913716,0.187897,-0.272609,0.235589,3.906301,-0.251267,-3.519783
14,3055769311,0.922085,0.176622,-0.253322,0.233223,3.754466,-2.065424,-3.951186
15,3055802645,0.930506,0.161520,-0.235159,0.229720,3.390829,-2.594196,-5.188877
16,3055835979,0.938038,0.143446,-0.223458,0.222653,2.145492,-2.764041,-5.873975
17,3055869313,0.944507,0.123608,-0.214573,0.215841,2.910440,-2.986491,-4.536389
18,3055902647,0.950381,0.103176,-0.205331,0.209692,3.044975,-2.080301,-5.329547
19,3055935981,0.955850,0.081401,-0.196949,0.202329,2.251256,-3.739235,-3.783646
20,3055969315,0.959395,0.061804,-0.193993,0.195213,1.636026,-4.495103,-2.434718
21,3056002649,0.960454,0.041583,-0.201108,0.188029,2.930626,-4.150721,-1.034925
22,3056035983,0.961428,0.023742,-0.209768,0.176324,0.236768,-3.749114,2.725173
23,3056069317,0.962127,0.011325,-0.217422,0.164049,0.520284,-1.500951,2.013036
24,3056102651,0.962984,0.001158,-0.222025,0.152859,-0.913920,-0.987392,3.440331
25,3056135985,0.961262,-0.003679,-0.236590,0.141378,-1.304403,-1.420046,3.698931
26,3056169319,0.958074,-0.003459,-0.254323,0.131920,-1.498353,-0.286442,3.772320
27,3056202653,0.955074,0.004452,-0.269057,0.124192,-2.694696,-0.581880,3.599545
28,3056235987,0.950602,0.020780,-0.285986,0.118896,-3.477497,0.309826,3.345805
29,3056269321,0.944127,0.043698,-0.305649,0.115301,-2.844286,0.860099,3.544476
30,3056302655,0.936813,0.074485,-0.322454,0.113392,-3.115083,0.444339,2.379741
31,3056335989,0.928221,0.107369,-0.338808,0.109941,-1.805316,2.065417,0.500984
32,3056369323,0.923142,0.138306,-0.342606,0.106310,-0.385034,1.208765,0.614559
33,3056402657,0.921451,0.168587,-0.333688,0.105640,-2.162796,2.054796,0.890800
34,3056435991,0.920219,0.198645,-0.319903,0.106769,-2.295321,2.562142,1.500398
35,3056469325,0.920857,0.228194,-0.295233,0.113082,-1.975144,2.853878,1.190202
36,3056502659,0.921506,0.254410,-0.267011,0.121692,-1.887537,3.024726,-0.196853
37,3056535993,0.920928,0.272754,-0.248173,0.126126,-1.057955,3.274304,-0.406192
38,3056569327,0.920295,0.283528,-0.236299,0.129737,0.302956,3.109088,-0.852388
39,3056602661,0.920115,0.288744,-0.228077,0.134154,-0.321338,2.208394,-1.118666
40,3056635995,0.918482,0.291025,-0.230079,0.136968,1.185374,1.305135,-1.084850
41,3056669329,0.918227,0.289503,-0.228274,0.144700,2.103963,0.849171,-1.524707
42,3056702663,0.919463,0.284176,-0.222961,0.155309,1.387011,-0.100607,-2.287320
43,3056735997,0.921130,0.273449,-0.223330,0.163920,1.834997,-0.500124,-2.332266
44,3056769331,0.925224,0.255611,-0.216384,0.178331,1.926062,-1.093522,-2.954892
45,3056802665,0.930725,0.230662,-0.212581,0.188033,2.590737,-1.426973,-3.978666
46,3056835999,0.938730,0.197863,-0.206279,0.192578,3.746300,-2.581446,-3.371277
47,3056869333,0.948298,0.165318,-0.185593,0.197374,3.347966,-3.498474,-2.793497
48,3056902667,0.957684,0.135770,-0.159417,0.197469,3.067348,-3.879059,-3.158761
49,3056936001,0.965129,0.111536,-0.138625,0.192013,1.566669,-4.016675,-2.249239
50,3056969335,0.970220,0.091173,-0.129661,0.183164,1.256126,-2.902781,-1.739989
51,3057002669,0.973666,0.072616,-0.128100,0.174048,0.988552,-2.436639,-0.872787
52,3057036003,0.975226,0.057188,-0.133486,0.166874,0.025126,-2.730193,-0.057983
53,3057069337,0.973873,0.046289,-0.149448,0.164604,-0.772549,-2.041898,1.540086
54,3057102671,0.968984,0.037618,-0.176354,0.168984,-2.164004,-0.254717,3.009384
55,3057136005,0.959522,0.034981,-0.216003,0.177309,-1.676325,-0.991291,3.437196
56,3057169339,0.948469,0.038527,-0.254791,0.184404,-0.835278,-0.005829,0.631231
57,3057202673,0.938057,0.039218,-0.286755,0.190481,-0.198497,0.261992,1.521360
58,3057236007,0.928710,0.040941,-0.313983,0.192970,-1.411044,0.978065,4.499689
59,3057269341,0.922052,0.051877,-0.328388,0.198217,-2.434169,1.167356,4.165143
60,3057302675,0.915932,0.069133,-0.338563,0.204119,-2.783971,2.222276,2.328257
61,3057336009,0.909536,0.086948,-0.349116,0.208094,-1.651796,1.944936,1.166108
62,3057369343,0.903794,0.102217,-0.358827,0.209646,-0.517686,2.214305,0.424967
63,3057402677,0.899213,0.113434,-0.367027,0.209380,-0.123805,2.663798,-0.551737
64,3057436011,0.895636,0.119660,-0.374074,0.208774,0.551521,2.613502,-0.967594
65,3057469345,0.894603,0.120430,-0.377323,0.206905,1.209587,2.598579,-1.308370
