sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:03:06_902 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3055302635,-0.431225,0.524248,0.552117,-0.484128,-1.046972,-0.033998,0.028288
2,3055335969,-0.429937,0.525556,0.552609,-0.483293,-0.456494,0.204669,0.059717
3,3055369303,-0.427674,0.526790,0.553917,-0.482460,-0.368836,0.516012,0.141805
4,3055402637,-0.425056,0.528608,0.555035,-0.481500,-0.608747,0.263756,0.148133
5,3055435971,-0.423454,0.531271,0.554492,-0.480604,-0.479192,0.310765,0.099281
6,3055469305,-0.423202,0.534064,0.553007,-0.479440,0.462102,0.261724,0.360524
7,3055502639,-0.424081,0.538718,0.550777,-0.476012,0.177511,0.530356,0.093526
8,3055535973,-0.424565,0.543258,0.548651,-0.472865,0.060178,0.150986,0.251835
9,3055569307,-0.425000,0.546908,0.545965,-0.471374,0.294856,-0.453388,0.011229
10,3055602641,-0.425552,0.549216,0.543203,-0.471384,0.797938,-0.109736,0.342396
11,3055635975,-0.426401,0.550703,0.541084,-0.471319,-0.077827,-0.151110,0.077055
12,3055669309,-0.426571,0.552236,0.539322,-0.471390,-0.018052,-0.092021,0.134001
13,3055702643,-0.427877,0.554340,0.536699,-0.470732,0.344374,-0.192476,0.286378
14,3055735977,-0.429204,0.554895,0.534746,-0.471092,0.099389,-0.243788,0.142732
15,3055769311,-0.428503,0.553784,0.534756,-0.473021,-0.138998,-0.529412,-0.029315
16,3055802645,-0.426096,0.551820,0.535940,-0.476141,-0.122448,-0.553924,0.111590
17,3055835979,-0.423742,0.549677,0.537285,-0.479194,-0.109900,0.000757,0.218867
18,3055869313,-0.421411,0.547015,0.539029,-0.482326,-0.152582,0.205628,0.188308
19,3055902647,-0.418846,0.543573,0.541154,-0.486060,-0.049790,0.021857,0.087817
20,3055935981,-0.415843,0.539909,0.543584,-0.489994,0.152148,-0.018945,-0.069674
21,3055969315,-0.412252,0.536552,0.546191,-0.493802,0.176995,-0.057934,0.014593
22,3056002649,-0.409233,0.534081,0.548041,-0.496932,-0.124136,0.270609,0.099018
23,3056035983,-0.407232,0.532589,0.549033,-0.499076,-0.224507,0.298360,0.183443
24,3056069317,-0.406052,0.531665,0.549406,-0.500612,-0.129075,-0.038739,0.066993
25,3056102651,-0.404161,0.530089,0.550232,-0.502900,0.045621,-0.224237,0.030930
26,3056135985,-0.401396,0.527970,0.551730,-0.505695,0.328725,-0.239926,-0.069200
27,3056169319,-0.398128,0.525997,0.553560,-0.508328,0.246941,0.008036,0.129886
28,3056202653,-0.395837,0.524785,0.554617,-0.510213,-0.040070,0.010316,0.196762
29,3056235987,-0.394105,0.523636,0.555488,-0.511785,0.014419,-0.224403,0.191809
30,3056269321,-0.391971,0.521487,0.556914,-0.514063,-0.206435,-0.298300,0.146543
31,3056302655,-0.388685,0.518014,0.559229,-0.517545,-0.460168,-0.150799,0.041803
32,3056335989,-0.384916,0.514776,0.561713,-0.520892,-0.484634,0.263838,0.131454
33,3056369323,-0.382828,0.513595,0.562660,-0.522572,-0.600369,0.519617,0.062027
34,3056402657,-0.382639,0.514313,0.561988,-0.522726,-0.596635,0.655300,0.173396
35,3056435991,-0.383487,0.515955,0.560562,-0.522018,-0.408408,0.217380,0.045568
36,3056469325,-0.384682,0.518164,0.558635,-0.521016,-0.338035,0.086061,0.079228
37,3056502659,-0.386669,0.521273,0.555952,-0.519310,-0.195355,-0.154471,0.152586
38,3056535993,-0.388470,0.524499,0.553329,-0.517516,0.089017,-0.009736,0.079294
39,3056569327,-0.390553,0.527609,0.550593,-0.515702,0.132647,0.057610,0.185916
40,3056602661,-0.392506,0.530312,0.547983,-0.514225,0.227504,-0.284764,0.108896
41,3056635995,-0.393699,0.532611,0.546014,-0.513030,0.347310,-0.447662,0.141977
42,3056669329,-0.394749,0.534289,0.544418,-0.512173,0.211763,-0.395338,0.102406
43,3056702663,-0.395678,0.535416,0.543201,-0.511572,0.233323,-0.370097,0.204541
44,3056735997,-0.396785,0.536414,0.542075,-0.510863,0.194793,-0.382584,0.103073
45,3056769331,-0.397166,0.536858,0.541563,-0.510643,0.108189,-0.201506,0.104107
46,3056802665,-0.397202,0.536909,0.541422,-0.510712,0.057554,-0.054581,0.115347
47,3056835999,-0.397263,0.536778,0.541367,-0.510860,-0.065559,0.078070,0.147292
48,3056869333,-0.397346,0.536627,0.541348,-0.510975,-0.160710,0.002939,0.099564
49,3056902667,-0.397619,0.536513,0.541219,-0.511017,-0.061674,0.088348,0.137589
50,3056936001,-0.397851,0.536295,0.541114,-0.511177,0.101700,-0.077586,0.098643
51,3056969335,-0.397751,0.535769,0.541357,-0.511549,0.036860,-0.276315,0.140439
52,3057002669,-0.397216,0.534594,0.542091,-0.512417,-0.037713,-0.310084,0.110420
53,3057036003,-0.396730,0.533386,0.542943,-0.513148,0.132386,-0.164149,0.123423
54,3057069337,-0.395930,0.532056,0.544142,-0.513877,0.226078,-0.120354,0.082097
55,3057102671,-0.393212,0.530001,0.547029,-0.515021,0.211811,-0.271531,-0.077497
56,3057136005,-0.387374,0.526792,0.552194,-0.517221,0.232830,0.528084,-0.106027
57,3057169339,-0.382820,0.525104,0.555400,-0.518893,-0.845746,0.894792,0.287717
58,3057202673,-0.384946,0.528591,0.553290,-0.516026,-1.285280,-0.067594,0.420186
59,3057236007,-0.387338,0.530878,0.551492,-0.513808,-0.319669,-0.309938,0.174821
60,3057269341,-0.386513,0.529199,0.552413,-0.515171,0.304290,-0.460113,0.000326
61,3057302675,-0.383847,0.526979,0.554372,-0.517329,0.131395,-0.487665,0.024878
62,3057336009,-0.382659,0.526872,0.555198,-0.517434,0.085744,0.196548,0.104384
63,3057369343,-0.383193,0.527641,0.554873,-0.516603,-0.278079,0.733481,0.161109
64,3057402677,-0.384507,0.529216,0.553819,-0.515144,-0.448487,0.296530,0.011795
65,3057436011,-0.385496,0.531519,0.552590,-0.513351,-0.496888,-0.098584,0.030076
66,3057469345,-0.386426,0.534119,0.551027,-0.511630,-0.315510,-0.074563,0.092113
67,3057502679,-0.387649,0.537136,0.549049,-0.509670,0.026174,0.113567,0.018650
68,3057536013,-0.390592,0.542149,0.545518,-0.505892,0.137123,0.482742,-0.026269
69,3057569347,-0.394865,0.548977,0.540478,-0.500593,-0.085120,0.374115,0.039629
70,3057602681,-0.400114,0.557377,0.534187,-0.493850,0.078097,0.421360,0.053275
71,3057636015,-0.406287,0.566302,0.526856,-0.486477,0.241223,0.447211,0.288676
72,3057669349,-0.414950,0.575314,0.517372,-0.478708,-0.036471,0.154716,0.210840
73,3057702683,-0.424216,0.584589,0.507598,-0.469728,-0.336222,0.340201,0.368120
74,3057736017,-0.434786,0.592447,0.498830,-0.459501,-0.607934,0.251008,0.516486
75,3057769351,-0.447791,0.600437,0.487127,-0.449078,-0.646159,-1.210011,-0.583955
76,3057802685,-0.455166,0.606802,0.478499,-0.442333,0.726207,0.495165,0.123742
77,3057836019,-0.460748,0.614379,0.470630,-0.434467,1.392294,0.049143,-0.013958
78,3057869353,-0.469292,0.624393,0.458982,-0.423364,0.525765,0.158185,0.156546
79,3057902687,-0.478744,0.633880,0.446511,-0.411866,-0.341282,0.076898,0.108002
80,3057936021,-0.488445,0.642118,0.434234,-0.400688,-0.116332,-0.477372,0.369365
81,3057969355,-0.494621,0.647883,0.425637,-0.392983,-0.178543,-1.063758,-0.050607
82,3058002689,-0.496818,0.651439,0.420693,-0.389642,0.100574,0.044513,0.207402
83,3058036023,-0.499883,0.653909,0.416219,-0.386374,0.047015,0.009554,0.325977
84,3058069357,-0.501414,0.654993,0.414139,-0.384787,0.288988,-0.710405,-0.021140
85,3058102691,-0.499640,0.655484,0.414636,-0.385723,0.348972,-0.437653,0.085081
86,3058136025,-0.497847,0.655641,0.415209,-0.387155,-0.079518,0.232226,0.227615
87,3058169359,-0.495914,0.654529,0.416908,-0.389683,-0.214003,-0.276666,0.244690
88,3058202693,-0.492477,0.651799,0.420788,-0.394419,-0.221538,-0.575557,0.088827
89,3058236027,-0.487574,0.647777,0.426141,-0.401329,0.041586,-0.335928,0.194501
90,3058269361,-0.482293,0.643155,0.432177,-0.408623,0.252934,-0.292100,0.154681
91,3058302695,-0.476760,0.637773,0.438735,-0.416488,0.239414,-0.258398,0.201117
92,3058336029,-0.470617,0.631698,0.446123,-0.424801,0.197812,-0.224509,0.127995
93,3058369363,-0.464106,0.625523,0.453483,-0.433226,0.061101,0.192881,0.113701
94,3058402697,-0.457702,0.619268,0.460386,-0.441661,-0.206388,0.220901,0.113252
95,3058436031,-0.451025,0.612340,0.467364,-0.450768,-0.779047,0.209376,0.189769
96,3058469365,-0.444777,0.604488,0.473980,-0.460561,-1.450484,0.350934,0.306763
97,3058502699,-0.441666,0.595640,0.477953,-0.470860,-2.396949,0.087163,0.695059
98,3058536033,-0.445684,0.584397,0.476446,-0.482544,-3.600566,0.036081,0.907996
99,3058569367,-0.457053,0.567680,0.469611,-0.498310,-4.244073,-0.455639,1.193697
100,3058602701,-0.467059,0.543036,0.463726,-0.521469,-1.382542,-1.794140,0.978819
101,3058636035,-0.468112,0.513822,0.466422,-0.547095,2.829492,-0.913838,1.308673
102,3058669369,-0.469449,0.488532,0.469941,-0.565787,5.419693,-0.294353,-1.080184
103,3058702703,-0.470608,0.475264,0.471214,-0.574991,3.971401,1.483589,-1.744731
