sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_14:58:38_208 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2786597261,0.829621,-0.553735,-0.071633,0.002552,0.040745,0.088735,0.158763
2,2786630595,0.829599,-0.553785,-0.071503,0.002376,-0.016085,0.020032,0.104468
3,2786663929,0.829619,-0.553792,-0.071224,0.002206,-0.016215,-0.062024,0.088436
4,2786697263,0.829518,-0.553953,-0.071155,0.001825,-0.052207,-0.071579,0.112597
5,2786730597,0.829465,-0.554026,-0.071209,0.001841,-0.032159,0.081229,0.111774
6,2786763931,0.829436,-0.554077,-0.071146,0.001850,-0.055621,0.030771,0.107491
7,2786797265,0.829341,-0.554206,-0.071250,0.001982,-0.014811,0.000348,0.090092
8,2786830599,0.829212,-0.554382,-0.071383,0.001953,-0.010589,-0.010614,0.116148
9,2786863933,0.829176,-0.554420,-0.071497,0.002165,0.042193,0.000853,0.079292
10,2786897267,0.829170,-0.554444,-0.071383,0.002041,-0.052555,-0.023891,0.087809
11,2786930601,0.829090,-0.554551,-0.071480,0.002028,-0.099190,0.010890,0.147112
12,2786963935,0.829091,-0.554560,-0.071405,0.002050,0.015971,-0.028089,0.073956
13,2786997269,0.829048,-0.554599,-0.071588,0.002371,0.084600,0.044891,0.080417
14,2787030603,0.828987,-0.554685,-0.071638,0.002030,-0.119432,-0.018796,0.144150
15,2787063937,0.829027,-0.554643,-0.071501,0.001963,0.067592,-0.035102,0.028605
16,2787097271,0.829023,-0.554657,-0.071447,0.001839,0.064717,0.027811,0.095285
17,2787130605,0.829089,-0.554565,-0.071393,0.001817,-0.118026,-0.013375,0.112106
18,2787163939,0.829121,-0.554515,-0.071402,0.001871,0.049193,0.124693,0.115124
19,2787197273,0.829102,-0.554539,-0.071444,0.001793,-0.039085,-0.076185,0.074261
20,2787230607,0.829061,-0.554589,-0.071533,0.001666,-0.017629,0.046952,0.091979
21,2787263941,0.829110,-0.554525,-0.071463,0.001692,-0.007829,-0.059313,0.091198
22,2787297275,0.829120,-0.554525,-0.071354,0.001655,-0.031176,0.004838,0.094625
23,2787330609,0.829092,-0.554550,-0.071477,0.001623,-0.097063,-0.011320,0.145834
24,2787363943,0.829157,-0.554449,-0.071506,0.001916,0.054690,0.025096,0.103126
25,2787397277,0.829112,-0.554508,-0.071549,0.002213,-0.050165,-0.059893,0.103633
26,2787430611,0.829034,-0.554590,-0.071818,0.002334,-0.130102,-0.015664,0.129446
27,2787463945,0.828963,-0.554636,-0.072256,0.003009,0.102087,0.067162,0.012620
28,2787497279,0.828829,-0.554753,-0.072853,0.003834,-0.019184,-0.017683,0.125236
29,2787530613,0.828724,-0.554848,-0.073288,0.004449,-0.103311,0.051264,0.136289
30,2787563947,0.828618,-0.554974,-0.073514,0.004769,0.028371,0.017456,0.074198
31,2787597281,0.828633,-0.554944,-0.073560,0.004911,0.111540,-0.023157,0.073581
32,2787630615,0.828654,-0.554911,-0.073565,0.005083,-0.098930,0.051432,0.144985
33,2787663949,0.828668,-0.554919,-0.073334,0.005192,0.037700,0.029478,0.069075
34,2787697283,0.828601,-0.555052,-0.073102,0.004953,-0.057246,-0.045524,0.133658
35,2787730617,0.828576,-0.555085,-0.073126,0.005089,0.058584,0.050638,0.105811
36,2787763951,0.828518,-0.555202,-0.072892,0.005038,-0.059479,0.042803,0.104849
37,2787797285,0.828546,-0.555196,-0.072613,0.005159,-0.075175,-0.042153,0.066665
38,2787830619,0.828503,-0.555267,-0.072556,0.005293,0.077239,0.050446,0.105057
39,2787863953,0.828478,-0.555333,-0.072328,0.005299,-0.088319,0.004278,0.078038
40,2787897287,0.828479,-0.555383,-0.071939,0.005278,-0.014289,-0.014556,0.097277
41,2787930621,0.828508,-0.555391,-0.071553,0.005054,0.073177,0.076137,0.119714
42,2787963955,0.828549,-0.555414,-0.070939,0.004556,-0.087182,0.035215,0.054266
43,2787997289,0.828638,-0.555378,-0.070203,0.004203,0.170577,0.265183,0.080405
44,2788030623,0.828708,-0.555487,-0.068544,0.003225,-0.129362,0.114567,0.170695
45,2788063957,0.828940,-0.555321,-0.067079,0.002958,-0.025768,-0.015368,0.132936
46,2788097291,0.829109,-0.555204,-0.065964,0.002690,0.137237,0.192228,-0.069208
47,2788130625,0.828807,-0.555517,-0.067071,0.003407,0.071167,0.289195,-0.094721
48,2788163959,0.828206,-0.555965,-0.070499,0.006260,-0.180117,-0.192980,0.091851
49,2788197293,0.828068,-0.555759,-0.073339,0.009415,-0.309568,0.061566,0.145361
50,2788230627,0.827717,-0.555872,-0.076077,0.011611,-0.076460,0.287939,0.193298
51,2788263961,0.827114,-0.556553,-0.077628,0.011658,-0.208007,0.378256,0.242028
52,2788297295,0.826522,-0.557383,-0.078051,0.011160,-0.164251,0.142330,0.129873
53,2788330629,0.826073,-0.557940,-0.078824,0.011151,-0.055503,-0.054815,0.112117
54,2788363963,0.825986,-0.557938,-0.079743,0.011135,0.059314,0.025534,-0.153144
55,2788397297,0.825626,-0.558158,-0.081838,0.011595,-0.393617,0.195586,0.174636
56,2788430631,0.825251,-0.558119,-0.085608,0.012930,-0.071978,0.338807,0.167989
57,2788463965,0.825404,-0.557524,-0.088092,0.012056,-0.048910,0.028136,0.071408
58,2788497299,0.825888,-0.556310,-0.091286,0.011198,-0.122380,0.147538,0.214709
59,2788530633,0.826820,-0.554470,-0.094157,0.009913,0.207823,0.415377,0.375842
60,2788563967,0.828451,-0.552098,-0.094116,0.005459,-0.111093,-0.086147,-0.013848
61,2788597301,0.830004,-0.549602,-0.095155,0.002662,-0.405534,0.169277,0.094421
62,2788630635,0.831226,-0.547442,-0.096956,0.001257,-0.345503,-0.216289,0.136729
63,2788663969,0.832540,-0.545116,-0.098779,-0.000376,0.213559,-0.104270,0.001180
64,2788697303,0.833827,-0.543167,-0.098597,-0.003339,-0.170894,0.378247,0.123989
65,2788730637,0.835121,-0.541301,-0.097760,-0.006318,-0.194823,0.204146,0.280119
66,2788763971,0.836603,-0.539201,-0.096417,-0.009590,-0.179440,0.366687,-0.016006
67,2788797305,0.838400,-0.536501,-0.095447,-0.013137,-0.297580,0.776274,0.302862
68,2788830639,0.841016,-0.532366,-0.094913,-0.017373,0.132856,0.338052,0.054247
69,2788863973,0.843437,-0.528331,-0.094937,-0.022333,-0.069180,-0.102851,-0.100659
70,2788897307,0.845627,-0.524575,-0.094841,-0.027808,-0.882058,0.783171,0.337034
71,2788930641,0.848437,-0.519891,-0.094108,-0.032301,-0.345653,-0.412983,0.450722
72,2788963975,0.851750,-0.514544,-0.092316,-0.035723,-0.219030,-0.369796,0.057011
73,2788997309,0.855060,-0.509352,-0.089455,-0.038221,-0.135340,0.171314,-0.211075
74,2789030643,0.858709,-0.503954,-0.083754,-0.040809,-0.725661,-0.280497,0.049479
75,2789063977,0.862726,-0.497695,-0.077882,-0.044374,-0.288316,0.371750,0.220477
76,2789097311,0.866701,-0.491132,-0.071110,-0.050922,-0.766099,0.166120,0.486713
77,2789130645,0.870398,-0.484896,-0.063943,-0.056794,-1.124839,0.391748,0.228797
78,2789163979,0.873522,-0.479264,-0.060123,-0.060680,0.125831,0.790617,0.143553
79,2789197313,0.876022,-0.474652,-0.056894,-0.063918,-0.059975,-0.069298,0.193983
80,2789230647,0.878482,-0.470301,-0.053020,-0.065627,-0.122492,0.471473,-0.121967
81,2789263981,0.880792,-0.466275,-0.050629,-0.065276,0.333271,0.749335,0.264789
82,2789297315,0.883060,-0.462368,-0.043571,-0.067479,0.370494,0.111907,0.071651
83,2789330649,0.885416,-0.458247,-0.034371,-0.069985,-0.438409,0.378787,0.194803
84,2789363983,0.887693,-0.454176,-0.028023,-0.070510,-0.002385,0.442232,0.242456
85,2789397317,0.889946,-0.450082,-0.021755,-0.070575,-0.254026,-0.621101,0.001769
86,2789430651,0.892355,-0.445741,-0.015051,-0.069439,0.342657,0.152204,-0.057290
87,2789463985,0.894666,-0.441625,-0.008242,-0.067110,-0.084034,0.079074,0.497669
88,2789497319,0.897095,-0.437342,-0.004163,-0.062972,-0.257262,0.152533,0.785006
89,2789530653,0.899018,-0.433995,-0.000184,-0.058707,0.888027,-0.822743,0.265400
90,2789563987,0.900088,-0.431836,0.007489,-0.057746,1.087163,-2.013859,-0.181136
91,2789597321,0.899310,-0.432933,0.019118,-0.058963,0.554224,-1.958017,-0.129815
92,2789630655,0.897769,-0.434456,0.039280,-0.061216,-2.567639,-2.574538,-0.165136
93,2789663989,0.897160,-0.434174,0.055683,-0.059383,-1.947991,2.826483,0.377603
