sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_14:58:38_222 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2786530593,0.728014,-0.497296,0.344898,-0.322083,-0.047710,0.034654,0.156716
2,2786563927,0.728437,-0.497441,0.344066,-0.321793,0.067017,0.119316,0.155354
3,2786597261,0.728625,-0.497219,0.343805,-0.321991,0.155442,0.099144,0.162962
4,2786630595,0.728804,-0.497119,0.343482,-0.322085,-0.035229,0.122062,0.128060
5,2786663929,0.728957,-0.497216,0.343248,-0.321838,0.016306,-0.082073,0.108809
6,2786697263,0.728951,-0.497017,0.343430,-0.321966,-0.076593,0.056500,0.101817
7,2786730597,0.729160,-0.497248,0.343126,-0.321458,0.002886,0.062897,0.108651
8,2786763931,0.729386,-0.497352,0.342810,-0.321121,0.045237,0.009169,0.141086
9,2786797265,0.729582,-0.497393,0.342603,-0.320832,-0.002168,0.046916,0.180507
10,2786830599,0.729733,-0.497362,0.342400,-0.320753,-0.034664,0.044049,0.080486
11,2786863933,0.729934,-0.497684,0.342038,-0.320186,0.070421,0.050966,0.182559
12,2786897267,0.730020,-0.497710,0.341921,-0.320073,0.015025,0.055214,0.087038
13,2786930601,0.730020,-0.497704,0.341974,-0.320025,-0.014073,0.083090,0.160025
14,2786963935,0.730019,-0.497917,0.341922,-0.319750,0.030193,0.057239,0.055514
15,2786997269,0.729961,-0.498145,0.342030,-0.319414,0.189460,-0.035975,0.255615
16,2787030603,0.729776,-0.497712,0.342460,-0.320048,-0.210862,0.152331,0.016384
17,2787063937,0.729839,-0.497910,0.342270,-0.319801,0.028124,-0.034116,0.138972
18,2787097271,0.729790,-0.497691,0.342274,-0.320248,0.115948,-0.011107,0.174767
19,2787130605,0.729815,-0.497747,0.342164,-0.320223,-0.054388,0.150446,0.086067
20,2787163939,0.729799,-0.497772,0.342274,-0.320102,0.096390,-0.015163,0.171937
21,2787197273,0.729810,-0.497872,0.342221,-0.319979,-0.005968,0.100979,0.135750
22,2787230607,0.729691,-0.497717,0.342499,-0.320193,-0.034304,0.015143,0.118814
23,2787263941,0.729737,-0.497847,0.342340,-0.320056,0.010471,0.035818,0.122528
24,2787297275,0.729786,-0.497836,0.342209,-0.320102,0.106962,0.020823,0.190289
25,2787330609,0.729962,-0.498310,0.341354,-0.319877,-0.166186,0.188190,0.002293
26,2787363943,0.729966,-0.498977,0.340878,-0.319334,0.096293,-0.063297,0.219611
