sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:18:37_963 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3986387923,0.604355,-0.309913,-0.077834,0.729853,-3.677941,0.889419,1.994536
2,3986421257,0.604707,-0.315108,-0.065912,0.728511,-3.764436,1.478484,1.104357
3,3986454591,0.609433,-0.321754,-0.048266,0.723029,-3.992572,0.828035,0.079023
4,3986487925,0.617694,-0.329732,-0.028298,0.713418,-2.399814,0.550562,-1.979808
5,3986521259,0.628278,-0.341354,-0.008908,0.699072,-0.518977,-3.213671,-3.980386
6,3986554593,0.640698,-0.353869,0.000860,0.681408,1.869248,-3.953388,-1.232465
7,3986587927,0.655157,-0.360253,-0.002483,0.664091,3.443484,-4.033106,-0.528824
8,3986621261,0.667393,-0.366644,-0.008342,0.648170,4.053894,-4.197419,-2.134387
9,3986654595,0.676160,-0.375361,-0.012153,0.633877,5.376775,-3.490046,-1.061221
10,3986687929,0.682749,-0.384136,-0.014900,0.621375,4.882298,-2.773422,-0.002549
11,3986721263,0.681585,-0.392761,-0.022175,0.617029,2.590984,-0.999604,-0.086097
12,3986754597,0.667312,-0.415764,-0.028429,0.617303,-1.511968,0.792242,0.022034
13,3986787931,0.651335,-0.431415,-0.049325,0.622291,2.057700,1.500958,3.793174
14,3986821265,0.643301,-0.417562,-0.087830,0.635710,-2.915901,5.025158,0.485386
15,3986854599,0.639898,-0.417720,-0.096475,0.637785,-4.885142,4.047274,1.525029
16,3986887933,0.640463,-0.424806,-0.089275,0.633571,-1.550808,1.846245,2.911064
17,3986921267,0.640761,-0.425623,-0.084843,0.633331,-1.264023,1.347163,1.128257
18,3986954601,0.638826,-0.425506,-0.081851,0.635753,-1.125997,0.283653,0.059418
19,3986987935,0.635806,-0.424249,-0.080351,0.639800,-0.659355,-0.242260,0.836056
20,3987021269,0.633607,-0.421075,-0.076824,0.644494,-1.360176,0.231460,-0.064598
21,3987054603,0.633151,-0.419606,-0.065900,0.647104,-1.003715,-0.279272,-0.971177
22,3987087937,0.634867,-0.420657,-0.049720,0.646185,-0.732367,-0.803105,-1.449908
23,3987121271,0.637691,-0.423968,-0.031879,0.642355,-0.938432,-1.875917,-2.584818
24,3987154605,0.640104,-0.428419,-0.017705,0.637531,-0.069661,-2.127867,-2.282956
25,3987187939,0.642121,-0.430859,-0.010226,0.634013,-1.072450,-1.601671,-2.571245
26,3987221273,0.642257,-0.438392,-0.000159,0.628772,-0.087206,-1.932704,-3.391387
27,3987254607,0.640741,-0.448332,0.010625,0.623195,0.657926,-2.378077,-3.416850
28,3987287941,0.638441,-0.454245,0.014847,0.621184,1.286742,-2.338578,0.058766
29,3987321275,0.634092,-0.456842,0.013875,0.623751,1.516368,-0.190650,-0.586864
30,3987354609,0.625082,-0.464860,0.019568,0.626762,1.736383,1.496820,0.096169
31,3987387943,0.615713,-0.475423,0.030057,0.627696,1.866097,1.049472,2.217768
32,3987421277,0.609162,-0.477920,0.032343,0.632064,0.374348,1.893014,1.480067
33,3987454611,0.601554,-0.480083,0.034291,0.637583,-0.462118,1.591939,1.011421
34,3987487945,0.592990,-0.488040,0.039602,0.639255,-0.540064,1.019470,2.201118
35,3987521279,0.586277,-0.493375,0.039461,0.641357,0.043898,1.647770,3.209055
36,3987554613,0.583629,-0.496625,0.037188,0.641400,-0.205273,2.341864,2.401362
37,3987587947,0.582837,-0.502661,0.037272,0.637401,-0.200838,1.839561,2.482230
38,3987621281,0.581059,-0.509853,0.036945,0.633318,-0.766503,1.760528,1.231461
39,3987654615,0.576461,-0.518729,0.036625,0.630323,-0.953295,1.167950,-0.032672
40,3987687949,0.572731,-0.526051,0.031191,0.627943,-1.628316,0.595457,0.167038
41,3987721283,0.572015,-0.526807,0.016349,0.628523,-2.146508,-0.129837,-0.220959
42,3987754617,0.574042,-0.526021,-0.000948,0.627544,-2.336539,-0.126070,-0.762849
43,3987787951,0.580766,-0.527671,-0.013744,0.619774,-0.407672,-1.018076,0.497103
44,3987821285,0.591466,-0.526197,-0.024671,0.610501,0.184369,-1.478130,-0.630213
45,3987854619,0.602415,-0.528511,-0.027238,0.597550,1.044221,-2.250574,0.480799
46,3987887953,0.611367,-0.532580,-0.025107,0.584803,1.474680,-2.744678,0.781354
47,3987921287,0.617262,-0.539756,-0.018757,0.572132,1.102609,-2.547572,0.299494
48,3987954621,0.620912,-0.545819,-0.013929,0.562487,1.154245,-2.469553,0.191196
49,3987987955,0.624915,-0.547575,-0.014237,0.556306,1.116248,-1.891808,-0.607828
50,3988021289,0.630402,-0.552546,-0.010664,0.545168,0.429448,0.177663,-1.125431
51,3988054623,0.636243,-0.562004,-0.002616,0.528559,2.574876,-0.483613,1.010002
52,3988087957,0.639867,-0.563981,-0.004973,0.522022,1.854582,-0.687621,1.504700
53,3988121291,0.636549,-0.560790,-0.015492,0.529260,0.689396,0.449317,0.866295
54,3988154625,0.627443,-0.558821,-0.024186,0.541743,0.645814,1.243177,0.835497
55,3988187959,0.619438,-0.561487,-0.025675,0.548092,0.599187,2.657591,-0.897385
56,3988221293,0.613232,-0.571295,-0.016249,0.545289,-0.604848,2.166981,0.163031
57,3988254627,0.608272,-0.578691,-0.007185,0.543238,-0.346569,1.624373,0.385519
58,3988287961,0.604572,-0.583007,0.000601,0.542798,-0.112801,1.288427,0.217125
59,3988321295,0.599634,-0.584141,0.005707,0.547012,-0.734033,1.045249,0.578425
60,3988354629,0.593566,-0.582599,0.008778,0.555173,-0.606038,1.324060,-0.703807
61,3988387963,0.588375,-0.580939,0.010864,0.562355,-0.580090,0.815449,-0.932459
62,3988421297,0.585030,-0.579057,0.010172,0.567771,-1.436820,0.601080,-0.575562
63,3988454631,0.582622,-0.579236,0.008904,0.570082,-1.498296,0.862531,-0.343968
64,3988487965,0.580914,-0.581064,0.009169,0.569960,-1.454708,1.222639,0.292496
65,3988521299,0.582582,-0.578316,0.005430,0.571101,-0.783264,1.183035,0.663200
66,3988554633,0.587740,-0.573992,0.001007,0.570202,-1.006369,0.586213,-0.686885
67,3988587967,0.594847,-0.573033,-0.000974,0.563759,-1.530313,-0.639803,-0.408492
68,3988621301,0.603720,-0.573455,-0.002772,0.553805,-1.143269,-2.139856,-0.920829
69,3988654635,0.614192,-0.574390,-0.004722,0.541163,-0.318952,-3.264252,-0.717724
70,3988687969,0.625280,-0.574497,-0.005528,0.528189,0.262912,-3.739857,-0.046328
71,3988721303,0.634304,-0.573392,-0.004282,0.518553,0.916402,-3.455166,-0.409719
72,3988754637,0.639264,-0.572047,-0.000792,0.513945,0.886392,-3.288781,0.683714
73,3988787971,0.642678,-0.566853,0.000854,0.515439,1.054394,-1.368521,-0.049701
74,3988821305,0.644733,-0.560846,0.003931,0.519414,1.110545,0.517819,-0.609191
75,3988854639,0.644341,-0.557150,0.008853,0.523799,1.209929,0.848193,-0.726696
76,3988887973,0.641217,-0.552379,0.005533,0.532657,1.238565,1.369991,-1.481395
77,3988921307,0.634217,-0.552984,0.001699,0.540380,0.729533,2.403057,-1.675982
78,3988954641,0.623576,-0.556293,-0.003743,0.549284,0.434738,2.358808,-0.731073
79,3988987975,0.613950,-0.555189,-0.014496,0.560942,0.366711,2.929438,0.523794
80,3989021309,0.607453,-0.551850,-0.023309,0.570925,-0.491487,2.888876,0.088401
81,3989054643,0.602813,-0.554663,-0.019653,0.573249,-0.684015,1.675725,0.297914
82,3989087977,0.599318,-0.559584,-0.011715,0.572348,-0.041144,0.607851,1.850601
83,3989121311,0.595309,-0.561252,-0.008151,0.574955,-0.942951,0.447220,0.691021
84,3989154645,0.587806,-0.566355,-0.003108,0.577713,-0.934144,0.001519,-0.451503
85,3989187979,0.580012,-0.570954,-0.002333,0.581058,-0.430267,-0.875849,-0.724194
86,3989221313,0.575845,-0.571756,-0.008454,0.584347,-0.518646,-1.297775,-0.725376
87,3989254647,0.574258,-0.568530,-0.020442,0.588744,-1.303204,-1.282064,-0.462687
88,3989287981,0.574109,-0.567502,-0.029793,0.589481,-1.089993,-1.119678,-0.660525
89,3989321315,0.575428,-0.568830,-0.035157,0.586614,-0.223511,-1.364059,0.560230
90,3989354649,0.578551,-0.567750,-0.041111,0.584195,-0.284872,-1.209349,0.890093
91,3989387983,0.581983,-0.566493,-0.045752,0.581656,-0.444687,-0.884556,0.408965
92,3989421317,0.584569,-0.568813,-0.046367,0.576729,-0.169501,-0.928714,0.442038
93,3989454651,0.586536,-0.570734,-0.047651,0.572716,0.437506,-1.414427,0.854607
94,3989487985,0.587884,-0.568538,-0.053528,0.572998,0.349904,-0.894576,-0.148852
95,3989521319,0.588125,-0.567815,-0.057776,0.573056,0.148615,-1.305675,-0.457850
96,3989554653,0.587214,-0.567871,-0.061384,0.573559,-0.227329,-1.563859,0.166175
97,3989587987,0.586023,-0.567154,-0.065374,0.575044,-0.284198,-0.676566,-0.333690
98,3989621321,0.585219,-0.565267,-0.070141,0.577155,0.006534,0.189940,-0.758792
99,3989654655,0.585539,-0.561672,-0.077415,0.579406,0.033897,0.744594,-0.690422
100,3989687989,0.586746,-0.558910,-0.085016,0.579791,0.168867,1.988075,-0.481497
101,3989721323,0.587662,-0.557878,-0.091811,0.578820,0.836238,1.613295,1.003962
102,3989754657,0.585905,-0.554249,-0.101155,0.582518,0.245351,1.979676,2.379613
103,3989787991,0.582088,-0.552563,-0.104457,0.587343,0.552294,2.737345,2.105339
104,3989821325,0.577532,-0.554234,-0.099292,0.591150,0.576265,2.451777,2.418360
105,3989854659,0.572564,-0.556107,-0.092732,0.595274,0.313981,1.215156,2.307515
106,3989887993,0.565364,-0.554095,-0.092333,0.604030,-0.435390,0.772322,0.162984
107,3989921327,0.556625,-0.552575,-0.096323,0.612852,-0.191295,0.075097,-0.487823
108,3989954661,0.549937,-0.549604,-0.107278,0.619703,-0.132301,-0.623958,-0.924176
109,3989987995,0.544765,-0.540810,-0.128674,0.627881,-0.912014,-1.622178,-1.675865
110,3990021329,0.540352,-0.529174,-0.155558,0.635478,-1.475363,-2.422297,-2.402026
111,3990054663,0.538439,-0.521936,-0.177601,0.637307,-1.603099,-2.510641,-3.207035
112,3990087997,0.541000,-0.519476,-0.192137,0.632917,-0.470743,-2.437172,-2.927691
113,3990121331,0.548118,-0.519954,-0.199981,0.623905,0.311851,-2.183713,-2.657751
114,3990154665,0.558363,-0.520424,-0.204564,0.612844,1.944001,-1.956908,-1.190870
115,3990187999,0.567808,-0.513519,-0.214461,0.606576,2.249891,-0.826478,-0.719646
116,3990221333,0.575911,-0.503640,-0.228178,0.602199,1.738207,1.044856,-0.625825
117,3990254667,0.584557,-0.500473,-0.238240,0.592534,1.398985,1.773639,0.677982
118,3990288001,0.593046,-0.506365,-0.242867,0.577012,0.011851,1.343384,3.709359
119,3990321335,0.598937,-0.515825,-0.244327,0.561729,0.437702,1.142780,3.692885
120,3990354669,0.601091,-0.527884,-0.242779,0.548746,1.301085,1.537196,3.523072
121,3990388003,0.599069,-0.538664,-0.239670,0.541805,1.254330,1.263800,3.642670
122,3990421337,0.592459,-0.548846,-0.235202,0.540810,-0.022676,1.493255,3.065020
123,3990454671,0.581710,-0.561285,-0.228654,0.542518,-0.656417,0.809838,2.481066
124,3990488005,0.568450,-0.574220,-0.222541,0.545571,-0.995836,0.372146,2.974468
125,3990521339,0.557065,-0.583874,-0.217417,0.549123,-1.383974,0.956463,1.901228
126,3990554673,0.548434,-0.590332,-0.210690,0.553511,-2.175516,0.093524,1.332751
127,3990588007,0.541750,-0.592659,-0.204104,0.560035,-2.622792,0.057982,-0.120630
128,3990621341,0.539254,-0.596412,-0.194758,0.561785,-3.052224,-0.452969,-1.296275
129,3990654675,0.540620,-0.598282,-0.185904,0.561484,-2.205016,-1.338346,-1.887430
130,3990688009,0.545244,-0.592757,-0.183315,0.563719,-0.980992,-1.639653,-2.932487
131,3990721343,0.554582,-0.582608,-0.185239,0.564561,-0.769699,-1.735525,-3.520494
132,3990754677,0.569330,-0.577448,-0.182824,0.555903,-0.606139,-0.978010,-2.378210
133,3990788011,0.588777,-0.583798,-0.167829,0.533283,0.808548,-0.833876,0.216627
134,3990821345,0.607879,-0.594937,-0.144618,0.505623,2.506521,-1.080053,1.831889
135,3990854679,0.620936,-0.600949,-0.125695,0.487376,3.195005,-0.850793,1.445065
136,3990888013,0.627140,-0.600752,-0.116272,0.481985,2.469425,-0.144713,2.314903
137,3990921347,0.629282,-0.603705,-0.105637,0.477933,2.324272,1.634094,2.314999
138,3990954681,0.626024,-0.614306,-0.088059,0.472231,1.337508,1.283357,2.902344
139,3990988015,0.615946,-0.626695,-0.070389,0.472170,1.468002,1.463540,3.300607
140,3991021349,0.602843,-0.632222,-0.063390,0.482590,0.643456,0.868866,3.768776
141,3991054683,0.589824,-0.633297,-0.061658,0.497270,-1.223349,2.654176,2.101234
142,3991088017,0.578551,-0.640880,-0.049178,0.502164,-1.111374,2.599606,1.052271
143,3991121351,0.571009,-0.650189,-0.033190,0.500138,-0.820742,0.732637,1.079153
144,3991154685,0.566786,-0.652767,-0.025664,0.502022,-0.565582,-0.017188,1.709617
145,3991188019,0.564270,-0.650299,-0.023990,0.508106,-0.641175,0.622262,0.073285
146,3991221353,0.562709,-0.650308,-0.020631,0.509969,-0.775900,-0.345780,-0.021900
147,3991254687,0.562300,-0.648384,-0.021778,0.512813,-0.697885,-1.417725,-0.902365
148,3991288021,0.561465,-0.643252,-0.027053,0.519892,-0.769406,-1.731553,-2.324959
149,3991321355,0.561193,-0.638611,-0.031827,0.525606,-1.004680,-1.931687,-2.462341
150,3991354689,0.563444,-0.634011,-0.035360,0.528532,-0.640895,-2.714957,-1.873325
151,3991388023,0.569734,-0.626241,-0.040347,0.530692,-0.613732,-2.103551,-2.116851
152,3991421357,0.578497,-0.622182,-0.038366,0.526113,-0.197704,-1.819469,-2.389966
153,3991454691,0.588073,-0.622947,-0.029306,0.515058,0.534484,-2.188801,-1.462822
154,3991488025,0.598491,-0.618932,-0.027335,0.507957,0.774881,-1.817432,-0.859345
155,3991521359,0.609837,-0.613274,-0.030287,0.501110,0.747307,0.454899,-0.688878
156,3991554693,0.620439,-0.614227,-0.028320,0.486842,0.297480,0.838399,0.762304
157,3991588027,0.628301,-0.614651,-0.029672,0.476022,0.759752,0.996049,1.266461
158,3991621361,0.633035,-0.610947,-0.038987,0.473843,1.820150,1.509932,0.942593
159,3991654695,0.635014,-0.603027,-0.054101,0.479817,1.345141,1.167536,1.487752
160,3991688029,0.632681,-0.596356,-0.066400,0.489592,-0.101969,2.739445,0.139267
161,3991721363,0.625912,-0.598355,-0.065917,0.495880,0.131204,1.981476,0.917772
162,3991754697,0.616710,-0.600801,-0.063868,0.504643,0.363698,1.483227,1.171444
163,3991788031,0.607371,-0.600374,-0.064612,0.516248,-0.539587,1.850956,0.608267
164,3991821365,0.598480,-0.601332,-0.062868,0.525647,-1.124550,1.459295,0.218410
165,3991854699,0.590830,-0.602379,-0.061075,0.533259,-0.923480,-0.012349,1.326754
166,3991888033,0.584772,-0.595949,-0.065995,0.546413,-1.280996,0.207500,0.632499
167,3991921367,0.579749,-0.588872,-0.067895,0.559059,-1.532804,0.171012,-0.661090
168,3991954701,0.576907,-0.586002,-0.062832,0.565570,-1.575640,-0.295586,-0.152522
169,3991988035,0.577121,-0.586322,-0.051952,0.566122,-1.730227,-1.017917,-0.753930
170,3992021369,0.579842,-0.587423,-0.038612,0.563261,-1.243841,-1.103206,-0.555574
171,3992054703,0.584450,-0.588624,-0.023475,0.558054,-0.430172,-0.826141,-0.761305
172,3992088037,0.590997,-0.587677,-0.009664,0.552540,0.675035,-1.427099,-0.952318
173,3992121371,0.599939,-0.583787,0.000207,0.547085,0.827434,-0.743845,-1.321958
174,3992154705,0.609163,-0.584929,0.013562,0.535379,1.337917,-1.111152,-1.995297
175,3992188039,0.617554,-0.587393,0.024758,0.522512,1.794637,-1.159453,-1.026034
176,3992221373,0.625577,-0.583321,0.023622,0.517559,1.596227,-0.926567,-1.058069
177,3992254707,0.632708,-0.576758,0.015664,0.516547,1.159883,0.510124,-1.400502
178,3992288041,0.636674,-0.577910,0.013172,0.510420,0.709336,1.188485,-0.145246
179,3992321375,0.635917,-0.580129,0.008835,0.508938,0.421380,0.159639,1.508780
180,3992354709,0.632408,-0.575532,-0.002705,0.518510,0.824380,1.085665,0.354322
181,3992388043,0.628168,-0.571505,-0.009307,0.527954,-0.350125,1.580897,-0.100919
182,3992421377,0.622410,-0.569755,-0.011300,0.536557,-1.224463,1.103877,0.524780
183,3992454711,0.615768,-0.568622,-0.012045,0.545335,-0.465401,1.300810,0.064935
184,3992488045,0.609524,-0.567497,-0.011856,0.553465,-0.505341,0.641067,0.561295
185,3992521379,0.603381,-0.560019,-0.017769,0.567478,-0.024098,0.871884,1.836167
186,3992554713,0.596570,-0.551035,-0.022496,0.583091,-0.707693,2.689273,0.943820
187,3992588047,0.588701,-0.549130,-0.017481,0.592974,-0.845754,0.966172,2.405534
188,3992621381,0.582362,-0.538978,-0.017110,0.608359,-0.535688,0.337039,2.326630
189,3992654715,0.578306,-0.526329,-0.013547,0.623212,-1.874932,0.981758,0.043586
190,3992688049,0.576151,-0.519357,-0.000383,0.631153,-1.458088,-1.418634,0.008138
191,3992721383,0.577325,-0.505809,0.007181,0.640966,-1.077909,-1.983042,-0.626046
192,3992754717,0.580945,-0.489913,0.012911,0.649890,-1.462813,-2.311382,-1.983736
193,3992788051,0.584725,-0.479426,0.022900,0.654033,-1.274781,-3.483450,-2.099863
194,3992821385,0.589687,-0.469322,0.031531,0.656542,0.033893,-3.818399,-2.628484
195,3992854719,0.596100,-0.461951,0.039459,0.655548,1.370790,-3.404933,-3.456173
196,3992888053,0.602442,-0.459241,0.046006,0.651215,2.192277,-2.179578,-2.964397
197,3992921387,0.608581,-0.454839,0.043443,0.648767,2.570484,-0.411661,-2.474926
198,3992954721,0.612910,-0.450949,0.032054,0.648069,1.589196,1.709404,-1.378785
199,3992988055,0.615088,-0.451272,0.017006,0.646349,1.347133,2.322195,1.586401
200,3993021389,0.613923,-0.444541,-0.005666,0.652292,1.198089,3.029561,1.372404
201,3993054723,0.607906,-0.439560,-0.020437,0.660951,-0.204199,3.176550,0.978740
202,3993088057,0.600101,-0.441674,-0.020613,0.666643,-0.890577,2.146893,1.401231
203,3993121391,0.593411,-0.444379,-0.015486,0.670959,-0.626832,1.535412,0.847314
204,3993154725,0.588046,-0.445977,-0.009169,0.674728,-0.256565,0.911226,0.389035
205,3993188059,0.582187,-0.445681,-0.004949,0.680028,-0.388107,0.473803,1.019206
206,3993221393,0.575197,-0.444002,-0.002409,0.687052,-0.606945,0.786955,0.969531
207,3993254727,0.568143,-0.443146,0.001510,0.693447,-0.600539,-0.040339,1.290352
208,3993288061,0.563733,-0.438665,0.004451,0.699853,-0.700110,-0.036681,1.096904
209,3993321395,0.561492,-0.433237,0.010059,0.704959,-0.899409,0.117017,0.173394
210,3993354729,0.560614,-0.428856,0.019620,0.708128,-0.741877,-0.378647,0.632789
211,3993388063,0.561014,-0.423306,0.030663,0.710753,-1.263477,-0.507289,1.198101
212,3993421397,0.562824,-0.415560,0.041730,0.713326,-1.021824,-0.887444,0.863880
213,3993454731,0.565915,-0.406009,0.052397,0.715672,-1.097269,-1.080223,0.028770
214,3993488065,0.570227,-0.397571,0.064279,0.716018,-0.868831,-1.189241,-0.421144
215,3993521399,0.575659,-0.390126,0.076331,0.714582,-0.282682,-1.529190,-0.977778
216,3993554733,0.582027,-0.383166,0.086920,0.711976,0.143598,-1.678411,-1.656816
217,3993588067,0.589355,-0.377616,0.094918,0.707880,0.273973,-1.565712,-2.492504
218,3993621401,0.596407,-0.377292,0.102059,0.701119,0.916607,-1.206808,-2.584580
219,3993654735,0.603009,-0.380207,0.105696,0.693316,1.327512,-0.859709,-2.001616
220,3993688069,0.608504,-0.385947,0.105450,0.685334,1.828042,0.108174,-0.312724
221,3993721403,0.612266,-0.389579,0.098548,0.680943,1.356383,0.637064,-0.089968
222,3993754737,0.614192,-0.391974,0.087703,0.679315,1.709225,0.889972,0.319936
223,3993788071,0.613837,-0.393788,0.076349,0.679957,1.334353,1.004725,0.934048
224,3993821405,0.610522,-0.396480,0.067805,0.682279,0.725994,1.143028,1.282097
225,3993854739,0.604954,-0.399411,0.063515,0.685933,0.366105,0.947443,1.311287
226,3993888073,0.599256,-0.401049,0.062204,0.690086,-0.088098,0.577073,1.072330
227,3993921407,0.594011,-0.401496,0.062815,0.694293,-0.228588,0.517152,1.247205
228,3993954741,0.588678,-0.401193,0.065631,0.698735,0.261978,0.826151,1.253555
229,3993988075,0.582384,-0.400167,0.070917,0.704061,-0.078300,0.562159,0.974881
230,3994021409,0.575022,-0.397557,0.075813,0.711046,0.349321,0.220502,1.479576
231,3994054743,0.567732,-0.391270,0.077847,0.720114,-0.611777,0.514228,0.632950
232,3994088077,0.560286,-0.385661,0.081727,0.728493,-0.094016,0.083411,0.700156
233,3994121411,0.554133,-0.378251,0.086280,0.736515,-0.314571,0.200073,0.763506
234,3994154745,0.548875,-0.370044,0.092403,0.743842,-0.402793,-0.573802,-0.108909
235,3994188079,0.545247,-0.361746,0.099048,0.749714,-0.995014,-1.015267,-0.803291
236,3994221413,0.542724,-0.357341,0.106648,0.752608,-0.760860,-1.356753,-1.201742
237,3994254747,0.541420,-0.353544,0.110849,0.754731,0.015625,-1.321364,-1.104408
238,3994288081,0.540066,-0.350817,0.111594,0.756861,-0.179217,-0.871752,-1.451129
239,3994321415,0.538266,-0.350299,0.109874,0.758633,-0.007305,-0.512681,-1.508173
240,3994354749,0.537103,-0.351630,0.106388,0.759338,0.111484,-0.162699,-0.819093
241,3994388083,0.536961,-0.353499,0.100598,0.759360,-0.053482,0.080318,-0.883972
242,3994421417,0.536434,-0.357540,0.094526,0.758620,0.071994,0.201724,-0.699668
243,3994454751,0.536090,-0.361831,0.087638,0.757655,0.153872,0.295823,0.268383
244,3994488085,0.536513,-0.365626,0.079633,0.756416,-0.301193,0.341199,0.053544
245,3994521419,0.537015,-0.370566,0.072234,0.754396,-0.305117,0.364180,-0.183034
246,3994554753,0.538357,-0.374875,0.063655,0.752080,-0.484422,-0.019033,-0.417690
