sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:18:37_968 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3986421257,0.846448,-0.129525,-0.320614,0.404914,2.626373,-2.780852,-0.449400
2,3986454591,0.851111,-0.143279,-0.310497,0.398338,4.582242,-2.388393,-0.822181
3,3986487925,0.861645,-0.158648,-0.290932,0.384392,4.233922,-1.353336,-0.693160
4,3986521259,0.869860,-0.166258,-0.283837,0.367611,1.159249,-0.978570,-0.886640
5,3986554593,0.872247,-0.167593,-0.287940,0.358035,-1.561547,0.677990,-0.105830
6,3986587927,0.868617,-0.162150,-0.303785,0.356268,-0.848971,1.068617,-0.054957
7,3986621261,0.864698,-0.158267,-0.317195,0.355860,0.594274,2.788728,-0.361033
8,3986654595,0.862709,-0.159421,-0.324132,0.353916,-0.746179,1.491722,1.004383
9,3986687929,0.860776,-0.157135,-0.333228,0.351187,-0.357375,0.524536,2.075473
10,3986721263,0.859599,-0.153208,-0.342225,0.347129,-0.225619,0.943280,0.234069
11,3986754597,0.859705,-0.153949,-0.346332,0.342434,-1.272530,0.331427,0.125952
12,3986787931,0.860507,-0.157512,-0.345526,0.339601,-1.659963,-0.623275,0.079156
13,3986821265,0.860584,-0.161339,-0.342876,0.340294,-1.522192,-0.994689,-0.194263
14,3986854599,0.858545,-0.163902,-0.343142,0.343933,-1.317928,-0.023947,-0.909328
15,3986887933,0.854935,-0.166793,-0.344941,0.349688,-0.764752,-0.049501,-0.880027
16,3986921267,0.851941,-0.170417,-0.345090,0.355059,0.334836,0.311673,-0.666533
17,3986954601,0.849608,-0.173596,-0.345590,0.358604,-0.280755,-0.265832,-1.645051
18,3986987935,0.845378,-0.175714,-0.351026,0.362273,0.463733,0.118646,-0.618265
19,3987021269,0.839835,-0.176343,-0.359204,0.366814,0.282049,-0.233191,-0.443007
20,3987054603,0.831956,-0.173991,-0.373285,0.371799,-0.213496,-0.872997,-1.235939
21,3987087937,0.823593,-0.170516,-0.387191,0.377759,1.434875,-0.136599,0.301908
22,3987121271,0.818871,-0.166507,-0.394457,0.382269,1.822361,0.194333,-0.124171
23,3987154605,0.813698,-0.161807,-0.403916,0.385443,1.616500,-0.440595,0.223714
24,3987187939,0.809069,-0.155257,-0.413935,0.387247,1.356094,0.395000,0.411296
25,3987221273,0.807146,-0.147900,-0.421472,0.386008,0.700857,0.455752,-0.143779
26,3987254607,0.808012,-0.137626,-0.425786,0.383253,0.588152,0.074579,-0.427106
27,3987287941,0.809167,-0.125095,-0.429732,0.380698,0.582080,0.037665,-0.587366
28,3987321275,0.809019,-0.111638,-0.435360,0.378796,0.200407,-0.002574,0.370427
29,3987354609,0.808652,-0.099370,-0.438612,0.379246,0.140110,0.062310,0.505217
30,3987387943,0.807224,-0.087956,-0.440639,0.382741,-0.111949,-0.769318,0.445646
31,3987421277,0.802531,-0.075891,-0.447475,0.387235,-0.182790,-0.301291,-0.036434
32,3987454611,0.797533,-0.067309,-0.455327,0.389984,0.069056,0.844981,0.518441
33,3987487945,0.794285,-0.062576,-0.460297,0.391563,-1.349916,0.482479,0.499582
34,3987521279,0.790675,-0.060338,-0.465261,0.393351,-0.985253,1.576874,0.400452
35,3987554613,0.788756,-0.064855,-0.465353,0.396363,-0.571228,0.782846,0.502985
36,3987587947,0.784953,-0.070783,-0.467130,0.400784,-0.601073,-0.270551,1.040809
37,3987621281,0.775400,-0.072941,-0.478709,0.405305,-0.909402,-0.108190,0.476222
38,3987654615,0.765569,-0.075146,-0.489736,0.410385,0.150607,0.770510,0.708533
39,3987687949,0.760475,-0.083031,-0.489736,0.418262,0.019055,-0.237960,-0.106133
40,3987721283,0.751214,-0.090689,-0.493990,0.428284,-0.490807,-1.916346,-1.068502
41,3987754617,0.736161,-0.094896,-0.508316,0.436666,1.700888,-0.530672,2.401297
42,3987787951,0.732339,-0.103377,-0.506847,0.442830,1.756332,-0.858636,2.241991
43,3987821285,0.732845,-0.110230,-0.504025,0.443561,1.682221,-1.082740,2.159854
44,3987854619,0.733588,-0.112155,-0.504708,0.441066,1.700788,-0.749259,1.779367
45,3987887953,0.734762,-0.112160,-0.505565,0.438120,1.126426,-0.384506,0.765492
46,3987921287,0.734827,-0.112545,-0.507118,0.436113,0.489817,-0.462344,0.125817
47,3987954621,0.733252,-0.114394,-0.509652,0.435328,0.121785,-0.215210,-0.037963
48,3987987955,0.731545,-0.117807,-0.511532,0.435083,0.018855,0.131142,0.300904
49,3988021289,0.730825,-0.122473,-0.512019,0.434433,-0.286128,0.109427,0.129283
50,3988054623,0.730579,-0.127822,-0.511793,0.433572,-0.529916,-0.004133,-0.016940
51,3988087957,0.730913,-0.132929,-0.510997,0.432409,-0.534562,0.027454,0.237564
52,3988121291,0.732706,-0.137337,-0.509167,0.430151,-0.694900,0.262098,0.155352
53,3988154625,0.734817,-0.139841,-0.506735,0.428613,-0.988687,-0.013291,-0.349159
54,3988187959,0.735142,-0.140513,-0.505669,0.429093,-0.952103,0.514403,-0.586215
55,3988221293,0.735060,-0.141224,-0.504377,0.430519,-0.589108,0.589790,-0.511128
56,3988254627,0.735070,-0.142130,-0.502683,0.432181,-0.677672,0.513105,-0.515536
57,3988287961,0.735111,-0.143251,-0.501197,0.433466,-0.457296,0.746596,-0.533050
58,3988321295,0.736018,-0.144829,-0.499046,0.433883,-0.425087,0.357788,-0.488354
59,3988354629,0.736484,-0.146779,-0.496813,0.434999,-1.080460,0.469238,-0.947625
60,3988387963,0.736211,-0.149442,-0.494040,0.437704,-0.747138,0.881731,-1.604664
61,3988421297,0.732825,-0.154574,-0.492874,0.442889,-0.188369,0.434659,-1.346132
62,3988454631,0.724541,-0.162451,-0.494471,0.451828,0.342472,-0.798134,-0.254776
63,3988487965,0.714837,-0.171822,-0.495921,0.462112,2.080198,-1.221815,2.024419
64,3988521299,0.709706,-0.180645,-0.493850,0.468825,2.066279,-1.372993,3.855801
65,3988554633,0.708153,-0.183905,-0.492978,0.470820,1.503235,-1.808598,2.137997
66,3988587967,0.709054,-0.183896,-0.493043,0.469396,1.450209,-0.608554,0.869069
67,3988621301,0.712696,-0.185223,-0.490448,0.466066,0.974707,-0.467659,-0.115331
68,3988654635,0.715387,-0.186751,-0.488901,0.462948,0.381795,-0.067423,-0.540110
