sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:19:58_241 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,4066622861,-0.340294,0.498574,0.590964,-0.535159,0.634585,-0.067542,0.142195
2,4066656195,-0.335822,0.497104,0.592017,-0.538180,0.898180,-0.600488,-0.149645
3,4066689529,-0.330625,0.494938,0.593576,-0.541664,0.851732,-0.014415,-0.009142
4,4066722863,-0.325888,0.492949,0.594737,-0.545066,0.376470,0.051056,-0.120907
5,4066756197,-0.320750,0.490493,0.596042,-0.548890,0.019073,-0.089014,0.088403
6,4066789531,-0.315070,0.486409,0.598328,-0.553309,-0.157837,-0.471302,0.226196
7,4066822865,-0.308542,0.482005,0.601656,-0.557218,-0.257725,-0.293596,0.203221
8,4066856199,-0.302526,0.478597,0.603917,-0.560996,-0.651846,-0.259941,0.296932
9,4066889533,-0.298096,0.476296,0.605327,-0.563800,-1.034683,-0.178518,0.184121
10,4066922867,-0.294996,0.474668,0.606008,-0.566067,-1.540650,-0.038248,0.294415
11,4066956201,-0.293806,0.474969,0.605339,-0.567148,-1.420906,-0.253442,0.158829
12,4066989535,-0.292589,0.475899,0.605229,-0.567115,-0.965944,-0.226925,0.264475
13,4067022869,-0.292215,0.478176,0.604554,-0.566112,-0.763097,-0.104650,-0.037235
14,4067056203,-0.291038,0.480080,0.604454,-0.565213,-0.152536,-0.792962,0.217983
15,4067089537,-0.289359,0.480134,0.605219,-0.565210,-0.108039,-0.652557,0.231504
16,4067122871,-0.287917,0.479291,0.606488,-0.565302,0.470004,-0.086706,0.226855
17,4067156205,-0.287754,0.477619,0.607277,-0.565953,0.807546,0.194869,-0.046280
18,4067189539,-0.287770,0.476485,0.607972,-0.566155,0.836157,-0.236749,-0.065386
19,4067222873,-0.287456,0.476572,0.608691,-0.565468,0.452380,0.014375,0.163455
20,4067256207,-0.288384,0.476746,0.608748,-0.564787,-0.008027,0.491540,0.220162
21,4067289541,-0.291046,0.477171,0.607470,-0.564438,-0.025563,0.155193,0.195083
22,4067322875,-0.294237,0.478205,0.605669,-0.563843,0.159354,0.167849,0.141176
23,4067356209,-0.296818,0.479265,0.603911,-0.563477,0.143834,-0.199039,-0.031602
24,4067389543,-0.297661,0.479845,0.603100,-0.563406,-0.421311,-0.471662,0.072212
25,4067422877,-0.297559,0.479490,0.603814,-0.562998,-1.129233,-0.227983,0.160784
26,4067456211,-0.297054,0.478481,0.605561,-0.562247,-1.055656,0.286065,0.076267
27,4067489545,-0.296235,0.477473,0.607153,-0.561818,-0.477639,0.212895,0.232439
28,4067522879,-0.296326,0.477327,0.607808,-0.561186,-0.092545,0.207304,0.168086
29,4067556213,-0.298612,0.478960,0.607021,-0.559431,0.210841,0.178023,0.130461
30,4067589547,-0.302812,0.481263,0.605129,-0.557243,0.309974,0.123806,0.217304
31,4067622881,-0.307959,0.482760,0.603107,-0.555316,0.293076,-0.258443,0.431695
32,4067656215,-0.312745,0.483093,0.602011,-0.553538,-0.108329,0.092850,0.065899
