sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:17:03_035 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3891452691,0.569715,-0.377324,-0.459358,0.567488,0.397645,1.048528,0.390313
2,3891486025,0.575343,-0.378067,-0.458898,0.561657,0.366553,0.854251,0.429071
3,3891519359,0.581091,-0.377804,-0.458982,0.555817,0.433296,0.661041,0.277339
4,3891552693,0.586463,-0.376621,-0.460001,0.550106,0.428737,0.486151,0.059164
5,3891586027,0.591278,-0.374882,-0.462061,0.544384,0.437006,0.419115,-0.057750
6,3891619361,0.595642,-0.373596,-0.464484,0.538416,0.449983,0.428349,-0.037626
7,3891652695,0.599813,-0.373791,-0.466207,0.532123,0.380810,0.413109,0.014577
8,3891686029,0.603986,-0.375964,-0.466420,0.525647,0.325555,0.393371,0.263439
9,3891719363,0.608319,-0.380265,-0.464468,0.519246,0.259607,0.340747,0.629261
10,3891752697,0.613313,-0.385876,-0.460333,0.512875,0.235957,0.107781,0.926465
11,3891786031,0.619136,-0.390895,-0.455253,0.506574,0.123731,-0.287994,0.957068
12,3891819365,0.625262,-0.393174,-0.451480,0.500627,0.103918,-0.723080,0.690583
13,3891852699,0.630773,-0.392004,-0.450416,0.495565,0.030508,-0.912796,0.416344
14,3891886033,0.634790,-0.387600,-0.452397,0.492083,-0.075431,-0.943841,0.101356
15,3891919367,0.636974,-0.381477,-0.456264,0.490471,0.005589,-0.731474,-0.228017
16,3891952701,0.637444,-0.376144,-0.460028,0.490464,-0.021288,-0.564714,-0.364656
17,3891986035,0.636452,-0.372867,-0.462596,0.491837,-0.133098,-0.484935,-0.444708
18,3892019369,0.634401,-0.371909,-0.463813,0.494061,-0.199955,-0.411416,-0.450194
19,3892052703,0.632078,-0.373311,-0.463423,0.496342,-0.185226,-0.375787,-0.305119
20,3892086037,0.630074,-0.376617,-0.461475,0.498203,-0.183188,-0.348390,-0.105560
21,3892119371,0.628435,-0.380827,-0.458606,0.499721,-0.267145,-0.355959,0.139034
22,3892152705,0.626764,-0.384778,-0.455661,0.501483,-0.289898,-0.338754,0.293789
23,3892186039,0.624666,-0.387449,-0.453482,0.504013,-0.317185,-0.308364,0.291629
24,3892219373,0.622044,-0.388325,-0.452595,0.507369,-0.199594,-0.205989,0.304962
25,3892252707,0.619407,-0.387757,-0.452589,0.511021,-0.172460,-0.051474,0.269690
26,3892286041,0.617314,-0.386319,-0.452975,0.514292,-0.067219,0.070491,0.316682
27,3892319375,0.616094,-0.384677,-0.453139,0.516833,-0.038736,0.068845,0.254621
28,3892352709,0.615392,-0.382804,-0.453442,0.518790,0.068220,-0.021655,0.154544
29,3892386043,0.614610,-0.380516,-0.454353,0.520600,0.108935,-0.114964,0.102120
30,3892419377,0.613569,-0.377849,-0.455890,0.522424,0.137174,-0.122267,0.060511
31,3892452711,0.612355,-0.375262,-0.457754,0.524081,0.113133,-0.139433,0.095125
32,3892486045,0.611042,-0.372988,-0.459715,0.525518,0.057355,-0.189626,0.065397
33,3892519379,0.609610,-0.371120,-0.461716,0.526749,-0.008450,-0.200253,-0.057871
34,3892552713,0.608061,-0.369785,-0.463593,0.527828,-0.108570,-0.180255,-0.090000
35,3892586047,0.606439,-0.369167,-0.465070,0.528826,-0.178924,-0.144148,-0.021009
36,3892619381,0.604782,-0.369220,-0.465936,0.529924,-0.210762,-0.115869,0.053662
37,3892652715,0.602910,-0.369647,-0.466558,0.531210,-0.245329,-0.095068,0.079360
38,3892686049,0.600993,-0.370292,-0.467055,0.532495,-0.269380,0.002089,0.163008
39,3892719383,0.599498,-0.371310,-0.467011,0.533509,-0.297603,0.108812,0.178163
40,3892752717,0.598575,-0.372666,-0.466348,0.534180,-0.316071,0.157732,0.208314
41,3892786051,0.598100,-0.374014,-0.465300,0.534683,-0.248420,0.176434,0.275796
42,3892819385,0.597917,-0.375058,-0.464121,0.535181,-0.225124,0.182658,0.290122
43,3892852719,0.597941,-0.375484,-0.463158,0.535689,-0.152864,0.225328,0.267240
44,3892886053,0.598355,-0.375346,-0.462361,0.536012,-0.063005,0.271001,0.264828
45,3892919387,0.599224,-0.374896,-0.461629,0.535987,0.010023,0.245462,0.227977
46,3892952721,0.600422,-0.374253,-0.460956,0.535675,0.091305,0.209671,0.176974
47,3892986055,0.601704,-0.373488,-0.460495,0.535166,0.133416,0.156806,0.089311
48,3893019389,0.602935,-0.372680,-0.460319,0.534496,0.175160,0.124614,0.062683
49,3893052723,0.604136,-0.372035,-0.460275,0.533626,0.189144,0.069510,0.063279
50,3893086057,0.605300,-0.371663,-0.460300,0.532543,0.190050,-0.011510,0.088604
51,3893119391,0.606308,-0.371516,-0.460497,0.531327,0.189788,-0.081415,0.062437
52,3893152725,0.607199,-0.371644,-0.460769,0.529983,0.115887,-0.102494,0.084440
53,3893186059,0.608007,-0.372023,-0.460955,0.528627,0.096030,-0.132943,0.003447
54,3893219393,0.608535,-0.372494,-0.461262,0.527419,0.032708,-0.184459,0.017619
55,3893252727,0.608716,-0.372973,-0.461675,0.526510,0.022388,-0.155342,0.068470
56,3893286061,0.608730,-0.373575,-0.462005,0.525777,-0.030293,-0.146299,0.025477
57,3893319395,0.608771,-0.374274,-0.462411,0.524874,-0.023651,-0.191618,0.160270
58,3893352729,0.609099,-0.375127,-0.462937,0.523419,-0.049795,-0.232523,0.244566
59,3893386063,0.610032,-0.376005,-0.463528,0.521175,-0.162398,-0.313373,0.198532
60,3893419397,0.611588,-0.376722,-0.464217,0.518212,-0.305513,-0.403594,0.143960
61,3893452731,0.613563,-0.377036,-0.464905,0.515021,-0.393530,-0.510515,0.155663
62,3893486065,0.615634,-0.376923,-0.465467,0.512117,-0.428906,-0.603233,0.160690
63,3893519399,0.617486,-0.376242,-0.466065,0.509840,-0.433227,-0.709540,0.148102
64,3893552733,0.618856,-0.375000,-0.466994,0.508240,-0.459364,-0.761707,0.044879
65,3893586067,0.619842,-0.373520,-0.468147,0.507067,-0.410830,-0.667226,-0.095954
66,3893619401,0.620578,-0.372451,-0.468960,0.506200,-0.355637,-0.550614,-0.143751
67,3893652735,0.620892,-0.372200,-0.468991,0.505971,-0.276039,-0.435485,-0.132964
68,3893686069,0.620649,-0.372847,-0.468056,0.506659,-0.108910,-0.296291,-0.087481
69,3893719403,0.619565,-0.374104,-0.466499,0.508492,0.037500,-0.196030,0.074697
70,3893752737,0.617322,-0.375720,-0.464865,0.511515,0.279241,0.024239,0.321825
71,3893786071,0.614233,-0.377752,-0.463174,0.515258,0.375005,0.185125,0.459629
72,3893819405,0.610416,-0.379862,-0.461994,0.519287,0.502738,0.331961,0.369074
73,3893852739,0.605945,-0.382000,-0.461698,0.523203,0.448926,0.554639,0.167132
74,3893886073,0.601731,-0.384275,-0.461741,0.526353,0.369050,0.903335,-0.080256
75,3893919407,0.598940,-0.387467,-0.460646,0.528152,0.289547,1.166395,-0.009084
76,3893952741,0.597625,-0.391351,-0.457938,0.529132,0.242705,1.188203,0.329203
77,3893986075,0.595829,-0.392952,-0.456491,0.531218,0.151916,0.811367,0.602618
78,3894019409,0.593468,-0.389454,-0.458904,0.534348,0.691003,1.765899,1.876522
79,3894052743,0.594306,-0.381367,-0.463079,0.535647,0.243912,1.863003,3.057927
80,3894086077,0.597879,-0.366989,-0.470192,0.535517,0.994242,0.633969,1.976579
81,3894119411,0.599738,-0.342717,-0.488172,0.533429,0.107194,1.598997,1.805570
82,3894152745,0.602087,-0.311478,-0.513016,0.526581,-0.650370,1.439648,1.131980
83,3894186079,0.608489,-0.281173,-0.533877,0.515421,-0.921227,0.843674,0.004355
84,3894219413,0.621433,-0.260208,-0.541593,0.502782,-0.733011,0.550378,-1.169240
85,3894252747,0.637886,-0.248364,-0.538469,0.491394,-0.512329,-0.334465,-1.736588
86,3894286081,0.650700,-0.241505,-0.533571,0.483287,-0.226292,-1.200677,-2.036454
87,3894319415,0.657690,-0.236907,-0.531329,0.478549,0.252180,-1.031176,-1.069415
88,3894352749,0.662507,-0.234685,-0.529117,0.475439,0.229991,-0.989282,-0.406741
89,3894386083,0.666712,-0.234416,-0.525548,0.473649,0.370203,-1.242928,-0.694973
90,3894419417,0.669326,-0.235893,-0.521951,0.473207,0.397656,-1.306193,-0.909086
91,3894452751,0.669676,-0.239320,-0.518563,0.474713,0.404449,-1.369399,-1.124485
92,3894486085,0.666257,-0.244046,-0.516596,0.479241,0.565046,-1.341760,-1.228486
93,3894519419,0.658994,-0.249121,-0.516298,0.486932,0.526757,-1.139382,-0.930813
94,3894552753,0.649634,-0.256689,-0.515256,0.496586,0.708156,-0.720203,-1.002330
95,3894586087,0.640024,-0.270702,-0.510496,0.506442,0.999142,-0.535471,-0.893153
96,3894619421,0.630836,-0.292950,-0.500717,0.515275,0.860780,-1.047350,-0.450039
97,3894652755,0.620606,-0.320327,-0.488000,0.523540,0.418753,-1.584907,0.383957
98,3894686089,0.607903,-0.346638,-0.476043,0.532615,0.018709,-1.466466,1.512900
99,3894719423,0.593528,-0.367426,-0.467186,0.542641,0.009221,-0.695198,1.905649
100,3894752757,0.579309,-0.381955,-0.461761,0.552529,-0.090032,-0.198143,1.725518
101,3894786091,0.566000,-0.390665,-0.459470,0.562060,-0.130903,0.231705,1.308656
102,3894819425,0.553478,-0.394387,-0.460252,0.571218,-0.276247,0.715337,0.900649
103,3894852759,0.541796,-0.393925,-0.463735,0.579854,-0.551382,1.294267,0.649451
104,3894886093,0.531730,-0.391076,-0.468293,0.587388,-0.775815,1.778572,0.412824
105,3894919427,0.524189,-0.387867,-0.472125,0.593197,-0.923988,2.138562,0.191528
106,3894952761,0.519830,-0.385741,-0.474248,0.596715,-1.014909,2.268969,-0.037142
107,3894986095,0.519081,-0.385219,-0.474466,0.597532,-0.991272,2.210115,-0.084882
108,3895019429,0.521952,-0.385917,-0.473100,0.595660,-0.848780,1.951939,0.026425
109,3895052763,0.527864,-0.386710,-0.471098,0.591508,-0.633189,1.605378,0.264350
110,3895086097,0.536004,-0.386421,-0.469317,0.585765,-0.412661,1.286813,0.526607
111,3895119431,0.545809,-0.384185,-0.468239,0.579005,-0.235324,0.826525,0.682683
112,3895152765,0.556454,-0.379289,-0.468661,0.571712,-0.041598,0.396783,0.578398
113,3895186099,0.567286,-0.372072,-0.470825,0.563980,0.082158,0.132089,0.422688
114,3895219433,0.578339,-0.363904,-0.473725,0.555592,0.232742,-0.053016,0.346731
115,3895252767,0.589683,-0.356421,-0.475928,0.546562,0.298055,-0.290433,0.228756
116,3895286101,0.600863,-0.350251,-0.476963,0.537395,0.339072,-0.608909,0.037266
117,3895319435,0.611027,-0.345453,-0.477125,0.528829,0.342688,-0.922261,-0.172982
118,3895352769,0.619387,-0.341909,-0.476986,0.521481,0.360321,-1.110672,-0.332136
119,3895386103,0.625773,-0.339776,-0.476640,0.515533,0.407822,-1.254704,-0.454316
120,3895419437,0.629996,-0.339227,-0.476129,0.511205,0.396016,-1.339093,-0.500687
121,3895452771,0.631803,-0.340268,-0.475701,0.508676,0.325260,-1.432455,-0.430337
122,3895486105,0.631017,-0.342226,-0.475788,0.508256,0.179416,-1.376757,-0.208112
123,3895519439,0.628142,-0.344816,-0.475897,0.509963,0.164913,-1.218565,-0.151147
124,3895552773,0.623777,-0.347976,-0.475821,0.513233,0.070599,-1.071074,-0.100738
125,3895586107,0.618162,-0.351529,-0.475549,0.517838,0.030320,-0.874880,-0.081355
126,3895619441,0.611486,-0.355394,-0.475148,0.523464,-0.001213,-0.654502,0.010070
127,3895652775,0.604056,-0.359437,-0.474693,0.529706,-0.047837,-0.438362,0.125033
128,3895686109,0.596311,-0.363885,-0.473971,0.536052,-0.116527,-0.161609,0.271550
129,3895719443,0.588756,-0.368922,-0.472677,0.542069,-0.199394,0.171826,0.310742
130,3895752777,0.581937,-0.374295,-0.470656,0.547482,-0.241596,0.416632,0.332668
131,3895786111,0.576088,-0.379350,-0.468283,0.552202,-0.211900,0.562378,0.339656
132,3895819445,0.571021,-0.383462,-0.466270,0.556313,-0.211283,0.692340,0.330555
133,3895852779,0.566542,-0.386086,-0.465278,0.559896,-0.201435,0.833585,0.311755
134,3895886113,0.562864,-0.387118,-0.465481,0.562717,-0.222613,1.023305,0.265864
135,3895919447,0.560422,-0.387027,-0.466546,0.564333,-0.220850,1.213342,0.210558
136,3895952781,0.559610,-0.386568,-0.467864,0.564363,-0.250929,1.262880,0.210310
137,3895986115,0.560650,-0.386204,-0.469037,0.562604,-0.302227,1.243830,0.204741
138,3896019449,0.563546,-0.386209,-0.469849,0.559018,-0.295075,1.146931,0.169312
139,3896052783,0.568144,-0.386600,-0.470213,0.553762,-0.308691,0.955730,0.140994
140,3896086117,0.574010,-0.387135,-0.470317,0.547212,-0.247798,0.735802,0.123425
141,3896119451,0.580726,-0.387618,-0.470398,0.539662,-0.241261,0.532999,0.048548
142,3896152785,0.588044,-0.387971,-0.470565,0.531273,-0.163612,0.388446,-0.058477
143,3896186119,0.595854,-0.388767,-0.470346,0.522104,-0.095982,0.293087,-0.085682
144,3896219453,0.603941,-0.390445,-0.469280,0.512430,-0.087801,0.188046,-0.077744
145,3896252787,0.612012,-0.392934,-0.467351,0.502620,-0.017799,0.063423,-0.151708
