sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:13:28_250 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3676681729,0.544574,-0.484543,0.297267,0.616705,-0.647926,-1.161065,-0.724193
2,3676715063,0.548196,-0.467678,0.279637,0.634505,-0.282294,-1.197931,-0.156923
3,3676748397,0.548202,-0.455194,0.265661,0.649409,0.321515,-1.342706,0.217411
4,3676781731,0.544845,-0.445147,0.255321,0.663200,0.354862,-1.349540,-0.132242
5,3676815065,0.538994,-0.438466,0.248853,0.674789,0.946104,-1.606844,0.189912
6,3676848399,0.532757,-0.431846,0.241790,0.686478,0.646190,-1.707824,0.325264
7,3676881733,0.525012,-0.426211,0.235214,0.698152,0.762323,-1.647280,-0.409221
8,3676915067,0.515756,-0.422464,0.230559,0.708799,0.967674,-1.645861,-0.384718
9,3676948401,0.506749,-0.418520,0.226441,0.718892,0.988597,-1.304538,-0.384972
10,3676981735,0.497278,-0.416475,0.224265,0.727326,0.332008,-1.046101,-0.134433
11,3677015069,0.486794,-0.416659,0.223115,0.734630,-0.099467,-0.941334,0.048586
12,3677048403,0.476383,-0.418263,0.221264,0.741075,0.499827,-0.664198,-0.564402
13,3677081737,0.467059,-0.419486,0.219503,0.746820,-0.085754,-0.356417,-0.319876
14,3677115071,0.457935,-0.420816,0.217605,0.752258,-0.686176,-0.037207,0.580622
15,3677148405,0.449075,-0.422718,0.215999,0.756981,0.123781,0.478666,0.382255
16,3677181739,0.441870,-0.425406,0.217085,0.759401,0.047297,0.955150,1.233265
17,3677215073,0.438395,-0.423865,0.217319,0.762204,0.240534,1.332767,1.086835
18,3677248407,0.438811,-0.412967,0.215895,0.768328,1.197268,1.812133,-0.117206
19,3677281741,0.439437,-0.405315,0.215629,0.772111,-1.387911,1.313014,-0.064609
20,3677315075,0.437449,-0.405451,0.214333,0.773527,-0.892980,1.631483,0.307803
21,3677348409,0.437450,-0.399483,0.205336,0.779053,-0.903242,1.274870,-0.087854
22,3677381743,0.439461,-0.394591,0.190857,0.784080,-1.718306,0.422099,-1.721155
23,3677415077,0.441266,-0.401324,0.178757,0.782499,-0.858385,0.707386,-1.459100
24,3677448411,0.448084,-0.398823,0.164641,0.783000,0.506517,0.761077,1.119179
25,3677481745,0.456603,-0.373892,0.141270,0.794856,-1.713308,-0.493554,0.765520
26,3677515079,0.457858,-0.353507,0.122213,0.806534,-1.183745,-0.817421,1.314423
27,3677548413,0.455387,-0.339113,0.108746,0.815987,-0.497386,-0.670734,0.335780
28,3677581747,0.449906,-0.328209,0.099851,0.824577,-1.107730,-0.381434,0.155162
29,3677615081,0.439984,-0.322413,0.092434,0.833040,-0.158693,-0.437174,0.929144
30,3677648415,0.429740,-0.319730,0.084434,0.840239,-0.044892,0.815406,0.504450
31,3677681749,0.420664,-0.319345,0.080710,0.845330,-0.070155,1.351266,0.342021
32,3677715083,0.413606,-0.316605,0.078799,0.850010,0.131475,1.129916,0.027684
33,3677748417,0.408314,-0.312250,0.078070,0.854236,0.060826,0.508012,-0.495971
34,3677781751,0.405311,-0.307409,0.077128,0.857501,0.536961,0.483811,-0.751668
35,3677815085,0.404052,-0.303201,0.075484,0.859737,0.288919,0.468713,-0.873449
36,3677848419,0.402986,-0.302924,0.074749,0.860399,0.426475,0.533061,-0.061912
37,3677881753,0.401553,-0.303857,0.073564,0.860842,0.407948,0.362860,0.259259
38,3677915087,0.399623,-0.306025,0.072299,0.861080,0.523629,0.279959,0.611039
39,3677948421,0.397613,-0.307485,0.070913,0.861605,0.151698,-0.120044,0.402115
40,3677981755,0.395902,-0.308804,0.070148,0.861984,-0.007643,-0.458618,0.457144
41,3678015089,0.395112,-0.308590,0.069345,0.862487,0.124990,-0.578770,0.564517
42,3678048423,0.395378,-0.305730,0.068055,0.863486,0.062888,-0.635149,0.458265
43,3678081757,0.396172,-0.302881,0.067715,0.864153,0.043948,-0.466109,0.593546
44,3678115091,0.397395,-0.300093,0.068867,0.864473,0.463795,-0.048701,0.619311
45,3678148425,0.399111,-0.295916,0.070943,0.864954,0.265842,-0.019619,0.441228
46,3678181759,0.400460,-0.293724,0.074542,0.864775,0.212345,-0.035488,0.144137
47,3678215093,0.401479,-0.292693,0.078449,0.864307,0.565651,0.080403,0.095140
48,3678248427,0.402785,-0.289311,0.080617,0.864638,0.440376,0.130049,-0.023555
49,3678281761,0.404221,-0.286086,0.082458,0.864868,0.162950,0.166106,0.176993
50,3678315095,0.405728,-0.283378,0.084140,0.864892,0.091419,0.177788,0.277081
51,3678348429,0.407655,-0.280727,0.085492,0.864717,0.148905,0.078054,0.127096
52,3678381763,0.410662,-0.276121,0.085719,0.864755,0.292026,-0.532022,0.892882
53,3678415097,0.414351,-0.267558,0.083468,0.865907,-0.465172,-0.698751,0.908954
54,3678448431,0.417985,-0.258816,0.081528,0.867001,-0.845925,-0.808081,0.181726
55,3678481765,0.423166,-0.248787,0.080124,0.867555,-0.654102,-0.284783,0.493190
56,3678515099,0.430165,-0.238774,0.081040,0.866840,-1.059403,-0.015092,0.953579
57,3678548433,0.437260,-0.232463,0.086556,0.864470,-0.075722,-0.641157,0.785089
58,3678581767,0.446066,-0.215949,0.088921,0.864013,-0.191479,-2.111864,0.709416
59,3678615101,0.455990,-0.192002,0.087329,0.864649,-0.646226,-5.016380,-1.177250
60,3678648435,0.471031,-0.160934,0.081196,0.863523,-1.007073,-5.971908,-1.525601
61,3678681769,0.493169,-0.128638,0.067548,0.857735,-2.732276,-4.811527,-0.763334
62,3678715103,0.516728,-0.119589,0.051772,0.846195,-1.342230,-1.816887,0.685207
63,3678748437,0.537039,-0.141889,0.038158,0.830684,-0.900612,3.083890,2.811213
64,3678781771,0.548492,-0.182881,0.026165,0.815513,3.450194,5.962416,-2.244795
65,3678815105,0.551658,-0.204057,0.004664,0.808732,9.607516,7.912083,-0.250671
66,3678848439,0.551186,-0.174881,-0.029734,0.815329,2.820037,5.635058,-0.156765
67,3678881773,0.545928,-0.155017,-0.041915,0.822320,-1.499760,4.261467,1.207490
68,3678915107,0.538645,-0.160314,-0.030743,0.826590,1.699198,2.815713,0.876441
69,3678948441,0.530133,-0.157574,-0.022344,0.832866,0.754741,1.050090,0.317890
70,3678981775,0.519925,-0.153537,-0.015607,0.840176,-0.397410,1.110451,1.393270
71,3679015109,0.508897,-0.152509,-0.007475,0.847198,-0.273618,1.276459,1.579501
72,3679048443,0.499376,-0.146643,-0.000715,0.853905,-0.265702,0.238813,2.246448
73,3679081777,0.492789,-0.135795,0.006762,0.859481,-2.176736,0.153594,2.308435
74,3679115111,0.490957,-0.124962,0.019475,0.861976,-2.546213,-2.398616,0.451793
75,3679148445,0.494724,-0.116679,0.036014,0.860449,-2.334548,-4.111089,-1.234861
76,3679181779,0.503004,-0.108759,0.055453,0.855639,-0.119079,-4.454401,-1.326001
77,3679215113,0.516085,-0.094206,0.071464,0.848357,-0.173898,-5.855062,-1.138556
78,3679248447,0.528990,-0.086870,0.083949,0.840006,-0.445305,-3.980319,-1.160708
79,3679281781,0.539392,-0.093523,0.091920,0.831803,0.429034,-2.014076,-0.712372
80,3679315115,0.543059,-0.109915,0.083811,0.828261,1.569464,0.281208,-1.030460
81,3679348449,0.537761,-0.134967,0.060462,0.830046,4.590797,2.890286,-2.467860
82,3679381783,0.530213,-0.140534,0.022692,0.835850,5.027801,5.125501,0.754562
83,3679415117,0.519522,-0.120484,-0.014119,0.845823,-0.445870,6.268628,3.121225
84,3679448451,0.505504,-0.110039,-0.022996,0.855490,-0.225827,4.384515,3.305942
85,3679481785,0.494191,-0.109254,-0.009810,0.862425,1.582533,2.205146,5.586720
86,3679515119,0.484685,-0.098495,0.006348,0.869122,-1.815135,0.708935,4.132174
87,3679548453,0.475588,-0.093367,0.033244,0.874087,-0.314834,-0.568719,3.776061
88,3679581787,0.469723,-0.076751,0.059210,0.877496,-1.480250,0.578212,4.984825
89,3679615121,0.464558,-0.055910,0.089999,0.879201,-1.769741,0.379341,3.591108
90,3679648455,0.460942,-0.028875,0.123846,0.878291,-1.661095,0.894661,2.680702
91,3679681789,0.459771,0.001979,0.159364,0.873639,-2.667120,-1.073270,1.296566
92,3679715123,0.461284,0.031823,0.192897,0.865465,-1.574994,-1.679814,-0.281029
93,3679748457,0.466585,0.061319,0.221715,0.854059,-0.496076,-2.593590,-1.578207
94,3679781791,0.475740,0.086945,0.245676,0.840114,-0.481463,-4.255068,-2.644456
95,3679815125,0.487341,0.101241,0.266022,0.825540,0.658151,-4.080028,-3.703977
96,3679848459,0.497935,0.102644,0.282799,0.813378,1.658576,-3.332209,-4.391962
97,3679881793,0.507198,0.097510,0.290876,0.805399,2.640752,-1.465535,-3.760164
98,3679915127,0.515938,0.087708,0.288154,0.801946,3.773182,1.052345,-3.274493
99,3679948461,0.521339,0.072085,0.276592,0.804078,4.012931,1.171117,-2.580048
100,3679981795,0.523247,0.060999,0.253976,0.811186,3.356319,2.053140,-2.947689
101,3680015129,0.521986,0.058585,0.230370,0.819184,1.766068,2.187878,-2.479673
