sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:13:28_261 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3676681729,0.788958,0.000978,-0.611980,0.054990,-0.345792,0.186559,-0.603914
2,3676715063,0.791049,0.005448,-0.607821,0.069032,-1.031081,-1.041091,0.348071
3,3676748397,0.791174,0.010713,-0.605886,0.082641,-0.590676,-0.716116,0.529133
4,3676781731,0.792279,0.015653,-0.602346,0.096064,-0.455701,-0.534746,0.587573
5,3676815065,0.793449,0.019724,-0.598560,0.108510,-0.754025,-0.575913,0.412183
6,3676848399,0.792894,0.023792,-0.596963,0.119950,-0.851727,-0.544513,0.380820
7,3676881733,0.793848,0.027587,-0.592995,0.131912,-0.964171,-0.416066,0.170187
8,3676915067,0.796147,0.031685,-0.586715,0.144606,-1.461411,-0.526598,-0.051676
9,3676948401,0.797859,0.036898,-0.580553,0.158168,-1.383566,-0.181089,-0.203730
10,3676981735,0.799002,0.043759,-0.574167,0.173243,-1.325244,-0.163360,-0.163245
11,3677015069,0.798361,0.053191,-0.569203,0.189205,-1.389264,-0.180930,0.045671
12,3677048403,0.796392,0.064711,-0.565226,0.205163,-1.246589,0.068228,0.147408
13,3677081737,0.795333,0.076254,-0.559446,0.220570,-0.711778,0.721611,0.150691
14,3677115071,0.796679,0.086043,-0.550436,0.234350,-0.973980,0.705574,-0.004294
15,3677148405,0.797090,0.095256,-0.543616,0.245064,-1.224904,0.762539,-0.220201
16,3677181739,0.796679,0.103346,-0.538488,0.254267,-0.598005,0.845164,0.083968
17,3677215073,0.801338,0.107100,-0.525975,0.264079,0.865878,1.511969,0.337056
18,3677248407,0.810116,0.108713,-0.507702,0.272271,-0.552042,1.129294,-1.187725
19,3677281741,0.813344,0.109787,-0.499011,0.278217,0.146338,0.677876,0.646428
20,3677315075,0.819277,0.109768,-0.484601,0.286177,1.706574,0.822940,2.018414
21,3677348409,0.824986,0.110663,-0.470380,0.293077,-0.137625,0.193181,-0.606407
22,3677381743,0.825308,0.112166,-0.468124,0.295205,1.077357,1.017468,0.351674
23,3677415077,0.825158,0.111896,-0.468144,0.295693,0.749402,1.040364,-0.573228
24,3677448411,0.823415,0.109683,-0.472822,0.293931,1.182663,1.176367,0.125267
25,3677481745,0.823166,0.106480,-0.474669,0.292830,0.139723,0.222332,0.493479
26,3677515079,0.823506,0.103664,-0.473808,0.294275,0.243425,0.155245,0.669275
27,3677548413,0.825291,0.102833,-0.468880,0.297442,0.562188,0.587584,0.095899
28,3677581747,0.826910,0.103693,-0.463433,0.301159,0.319201,0.668261,-1.004551
29,3677615081,0.826319,0.106344,-0.461101,0.305406,0.803454,0.244756,0.784882
30,3677648415,0.824991,0.111419,-0.458424,0.311163,1.175184,0.287440,0.841591
31,3677681749,0.822129,0.118863,-0.457441,0.317369,0.848533,-0.072586,0.408559
32,3677715083,0.818081,0.127446,-0.458008,0.323619,0.776226,-0.220705,-0.037716
33,3677748417,0.814272,0.134716,-0.459470,0.328176,-0.294616,-0.333293,-1.116311
34,3677781751,0.811425,0.138489,-0.461353,0.331004,-0.486434,-0.475307,-0.277964
35,3677815085,0.811127,0.138354,-0.460043,0.333605,-0.870666,-0.605634,-0.292756
36,3677848419,0.811091,0.136773,-0.458563,0.336370,-0.413879,-0.380955,0.094200
37,3677881753,0.811023,0.135848,-0.457053,0.338953,-0.126704,-0.383676,0.562038
38,3677915087,0.810600,0.136065,-0.456272,0.340925,0.014215,-0.187989,0.757509
39,3677948421,0.809878,0.138323,-0.456159,0.341883,-0.126298,-0.186511,0.697495
40,3677981755,0.809849,0.141236,-0.454258,0.343287,-0.213625,-0.094484,0.105694
41,3678015089,0.810208,0.143484,-0.451749,0.344817,-0.247714,-0.181429,-0.061005
42,3678048423,0.810443,0.144794,-0.450037,0.345953,-0.159844,-0.422226,0.059305
43,3678081757,0.810650,0.144836,-0.449050,0.346731,-0.124746,-0.580160,0.036016
44,3678115091,0.811008,0.143721,-0.448153,0.347519,0.033541,-0.541113,0.217586
45,3678148425,0.811718,0.142178,-0.446687,0.348381,0.054970,-0.425213,0.235880
46,3678181759,0.812377,0.140918,-0.445297,0.349136,-0.036579,-0.193599,0.074462
47,3678215093,0.812756,0.139909,-0.444265,0.349973,-0.173345,-0.205783,0.169577
48,3678248427,0.812850,0.139576,-0.443435,0.350939,-0.293322,-0.005305,0.255287
49,3678281761,0.813216,0.139241,-0.442325,0.351624,-0.184199,0.034309,0.274954
50,3678315095,0.814189,0.138716,-0.440720,0.351597,-0.146948,0.164300,0.328218
51,3678348429,0.815761,0.137869,-0.438676,0.350841,-0.196035,0.043936,0.059029
52,3678381763,0.817534,0.136786,-0.436479,0.349876,-0.051247,0.125602,-0.148052
53,3678415097,0.818746,0.135123,-0.435376,0.349062,-0.232625,0.151764,-0.397758
54,3678448431,0.818826,0.132694,-0.436866,0.347941,-0.200594,0.256622,-0.192405
55,3678481765,0.818873,0.129154,-0.439417,0.345945,-0.074820,0.432903,0.211185
56,3678515099,0.820337,0.124488,-0.440653,0.342600,0.001172,0.372683,0.618983
57,3678548433,0.823683,0.119438,-0.439452,0.337880,0.039107,0.315848,0.709794
58,3678581767,0.828581,0.114238,-0.436022,0.332097,0.119928,0.431487,0.430598
59,3678615101,0.834408,0.108871,-0.431204,0.325535,0.210868,0.469258,0.309676
60,3678648435,0.840779,0.103821,-0.425096,0.318756,-0.426558,0.279193,-0.154589
61,3678681769,0.846143,0.099409,-0.421130,0.311142,-0.371776,0.790971,0.296693
62,3678715103,0.853237,0.094399,-0.413958,0.302842,-0.873916,1.088052,1.598113
63,3678748437,0.864473,0.090849,-0.396427,0.295429,-2.160136,0.939853,2.735249
64,3678781771,0.877333,0.092033,-0.369746,0.291727,-3.423682,0.424713,1.948979
65,3678815105,0.888107,0.097087,-0.339783,0.293918,-2.940088,0.578248,0.658326
66,3678848439,0.896225,0.102228,-0.307490,0.302951,-2.585311,0.229991,-0.450746
67,3678881773,0.901409,0.103626,-0.273120,0.319576,-2.244319,0.446146,-1.553451
68,3678915107,0.902906,0.096708,-0.238771,0.344089,-1.908939,0.103521,-3.242497
69,3678948441,0.899652,0.079705,-0.212709,0.372865,-0.022737,-1.095262,-2.729611
70,3678981775,0.893375,0.055326,-0.197744,0.399647,2.344139,-1.988162,-1.148650
71,3679015109,0.886779,0.025878,-0.187015,0.421874,4.375038,-2.539012,-0.838451
72,3679048443,0.883295,-0.003235,-0.175175,0.434848,7.728926,-2.704230,0.191453
73,3679081777,0.885177,-0.024290,-0.159763,0.436288,6.488977,-3.960941,-0.166342
74,3679115111,0.887873,-0.032619,-0.154623,0.432099,4.613955,-4.328113,-0.506768
75,3679148445,0.890522,-0.029237,-0.158866,0.425296,3.138373,0.170845,2.556452
76,3679181779,0.893137,-0.016499,-0.163873,0.418545,0.434434,1.201585,3.409728
77,3679215113,0.895673,0.005177,-0.172180,0.409996,0.390191,1.545075,1.589532
78,3679248447,0.898445,0.027845,-0.178540,0.400181,-0.961951,2.509246,1.315344
79,3679281781,0.901222,0.052292,-0.184918,0.388420,-0.401197,1.382076,2.571474
80,3679315115,0.904502,0.079938,-0.188283,0.374212,-1.203573,1.362561,1.928795
81,3679348449,0.908378,0.104938,-0.186391,0.359298,-2.425523,0.748313,0.369296
82,3679381783,0.912378,0.125374,-0.180511,0.345345,-2.224706,-0.352760,-0.257136
83,3679415117,0.915739,0.142107,-0.170618,0.334839,-2.649521,-0.938649,-0.650949
84,3679448451,0.916652,0.155919,-0.163980,0.329467,-2.656460,-1.000893,-2.004694
85,3679481785,0.915262,0.165749,-0.160890,0.330057,-1.654211,-0.371492,-1.949424
86,3679515119,0.912734,0.170400,-0.155685,0.337110,-1.714380,-0.132902,-2.359794
87,3679548453,0.908815,0.168771,-0.154915,0.348672,-1.528818,-0.262510,-2.885508
88,3679581787,0.904526,0.159314,-0.160153,0.361666,0.065094,0.065241,-2.443085
89,3679615121,0.901782,0.141827,-0.164932,0.373458,1.357812,-0.576089,-1.345165
90,3679648455,0.901054,0.118945,-0.171155,0.380341,2.536629,-0.294514,-0.885810
91,3679681789,0.903234,0.092344,-0.171254,0.382507,3.309659,-0.672634,0.108153
92,3679715123,0.906805,0.069177,-0.168415,0.380205,2.647958,-0.783980,2.342773
93,3679748457,0.910457,0.055614,-0.168081,0.373796,1.666676,-0.148237,3.375516
94,3679781791,0.914316,0.053580,-0.167548,0.364807,0.946069,0.253297,4.389479
95,3679815125,0.918662,0.062776,-0.165000,0.353404,-0.341592,0.660324,4.666488
96,3679848459,0.922859,0.082286,-0.161474,0.339833,-0.643086,0.772577,4.848173
97,3679881793,0.926656,0.110156,-0.154637,0.324441,-0.425536,0.574681,3.638691
98,3679915127,0.929993,0.142129,-0.142614,0.307527,-0.530100,0.362069,2.233929
99,3679948461,0.932405,0.175001,-0.125096,0.290426,-1.002510,0.256590,1.194979
100,3679981795,0.933278,0.206120,-0.102846,0.275552,-1.315583,-0.009492,-0.292603
101,3680015129,0.932533,0.233829,-0.079675,0.263360,-1.446348,0.030367,-0.730113
102,3680048463,0.930246,0.257878,-0.058388,0.254425,-1.169326,-0.341000,-1.663174
103,3680081797,0.926688,0.278680,-0.040184,0.248941,-0.665151,-0.591321,-2.043743
104,3680115131,0.922728,0.293844,-0.022001,0.248484,-1.907365,0.968996,-3.375869
105,3680148465,0.919183,0.300054,-0.005786,0.255023,-3.364186,1.596374,-2.853790
106,3680181799,0.916343,0.295596,0.007274,0.269973,-3.206481,0.941528,-2.315768
107,3680215133,0.914028,0.284523,0.008861,0.288998,-2.184677,-0.820383,-2.284127
108,3680248467,0.911826,0.269515,0.001530,0.309730,-0.195840,-1.987014,-2.301699
109,3680281801,0.909217,0.252723,-0.004706,0.330806,4.671279,-2.382795,-2.301049
110,3680315135,0.906936,0.239936,-0.004915,0.346228,4.569736,-4.309589,-0.937785
111,3680348469,0.904806,0.236122,-0.008405,0.354262,4.335599,-3.516318,-1.313945
112,3680381803,0.903658,0.236992,-0.012783,0.356475,2.722700,-1.534378,-0.924761
113,3680415137,0.903523,0.237612,-0.016649,0.356243,1.688394,-0.854719,-0.322921
114,3680448471,0.904127,0.238816,-0.021884,0.353614,2.195617,-0.565123,-0.616240
115,3680481805,0.904812,0.239922,-0.025254,0.350876,1.210531,0.751875,-0.403089
116,3680515139,0.904982,0.242135,-0.030174,0.348523,0.626111,0.387388,-0.995420
117,3680548473,0.904819,0.246083,-0.038515,0.345344,-0.033595,2.278824,-0.377288
118,3680581807,0.903783,0.249931,-0.047765,0.344135,-0.595887,2.668138,0.251574
119,3680615141,0.902551,0.254499,-0.062460,0.341658,0.203678,2.107149,-0.325457
120,3680648475,0.901717,0.258097,-0.077710,0.338013,-0.285994,2.616832,0.230047
121,3680681809,0.901259,0.260000,-0.092322,0.334078,-0.278130,1.057975,0.516339
122,3680715143,0.900074,0.262002,-0.108042,0.330980,-0.196687,0.158322,-0.604599
123,3680748477,0.898685,0.260980,-0.125674,0.329333,-0.384038,0.491371,-1.273939
124,3680781811,0.899051,0.252730,-0.140886,0.328613,-1.391430,-0.051782,-0.711501
125,3680815145,0.899945,0.238329,-0.159260,0.328534,-1.566535,-0.515342,-1.218618
126,3680848479,0.900456,0.217737,-0.175070,0.333347,-2.300645,-0.772738,-1.642572
127,3680881813,0.899980,0.189978,-0.189226,0.343713,-2.948478,-1.515558,-1.756006
128,3680915147,0.897456,0.156301,-0.207149,0.356696,-1.724203,-1.201808,-1.691287
129,3680948481,0.893594,0.115351,-0.221790,0.372818,-0.600713,-0.962595,-2.021783
130,3680981815,0.886726,0.071243,-0.239054,0.389223,-0.198157,-1.873471,-0.277840
131,3681015149,0.878000,0.027974,-0.254498,0.404431,2.019783,-0.859341,2.382892
132,3681048483,0.870186,-0.008686,-0.262149,0.417109,2.492207,-1.236737,4.005880
133,3681081817,0.863708,-0.033969,-0.270199,0.424082,4.343228,0.058894,5.217531
134,3681115151,0.861708,-0.044984,-0.277486,0.422418,2.522876,-0.006930,5.942748
135,3681148485,0.861931,-0.042465,-0.286784,0.415964,0.758477,0.504102,4.624047
136,3681181819,0.863792,-0.031698,-0.294911,0.407290,-0.854226,1.352904,2.867725
137,3681215153,0.866179,-0.017632,-0.300998,0.398528,-1.741657,1.589576,0.933199
138,3681248487,0.868391,-0.000571,-0.306589,0.389744,-2.212644,0.719281,1.197102
139,3681281821,0.869923,0.019779,-0.311760,0.381639,-1.395197,1.033292,0.842417
140,3681315155,0.872566,0.040062,-0.310548,0.374944,-1.609419,0.497204,0.066671
141,3681348489,0.875964,0.059776,-0.305414,0.368559,-0.860244,-0.068696,0.566119
