sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:13:28_259 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3676681729,-0.467217,0.698977,0.419589,-0.342187,-0.105645,-0.929756,0.306420
2,3676715063,-0.460806,0.697202,0.423763,-0.349285,-0.305829,-0.124925,-0.154224
3,3676748397,-0.455693,0.693404,0.429026,-0.357042,-1.005270,1.257033,0.467860
4,3676781731,-0.450625,0.687987,0.435485,-0.366021,-1.441803,0.310093,0.106709
5,3676815065,-0.445194,0.682804,0.442248,-0.374174,-1.275649,-0.095130,-0.007065
6,3676848399,-0.438963,0.678663,0.449190,-0.380743,-0.857165,0.559253,-0.108050
7,3676881733,-0.433592,0.675839,0.454638,-0.385424,-1.010941,0.713541,-0.119223
8,3676915067,-0.428063,0.673449,0.460147,-0.389232,-0.988977,-0.501072,-0.034195
9,3676948401,-0.421071,0.670166,0.467300,-0.393974,-0.704581,-0.515758,-0.087698
10,3676981735,-0.412468,0.666338,0.475790,-0.399369,-0.934561,-0.127329,-0.046657
11,3677015069,-0.403447,0.662225,0.484424,-0.405005,-1.541605,0.685991,-0.194252
12,3677048403,-0.394510,0.658897,0.491961,-0.410121,-2.397333,1.539380,-0.162412
13,3677081737,-0.387791,0.656822,0.496563,-0.414291,-3.007138,2.352941,-0.082097
14,3677115071,-0.384943,0.653849,0.499132,-0.418539,-4.266548,3.347865,0.098467
15,3677148405,-0.388987,0.644588,0.504560,-0.422638,-5.379312,4.455262,-0.586597
16,3677181739,-0.396419,0.629478,0.514426,-0.426595,-3.739918,5.279567,-1.045077
17,3677215073,-0.403654,0.617660,0.520577,-0.429614,-2.085831,2.660904,2.052794
18,3677248407,-0.415139,0.604200,0.523552,-0.434170,-0.081264,0.277979,4.570977
19,3677281741,-0.436831,0.582981,0.523874,-0.441448,0.410719,1.182854,3.073287
20,3677315075,-0.457405,0.565628,0.521940,-0.445458,2.348593,-2.293772,1.367573
21,3677348409,-0.472380,0.555345,0.518246,-0.447078,4.265799,-5.469439,0.776626
22,3677381743,-0.482436,0.541008,0.518518,-0.453557,6.046020,-6.209665,-0.956965
23,3677415077,-0.483870,0.521894,0.529557,-0.461599,4.598659,-4.241471,-2.681539
24,3677448411,-0.475061,0.500749,0.548862,-0.471514,5.069512,-4.244073,-2.710227
25,3677481745,-0.463621,0.487483,0.563824,-0.479089,4.780326,-3.648996,-2.532396
26,3677515079,-0.453214,0.482615,0.569667,-0.486999,3.489507,-2.519614,-1.712335
27,3677548413,-0.444478,0.485618,0.572370,-0.488892,2.957958,1.568519,-1.699984
28,3677581747,-0.440882,0.485608,0.568014,-0.497168,-7.648544,0.944601,3.419756
29,3677615081,-0.433299,0.479118,0.567147,-0.510931,0.256421,4.181254,-1.532288
30,3677648415,-0.400020,0.492010,0.584812,-0.505878,3.787466,8.336579,2.472822
31,3677681749,-0.404532,0.493525,0.581425,-0.504718,-2.625969,1.379262,0.187906
32,3677715083,-0.401993,0.498945,0.581614,-0.501188,-1.216672,-3.448350,0.014146
