sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:11:49_210 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3577646415,-0.816170,0.531560,0.104569,-0.201024,0.000939,-0.084817,0.079015
2,3577679749,-0.816110,0.531741,0.104453,-0.200850,-0.102109,0.037602,0.115762
3,3577713083,-0.816184,0.531877,0.104173,-0.200333,-0.089510,-0.142446,0.269853
4,3577746417,-0.816120,0.532281,0.103568,-0.199835,0.167633,-0.141729,0.107476
5,3577779751,-0.815996,0.532681,0.103243,-0.199441,0.086145,-0.136462,0.086219
6,3577813085,-0.815913,0.532935,0.103107,-0.199172,-0.011276,-0.164661,0.106626
7,3577846419,-0.815955,0.532990,0.103073,-0.198869,-0.098783,-0.139174,0.117908
8,3577879753,-0.815974,0.533229,0.102812,-0.198288,-0.061254,-0.097170,0.110335
9,3577913087,-0.815977,0.533365,0.103051,-0.197787,-0.198108,-0.123710,0.235106
10,3577946421,-0.816172,0.533323,0.103201,-0.197013,-0.074259,0.079812,0.124542
11,3577979755,-0.816600,0.533451,0.102448,-0.195278,-0.008579,-0.029024,0.104321
12,3578013089,-0.817304,0.533266,0.101629,-0.193257,-0.008431,-0.196931,0.072918
13,3578046423,-0.818291,0.532728,0.100826,-0.190972,0.022054,0.203271,-0.003137
14,3578079757,-0.819157,0.532318,0.100157,-0.188739,-0.027695,0.087094,0.055783
15,3578113091,-0.820016,0.531860,0.099964,-0.186388,-0.249246,0.019307,0.091335
16,3578146425,-0.820730,0.531649,0.100412,-0.183583,-0.595720,-0.261247,0.209864
17,3578179759,-0.821102,0.532152,0.100722,-0.180263,-0.846954,-0.275756,0.386058
18,3578213093,-0.821232,0.532810,0.101946,-0.177013,-0.603105,-0.080773,0.349296
19,3578246427,-0.821457,0.533536,0.103223,-0.172994,-0.221539,0.039612,0.184815
20,3578279761,-0.821786,0.533980,0.105146,-0.168858,-0.152499,-0.096547,0.223413
21,3578313095,-0.822065,0.533961,0.108497,-0.165402,-0.155785,0.112438,0.123353
22,3578346429,-0.822597,0.533415,0.112217,-0.162003,-0.533672,0.034242,0.268582
23,3578379763,-0.823597,0.532752,0.114717,-0.157281,-0.749822,0.018868,0.248733
24,3578413097,-0.824323,0.533083,0.115565,-0.151639,-0.539263,0.117834,-0.111739
25,3578446431,-0.824758,0.534384,0.114686,-0.145225,0.183517,0.324821,-0.400834
26,3578479765,-0.824977,0.535003,0.116915,-0.139825,0.599547,0.014826,-0.513787
27,3578513099,-0.824816,0.535617,0.121023,-0.134840,0.068290,0.380671,-0.357550
28,3578546433,-0.823613,0.538424,0.123226,-0.128888,-0.064509,0.175809,-0.332961
29,3578579767,-0.821469,0.542409,0.125702,-0.123350,0.501798,0.355706,-0.356412
30,3578613101,-0.821723,0.541814,0.129911,-0.119858,-1.223874,1.318495,1.351909
31,3578646435,-0.822714,0.541065,0.129903,-0.116408,-1.224001,-0.292962,0.680981
32,3578679769,-0.822562,0.541824,0.128635,-0.115352,-0.466109,0.456248,0.543757
33,3578713103,-0.823342,0.540974,0.127794,-0.114709,-0.113407,-0.101560,-0.022578
34,3578746437,-0.824313,0.538961,0.129298,-0.115528,0.061909,0.172757,-0.468375
35,3578779771,-0.826289,0.535871,0.129304,-0.115776,-0.110536,0.246072,-0.388476
36,3578813105,-0.828743,0.532465,0.127984,-0.115414,-0.650415,0.432176,0.394077
37,3578846439,-0.831694,0.528456,0.125593,-0.115238,-0.339565,0.232972,0.285450
38,3578879773,-0.834638,0.524341,0.122840,-0.115722,-0.245602,0.329084,0.390515
39,3578913107,-0.837519,0.520355,0.119165,-0.116736,-0.052286,-0.228579,0.037858
40,3578946441,-0.839763,0.516941,0.115755,-0.119185,-0.158745,-0.335870,-0.195490
41,3578979775,-0.841462,0.513074,0.115496,-0.124064,0.034741,0.613774,0.113366
42,3579013109,-0.843416,0.509057,0.113429,-0.129144,0.266062,-0.195924,0.023530
43,3579046443,-0.845083,0.505822,0.110134,-0.133731,-0.401481,0.271996,0.578773
44,3579079777,-0.846689,0.503227,0.105654,-0.136938,-0.570171,-0.055212,0.388241
45,3579113111,-0.847372,0.501910,0.101262,-0.140813,-0.570149,-0.360547,0.403703
46,3579146445,-0.847492,0.500698,0.098503,-0.146256,0.244587,-0.337780,-0.362736
47,3579179779,-0.847283,0.499400,0.097262,-0.152597,-0.074263,0.162386,-0.579599
48,3579213113,-0.848102,0.496668,0.095560,-0.157944,-0.107014,0.428349,0.104826
49,3579246447,-0.849088,0.494164,0.092991,-0.161983,-0.120707,0.250618,-0.015199
50,3579279781,-0.850407,0.491383,0.090653,-0.164828,-0.354547,0.357413,0.201723
51,3579313115,-0.850788,0.489905,0.089102,-0.168072,-0.869834,-0.830189,0.137338
52,3579346449,-0.850402,0.488799,0.090702,-0.172338,-0.666697,0.130868,0.073286
53,3579379783,-0.849753,0.487970,0.093272,-0.176463,-0.254636,0.757896,0.068229
54,3579413117,-0.848620,0.488648,0.094452,-0.179391,-0.294447,-0.470602,0.018854
55,3579446451,-0.848240,0.488450,0.096143,-0.180822,-0.749543,0.106831,0.484241
56,3579479785,-0.848063,0.488393,0.096209,-0.181770,-0.005602,-0.982536,-0.001878
57,3579513119,-0.847935,0.487948,0.097698,-0.182765,0.099548,0.548834,-0.288144
58,3579546453,-0.847769,0.487712,0.099836,-0.183011,-0.725089,-0.238278,0.695521
59,3579579787,-0.847126,0.487240,0.104082,-0.184869,-0.397052,-0.100512,0.667080
60,3579613121,-0.846186,0.486769,0.109850,-0.187062,-0.071846,0.507267,-0.176628
61,3579646455,-0.845353,0.486490,0.115602,-0.188084,-0.031396,-0.269499,0.291543
62,3579679789,-0.844818,0.486368,0.120026,-0.188037,0.400740,-0.613990,-0.145712
63,3579713123,-0.844462,0.486123,0.124553,-0.187322,0.360460,-0.149617,0.100535
64,3579746457,-0.844496,0.485729,0.128119,-0.185783,-0.132449,-0.570700,0.477951
65,3579779791,-0.844351,0.486306,0.130570,-0.183206,0.526948,-0.975569,0.294758
66,3579813125,-0.843832,0.486766,0.135010,-0.181142,0.465934,-0.900137,0.331446
67,3579846459,-0.842890,0.485501,0.145226,-0.181020,0.477613,-0.108378,0.118006
68,3579879793,-0.842000,0.485274,0.152786,-0.179547,0.841616,-0.010761,0.129946
69,3579913127,-0.840579,0.486416,0.159499,-0.177262,1.291299,-0.803111,0.065214
70,3579946461,-0.839222,0.488349,0.163973,-0.174271,0.316410,0.195082,0.610781
71,3579979795,-0.837092,0.493426,0.163091,-0.171008,-0.340761,0.035573,-0.295978
72,3580013129,-0.835139,0.500874,0.156064,-0.165367,-0.497402,1.000507,-0.352838
73,3580046463,-0.833359,0.509216,0.145966,-0.157926,0.977352,-0.921456,-0.712381
74,3580079797,-0.832722,0.513645,0.140297,-0.151970,1.036945,0.094896,-0.005136
75,3580113131,-0.833062,0.516026,0.134670,-0.147054,0.510247,-0.217592,0.255619
76,3580146465,-0.833027,0.518406,0.129403,-0.143566,-0.972101,-0.205892,0.830784
77,3580179799,-0.832578,0.521321,0.124525,-0.139882,-1.292208,0.286303,0.224060
78,3580213133,-0.831225,0.525079,0.121018,-0.136916,-0.726410,-0.303367,0.046078
79,3580246467,-0.829833,0.527919,0.120397,-0.134978,-0.166263,0.020589,0.006180
80,3580279801,-0.829742,0.529665,0.116839,-0.131780,0.193239,-0.424659,0.054844
81,3580313135,-0.830583,0.529009,0.114768,-0.130941,0.053011,0.031381,-0.143402
82,3580346469,-0.832091,0.526522,0.114790,-0.131368,-0.481443,1.420962,-0.013328
83,3580379803,-0.833195,0.523989,0.115904,-0.133501,-0.844102,0.765005,0.410629
84,3580413137,-0.833053,0.522033,0.119931,-0.138404,-0.335916,0.084817,0.680310
85,3580446471,-0.833216,0.519292,0.125269,-0.142930,0.187812,0.406246,-0.250162
86,3580479805,-0.833932,0.516999,0.126512,-0.145939,0.493177,-0.566503,-0.417276
87,3580513139,-0.834593,0.514159,0.128271,-0.150589,0.001721,-0.348612,-0.018517
88,3580546473,-0.836058,0.510892,0.128895,-0.153028,0.120897,0.092984,0.088372
89,3580579807,-0.837645,0.508435,0.127285,-0.153878,0.196740,0.067501,-0.486071
90,3580613141,-0.838490,0.506351,0.126206,-0.156999,0.445631,0.084823,-0.031235
91,3580646475,-0.839195,0.504378,0.124479,-0.160917,0.342385,0.552536,-0.054173
92,3580679809,-0.839912,0.502493,0.122075,-0.164868,0.135764,-0.192706,-0.039922
93,3580713143,-0.840214,0.500705,0.120202,-0.170062,-0.444575,0.360988,0.161529
94,3580746477,-0.840223,0.499125,0.118698,-0.175629,-0.125164,0.139741,0.267799
