sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:11:49_221 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3577646415,-0.806144,0.533878,-0.050620,0.250088,0.088971,0.323230,0.325739
2,3577679749,-0.805805,0.533305,-0.054342,0.251617,-0.267013,0.130079,0.127024
3,3577713083,-0.805665,0.532807,-0.056688,0.252601,-0.209380,0.088512,0.124915
4,3577746417,-0.805549,0.532495,-0.058141,0.253298,-0.078869,-0.293568,0.111177
5,3577779751,-0.805361,0.532274,-0.059063,0.254146,-0.303451,-0.018309,0.063610
6,3577813085,-0.805268,0.532612,-0.058200,0.253930,-0.264491,0.046557,0.013374
7,3577846419,-0.805107,0.533241,-0.057291,0.253328,0.026648,0.109939,0.235056
8,3577879753,-0.804916,0.533585,-0.056998,0.253276,0.120809,0.215106,0.249635
9,3577913087,-0.804648,0.533771,-0.056874,0.253762,-0.112021,0.296065,0.114171
10,3577946421,-0.804386,0.534053,-0.056671,0.254046,-0.281465,0.165806,0.119805
11,3577979755,-0.803938,0.534350,-0.056931,0.254780,-0.009502,0.204665,0.109102
12,3578013089,-0.803180,0.534417,-0.059229,0.256501,-0.128837,0.149902,0.065082
13,3578046423,-0.802465,0.533647,-0.062689,0.259501,0.001162,0.496645,0.472025
14,3578079757,-0.802048,0.531534,-0.066729,0.264080,0.347417,0.299136,0.400964
15,3578113091,-0.801697,0.528469,-0.072037,0.269838,0.208855,0.095454,0.236912
16,3578146425,-0.801685,0.525227,-0.075944,0.275084,-0.002195,0.151998,0.141121
17,3578179759,-0.802167,0.522756,-0.077068,0.278056,-0.033272,-0.067263,0.029917
18,3578213093,-0.802894,0.520393,-0.077470,0.280270,0.112912,0.080909,0.035934
19,3578246427,-0.803826,0.517734,-0.077316,0.282553,-0.026520,0.680238,0.191032
20,3578279761,-0.804840,0.515361,-0.076463,0.284236,0.370293,0.795333,0.340556
21,3578313095,-0.806120,0.511867,-0.076776,0.286825,0.276191,1.193259,0.555260
22,3578346429,-0.808300,0.508225,-0.074549,0.287752,-0.067152,0.857788,-0.011782
23,3578379763,-0.810582,0.505144,-0.071502,0.287531,0.214972,0.689676,0.109971
24,3578413097,-0.812682,0.501786,-0.069743,0.287914,0.562226,0.479521,0.194378
25,3578446431,-0.814606,0.498221,-0.068251,0.289024,0.601900,0.103400,0.180925
26,3578479765,-0.816204,0.495166,-0.066375,0.290200,0.535413,-0.060234,-0.065199
27,3578513099,-0.817257,0.493626,-0.064160,0.290359,0.733073,-0.294637,0.016760
