sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:11:49_219 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3577646415,0.613378,-0.785172,-0.017421,0.083536,0.134257,0.054499,0.088597
2,3577679749,0.612968,-0.785433,-0.017863,0.083994,0.082508,0.038859,0.130692
3,3577713083,0.612782,-0.785534,-0.018119,0.084342,0.035114,0.098837,0.120161
4,3577746417,0.612577,-0.785680,-0.018330,0.084427,-0.062196,0.060216,0.092914
5,3577779751,0.612450,-0.785779,-0.018587,0.084374,0.078352,0.044683,0.149529
6,3577813085,0.612478,-0.785785,-0.018520,0.084126,0.003845,0.039800,0.100233
7,3577846419,0.612432,-0.785870,-0.018382,0.083696,0.050462,0.028437,0.158997
8,3577879753,0.612538,-0.785858,-0.018092,0.083094,0.042949,0.084029,0.097262
9,3577913087,0.612620,-0.785890,-0.017671,0.082279,-0.016139,0.038754,0.113034
10,3577946421,0.612565,-0.786012,-0.017452,0.081566,-0.018515,-0.032226,0.083385
11,3577979755,0.612332,-0.786246,-0.017722,0.080995,0.022612,-0.067751,0.037631
12,3578013089,0.611981,-0.786491,-0.018894,0.081014,-0.055831,-0.028396,0.060901
13,3578046423,0.611764,-0.786672,-0.019948,0.080636,0.190764,0.195083,0.131988
14,3578079757,0.612000,-0.786739,-0.019648,0.078228,0.188595,0.404697,0.166934
15,3578113091,0.612308,-0.786766,-0.019162,0.075626,-0.057750,0.293470,0.214808
16,3578146425,0.612400,-0.786868,-0.019072,0.073819,-0.340671,0.169687,0.125798
17,3578179759,0.612339,-0.787069,-0.019238,0.072127,-0.305739,0.176513,0.179984
18,3578213093,0.612166,-0.787326,-0.020116,0.070528,-0.155085,0.112338,0.117332
19,3578246427,0.612204,-0.787347,-0.021817,0.069449,-0.208498,0.154484,0.164412
20,3578279761,0.612591,-0.787049,-0.023984,0.068699,0.167069,0.292432,0.255754
21,3578313095,0.613888,-0.786093,-0.025926,0.067346,0.520917,0.488467,0.307671
22,3578346429,0.616944,-0.783920,-0.027038,0.064250,0.880856,0.766285,0.347418
23,3578379763,0.622030,-0.780294,-0.027236,0.059048,1.086927,1.036588,0.618575
24,3578413097,0.629235,-0.774978,-0.027371,0.052274,1.234308,1.301667,0.794674
25,3578446431,0.638251,-0.768030,-0.028907,0.044017,1.321819,1.161321,1.045599
26,3578479765,0.648490,-0.759603,-0.033355,0.036874,0.112008,0.969504,0.422470
27,3578513099,0.655643,-0.753192,-0.041840,0.033043,-0.246344,-0.040081,0.379584
28,3578546433,0.658080,-0.750143,-0.055974,0.033041,0.142409,-0.323514,0.485757
29,3578579767,0.661868,-0.745612,-0.070274,0.032610,0.454212,-1.409964,0.307922
30,3578613101,0.667534,-0.739844,-0.078063,0.030725,-1.209865,-1.708477,-0.456532
31,3578646435,0.673878,-0.733326,-0.083808,0.033269,-2.629595,-1.218759,-0.643365
