sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:33:03_638 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,557071273,0.582492,-0.543600,-0.111324,0.594001,-0.320846,0.421289,0.014210
2,557104607,0.584955,-0.540998,-0.122936,0.591662,-0.165295,0.259448,0.098184
3,557137941,0.587686,-0.539134,-0.133048,0.588462,-0.222333,0.068039,0.201897
4,557171275,0.590425,-0.537964,-0.141597,0.584784,-0.229841,-0.106131,0.418991
5,557204609,0.592992,-0.536987,-0.148692,0.581313,-0.119244,-0.142676,0.610874
6,557237943,0.595441,-0.535986,-0.153835,0.578388,-0.119851,-0.164247,0.678928
7,557271277,0.597764,-0.535726,-0.156009,0.575643,-0.090660,-0.128112,0.758697
8,557304611,0.599854,-0.536056,-0.155054,0.573416,0.032896,-0.346189,0.755479
9,557337945,0.601555,-0.536737,-0.151726,0.571886,0.027058,-0.442289,0.445065
10,557371279,0.602773,-0.538099,-0.146302,0.570735,0.127294,-0.396182,0.212750
11,557404613,0.603635,-0.540600,-0.138642,0.569371,0.098538,-0.540551,0.106236
12,557437947,0.604145,-0.543604,-0.129878,0.568035,0.208005,-0.703702,0.220956
13,557471281,0.604295,-0.546139,-0.120459,0.567519,0.117730,-1.034854,0.361473
14,557504615,0.603842,-0.547620,-0.110702,0.568560,-0.054330,-1.337558,0.817197
15,557537949,0.602685,-0.547286,-0.100106,0.572064,-0.434377,-1.607480,1.298120
16,557571283,0.600866,-0.545628,-0.086544,0.577744,-0.742283,-1.875582,1.842370
17,557604617,0.598941,-0.542269,-0.068897,0.585231,-0.977976,-1.805331,1.662143
18,557637951,0.596753,-0.537804,-0.046223,0.593755,-0.714398,-1.305015,0.965243
19,557671285,0.594296,-0.532740,-0.018897,0.602222,-0.585733,-0.890126,0.116089
20,557704619,0.590978,-0.527009,0.010336,0.610679,-0.423067,-0.367925,-1.126784
21,557737953,0.586224,-0.520635,0.038655,0.619528,-0.272541,-0.130394,-2.103875
22,557771287,0.580467,-0.513115,0.063447,0.629106,-0.340529,0.153076,-2.994335
23,557804621,0.574520,-0.504493,0.082893,0.639196,-0.221085,0.513170,-3.904790
24,557837955,0.569986,-0.495699,0.096194,0.648208,0.326589,0.817919,-4.078876
25,557871289,0.568100,-0.488898,0.104250,0.653760,0.748007,1.417395,-3.671432
26,557904623,0.569217,-0.483241,0.107569,0.656451,1.135909,1.726096,-2.587988
27,557937957,0.572562,-0.479334,0.106774,0.656536,1.077046,2.309605,-1.302633
28,557971291,0.575521,-0.479518,0.102183,0.654543,0.815436,2.687806,-0.592515
29,558004625,0.576455,-0.481361,0.092235,0.653844,0.758579,3.664073,-1.046438
30,558037959,0.575735,-0.487008,0.084310,0.651363,0.996427,3.295613,0.277085
31,558071293,0.575787,-0.490840,0.076413,0.649411,0.393569,2.929208,1.334696
32,558104627,0.577176,-0.494022,0.071371,0.646332,-0.830744,1.718343,2.317025
33,558137961,0.579419,-0.498529,0.072225,0.640745,-1.436054,0.152094,2.710398
34,558171295,0.582148,-0.500543,0.077623,0.636054,-1.770193,-1.950181,2.591313
35,558204629,0.585086,-0.498205,0.083408,0.634458,-2.442003,-3.155317,2.162605
36,558237963,0.588474,-0.491393,0.087550,0.636077,-2.271748,-3.787901,1.026542
37,558271297,0.592103,-0.482106,0.092243,0.639146,-1.562980,-4.004288,0.311434
38,558304631,0.595514,-0.471881,0.098637,0.642643,-0.878681,-3.785411,-0.116094
39,558337965,0.597730,-0.461288,0.107265,0.646881,-0.337720,-3.050326,-1.193388
40,558371299,0.597441,-0.451344,0.118056,0.652260,0.448993,-2.215853,-2.227797
41,558404633,0.596423,-0.440633,0.125411,0.659107,1.242987,-0.923640,-2.410282
42,558437967,0.596359,-0.430200,0.123969,0.666292,1.730738,0.890682,-2.535505
43,558471301,0.596693,-0.423545,0.113191,0.672148,2.398945,2.324125,-2.607981
44,558504635,0.596231,-0.425059,0.101090,0.673530,2.528845,3.787661,-1.412451
45,558537969,0.594882,-0.430333,0.088083,0.673200,2.234570,4.504054,1.158620
46,558571303,0.591863,-0.435901,0.075290,0.673831,1.509579,5.029098,2.291153
47,558604637,0.585229,-0.442483,0.069473,0.675957,0.519583,4.156703,2.036668
48,558637971,0.575949,-0.449537,0.068095,0.679405,-1.085776,2.696363,2.039425
49,558671305,0.566911,-0.453850,0.065445,0.684381,-2.330698,1.961484,1.966574
50,558704639,0.560187,-0.453354,0.062079,0.690533,-2.849534,0.660325,1.907942
51,558737973,0.557575,-0.450273,0.060465,0.694793,-2.973045,-0.886955,1.924600
52,558771307,0.559810,-0.445305,0.061384,0.696116,-2.297965,-1.963758,1.793371
53,558804641,0.565152,-0.438156,0.065840,0.695928,-1.563164,-2.607522,0.717771
54,558837975,0.571659,-0.430386,0.074209,0.694619,-0.723647,-3.014390,-0.173863
55,558871309,0.578227,-0.422451,0.084103,0.692924,0.127953,-3.019014,-0.985365
56,558904643,0.583862,-0.414407,0.093677,0.691828,0.643311,-2.666218,-1.617096
57,558937977,0.588091,-0.407718,0.101361,0.691137,1.007707,-2.505943,-2.179011
58,558971311,0.591146,-0.404072,0.105808,0.690004,1.375819,-1.753812,-2.030022
59,559004645,0.593008,-0.405251,0.108562,0.687281,1.908979,-0.869005,-2.218589
60,559037979,0.594817,-0.406426,0.108900,0.684967,1.977737,-0.389854,-2.252484
61,559071313,0.597799,-0.406679,0.104252,0.682941,2.069673,0.452315,-1.378151
62,559104647,0.599884,-0.409503,0.093869,0.680929,2.508550,0.991830,-1.957922
63,559137981,0.599473,-0.421289,0.083503,0.675429,1.199171,1.961003,-1.586603
64,559171315,0.597629,-0.437966,0.071063,0.667835,1.439651,2.416747,1.252039
65,559204649,0.594665,-0.452723,0.053045,0.662292,1.053831,2.380580,2.034039
66,559237983,0.587518,-0.468093,0.032964,0.659283,0.675389,2.268849,3.696318
67,559271317,0.574391,-0.477643,0.006851,0.664766,-0.346585,1.799527,5.388508
68,559304651,0.555783,-0.469207,-0.030157,0.685616,-1.444072,1.392030,4.428692
69,559337985,0.534456,-0.446238,-0.070583,0.714336,-3.303217,1.522651,2.710684
70,559371319,0.516879,-0.424603,-0.101176,0.736437,-4.740886,0.605884,0.679980
71,559404653,0.509102,-0.415416,-0.116868,0.744725,-4.530717,-0.787403,-0.723974
72,559437987,0.512252,-0.418438,-0.121361,0.740140,-3.075881,-1.614095,-1.133659
73,559471321,0.523676,-0.425332,-0.120890,0.728196,-1.318034,-1.753695,-1.134499
74,559504655,0.539220,-0.430357,-0.118845,0.714100,0.293369,-1.252066,-1.427626
75,559537989,0.555834,-0.436759,-0.113614,0.698148,1.186639,-0.658407,-1.575331
76,559571323,0.570733,-0.445146,-0.106223,0.681802,1.309894,-0.418000,-1.700031
77,559604657,0.582657,-0.456027,-0.097745,0.665601,1.503357,0.355925,-0.921556
78,559637991,0.591891,-0.464023,-0.094836,0.652213,1.861028,0.677151,-0.199374
79,559671325,0.598073,-0.461973,-0.106143,0.646260,1.488926,1.001238,0.015310
80,559704659,0.600197,-0.458050,-0.125840,0.643543,1.353755,1.636491,-0.455318
81,559737993,0.599622,-0.461587,-0.144413,0.637624,1.315414,1.556553,0.056403
82,559771327,0.596647,-0.470803,-0.161584,0.629505,1.299660,0.855126,0.803761
83,559804661,0.590802,-0.480476,-0.178142,0.623209,1.491756,0.482408,1.176488
84,559837995,0.581958,-0.489198,-0.193418,0.620184,1.599984,-0.023791,1.432936
85,559871329,0.570321,-0.494762,-0.208160,0.621806,1.605340,-0.034523,1.412679
86,559904663,0.556738,-0.499977,-0.221026,0.625493,0.818214,0.060309,1.364893
87,559937997,0.542182,-0.507375,-0.230402,0.628929,0.414099,-0.359710,2.223282
88,559971331,0.527139,-0.513091,-0.237305,0.634490,-0.041706,-0.980462,3.087352
89,560004665,0.511300,-0.514485,-0.240480,0.645039,-0.720697,-1.545604,3.749605
90,560037999,0.496012,-0.514444,-0.236056,0.658503,-1.381741,-1.619262,3.825231
91,560071333,0.482339,-0.512110,-0.224174,0.674438,-1.827217,-1.573201,2.729605
92,560104667,0.472036,-0.504256,-0.208609,0.692401,-2.023809,-1.157131,1.115555
93,560138001,0.467591,-0.495691,-0.190101,0.706781,-2.857687,-0.556198,-0.959188
94,560171335,0.469886,-0.489990,-0.170353,0.714231,-1.810828,-0.265799,-1.361410
95,560204669,0.478442,-0.482392,-0.154098,0.717408,-1.919137,0.301740,-2.238631
96,560238003,0.492459,-0.477331,-0.139768,0.714236,-0.992165,0.593599,-2.144839
97,560271337,0.510921,-0.476029,-0.126909,0.704471,0.944332,0.528804,-1.883262
98,560304671,0.531113,-0.477021,-0.118606,0.690167,1.850294,1.205891,-0.847348
99,560338005,0.547370,-0.479938,-0.115061,0.675896,2.598745,1.138217,-0.404426
100,560371339,0.554814,-0.479653,-0.120842,0.668985,2.520858,1.272926,-0.688816
101,560404673,0.552615,-0.475357,-0.137667,0.670618,2.166981,1.237766,-0.523706
102,560438007,0.542242,-0.470491,-0.161859,0.677084,1.239792,1.423672,0.029238
103,560471341,0.526497,-0.466893,-0.186345,0.685650,-0.082354,0.567495,1.112680
