sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:34:22_804 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,636206189,0.689926,-0.449863,-0.405729,0.396245,0.740884,0.520940,0.031339
2,636239523,0.699112,-0.448521,-0.407988,0.378970,0.367732,0.097373,0.199007
3,636272857,0.708339,-0.448824,-0.408677,0.360271,0.049757,-0.343015,0.407214
4,636306191,0.717084,-0.449844,-0.408339,0.341599,-0.237452,-0.702009,0.318172
5,636339525,0.725080,-0.451379,-0.407003,0.323827,-0.591650,-1.087956,0.188895
6,636372859,0.731846,-0.452634,-0.405604,0.308234,-0.947328,-1.273639,0.199603
7,636406193,0.736449,-0.452066,-0.406463,0.296760,-1.210279,-1.263088,0.466359
8,636439527,0.738415,-0.447711,-0.412101,0.290638,-1.624342,-0.982994,0.838864
9,636472861,0.738337,-0.438216,-0.422725,0.290048,-1.481724,-0.318351,1.100836
10,636506195,0.738962,-0.425686,-0.432945,0.292036,-1.297544,0.007550,1.063253
11,636539529,0.742408,-0.410692,-0.440417,0.293591,-0.906073,0.750673,1.595715
12,636572863,0.748204,-0.391678,-0.447745,0.293773,-0.642164,1.025241,1.756939
13,636606197,0.755973,-0.368180,-0.455988,0.291587,-0.282885,1.333137,1.883866
14,636639531,0.765700,-0.340440,-0.464938,0.285722,-0.011270,1.633983,2.796985
15,636672865,0.775768,-0.305867,-0.477307,0.277143,0.439605,1.295475,2.860545
16,636706199,0.785395,-0.264229,-0.493063,0.265004,1.201484,1.325907,2.355439
17,636739533,0.795475,-0.218422,-0.508162,0.247553,1.000170,0.855058,1.841251
18,636772867,0.806488,-0.171662,-0.518754,0.225841,0.452185,-0.045311,1.584791
19,636806201,0.817356,-0.124572,-0.524743,0.202623,-0.542331,-0.952069,0.342609
20,636839535,0.827745,-0.078925,-0.525562,0.179984,-0.892136,-0.626623,0.457304
21,636872869,0.839750,-0.037755,-0.517962,0.158460,-1.672892,-0.468040,-0.004034
22,636906203,0.852660,-0.000777,-0.504170,0.137051,-2.108444,-0.189931,0.010298
23,636939537,0.866414,0.033089,-0.484648,0.115532,-2.344288,0.056641,0.523681
24,636972871,0.881240,0.065036,-0.458453,0.094900,-2.058969,-0.196347,0.219893
25,637006205,0.894936,0.096503,-0.428870,0.076466,-1.050924,-0.017827,-0.353282
26,637039539,0.906641,0.127103,-0.397509,0.061914,-0.416421,-0.179566,-1.107914
27,637072873,0.914891,0.156389,-0.368511,0.052121,-0.260193,-0.192868,-2.775610
28,637106207,0.919685,0.182459,-0.344362,0.047995,-0.177705,0.039034,-4.078256
29,637139541,0.922901,0.201770,-0.323770,0.052114,-0.486782,0.043398,-5.469878
30,637172875,0.924570,0.212402,-0.309635,0.064671,-0.618901,-0.354750,-6.162326
31,637206209,0.922335,0.215314,-0.310212,0.081897,0.171248,-1.231614,-5.638004
32,637239543,0.917486,0.209909,-0.321846,0.102822,1.545617,-1.522099,-4.706892
33,637272877,0.911305,0.197126,-0.339292,0.124683,2.741006,-2.184329,-3.294583
34,637306211,0.903908,0.179280,-0.360754,0.143753,4.510727,-2.107052,-1.604346
35,637339545,0.898390,0.157926,-0.377640,0.159195,5.052409,-1.286042,-0.644227
36,637372879,0.894629,0.136147,-0.390828,0.168396,4.272279,-0.904578,0.558429
37,637406213,0.890337,0.116395,-0.405652,0.170876,3.683869,-0.149384,0.765061
38,637439547,0.887706,0.097236,-0.417405,0.168212,2.910945,0.111576,0.755099
39,637472881,0.884804,0.079172,-0.429683,0.161944,2.158752,0.397640,0.805613
40,637506215,0.880709,0.062396,-0.443453,0.154295,1.142931,0.235693,1.394728
41,637539549,0.875898,0.049112,-0.457218,0.146092,-0.267170,0.402929,2.053595
42,637572883,0.871063,0.042195,-0.469283,0.138715,-2.300812,0.816868,2.549990
43,637606217,0.867385,0.041937,-0.477047,0.135316,-4.159626,0.918172,2.922279
44,637639551,0.864703,0.049099,-0.480563,0.137614,-4.890152,0.469264,2.363508
45,637672885,0.860822,0.064374,-0.484230,0.142699,-4.246775,0.724492,2.109439
46,637706219,0.858916,0.082344,-0.483275,0.148084,-3.218490,0.884205,1.391413
47,637739553,0.859616,0.099203,-0.477581,0.152106,-2.157060,0.550419,0.585603
48,637772887,0.861083,0.114281,-0.470642,0.154828,-1.314511,0.402774,-0.224498
49,637806221,0.863723,0.126167,-0.461840,0.157381,-0.690182,0.331942,-1.073622
50,637839555,0.867272,0.134340,-0.451627,0.160700,0.044870,0.328089,-2.082744
51,637872889,0.869967,0.138441,-0.443559,0.165065,0.452465,0.503294,-3.064204
52,637906223,0.872037,0.136280,-0.437954,0.170808,0.708337,0.541504,-3.571339
53,637939557,0.873484,0.126875,-0.435035,0.177972,1.558475,-0.148036,-1.912424
54,637972891,0.874633,0.110693,-0.433490,0.186683,2.346261,-0.712885,-0.861165
55,638006225,0.874781,0.092903,-0.433813,0.194765,3.031900,-1.210829,1.006187
56,638039559,0.874069,0.077113,-0.435521,0.200947,3.689342,-1.298203,2.207129
57,638072893,0.872530,0.065171,-0.439132,0.203979,3.708883,-1.107088,2.529436
58,638106227,0.870591,0.056358,-0.444133,0.204063,3.375038,-0.814778,2.232801
59,638139561,0.868663,0.048738,-0.450125,0.201087,2.499848,-0.286363,1.249215
60,638172895,0.867275,0.040013,-0.456201,0.195226,1.257888,-0.068397,0.631333
61,638206229,0.866583,0.029822,-0.461430,0.187691,0.137258,-0.124600,0.254120
62,638239563,0.866115,0.020032,-0.465888,0.179976,-0.521665,0.028962,0.728955
63,638272897,0.865646,0.012421,-0.469482,0.173461,-1.616751,0.132884,1.049603
64,638306231,0.865445,0.008412,-0.472009,0.167755,-2.269659,0.458997,1.496364
