sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:34:22_802 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,636206189,-0.314462,0.548814,0.654786,-0.413734,-0.044470,0.105329,0.151527
2,636239523,-0.314500,0.548793,0.654885,-0.413576,-0.130697,0.142848,0.056064
3,636272857,-0.314349,0.549234,0.654812,-0.413221,-0.082610,0.071562,0.129236
4,636306191,-0.314076,0.549677,0.654695,-0.413026,-0.105320,-0.173885,0.227996
5,636339525,-0.313781,0.549924,0.654524,-0.413192,-0.090185,0.240245,0.054798
6,636372859,-0.313253,0.550182,0.654690,-0.412986,0.038967,-0.077511,0.210098
7,636406193,-0.312848,0.549458,0.655047,-0.413691,0.008267,0.177022,0.100043
8,636439527,-0.312765,0.548685,0.655248,-0.414460,-0.007696,0.192118,0.072608
9,636472861,-0.313072,0.548008,0.655316,-0.415016,0.111770,0.199008,0.112408
10,636506195,-0.314082,0.546992,0.655210,-0.415761,0.292543,0.238143,0.062724
11,636539529,-0.314874,0.546148,0.655169,-0.416334,0.190997,0.050183,0.016599
12,636572863,-0.315368,0.545295,0.655194,-0.417039,0.046213,0.110545,0.232077
13,636606197,-0.316725,0.544710,0.654592,-0.417721,0.052487,0.336871,0.113673
14,636639531,-0.318688,0.544734,0.653337,-0.418159,-0.192272,0.105415,0.116564
15,636672865,-0.321175,0.544230,0.651657,-0.419532,-0.495834,0.165401,0.222424
16,636706199,-0.325164,0.543962,0.648443,-0.421781,-0.194098,0.257507,0.381101
17,636739533,-0.330570,0.545767,0.643462,-0.422874,0.939456,0.326183,0.240525
18,636772867,-0.335111,0.550470,0.637905,-0.421622,1.511604,-0.580296,-0.257697
19,636806201,-0.337998,0.555288,0.633612,-0.419467,1.107581,-1.000709,0.009837
20,636839535,-0.338404,0.558631,0.631542,-0.417819,0.778071,-0.815863,-0.094393
21,636872869,-0.336678,0.560491,0.631732,-0.416433,0.529783,-0.184139,0.007524
22,636906203,-0.333215,0.562178,0.633302,-0.414556,0.565982,0.158035,-0.078415
23,636939537,-0.328450,0.565301,0.634951,-0.411578,0.532543,-0.078506,-0.057595
24,636972871,-0.322333,0.567989,0.637073,-0.409430,-0.541056,-0.034775,-0.015821
25,637006205,-0.316670,0.568912,0.639448,-0.408865,-1.284906,0.522756,0.004359
26,637039539,-0.313172,0.568136,0.641324,-0.409699,-2.310432,0.707829,0.337923
27,637072873,-0.311010,0.565551,0.643402,-0.411660,-1.915010,0.537902,0.525521
28,637106207,-0.311215,0.564376,0.643637,-0.412747,-1.093393,0.344036,0.386947
29,637139541,-0.313608,0.564423,0.642350,-0.412876,-0.630025,-0.122709,0.110408
30,637172875,-0.316227,0.563792,0.641427,-0.413176,-0.406300,-0.496981,0.053862
31,637206209,-0.318513,0.561982,0.641441,-0.413863,-0.341922,-0.161364,0.247045
32,637239543,-0.321675,0.559914,0.641348,-0.414365,-0.309632,0.148194,0.194299
33,637272877,-0.326510,0.558875,0.640272,-0.413649,-0.714616,0.433941,0.395051
34,637306211,-0.334475,0.556884,0.637711,-0.413928,-1.801047,0.888183,0.476573
35,637339545,-0.343996,0.550443,0.635614,-0.417946,-2.734236,1.365397,0.907939
36,637372879,-0.349774,0.537633,0.636057,-0.429004,-0.942045,1.335156,-0.348358
37,637406213,-0.356762,0.530601,0.633723,-0.435412,2.267874,-0.332059,0.113817
38,637439547,-0.363840,0.529240,0.628716,-0.438458,3.085439,-0.458784,-0.910618
39,637472881,-0.367988,0.527986,0.626794,-0.439260,1.171164,-0.680129,-0.413809
40,637506215,-0.366902,0.520766,0.632198,-0.441039,-0.516357,-0.418175,0.518221
41,637539549,-0.363897,0.509649,0.640132,-0.445052,-0.296077,0.219879,0.623449
42,637572883,-0.365741,0.499785,0.643837,-0.449362,0.912470,0.639162,-0.598648
43,637606217,-0.368604,0.493032,0.645192,-0.452529,-0.419801,0.134916,-0.177164
44,637639551,-0.370581,0.485790,0.647044,-0.456089,-0.675717,-0.252127,0.427659
45,637672885,-0.374454,0.479227,0.645904,-0.461453,0.235187,-0.391566,0.036451
46,637706219,-0.378150,0.473103,0.644740,-0.466359,0.469721,-1.134887,-0.152331
47,637739553,-0.377582,0.463778,0.647707,-0.472040,-0.239804,-0.519031,0.199087
48,637772887,-0.376901,0.454014,0.650797,-0.477791,0.533161,0.235119,0.195309
49,637806221,-0.377331,0.447183,0.652012,-0.482218,-0.093386,1.438846,0.172206
50,637839555,-0.380032,0.442862,0.651078,-0.485337,-0.126349,1.285806,0.614018
51,637872889,-0.385892,0.441098,0.646864,-0.487946,0.592400,0.439668,-0.031073
52,637906223,-0.391385,0.438692,0.643045,-0.490780,-0.055623,0.201406,0.188274
53,637939557,-0.395725,0.434900,0.641072,-0.493250,0.194670,-0.194476,0.158418
54,637972891,-0.400529,0.432885,0.638482,-0.494502,0.081027,0.104196,-0.128680
55,638006225,-0.406384,0.432294,0.634430,-0.495456,0.012055,-0.476116,-0.082160
56,638039559,-0.411036,0.431756,0.631391,-0.495970,0.057383,-0.890064,-0.281408
57,638072893,-0.413812,0.430790,0.629930,-0.496359,-0.329203,-0.993038,-0.072618
58,638106227,-0.415448,0.428128,0.629392,-0.497975,-0.132912,-0.989312,0.529751
59,638139561,-0.417246,0.425598,0.628254,-0.500074,0.338727,-0.558017,-0.018743
60,638172895,-0.417693,0.424026,0.627914,-0.501461,0.145114,-0.122067,-0.050398
61,638206229,-0.417883,0.422270,0.627579,-0.503200,0.392977,0.019233,0.068824
62,638239563,-0.417867,0.420627,0.627540,-0.504636,0.556870,-0.037658,-0.151960
63,638272897,-0.417358,0.418392,0.628221,-0.506067,0.222396,-0.114785,0.062750
64,638306231,-0.416500,0.415384,0.629051,-0.508217,-0.113960,-0.304597,0.424198
65,638339565,-0.415592,0.411643,0.629793,-0.511076,0.086249,-0.075945,0.728321
66,638372899,-0.415195,0.409067,0.629427,-0.513910,0.518585,0.068132,-0.005428
67,638406233,-0.414517,0.406200,0.629106,-0.517114,0.409307,0.261262,0.618626
68,638439567,-0.414233,0.403044,0.628115,-0.521001,0.340771,1.091092,0.448186
69,638472901,-0.415291,0.401240,0.625720,-0.524422,0.680478,1.103250,0.360772
70,638506235,-0.416658,0.400522,0.622792,-0.527364,1.021078,0.817134,-0.247954
71,638539569,-0.418385,0.398708,0.620506,-0.530060,0.250358,0.662945,0.263194
72,638572903,-0.420343,0.396938,0.618631,-0.532026,-0.174091,0.311018,0.277589
73,638606237,-0.422994,0.396555,0.616173,-0.533063,-0.116917,-0.396484,-0.096678
74,638639571,-0.426095,0.396250,0.613084,-0.534380,-0.599262,-0.386011,0.193133
75,638672905,-0.428575,0.394708,0.610236,-0.536792,-0.554444,-0.228248,0.165936
76,638706239,-0.430736,0.393194,0.607892,-0.538829,-0.373581,-0.249567,0.027335
77,638739573,-0.433804,0.392580,0.604932,-0.540144,-0.066597,0.005444,-0.096829
