sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:29:23_381 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,336800201,0.586984,-0.492763,-0.353553,0.536345,0.340171,-0.103096,-0.295858
2,336833535,0.589085,-0.492842,-0.353274,0.534150,0.518859,-0.171900,-0.202840
3,336866869,0.590268,-0.492624,-0.353716,0.532749,0.386282,-0.180114,-0.025910
4,336900203,0.590470,-0.492133,-0.354425,0.532507,0.330509,-0.236740,0.051256
5,336933537,0.589575,-0.491881,-0.355096,0.533285,0.060598,-0.156120,0.104415
6,336966871,0.587876,-0.492018,-0.355772,0.534582,-0.067197,-0.189161,0.171835
7,337000205,0.585549,-0.491975,-0.356956,0.536383,-0.137216,-0.269562,0.218854
8,337033539,0.582855,-0.490958,-0.358969,0.538900,-0.507473,-0.258654,0.207953
9,337066873,0.581114,-0.489355,-0.360555,0.541174,-1.282466,-0.286122,0.302045
10,337100207,0.580822,-0.487382,-0.360521,0.543286,-1.345324,-0.360654,0.327247
11,337133541,0.582416,-0.486494,-0.357551,0.544339,-1.098912,-0.205268,0.206649
12,337166875,0.586455,-0.487583,-0.351224,0.543145,-0.952973,-0.210542,0.349622
13,337200209,0.592383,-0.488985,-0.343026,0.540686,-0.607882,-0.302060,0.332757
14,337233543,0.598817,-0.488528,-0.335480,0.538742,-0.515510,-0.202539,0.176208
15,337266877,0.604922,-0.488172,-0.327755,0.536998,-0.208930,-0.272235,-0.015001
16,337300211,0.610353,-0.487839,-0.320608,0.535466,-0.179838,-0.102302,-0.203802
17,337333545,0.614619,-0.486997,-0.314744,0.534831,-0.113756,-0.038637,-0.293095
18,337366879,0.617685,-0.485723,-0.310446,0.534970,-0.074242,0.063742,-0.425518
19,337400213,0.619673,-0.484586,-0.307572,0.535363,-0.023254,0.036660,-0.573891
20,337433547,0.619741,-0.483205,-0.307718,0.536447,0.332490,-0.374859,-0.618559
21,337466881,0.615303,-0.478272,-0.316118,0.541072,0.480862,-1.059616,0.019242
22,337500215,0.605471,-0.466370,-0.334250,0.551554,0.225369,-0.880078,0.330774
23,337533549,0.592938,-0.449557,-0.355810,0.565467,-0.271257,-0.378757,0.307217
24,337566883,0.582218,-0.434656,-0.371665,0.577922,-0.918701,0.171768,0.039483
25,337600217,0.576316,-0.428181,-0.376150,0.585716,-1.126422,0.341609,0.003016
26,337633551,0.574831,-0.430187,-0.370660,0.589195,-0.511641,0.090362,0.195443
27,337666885,0.575165,-0.435694,-0.361097,0.590759,-0.012741,0.017340,0.124654
28,337700219,0.574880,-0.440855,-0.352238,0.592554,0.261967,0.244505,0.035789
29,337733553,0.572826,-0.445014,-0.346027,0.595088,0.432054,0.442384,0.063699
30,337766887,0.567743,-0.447088,-0.344683,0.599170,0.611601,0.382595,0.362948
