sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:29:23_391 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,336800201,-0.436173,0.553665,0.605111,-0.370209,0.125375,0.152766,-0.127007
2,336833535,-0.437027,0.554331,0.603793,-0.370356,0.250264,0.244381,-0.170612
3,336866869,-0.437969,0.555779,0.602100,-0.369830,0.106084,0.257160,-0.009904
4,336900203,-0.438938,0.557680,0.600160,-0.368970,0.065496,0.075096,0.033702
5,336933537,-0.439372,0.559530,0.598568,-0.368240,0.123710,0.057420,0.093935
6,336966871,-0.439307,0.561218,0.597388,-0.367664,0.154773,0.021411,0.184979
7,337000205,-0.438886,0.562449,0.596743,-0.367334,0.039738,0.116103,0.226664
8,337033539,-0.438369,0.563096,0.596561,-0.367254,-0.073997,0.220561,0.183105
9,337066873,-0.437881,0.563559,0.596546,-0.367151,-0.144466,0.293176,0.145686
10,337100207,-0.437363,0.563828,0.596523,-0.367392,-0.117607,0.323813,0.187853
11,337133541,-0.436903,0.563729,0.596503,-0.368122,-0.121993,0.421686,0.171088
12,337166875,-0.436630,0.563277,0.596878,-0.368531,-0.004835,0.519340,0.229835
13,337200209,-0.436686,0.562125,0.597862,-0.368629,0.111051,0.303882,0.076386
14,337233543,-0.436566,0.560081,0.599788,-0.368753,0.098977,0.327558,0.098774
15,337266877,-0.435750,0.557620,0.602815,-0.368511,-0.052217,0.200952,0.024843
16,337300211,-0.434602,0.555773,0.607126,-0.365570,0.704292,0.389798,0.543775
17,337333545,-0.432753,0.554030,0.611491,-0.363125,-0.735842,0.851281,-0.285571
18,337366879,-0.429175,0.550727,0.616561,-0.363823,0.175626,0.528889,-0.647994
19,337400213,-0.426718,0.550404,0.618665,-0.363628,-0.078948,-0.703443,-0.361162
20,337433547,-0.425123,0.553166,0.618076,-0.362306,0.279024,-0.383725,0.044243
21,337466881,-0.422015,0.556556,0.617580,-0.361592,-0.185787,-0.278021,-0.002296
22,337500215,-0.416660,0.559076,0.618224,-0.362814,-0.088694,-0.509702,-0.111423
23,337533549,-0.410448,0.561389,0.619350,-0.364398,1.166879,-0.843844,-0.084264
24,337566883,-0.405363,0.565871,0.617849,-0.365704,0.940385,0.038188,-0.004725
25,337600217,-0.400881,0.571548,0.615058,-0.366519,0.149624,0.496964,0.425467
26,337633551,-0.395043,0.574483,0.615284,-0.367888,0.379337,1.606744,0.345206
27,337666885,-0.388225,0.575103,0.618432,-0.368898,0.653268,1.381713,0.709572
28,337700219,-0.380996,0.575568,0.621476,-0.370589,-1.055569,-0.372896,1.228095
29,337733553,-0.375017,0.577576,0.621387,-0.373699,-0.698262,-0.749975,0.515355
30,337766887,-0.369401,0.579897,0.620100,-0.377814,0.252229,0.626213,-0.148479
31,337800221,-0.362562,0.582451,0.619818,-0.380960,0.589323,0.754792,0.087569
32,337833555,-0.352516,0.583030,0.623153,-0.384050,0.619281,-0.419040,0.279864
33,337866889,-0.341162,0.581487,0.627773,-0.389087,0.065249,-0.348985,-0.227073
34,337900223,-0.330777,0.581427,0.630804,-0.393219,-0.222597,-0.186387,-0.175576
35,337933557,-0.320416,0.582582,0.632926,-0.396663,0.100333,-0.046198,-0.033119
36,337966891,-0.308688,0.582453,0.636392,-0.400588,0.027957,-0.179157,-0.036602
37,338000225,-0.296029,0.579046,0.641836,-0.406356,-0.309497,-0.727540,0.067210
38,338033559,-0.284898,0.573951,0.647446,-0.412592,0.322175,-0.282757,0.283254
39,338066893,-0.274453,0.569403,0.652360,-0.418195,0.039941,0.301095,-0.209251
40,338100227,-0.265307,0.566297,0.656259,-0.422196,-0.202144,-0.110642,-0.054427
41,338133561,-0.256432,0.562667,0.659998,-0.426680,-0.517304,-0.481859,0.046502
42,338166895,-0.247846,0.557902,0.663725,-0.432195,-0.597152,-0.754512,0.102596
43,338200229,-0.239977,0.552143,0.667419,-0.438298,-0.670012,-0.444832,0.337675
44,338233563,-0.232441,0.546831,0.670969,-0.443569,-0.598300,-0.315698,0.187758
45,338266897,-0.225885,0.542249,0.673991,-0.447977,-0.594708,-0.327308,0.195072
46,338300231,-0.220213,0.537680,0.676898,-0.451907,-0.468004,-0.186169,0.295303
47,338333565,-0.215433,0.533253,0.679583,-0.455414,-0.260045,-0.048896,0.111092
48,338366899,-0.211665,0.529823,0.681658,-0.458077,-0.059099,0.014629,0.130828
49,338400233,-0.209195,0.526710,0.683434,-0.460149,-0.236366,0.570883,0.163788
50,338433567,-0.207621,0.524037,0.684972,-0.461625,-0.401607,0.365547,0.168246
51,338466901,-0.207197,0.522987,0.685259,-0.462579,-0.325452,0.028088,0.150747
52,338500235,-0.208406,0.524280,0.683724,-0.462844,-0.018634,-0.346006,0.016250
53,338533569,-0.210498,0.526120,0.681783,-0.462672,0.249026,-0.569209,0.215632
54,338566903,-0.212915,0.527265,0.680153,-0.462662,0.223278,-0.396091,0.124647
55,338600237,-0.215852,0.528240,0.678672,-0.462363,0.374372,-0.249208,0.032246
56,338633571,-0.219358,0.529960,0.676850,-0.461415,0.350436,-0.061488,0.019730
57,338666905,-0.222995,0.532190,0.674942,-0.459897,0.413869,-0.203059,0.044512
58,338700239,-0.226871,0.534143,0.673216,-0.458265,0.428730,-0.292111,-0.046987
59,338733573,-0.230520,0.536079,0.671811,-0.456239,0.331481,-1.058085,0.098445
60,338766907,-0.233498,0.536842,0.671339,-0.454520,0.226003,-0.892614,0.100242
61,338800241,-0.236115,0.536664,0.671658,-0.452905,0.139048,-0.313918,0.069098
62,338833575,-0.239214,0.536548,0.672008,-0.450891,-0.113098,-0.311541,0.126437
63,338866909,-0.243219,0.536355,0.671834,-0.449236,-0.545752,-0.052025,0.184789
64,338900243,-0.248417,0.536738,0.670749,-0.447551,-0.388881,0.083276,0.069546
65,338933577,-0.254561,0.537954,0.668874,-0.445441,-0.117272,0.024974,-0.005822
66,338966911,-0.260901,0.539528,0.666662,-0.443179,0.097745,-0.169517,0.104286
67,339000245,-0.267332,0.540795,0.664429,-0.441150,0.225429,-0.196455,0.025038
68,339033579,-0.273586,0.541941,0.662313,-0.439087,0.414231,0.105371,-0.025850
69,339066913,-0.279572,0.543410,0.660139,-0.436769,0.470764,0.264556,-0.066703
70,339100247,-0.285176,0.545417,0.657813,-0.434146,0.318517,0.139301,-0.017790
71,339133581,-0.290020,0.547540,0.655620,-0.431575,0.038577,0.102945,0.051333
72,339166915,-0.294018,0.549326,0.653922,-0.429168,-0.092337,0.164584,0.072017
73,339200249,-0.297114,0.550536,0.652918,-0.427010,-0.116692,0.189698,0.052910
74,339233583,-0.299432,0.551239,0.652498,-0.425120,-0.152248,0.490318,0.166355
75,339266917,-0.301143,0.551842,0.652498,-0.423125,-0.222363,0.472091,0.156139
76,339300251,-0.302431,0.551864,0.652919,-0.421525,-0.384722,0.367820,0.191988
77,339333585,-0.303216,0.551419,0.653670,-0.420379,-0.477044,0.290995,0.202771
78,339366919,-0.303638,0.551003,0.654455,-0.419397,-0.627085,0.281238,0.218349
79,339400253,-0.304201,0.550922,0.654946,-0.418327,-0.860214,0.350415,0.286016
80,339433587,-0.305214,0.551611,0.654680,-0.417096,-0.957291,0.529666,0.199860
81,339466921,-0.306261,0.553082,0.653814,-0.415738,-0.807722,0.307925,0.244788
