sep=,
DeviceTag:,23_Right
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:27:05_938 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,199364119,0.507585,-0.547878,0.031060,0.664270,-0.039554,-0.724976,1.164190
2,199397453,0.498654,-0.539281,0.062697,0.675738,-0.313976,-0.702453,1.333776
3,199430787,0.488616,-0.523319,0.088730,0.692496,-0.483398,-0.877425,1.567161
4,199464121,0.478256,-0.501316,0.111960,0.712356,-0.321188,-0.852000,1.664524
5,199497455,0.468821,-0.473408,0.134325,0.733540,-0.158529,-0.989687,2.692921
6,199530789,0.459996,-0.438241,0.157039,0.756121,-1.058684,-1.307551,3.059177
7,199564123,0.450868,-0.398707,0.182860,0.777397,0.074318,-1.063143,3.279862
8,199597457,0.441491,-0.354922,0.210201,0.796846,0.409058,-0.861359,1.786870
9,199630791,0.430230,-0.316397,0.241275,0.810317,0.609229,0.345554,1.284383
10,199664125,0.421884,-0.276619,0.269422,0.820329,1.466045,0.169133,0.013132
11,199697459,0.418299,-0.235880,0.291582,0.827284,0.943193,-0.135945,-2.594310
12,199730793,0.417902,-0.203356,0.308030,0.830153,0.334309,0.117085,-3.818856
13,199764127,0.418438,-0.186328,0.319641,0.829490,0.851241,2.243821,-3.976701
14,199797461,0.417295,-0.184390,0.327506,0.827428,1.365926,3.587179,-4.445032
15,199830795,0.411290,-0.184882,0.332160,0.828469,2.638220,5.863341,-3.281795
16,199864129,0.402148,-0.176993,0.331561,0.834895,1.073847,4.885499,-4.242685
17,199897463,0.385968,-0.174086,0.333909,0.842175,1.373979,4.580791,-3.710890
18,199930797,0.367115,-0.171750,0.333049,0.851375,0.745945,3.633889,-4.164975
19,199964131,0.345047,-0.175156,0.329655,0.861175,0.325500,2.628492,-3.261356
20,199997465,0.322222,-0.181470,0.323647,0.870934,0.053820,2.085649,-1.847571
21,200030799,0.298749,-0.190834,0.317904,0.879375,-0.361245,0.539217,-0.031772
22,200064133,0.277124,-0.199470,0.312848,0.886326,-0.774158,-0.593461,2.472418
23,200097467,0.261605,-0.197224,0.307113,0.893521,-1.538771,-1.755073,4.143540
24,200130801,0.253455,-0.181621,0.303331,0.900443,-2.153280,-3.155150,4.700000
25,200164135,0.249010,-0.159141,0.304800,0.905427,-2.324659,-3.002560,4.680189
26,200197469,0.247543,-0.134681,0.312438,0.907193,-2.408484,-2.960496,3.675025
27,200230803,0.249850,-0.112288,0.324805,0.905263,-1.794735,-2.628815,2.398965
28,200264137,0.260515,-0.086426,0.336900,0.900663,-1.333818,-2.351163,1.645071
29,200297471,0.276726,-0.062940,0.345924,0.894333,-0.375162,-2.075311,0.720562
