sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:27:05_950 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,199364119,0.766213,-0.174196,-0.491332,0.375718,-0.214580,0.467807,1.276401
2,199397453,0.777038,-0.139854,-0.496136,0.361249,-0.245874,0.824687,1.429510
3,199430787,0.790023,-0.107729,-0.496232,0.343526,-0.223262,1.152248,1.889429
4,199464121,0.806972,-0.079619,-0.488173,0.322713,-0.594113,0.821749,1.536564
5,199497455,0.825395,-0.052154,-0.475299,0.300154,-0.572695,0.415467,1.300315
6,199530789,0.843621,-0.023615,-0.459266,0.277163,-0.494994,-0.017524,1.094104
7,199564123,0.862272,0.004556,-0.437750,0.254639,-0.262549,-0.035285,0.782763
8,199597457,0.881008,0.031260,-0.410917,0.232369,0.337547,-0.372463,0.139873
9,199630791,0.896967,0.057982,-0.385213,0.209043,0.828916,-0.278075,-0.905429
10,199664125,0.910297,0.083024,-0.361765,0.183283,2.062805,0.123790,-1.466288
11,199697459,0.921516,0.104249,-0.341164,0.153451,2.215053,-0.366130,-0.786200
12,199730793,0.931266,0.120852,-0.321906,0.120476,1.442041,-0.791133,-0.154240
13,199764127,0.940911,0.133463,-0.298506,0.088139,0.656120,-1.425840,-0.217842
14,199797461,0.950395,0.145415,-0.268237,0.060436,-1.185750,-2.317664,0.544107
15,199830795,0.958509,0.159904,-0.232463,0.040641,-3.046929,-3.090052,1.321590
16,199864129,0.964715,0.178939,-0.190379,0.032561,-4.547557,-3.266633,1.193223
17,199897463,0.966876,0.203056,-0.150425,0.035929,-5.287535,-2.306183,0.610913
18,199930797,0.964680,0.230027,-0.118764,0.048724,-4.869466,-1.603651,-0.368701
19,199964131,0.958726,0.257127,-0.100487,0.068048,-3.824809,-1.468166,-1.165627
20,199997465,0.949817,0.283034,-0.096526,0.091772,-2.084853,-0.582961,-2.332801
21,200030799,0.940120,0.303106,-0.095700,0.123057,-0.279477,0.196522,-3.755424
22,200064133,0.930721,0.313999,-0.094703,0.161845,0.771650,0.230420,-5.499150
23,200097467,0.920863,0.318867,-0.105721,0.197884,2.718596,-0.317925,-5.671669
24,200130801,0.911148,0.318741,-0.129683,0.226706,4.840765,0.937974,-5.135178
25,200164135,0.907052,0.304535,-0.146903,0.250866,7.029181,1.925566,-4.986238
26,200197469,0.907454,0.285243,-0.162479,0.262227,8.374603,2.668479,-4.306825
27,200230803,0.912923,0.261673,-0.175300,0.259552,7.591315,2.317538,-3.118407
28,200264137,0.922457,0.234276,-0.185634,0.244392,5.985695,1.513965,-1.685350
29,200297471,0.931737,0.208473,-0.200024,0.219988,4.350218,0.255083,0.183056
30,200330805,0.938626,0.187502,-0.217407,0.191199,2.146182,-0.849379,2.183755
31,200364139,0.943184,0.173326,-0.232036,0.162850,-0.649048,-2.071529,4.724063
32,200397473,0.946533,0.168225,-0.236424,0.140993,-3.157946,-2.615343,5.798819
33,200430807,0.947849,0.173368,-0.235991,0.125833,-5.703119,-2.687394,6.222267
34,200464141,0.947147,0.186707,-0.233808,0.115704,-5.883974,-2.230642,6.718765
35,200497475,0.945503,0.206035,-0.226932,0.109889,-5.301832,-2.048858,6.151129
36,200530809,0.942978,0.231292,-0.214000,0.107240,-3.193752,-1.791917,4.874852
37,200564143,0.939497,0.261113,-0.194238,0.106941,-0.758856,-1.002592,3.416476
38,200597477,0.934904,0.293134,-0.168158,0.108394,0.725711,-0.254670,1.821413
39,200630811,0.928097,0.326869,-0.140658,0.109572,1.392043,0.368800,0.379995
40,200664145,0.919375,0.360179,-0.113024,0.110661,1.521358,1.032804,-0.952659
41,200697479,0.909317,0.391127,-0.087197,0.112061,1.155917,1.713962,-2.221939
42,200730813,0.898760,0.418247,-0.065676,0.113956,0.176834,2.257802,-3.140082
43,200764147,0.888646,0.440487,-0.048814,0.117881,-0.583043,2.633936,-3.719745
44,200797481,0.879722,0.457558,-0.037469,0.123793,-1.558620,2.409114,-3.897817
45,200830815,0.872884,0.468778,-0.033095,0.131242,-1.659709,2.896905,-4.113805
46,200864149,0.869396,0.471899,-0.032390,0.142868,-1.949615,3.128879,-4.393442
47,200897483,0.869210,0.467431,-0.039283,0.156325,-2.094716,3.198135,-4.999336
48,200930817,0.872008,0.455063,-0.055915,0.171443,-2.090736,3.722295,-5.560748
49,200964151,0.875243,0.438150,-0.087475,0.185262,-0.483394,4.824286,-5.677452
50,200997485,0.879590,0.412470,-0.129496,0.198547,2.608046,5.333344,-5.057930
51,201030819,0.886344,0.374979,-0.175928,0.206962,5.342402,5.386947,-3.136598
52,201064153,0.895964,0.328233,-0.218428,0.204449,7.242411,4.412066,-0.304753
53,201097487,0.907194,0.278791,-0.253299,0.187387,7.539652,3.746066,2.450684
54,201130821,0.917756,0.231749,-0.282059,0.156393,5.709855,2.708524,3.969200
55,201164155,0.927756,0.186318,-0.301954,0.115660,4.245091,2.210946,3.586164
56,201197489,0.935969,0.141896,-0.315082,0.067451,3.205695,1.251157,3.045803
57,201230823,0.942348,0.097086,-0.319839,0.016032,2.062035,-0.180229,1.496765
58,201264157,0.945503,0.052677,-0.319367,-0.035412,2.266653,-2.094277,2.041319
59,201297491,0.946506,0.009546,-0.310834,-0.086124,1.076160,-3.760391,2.322565
60,201330825,0.947008,-0.028994,-0.289097,-0.136957,-0.336235,-5.113014,2.945254
61,201364159,0.946487,-0.057582,-0.258630,-0.184274,-1.845909,-5.205789,1.927765
62,201397493,0.942640,-0.078392,-0.233642,-0.225156,-1.992299,-3.732600,0.704673
63,201430827,0.936534,-0.096858,-0.214169,-0.260104,-1.159087,-2.654641,-0.573325
64,201464161,0.930571,-0.121346,-0.187995,-0.289776,-0.890990,-0.462432,-0.662894
65,201497495,0.926479,-0.154656,-0.139769,-0.313339,0.214526,-1.204314,-0.625746
66,201530829,0.922988,-0.185511,-0.073510,-0.329052,-2.363964,-2.435937,-0.008839
67,201564163,0.918719,-0.207158,-0.016867,-0.335792,-5.644530,-4.457873,-1.213066
68,201597497,0.913974,-0.221470,0.023023,-0.339223,-6.124201,-3.584880,-0.692611
69,201630831,0.909897,-0.234896,0.037558,-0.339854,-3.276636,-3.712004,-0.397264
70,201664165,0.906718,-0.246786,0.043839,-0.339171,-3.383822,-2.772120,1.555859
71,201697499,0.904194,-0.255756,0.047675,-0.338744,-2.964931,-2.127855,1.195968
72,201730833,0.901828,-0.262724,0.048623,-0.339584,-3.161103,-1.228165,1.883655
73,201764167,0.900355,-0.265929,0.043908,-0.341635,-3.549349,-0.337544,1.691487
74,201797501,0.900682,-0.265686,0.031518,-0.342329,-4.071033,0.184560,1.472931
75,201830835,0.903318,-0.261957,0.012228,-0.339477,-3.692407,-0.677361,1.709294
76,201864169,0.908413,-0.252149,-0.011831,-0.333265,-3.493054,-2.093343,2.420128
77,201897503,0.915836,-0.235857,-0.044381,-0.321940,-3.495146,-2.969014,0.789924
78,201930837,0.922227,-0.219943,-0.089487,-0.305145,-1.944649,-3.852014,0.629933
79,201964171,0.925951,-0.203041,-0.135850,-0.287980,0.028245,-4.278574,0.863295
80,201997505,0.928863,-0.183764,-0.170047,-0.272998,0.454590,-3.608475,1.733081
81,202030839,0.930928,-0.161227,-0.198473,-0.260741,-0.305186,-3.973725,1.038376
82,202064173,0.932731,-0.135017,-0.221943,-0.250049,0.917076,-2.694159,0.661349
83,202097507,0.935695,-0.105527,-0.236946,-0.239153,0.244431,-3.433351,1.191772
84,202130841,0.939066,-0.074358,-0.248015,-0.226084,0.400194,-2.110957,0.009251
85,202164175,0.942393,-0.045235,-0.257311,-0.208901,1.853153,-0.030514,-0.029987
86,202197509,0.946870,-0.019229,-0.260734,-0.187310,1.632088,-0.838110,-0.567458
87,202230843,0.950851,0.003290,-0.262996,-0.163415,2.634741,0.993610,-1.974809
88,202264177,0.954032,0.022159,-0.265386,-0.137481,3.127757,2.048252,-2.352350
89,202297511,0.956921,0.038682,-0.265709,-0.110474,2.909813,1.291663,-2.078319
90,202330845,0.958606,0.054309,-0.266688,-0.083681,2.365779,1.499510,-2.572783
91,202364179,0.958370,0.068661,-0.270946,-0.058305,1.945700,1.657492,-2.297424
92,202397513,0.956829,0.080691,-0.277125,-0.034182,1.755650,0.903058,-1.528462
93,202430847,0.954442,0.088923,-0.284626,-0.010997,1.452258,1.728291,-0.809999
94,202464181,0.951479,0.093655,-0.292914,0.010763,1.151868,1.582843,0.464900
95,202497515,0.948062,0.096143,-0.301695,0.030245,0.614718,1.806746,1.289174
96,202530849,0.944264,0.097993,-0.310853,0.046173,-0.572445,2.845324,2.641121
97,202564183,0.940500,0.103218,-0.318369,0.058696,-2.695555,1.605429,5.168502
98,202597517,0.936208,0.118908,-0.323167,0.070261,-3.502172,1.662320,5.734524
99,202630851,0.935619,0.145077,-0.310489,0.084650,-3.067631,1.202557,6.154344
100,202664185,0.937495,0.179277,-0.280153,0.102354,-3.936407,-0.507388,5.096084
101,202697519,0.937226,0.218802,-0.243307,0.120558,-2.385269,-0.251303,2.794510
102,202730853,0.935304,0.256575,-0.199687,0.139644,-1.340420,0.276049,1.202394
103,202764187,0.931459,0.288574,-0.153550,0.159783,-1.276510,0.101836,0.316657
104,202797521,0.924995,0.315052,-0.113005,0.179875,-1.028434,0.203557,-0.889710
105,202830855,0.916851,0.335364,-0.077556,0.202235,-0.458183,0.008840,-1.738577
106,202864189,0.906891,0.352232,-0.053370,0.225017,0.380792,-0.582917,-2.799729
107,202897523,0.895596,0.366333,-0.036295,0.249779,0.939667,-0.486116,-2.966681
108,202930857,0.883260,0.377601,-0.020868,0.277188,2.753477,-0.471193,-3.166127
109,202964191,0.870259,0.388749,-0.013274,0.302236,2.868286,-0.480009,-4.108435
110,202997525,0.857962,0.400741,-0.014741,0.321075,3.127880,0.912197,-4.296447
111,203030859,0.848108,0.408250,-0.015875,0.337331,2.991317,1.771883,-4.187774
112,203064193,0.841332,0.412593,-0.019749,0.348620,2.659659,3.636653,-5.174161
113,203097527,0.839867,0.412020,-0.029448,0.352129,2.503085,5.465884,-5.156201
114,203130861,0.847379,0.397914,-0.038930,0.349425,2.495933,6.181814,-4.404762
115,203164195,0.865000,0.363486,-0.041556,0.343403,2.382442,6.216299,-4.651904
116,203197529,0.890284,0.308104,-0.034270,0.333603,2.839585,4.642625,-5.218810
117,203230863,0.919032,0.235372,-0.016825,0.315748,3.950665,1.112750,-2.950005
118,203264197,0.945093,0.158732,0.002509,0.285651,3.801172,-1.559201,-0.820353
119,203297531,0.964031,0.092281,0.021786,0.248300,2.784551,-3.342732,2.633533
120,203330865,0.975256,0.050534,0.033906,0.212537,-1.501884,-5.055637,7.303564
121,203364199,0.981552,0.037326,0.031625,0.184828,-3.898333,-4.406538,9.637070
