sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:27:05_948 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,199397453,-0.327251,0.556523,0.657023,-0.389248,-0.061740,0.026345,0.116295
2,199430787,-0.326712,0.555849,0.657838,-0.389287,-0.041874,0.017892,0.117065
3,199464121,-0.326244,0.555128,0.658642,-0.389350,-0.038387,-0.052235,0.095277
4,199497455,-0.325869,0.554365,0.659400,-0.389469,-0.027023,-0.041934,0.096808
5,199530789,-0.325679,0.553641,0.660039,-0.389573,0.055948,-0.034699,0.122043
6,199564123,-0.325810,0.553031,0.660403,-0.389715,0.060028,-0.010193,0.098133
7,199597457,-0.326291,0.552609,0.660534,-0.389689,0.071523,0.125251,0.103789
8,199630791,-0.327316,0.552378,0.660353,-0.389464,-0.087045,0.043175,0.135360
9,199664125,-0.328866,0.552395,0.659803,-0.389066,-0.158213,-0.090286,0.178678
10,199697459,-0.330729,0.552647,0.658941,-0.388588,-0.292183,-0.189923,0.125467
11,199730793,-0.332577,0.552987,0.657967,-0.388179,-0.370777,-0.096567,0.047153
12,199764127,-0.334531,0.553255,0.656972,-0.387803,-0.420231,-0.036037,0.248036
13,199797461,-0.336956,0.553156,0.655894,-0.387669,-0.621101,-0.015487,0.305898
14,199830795,-0.339513,0.552123,0.655153,-0.388164,-0.694836,0.096915,0.254161
15,199864129,-0.342065,0.550141,0.655015,-0.388969,-0.433358,-0.049552,0.059648
16,199897463,-0.343998,0.547684,0.655572,-0.389793,-0.345294,-0.096668,0.083496
17,199930797,-0.345704,0.544418,0.656953,-0.390532,-0.269574,-0.357168,0.218143
18,199964131,-0.347063,0.540404,0.658862,-0.391685,-0.227409,-0.178176,0.342768
19,199997465,-0.348536,0.537421,0.660264,-0.392120,0.323065,0.018217,0.269734
20,200030799,-0.350497,0.536174,0.661107,-0.390656,1.179885,-0.390578,0.449057
21,200064133,-0.353626,0.535263,0.661302,-0.388751,0.281317,-0.136035,0.389667
22,200097467,-0.356933,0.533497,0.661562,-0.387712,0.032045,-0.091721,0.011669
23,200130801,-0.361425,0.532418,0.660876,-0.386201,0.109789,-0.016594,0.074945
24,200164135,-0.366279,0.531495,0.659320,-0.385559,-0.048462,-0.105999,0.101095
25,200197469,-0.371756,0.530880,0.656974,-0.385167,0.046245,0.148558,-0.192443
