sep=,
DeviceTag:,2B_Left
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:24:36_105 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,49594457,-0.696907,0.500774,-0.091413,0.505162,-0.295943,-0.271162,-0.017680
2,49627791,-0.697210,0.501280,-0.091795,0.504172,-0.176794,0.048342,0.100902
3,49661125,-0.697804,0.501891,-0.091533,0.502788,-0.056469,0.047392,0.067950
4,49694459,-0.698575,0.502732,-0.090730,0.501021,0.021071,0.052603,0.013984
5,49727793,-0.699068,0.503470,-0.090116,0.499701,0.152066,-0.191216,0.151610
6,49761127,-0.699136,0.503707,-0.090547,0.499289,-0.056875,-0.094221,0.188731
7,49794461,-0.699101,0.503899,-0.090862,0.499087,-0.235627,0.003374,-0.034624
8,49827795,-0.699202,0.503605,-0.090905,0.499233,-0.227437,-0.248379,-0.137139
9,49861129,-0.699072,0.502080,-0.091469,0.500847,-0.051902,0.056387,0.153822
10,49894463,-0.699076,0.499565,-0.090512,0.503523,-0.345167,0.062006,0.067829
11,49927797,-0.699078,0.497423,-0.088398,0.506010,-0.018924,-0.116222,0.354453
12,49961131,-0.699157,0.495584,-0.085655,0.508173,-0.090445,-0.070336,0.142035
13,49994465,-0.698953,0.493467,-0.082877,0.510966,0.262278,0.324575,0.379470
14,50027799,-0.698249,0.491681,-0.079681,0.514149,0.083691,0.257944,0.291183
15,50061133,-0.696621,0.490308,-0.076152,0.518188,0.122344,0.232006,0.349085
16,50094467,-0.693833,0.489294,-0.072688,0.523357,-0.185618,0.413838,0.154999
17,50127801,-0.690270,0.488187,-0.069909,0.529446,-0.270199,0.177057,-0.036337
18,50161135,-0.686066,0.486625,-0.068874,0.536438,-0.039385,-0.109753,0.028112
19,50194469,-0.681493,0.485054,-0.069641,0.543544,0.089873,-0.072366,-0.033310
20,50227803,-0.676058,0.481990,-0.073436,0.552483,0.204669,0.571492,0.303572
21,50261137,-0.670106,0.478475,-0.076858,0.562239,0.278489,0.739813,0.287189
22,50294471,-0.663817,0.476193,-0.078061,0.571396,0.341056,0.390584,0.459078
23,50327805,-0.657135,0.475833,-0.074715,0.579805,1.062267,0.212547,0.281142
24,50361139,-0.651395,0.473120,-0.075942,0.588280,0.757282,0.231221,0.151325
25,50394473,-0.648467,0.472619,-0.074905,0.592040,0.795156,-0.212300,0.282020
26,50427807,-0.647589,0.472896,-0.073263,0.592984,0.171252,-0.392870,-0.022278
27,50461141,-0.647834,0.472913,-0.072707,0.592771,0.159706,-0.150662,0.153808
28,50494475,-0.648691,0.472918,-0.070392,0.592109,0.438110,0.361395,0.338502
29,50527809,-0.649645,0.472585,-0.067466,0.591670,-0.227249,0.151517,0.146591
30,50561143,-0.650189,0.472542,-0.064035,0.591487,-0.277973,-0.463264,0.083341
31,50594477,-0.650691,0.472157,-0.062147,0.591444,-0.341340,0.214555,-0.270383
32,50627811,-0.652197,0.470929,-0.061043,0.590879,0.805918,1.247527,0.565405
33,50661145,-0.655296,0.468876,-0.059662,0.589221,0.513898,0.646971,0.239406
34,50694479,-0.658537,0.467120,-0.059531,0.587012,0.996539,1.680403,0.919059
35,50727813,-0.663002,0.465656,-0.058122,0.583279,1.154029,1.532899,0.140534
36,50761147,-0.667239,0.464110,-0.058147,0.579665,0.974544,1.077419,0.394313
37,50794481,-0.672220,0.463280,-0.057636,0.574604,0.950956,0.786886,-0.053733
38,50827815,-0.677594,0.463131,-0.057665,0.568375,0.602469,1.069024,0.573780
39,50861149,-0.682542,0.465605,-0.057408,0.560403,0.290701,0.207173,-0.407886
40,50894483,-0.686286,0.467187,-0.060846,0.554117,0.387380,1.226953,0.106846
41,50927817,-0.690243,0.469332,-0.065442,0.546817,-0.234395,-1.192865,0.201890
42,50961151,-0.693673,0.470641,-0.073294,0.540316,-0.443796,-1.155332,0.598110
43,50994485,-0.697791,0.472156,-0.080872,0.532556,-0.361788,-0.808049,0.031492
44,51027819,-0.701753,0.474197,-0.089356,0.524114,-0.184589,-0.781870,0.571602
45,51061153,-0.706042,0.477429,-0.096021,0.514146,-0.119260,-0.838952,-0.267445
46,51094487,-0.709325,0.480163,-0.103883,0.505480,-0.132475,0.000651,-0.519698
47,51127821,-0.711201,0.482052,-0.112356,0.499194,-0.256257,0.125181,-0.041098
