sep=,
DeviceTag:,2C_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-05-27_15:24:36_104 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,49561123,0.499208,-0.866201,0.010253,-0.019677,0.017881,0.084571,0.114660
2,49594457,0.499344,-0.866101,0.011296,-0.020068,0.105031,-0.044319,0.108222
3,49627791,0.499355,-0.866083,0.011920,-0.020205,0.006562,-0.052066,0.043579
4,49661125,0.499151,-0.866203,0.012189,-0.019957,-0.102401,0.012113,0.033211
5,49694459,0.498904,-0.866365,0.011747,-0.019351,-0.005283,-0.000896,0.067002
6,49727793,0.498392,-0.866689,0.010821,-0.018534,0.145320,-0.173919,-0.068873
7,49761127,0.497750,-0.867080,0.009919,-0.017980,-0.095700,0.016937,0.103328
8,49794461,0.497011,-0.867524,0.009065,-0.017483,-0.264598,-0.001772,0.096656
9,49827795,0.496096,-0.868068,0.008236,-0.016830,-0.504092,-0.022012,-0.086675
10,49861129,0.495167,-0.868621,0.007227,-0.016158,-0.376688,-0.033263,0.157934
11,49894463,0.494548,-0.868990,0.006161,-0.015664,-0.427815,0.090567,0.107501
12,49927797,0.494268,-0.869145,0.005962,-0.015965,-0.189950,0.220447,0.083453
13,49961131,0.494102,-0.869197,0.007366,-0.017638,-0.119081,0.318826,0.069985
14,49994465,0.493850,-0.869243,0.009997,-0.020822,-0.139560,0.272393,0.104639
15,50027799,0.493412,-0.869332,0.013385,-0.025163,-0.325973,0.437656,0.090878
16,50061133,0.492765,-0.869482,0.017081,-0.029968,-0.513447,0.575291,0.131617
17,50094467,0.493008,-0.869121,0.019739,-0.034463,-0.531016,0.821490,0.291901
18,50127801,0.495481,-0.867519,0.020297,-0.038768,-0.239998,0.980283,0.150480
19,50161135,0.499847,-0.864828,0.019047,-0.043212,-0.071045,1.350531,0.294626
20,50194469,0.506356,-0.860848,0.016471,-0.047721,0.461537,1.906676,0.416898
21,50227803,0.515837,-0.854933,0.012976,-0.053289,0.962109,2.698549,0.953775
22,50261137,0.527557,-0.847537,0.006093,-0.057724,1.305360,2.850607,1.755194
23,50294471,0.541031,-0.839073,-0.008135,-0.056404,0.578828,2.821032,1.417483
24,50327805,0.556202,-0.829241,-0.028350,-0.046913,-0.673253,2.572703,1.369968
25,50361139,0.566060,-0.822365,-0.041946,-0.039207,0.145155,-2.164105,1.150323
26,50394473,0.576231,-0.814955,-0.045730,-0.041471,0.672767,-4.020877,-0.538486
27,50427807,0.586004,-0.807823,-0.046192,-0.043500,-1.268839,-2.620178,-1.359445
28,50461141,0.590790,-0.804318,-0.047958,-0.041768,-1.556287,-1.822928,-1.752534
29,50494475,0.592063,-0.803539,-0.048785,-0.037576,-1.478591,-1.410880,-1.146700
30,50527809,0.591800,-0.803908,-0.049636,-0.032345,-0.175999,-1.056070,-1.267971
31,50561143,0.590966,-0.804673,-0.049240,-0.028990,0.982417,0.755625,-0.663957
32,50594477,0.592892,-0.803410,-0.049295,-0.024249,1.663607,1.178214,-0.097329
33,50627811,0.594887,-0.801858,-0.051845,-0.021207,1.908623,0.515708,1.487576
34,50661145,0.599162,-0.798638,-0.055129,-0.012162,2.319710,1.111168,0.910515
35,50694479,0.601968,-0.796903,-0.050578,-0.005259,-0.026742,0.770931,-1.283133
36,50727813,0.600006,-0.798780,-0.043825,-0.005191,0.661090,-1.382043,-1.302313
37,50761147,0.597496,-0.800752,-0.042381,-0.001864,0.761421,-0.431301,0.052455
38,50794481,0.591357,-0.805193,-0.044292,0.002445,2.103307,-1.614261,0.866933
39,50827815,0.587080,-0.808046,-0.048344,0.008181,1.017273,1.653721,1.957956
40,50861149,0.583030,-0.810606,-0.052259,0.016374,0.603622,-0.050814,0.490901
41,50894483,0.579625,-0.813134,-0.049120,0.020995,1.366852,-0.570491,-0.488795
42,50927817,0.575996,-0.816422,-0.035931,0.019943,0.126910,-1.267408,-0.687557
