sep=,
DeviceTag:,R_Wrist_n
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-08-21_21:32:48_317 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2066074117,-0.420375,-0.187090,0.463699,-0.757146,-1.421943,-0.431076,3.008937
2,2066107451,-0.426510,-0.106454,0.470960,-0.764825,0.424241,1.203685,3.145319
3,2066140785,-0.422775,-0.019344,0.472617,-0.772997,0.981061,1.445613,1.541257
4,2066174119,-0.407867,0.062140,0.465824,-0.782812,0.813045,1.674739,0.482344
5,2066207453,-0.385451,0.133832,0.454354,-0.791886,0.052575,1.540358,-1.238250
6,2066240787,-0.357607,0.194636,0.444378,-0.797976,-0.132357,0.913512,-2.039943
7,2066274121,-0.328872,0.241679,0.433343,-0.803525,-0.152169,0.994331,-1.620797
8,2066307455,-0.303716,0.274636,0.420030,-0.809883,0.504597,0.451450,-2.208592
9,2066340789,-0.282593,0.296130,0.406225,-0.816966,-0.559468,0.169190,-1.378001
10,2066374123,-0.265949,0.311310,0.392191,-0.823740,0.510145,0.125550,-1.565156
11,2066407457,-0.251805,0.322028,0.381544,-0.829048,1.047680,0.096792,-1.877527
12,2066440791,-0.239755,0.329281,0.373742,-0.833314,0.561563,0.905571,-2.320696
13,2066474125,-0.231124,0.332866,0.366924,-0.837348,-0.204425,1.016252,-2.826511
14,2066507459,-0.226528,0.333889,0.362532,-0.840106,-0.845358,0.383745,-3.640326
15,2066540793,-0.224270,0.334355,0.366166,-0.838949,-0.597012,0.545240,-3.978300
16,2066574127,-0.222392,0.333716,0.378777,-0.834091,-0.457427,1.376612,-2.823507
17,2066607461,-0.221527,0.329964,0.393429,-0.829015,-1.251755,1.760697,-1.833162
18,2066640795,-0.218869,0.323535,0.408492,-0.824960,0.091108,2.312188,-1.562490
19,2066674129,-0.211552,0.310841,0.423745,-0.824056,0.985586,3.231566,-0.268371
20,2066707463,-0.200436,0.291700,0.438889,-0.825903,-0.404681,2.085361,-0.796841
21,2066740797,-0.183529,0.272646,0.458419,-0.825734,0.283504,1.933036,-0.569054
22,2066774131,-0.163820,0.252890,0.477940,-0.825099,0.285154,-0.415212,0.478305
23,2066807465,-0.145356,0.235192,0.497547,-0.822196,-0.074265,-2.071611,0.446910
24,2066840799,-0.129796,0.223894,0.517906,-0.815354,0.511413,-2.839940,1.948963
25,2066874133,-0.119717,0.217277,0.530722,-0.810430,0.440802,-4.041820,2.875136
26,2066907467,-0.115295,0.216686,0.534041,-0.809048,0.321027,-3.964314,2.490051
27,2066940801,-0.115684,0.223095,0.532656,-0.808163,0.495326,-2.772669,2.102395
28,2066974135,-0.121313,0.233621,0.526965,-0.808095,0.380249,-1.224500,1.560287
29,2067007469,-0.129326,0.246404,0.519890,-0.807637,0.100476,-1.166856,-0.153476
30,2067040803,-0.137405,0.259152,0.515408,-0.805183,0.288877,-0.208794,-1.112102
31,2067074137,-0.148463,0.266385,0.510143,-0.804211,0.267786,0.460851,-2.054189
32,2067107471,-0.161160,0.267797,0.508535,-0.802314,-0.313891,1.272249,-2.726349
33,2067140805,-0.171792,0.265749,0.512904,-0.797997,-0.546854,2.633258,-1.843745
34,2067174139,-0.178867,0.260921,0.519051,-0.794051,-0.660366,3.916848,-1.291923
35,2067207473,-0.180360,0.254619,0.526834,-0.790626,-0.950973,4.062870,-0.891889
36,2067240807,-0.176227,0.246679,0.535645,-0.788150,-0.829106,3.305304,-0.260958
37,2067274141,-0.167830,0.236320,0.544736,-0.786926,-0.616884,1.763187,-0.457881
38,2067307475,-0.156845,0.224135,0.557256,-0.783985,-0.415901,0.139401,-0.024570
39,2067340809,-0.146304,0.210805,0.570888,-0.779902,-0.685978,-1.733973,0.810797
40,2067374143,-0.139447,0.198958,0.581288,-0.776582,-0.558019,-3.246562,1.643146
41,2067407477,-0.137697,0.190764,0.586312,-0.775172,-0.063957,-4.529301,2.421909
42,2067440811,-0.141049,0.187728,0.585012,-0.776292,0.015707,-4.454746,2.256114
43,2067474145,-0.146999,0.191581,0.581857,-0.776618,0.279511,-3.167037,1.678246
44,2067507479,-0.154006,0.200394,0.579607,-0.774716,0.168522,-2.150633,1.056978
45,2067540813,-0.162017,0.211067,0.576188,-0.772796,-0.374144,-1.505616,0.296759
46,2067574147,-0.171513,0.221384,0.570271,-0.772249,-0.241155,-0.177046,-0.813628
47,2067607481,-0.180594,0.229878,0.566954,-0.770136,-0.278707,1.468021,-1.081182
48,2067640815,-0.188062,0.235703,0.567531,-0.766152,-0.710340,2.120585,-1.415348
49,2067674149,-0.192234,0.238890,0.571552,-0.761125,-0.698155,2.567307,-1.686825
50,2067707483,-0.192998,0.238030,0.577455,-0.756732,-0.534570,3.257538,-1.074493
51,2067740817,-0.191127,0.232322,0.582755,-0.754916,-0.030587,3.230059,-1.417446
52,2067774151,-0.185990,0.222656,0.588936,-0.754314,-0.476426,2.901241,-0.469272
53,2067807485,-0.178041,0.209390,0.595669,-0.754745,-0.164308,2.583103,-0.437801
54,2067840819,-0.166876,0.191263,0.604526,-0.755066,0.927895,1.466032,-0.714638
55,2067874153,-0.153125,0.166981,0.615965,-0.754494,0.153122,-0.600715,-0.454108
56,2067907487,-0.138936,0.142639,0.628865,-0.751588,-0.226234,-1.728825,0.288221
57,2067940821,-0.129176,0.124409,0.636038,-0.750530,-0.133753,-2.998046,1.570057
58,2067974155,-0.126433,0.114809,0.633491,-0.754670,0.387513,-3.798135,1.561224
59,2068007489,-0.129611,0.115220,0.628446,-0.758278,0.644373,-3.709397,1.083248
60,2068040823,-0.136867,0.124687,0.625474,-0.757963,0.442468,-2.476780,1.287890
