sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-08-21_21:32:06_808 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2024639955,-0.419643,0.527963,0.547293,0.495616,-0.089669,-0.008939,0.104001
2,2024673289,-0.420031,0.527442,0.547192,0.495954,-0.093270,-0.037465,0.118668
3,2024706623,-0.420421,0.526909,0.547220,0.496159,-0.091076,-0.035307,0.117342
4,2024739957,-0.420776,0.526406,0.547152,0.496467,-0.050317,-0.020607,0.099154
5,2024773291,-0.420881,0.526115,0.547030,0.496820,-0.051841,-0.028202,0.113178
6,2024806625,-0.420937,0.525906,0.546708,0.497348,-0.093927,0.043099,0.158910
7,2024839959,-0.421090,0.525680,0.546260,0.497950,-0.088032,-0.001013,0.132203
8,2024873293,-0.421250,0.525495,0.545590,0.498744,-0.133181,0.037448,0.157277
9,2024906627,-0.421545,0.525171,0.544893,0.499596,-0.119651,0.006679,0.131842
10,2024939961,-0.422019,0.524892,0.543797,0.500683,-0.105320,0.038854,0.088279
11,2024973295,-0.422908,0.524485,0.542471,0.501797,-0.117533,0.000543,0.157652
12,2025006629,-0.424531,0.523600,0.540786,0.503167,-0.097747,0.015234,0.209249
13,2025039963,-0.426870,0.522278,0.538979,0.504500,-0.096829,-0.017171,0.136159
14,2025073297,-0.429360,0.520800,0.537258,0.505749,-0.148465,-0.036823,0.063774
15,2025106631,-0.432193,0.518902,0.535794,0.506838,-0.175864,-0.083770,0.071619
16,2025139965,-0.435800,0.516271,0.534920,0.507360,-0.212615,-0.024138,0.150816
17,2025173299,-0.440099,0.512963,0.534133,0.507833,-0.171257,-0.029766,0.126273
18,2025206633,-0.444855,0.509393,0.532561,0.508932,-0.080870,0.020359,0.064949
19,2025239967,-0.449962,0.505672,0.530447,0.510359,-0.144864,0.202427,0.043265
20,2025273301,-0.454899,0.502171,0.527697,0.512287,-0.180565,0.183417,0.048760
21,2025306635,-0.458948,0.499401,0.523706,0.515468,-0.118877,0.358269,0.004723
22,2025339969,-0.462557,0.496966,0.518510,0.519830,-0.257750,0.451693,0.050915
23,2025373303,-0.465265,0.494967,0.512917,0.524845,-0.206794,0.363629,-0.036745
24,2025406637,-0.466225,0.494572,0.506200,0.530852,-0.118533,0.249643,0.092215
25,2025439971,-0.466410,0.495458,0.499263,0.536404,-0.338288,0.286294,0.177493
26,2025473305,-0.466992,0.496587,0.492730,0.540877,-0.348412,0.133331,-0.028888
27,2025506639,-0.468343,0.496832,0.487901,0.543853,-0.227574,-0.105263,0.009072
28,2025539973,-0.469995,0.496252,0.484543,0.545955,-0.387401,-0.140091,0.179867
29,2025573307,-0.472026,0.494701,0.482899,0.547065,-0.088643,0.050578,0.277514
30,2025606641,-0.474691,0.492223,0.482735,0.547141,0.454830,0.272808,0.217741
31,2025639975,-0.477123,0.490016,0.482826,0.546925,0.207092,0.881694,0.006445
32,2025673309,-0.479559,0.487837,0.481679,0.547754,-0.099370,1.169208,-0.270211
33,2025706643,-0.481798,0.485672,0.478517,0.550477,0.069530,0.582660,-0.330012
34,2025739977,-0.485373,0.482142,0.474892,0.553570,-0.009520,-0.151363,0.073739
35,2025773311,-0.491692,0.476404,0.471936,0.555486,0.150298,-0.597909,-0.151161
36,2025806645,-0.498997,0.471318,0.467690,0.556900,0.291437,-0.836123,-0.348050
