sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-08-21_21:29:30_729 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1868503499,-0.242020,0.618184,0.276430,0.694890,-2.716081,-0.265802,0.864559
2,1868536833,-0.263992,0.611359,0.307429,0.679740,-1.257231,-0.718589,-0.356302
3,1868570167,-0.279526,0.608784,0.331255,0.664475,-0.923367,-1.274205,-0.354440
4,1868603501,-0.288155,0.610005,0.349972,0.649915,-0.841430,-0.772798,-0.147447
5,1868636835,-0.292773,0.612543,0.365761,0.636635,-1.637250,-0.575581,0.091543
6,1868670169,-0.298376,0.613451,0.383880,0.622331,-2.497443,-0.865960,-0.488038
7,1868703503,-0.306972,0.610710,0.406534,0.606253,-2.532929,-0.657513,-0.206335
8,1868736837,-0.321050,0.603132,0.434410,0.586905,-2.373174,-0.635549,0.250891
9,1868770171,-0.336826,0.593487,0.463073,0.565593,-1.151087,-0.853667,-0.119436
10,1868803505,-0.350354,0.584051,0.490049,0.544057,0.336732,-0.195904,-0.212567
11,1868836839,-0.354490,0.579303,0.509961,0.527916,0.543761,0.300793,-0.090766
12,1868870173,-0.350238,0.579350,0.520778,0.520085,0.291224,1.345686,0.317893
13,1868903507,-0.343016,0.582151,0.523139,0.519399,0.058384,1.803303,0.214856
14,1868936841,-0.335476,0.588190,0.518947,0.521721,-1.353603,0.156166,-0.235582
15,1868970175,-0.342803,0.583450,0.523551,0.517664,-2.614467,-1.358035,0.650516
16,1869003509,-0.360805,0.569994,0.532811,0.510930,-2.879836,-0.845555,2.853515
17,1869036843,-0.384796,0.550660,0.542955,0.503901,-1.015031,1.442239,2.494347
18,1869070177,-0.412245,0.526660,0.550949,0.499148,0.479766,2.764173,0.199313
19,1869103511,-0.431534,0.506144,0.549325,0.505815,-0.217250,1.101432,-0.520034
20,1869136845,-0.440005,0.490927,0.543735,0.519374,-3.027409,-1.910682,-0.557543
21,1869170179,-0.458490,0.466448,0.551000,0.518289,-4.712816,-4.802063,0.149621
22,1869203513,-0.490483,0.429711,0.571572,0.498088,-3.624844,-6.362803,0.590653
23,1869236847,-0.527434,0.387826,0.595795,0.465234,-0.896751,-4.166074,-0.324618
24,1869270181,-0.565552,0.343850,0.617897,0.424420,0.598896,-2.267453,0.456650
25,1869303515,-0.602530,0.296327,0.635979,0.380380,1.300231,-2.129052,0.768018
26,1869336849,-0.634414,0.248391,0.649798,0.337037,1.176899,-2.064638,-0.152821
27,1869370183,-0.659261,0.204300,0.659600,0.297616,0.949486,-1.993073,-0.522564
28,1869403517,-0.679379,0.160579,0.667877,0.258087,1.437866,-1.951482,-0.593716
29,1869436851,-0.694881,0.118695,0.674784,0.218469,1.529900,-1.774554,0.310973
30,1869470185,-0.708261,0.081403,0.677956,0.179237,0.413052,-1.284848,-0.035772
31,1869503519,-0.717320,0.045538,0.681408,0.138103,0.162907,0.359945,-0.501634
32,1869536853,-0.721240,0.013913,0.684664,0.104233,0.667853,0.711762,-0.978282
33,1869570187,-0.725062,-0.009421,0.683738,0.081906,0.683208,1.438688,-2.129140
34,1869603521,-0.723437,-0.041582,0.687139,0.052543,2.033690,0.712244,-2.608685
35,1869636855,-0.717167,-0.066534,0.693423,0.020495,0.589781,-4.965294,1.451234
36,1869670189,-0.710150,-0.081903,0.699191,-0.011021,3.889403,1.332660,1.131334
37,1869703523,-0.699672,-0.102487,0.706274,-0.033813,-0.837406,3.346378,1.577309
38,1869736857,-0.687957,-0.132209,0.710729,-0.064114,-0.361921,1.436385,1.324073
39,1869770191,-0.675062,-0.154661,0.716203,-0.086228,0.949900,2.594748,-0.486729
40,1869803525,-0.663165,-0.166309,0.723720,-0.093770,-0.178565,1.889737,0.186575
41,1869836859,-0.651671,-0.168256,0.733963,-0.091231,0.495483,1.166113,-0.570693
42,1869870193,-0.642197,-0.164760,0.744503,-0.078501,0.064671,0.963761,-0.045503
43,1869903527,-0.635243,-0.161817,0.752115,-0.067934,0.598740,-0.365906,0.286748
44,1869936861,-0.628899,-0.157877,0.758951,-0.059708,1.524117,-1.459308,0.158335
45,1869970195,-0.621897,-0.157698,0.764946,-0.056958,0.998492,-0.985886,-0.041476
46,1870003529,-0.615784,-0.159331,0.769536,-0.056994,0.271036,-2.083570,0.399071
47,1870036863,-0.612877,-0.159853,0.771578,-0.059223,-0.084976,-3.052607,0.408762
48,1870070197,-0.611730,-0.158389,0.772559,-0.062156,0.587060,-2.304420,0.220904
49,1870103531,-0.610706,-0.159378,0.772823,-0.066278,0.094522,-1.160129,-0.000921
