sep=,
DeviceTag:,R_Wrist_n
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-08-21_21:29:30_736 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,1868503499,-0.740256,0.095069,0.656642,0.108667,-0.711115,-2.501205,0.246509
2,1868536833,-0.753698,0.048677,0.651871,0.068107,-0.431445,-3.067970,1.008821
3,1868570167,-0.765956,-0.001653,0.642334,0.026838,0.485834,-3.745593,1.588392
4,1868603501,-0.777029,-0.055092,0.626904,-0.013646,1.924909,-3.807876,1.687333
5,1868636835,-0.787159,-0.106796,0.605311,-0.050769,3.375857,-3.532680,1.724950
6,1868670169,-0.797347,-0.150468,0.578653,-0.082230,4.556011,-3.086108,1.414079
7,1868703503,-0.808721,-0.181050,0.549330,-0.106917,5.410283,-2.517288,0.772506
8,1868736837,-0.822211,-0.195003,0.520023,-0.124593,5.984440,-1.777323,-0.668037
9,1868770171,-0.837154,-0.188587,0.494911,-0.136659,6.100066,-1.506367,-1.957692
10,1868803505,-0.850760,-0.166321,0.475957,-0.148368,6.071174,-1.845540,-2.417218
11,1868836839,-0.860249,-0.138696,0.462214,-0.164615,6.500244,-1.689859,-2.366383
12,1868870173,-0.864195,-0.112808,0.452843,-0.188092,7.180003,-1.042320,-2.096574
13,1868903507,-0.862105,-0.090916,0.447612,-0.219446,7.517172,0.172157,-1.830597
14,1868936841,-0.853712,-0.067541,0.447935,-0.256852,7.855076,2.240518,-1.297791
15,1868970175,-0.837816,-0.036663,0.456989,-0.296455,8.047146,4.012351,-0.335918
16,1869003509,-0.812537,-0.000825,0.476684,-0.335498,7.315969,4.736086,0.473812
17,1869036843,-0.776937,0.026416,0.504130,-0.376203,4.600940,3.418309,-0.153077
18,1869070177,-0.731958,0.032675,0.533713,-0.422285,2.699963,3.195990,0.085950
19,1869103511,-0.679609,0.009763,0.554411,-0.480281,1.435697,3.595673,0.770153
20,1869136845,-0.621329,-0.039777,0.553795,-0.552887,0.252302,5.117435,2.389956
21,1869170179,-0.555331,-0.106786,0.522870,-0.637821,-1.344050,6.820102,2.633042
22,1869203513,-0.481805,-0.174559,0.467303,-0.720434,-3.937902,6.523015,0.853858
23,1869236847,-0.406710,-0.231349,0.402934,-0.786583,-6.364564,3.575774,-1.045624
24,1869270181,-0.338722,-0.272658,0.351914,-0.828906,-7.149269,0.187944,-2.566941
25,1869303515,-0.285230,-0.302179,0.331062,-0.847192,-5.990456,-1.397905,-3.313678
26,1869336849,-0.247339,-0.330074,0.333944,-0.847561,-4.012389,-1.661036,-3.241884
27,1869370183,-0.220474,-0.366219,0.340127,-0.837611,-2.354247,-1.464940,-2.562291
28,1869403517,-0.199890,-0.414884,0.333195,-0.822740,-1.225592,-1.141941,-1.695543
29,1869436851,-0.182725,-0.474397,0.306600,-0.804711,-0.364400,-0.373471,-1.076349
30,1869470185,-0.166619,-0.540965,0.258391,-0.782837,0.347813,0.530549,0.176528
31,1869503519,-0.146465,-0.607618,0.185875,-0.758158,1.955335,1.492949,3.044709
32,1869536853,-0.122279,-0.662006,0.095772,-0.733231,1.252026,2.117505,3.876876
33,1869570187,-0.111022,-0.696249,0.018203,-0.708932,-0.720671,1.771069,3.001804
34,1869603521,-0.124848,-0.709533,-0.021753,-0.693186,0.409943,0.937619,2.858963
35,1869636855,-0.155884,-0.705564,-0.016400,-0.691097,1.559831,1.107793,1.926903
36,1869670189,-0.187534,-0.689141,0.026243,-0.699451,2.419311,1.212286,0.291408
37,1869703523,-0.204887,-0.666695,0.089051,-0.711065,3.280354,1.615421,-0.635672
38,1869736857,-0.199038,-0.644601,0.151287,-0.722489,4.146980,2.781777,-0.460429
39,1869770191,-0.165125,-0.628935,0.187229,-0.736291,3.643359,3.899394,0.910915
40,1869803525,-0.110399,-0.618563,0.190229,-0.754327,1.156314,3.435422,1.448150
41,1869836859,-0.048411,-0.608122,0.168083,-0.774336,-0.635653,1.267044,1.378582
42,1869870193,0.006534,-0.592970,0.137711,-0.793337,-1.624673,-0.516651,0.611670
43,1869903527,0.043748,-0.573878,0.118432,-0.809153,-2.580753,-1.612084,0.185656
44,1869936861,0.058638,-0.553589,0.121864,-0.821739,-3.923284,-1.909879,0.312943
45,1869970195,0.053943,-0.533682,0.146657,-0.831125,-4.673254,-1.135427,0.243150
46,1870003529,0.037691,-0.515453,0.184480,-0.835978,-4.643114,-0.518249,-0.192429
47,1870036863,0.019055,-0.500713,0.226833,-0.835149,-3.843579,0.154304,-1.257493
48,1870070197,0.006411,-0.492466,0.263727,-0.829390,-2.388025,0.147368,-1.691010
49,1870103531,0.004280,-0.491538,0.285495,-0.822721,-1.227917,-0.163149,-1.852603
50,1870136865,0.013157,-0.497047,0.286196,-0.819065,-1.520254,-0.081496,-2.048616
51,1870170199,0.029192,-0.508207,0.266262,-0.818525,-2.304822,-0.043143,-2.081190
52,1870203533,0.043793,-0.524962,0.232908,-0.817469,-2.766858,-0.174957,-1.415544
53,1870236867,0.048632,-0.547854,0.193587,-0.812416,-2.879389,-0.233145,-0.780535
54,1870270201,0.039469,-0.576344,0.154491,-0.801503,-2.215622,0.192296,0.105905
55,1870303535,0.019928,-0.607540,0.116707,-0.785418,-1.063363,0.605366,0.988443
56,1870336869,-0.001332,-0.637757,0.079110,-0.766165,0.283807,1.398275,1.928559
57,1870370203,-0.013478,-0.663176,0.039485,-0.747302,2.597726,1.950079,2.711032
58,1870403537,-0.012763,-0.680703,0.003504,-0.732443,3.811126,0.888891,2.474236
59,1870436871,-0.009654,-0.688795,-0.013514,-0.724769,2.982636,-0.358937,1.607236
