sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-08-21_17:49:07_081 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,2107490014,-0.704195,-0.114931,0.697903,-0.062039,0.017802,-0.300970,0.259091
2,2107523348,-0.709577,-0.113995,0.692833,-0.059205,-0.418778,-0.081392,0.203437
3,2107556682,-0.715809,-0.112988,0.686824,-0.056033,0.002322,-0.338007,0.333730
4,2107590016,-0.721691,-0.111716,0.681053,-0.053531,1.174575,-0.725425,0.292087
5,2107623350,-0.726195,-0.112795,0.676119,-0.052892,0.343210,0.121107,-0.136300
6,2107656684,-0.732835,-0.111994,0.669291,-0.049767,-0.461261,-0.008899,0.538117
7,2107690018,-0.741579,-0.110748,0.659950,-0.047737,-0.412344,-1.273611,0.287045
8,2107723352,-0.749066,-0.114069,0.650563,-0.051697,1.079740,-0.701805,-0.169789
9,2107756686,-0.755453,-0.119777,0.641641,-0.057086,-0.092719,-0.061280,-0.056294
10,2107790020,-0.762739,-0.125205,0.631398,-0.062493,-0.128963,0.081290,0.290756
11,2107823354,-0.769932,-0.131982,0.620517,-0.069003,-0.014375,-0.633020,-0.256602
12,2107856688,-0.776848,-0.139012,0.609591,-0.074824,-0.152695,1.175690,0.020178
13,2107890022,-0.784599,-0.140927,0.598969,-0.076129,-0.112073,0.590312,-0.099025
14,2107923356,-0.791953,-0.141044,0.589154,-0.076369,-0.198591,-0.009519,-0.264587
15,2107956690,-0.798512,-0.141695,0.579885,-0.077787,-0.341268,-0.023802,-0.178340
16,2107990024,-0.803769,-0.142481,0.572322,-0.078226,-0.384184,-0.084104,0.186114
17,2108023358,-0.809453,-0.141873,0.564427,-0.078077,0.117700,0.137260,-0.316447
18,2108056692,-0.816139,-0.142288,0.554473,-0.079044,-0.588473,-0.312171,-0.434123
19,2108090026,-0.822791,-0.144182,0.543831,-0.080574,-0.189690,0.387520,-0.104593
20,2108123360,-0.828550,-0.145549,0.534518,-0.081417,0.137154,0.489170,0.089139
21,2108156694,-0.834849,-0.144943,0.525057,-0.079695,0.870621,0.186941,-0.065115
22,2108190028,-0.841403,-0.143430,0.515180,-0.077939,0.757136,-0.302801,0.038327
23,2108223362,-0.846953,-0.140857,0.506937,-0.076563,0.727316,0.087574,0.876085
24,2108256696,-0.851819,-0.139626,0.499209,-0.075609,1.188402,0.146972,0.478699
25,2108290030,-0.856116,-0.140328,0.491778,-0.074459,-0.005569,-0.966826,0.765131
26,2108323364,-0.859346,-0.138819,0.486858,-0.072378,0.627110,0.288480,0.677160
27,2108356698,-0.862277,-0.134110,0.483167,-0.071125,0.759658,-0.466215,0.390421
28,2108390032,-0.864975,-0.130651,0.479295,-0.071004,0.047756,-0.235869,0.042418
29,2108423366,-0.867241,-0.131076,0.475023,-0.071295,0.123953,-0.053585,-0.361174
30,2108456700,-0.869216,-0.131881,0.471178,-0.071263,-0.369302,0.523897,0.132593
31,2108490034,-0.871037,-0.131061,0.468024,-0.071337,-0.435418,-0.032394,0.004722
32,2108523368,-0.872675,-0.130203,0.465207,-0.071303,-0.597921,0.340245,-0.218206
33,2108556702,-0.874356,-0.129454,0.462313,-0.070902,-0.433656,0.005631,-0.161180
34,2108590036,-0.876280,-0.129900,0.458580,-0.070572,-0.391834,-0.263280,-0.239885
35,2108623370,-0.878366,-0.130876,0.454325,-0.070361,-0.309741,-0.267073,-0.342764
36,2108656704,-0.881077,-0.132515,0.448482,-0.070887,0.028248,-0.958323,-0.445580
