sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-08-21_20:42:19_998 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,278877492,-0.711169,-0.088421,0.696437,0.037573,0.224689,-0.245030,3.088776
2,278910826,-0.708788,-0.101525,0.697693,0.023530,-1.074647,2.113601,1.760856
3,278944160,-0.703199,-0.116337,0.701363,0.009141,0.338478,0.038600,-1.207468
4,278977494,-0.691724,-0.128727,0.710531,-0.010460,1.464493,-0.602379,-0.834501
5,279010828,-0.682343,-0.125961,0.719955,-0.014953,1.835454,0.443965,-0.089777
6,279044162,-0.673540,-0.122449,0.728820,-0.013682,0.704697,-0.005318,-0.110819
7,279077496,-0.661262,-0.124837,0.739458,-0.019144,0.198214,-2.700433,-0.103448
8,279110830,-0.651260,-0.127621,0.747577,-0.026798,-0.383273,-3.026997,0.864102
9,279144164,-0.647152,-0.130540,0.750354,-0.033748,-1.583830,-1.476207,0.423071
10,279177498,-0.644760,-0.131634,0.752030,-0.037713,-1.560366,-0.381503,0.305519
11,279210832,-0.642267,-0.130469,0.754264,-0.039669,-0.900042,-0.108537,0.248845
12,279244166,-0.639692,-0.128300,0.756755,-0.040873,-0.314142,-0.380820,0.267615
13,279277500,-0.637846,-0.127635,0.758287,-0.043346,-0.122427,-0.608326,-0.118701
14,279310834,-0.635205,-0.128211,0.760265,-0.045723,0.088170,-0.935749,-0.016775
15,279344168,-0.632453,-0.130000,0.762080,-0.048508,-0.098011,-1.046313,0.146972
16,279377502,-0.629800,-0.133346,0.763435,-0.052483,-0.226344,-0.302773,0.145844
17,279410836,-0.626718,-0.135915,0.765331,-0.055103,-0.377465,0.213007,-0.031531
18,279444170,-0.623171,-0.137279,0.767866,-0.056670,-0.399522,0.169110,0.169056
19,279477504,-0.619881,-0.137652,0.770410,-0.057316,-0.540020,-0.566183,0.140310
20,279510838,-0.617062,-0.138191,0.772515,-0.058095,-0.316684,-0.759407,0.110026
21,279544172,-0.614633,-0.138920,0.774341,-0.057793,-0.456154,-0.657039,-0.099891
22,279577506,-0.611455,-0.141593,0.776282,-0.058961,-0.140607,-0.445881,0.079164
23,279610840,-0.607149,-0.144310,0.779116,-0.059485,0.032234,-0.468918,-0.095571
24,279644174,-0.602918,-0.146129,0.782145,-0.058327,-0.338572,-0.250352,0.030796
25,279677508,-0.599150,-0.148000,0.784834,-0.056275,-1.016942,-0.037471,-0.007250
26,279710842,-0.594879,-0.149094,0.788058,-0.053573,-0.868864,-0.062291,0.119637
27,279744176,-0.590906,-0.148830,0.791423,-0.048439,-0.992128,-0.163075,0.023289
28,279777510,-0.587277,-0.149196,0.794363,-0.043014,-1.652394,-0.573503,-0.109076
29,279810844,-0.583500,-0.151284,0.796938,-0.039334,-2.140475,-1.337043,0.052261
30,279844178,-0.580174,-0.155252,0.798575,-0.039872,-1.809420,-1.448777,1.112247
31,279877512,-0.580766,-0.158895,0.797245,-0.043354,-0.881538,0.300728,0.939343
32,279910846,-0.585626,-0.163288,0.792680,-0.045312,-0.621666,0.929790,1.032589
33,279944180,-0.592575,-0.169517,0.786044,-0.047651,-1.742006,1.482692,0.993992
34,279977514,-0.601335,-0.177963,0.777100,-0.053459,-2.675025,1.115564,0.001931
35,280010848,-0.615467,-0.188316,0.762716,-0.063385,-3.837896,0.386900,-0.047484
36,280044182,-0.632256,-0.200899,0.744433,-0.075676,-2.167337,0.401078,-0.087062
37,280077516,-0.648450,-0.210950,0.726310,-0.086616,-1.841032,-1.241415,0.499216
38,280110850,-0.662817,-0.216555,0.710395,-0.095563,1.272286,-1.981794,0.630787
39,280144184,-0.675286,-0.220221,0.696265,-0.103552,2.148027,-1.495195,0.836164
40,280177518,-0.686795,-0.223973,0.682089,-0.113666,1.897245,-1.070320,0.807870
41,280210852,-0.696860,-0.228529,0.668176,-0.125367,1.080669,-1.652012,0.711068
42,280244186,-0.705407,-0.235759,0.653559,-0.140342,1.305680,-1.482125,0.274485
43,280277520,-0.713231,-0.245393,0.637457,-0.157318,1.753148,-0.859518,-0.027763
44,280310854,-0.719800,-0.256751,0.620584,-0.175667,2.012866,-0.041495,-0.838645
45,280344188,-0.724900,-0.267147,0.605314,-0.191738,1.688722,0.716316,-1.379073
46,280377522,-0.728350,-0.275123,0.593606,-0.203619,0.911509,1.589321,-1.420880
47,280410856,-0.731366,-0.279483,0.584544,-0.212880,0.503017,2.012410,-1.593118
48,280444190,-0.732853,-0.277886,0.581308,-0.218639,0.666591,1.218287,-1.908207
49,280477524,-0.732253,-0.270749,0.585074,-0.219557,0.131166,0.070532,-1.500878
50,280510858,-0.729736,-0.264099,0.590451,-0.221631,-1.452670,-0.909464,-0.831923
51,280544192,-0.723154,-0.265788,0.594375,-0.230520,-2.736778,-2.085294,0.916432
52,280577526,-0.715132,-0.272971,0.596323,-0.241844,-1.463353,-1.217169,0.846990
53,280610860,-0.699840,-0.289721,0.604894,-0.245775,2.400753,3.095391,8.124403
54,280644194,-0.688892,-0.314564,0.601795,-0.253646,-0.197302,1.526953,2.336820
55,280677528,-0.683807,-0.330424,0.593030,-0.267506,0.296227,2.325385,-4.199862
56,280710862,-0.674094,-0.329667,0.603229,-0.270274,4.730729,0.232758,-2.572919
57,280744196,-0.669726,-0.314874,0.617696,-0.266062,2.962386,-0.168666,0.301004
58,280777530,-0.668405,-0.302115,0.630719,-0.253318,-0.409217,-0.984342,0.757864
59,280810864,-0.659096,-0.307040,0.639362,-0.250103,1.060143,-3.045461,0.168058
60,280844198,-0.645678,-0.321231,0.643602,-0.256327,2.042574,-1.466414,-0.040176
61,280877532,-0.636445,-0.331430,0.645839,-0.260769,0.765550,0.494122,0.143971
62,280910866,-0.632192,-0.331964,0.650382,-0.259140,-0.499380,0.990047,0.031478
63,280944200,-0.628717,-0.325720,0.659721,-0.251805,-0.566490,0.261110,-0.196382
64,280977534,-0.624842,-0.318182,0.670886,-0.241374,0.560204,-0.509173,0.189216
65,281010868,-0.618942,-0.315708,0.680132,-0.233829,1.761585,-1.438251,-0.166287
66,281044202,-0.610589,-0.321157,0.685176,-0.233644,1.972901,-1.793130,-0.025919
67,281077536,-0.601823,-0.330027,0.688083,-0.235478,1.030558,-0.716532,0.019418
68,281110870,-0.592478,-0.338125,0.692670,-0.234233,0.629396,0.383229,0.000783
69,281144204,-0.582231,-0.344379,0.699916,-0.229226,0.295081,0.881620,-0.203820
70,281177538,-0.571694,-0.348101,0.709347,-0.220987,-0.356505,0.426170,0.062253
71,281210872,-0.562573,-0.349381,0.719401,-0.209577,-1.477218,-1.294820,0.691474
72,281244206,-0.557504,-0.350488,0.725530,-0.199925,-3.743762,-3.101774,0.479475
73,281277540,-0.555145,-0.351726,0.728791,-0.192309,-3.992161,-2.569876,-0.274199
74,281310874,-0.553345,-0.352602,0.731506,-0.185465,-3.034597,-1.455557,-0.425990
75,281344208,-0.552338,-0.352365,0.733640,-0.180417,-2.219144,-1.917483,1.028844
76,281377542,-0.555768,-0.350400,0.731854,-0.180962,-1.664026,-1.338967,1.585917
77,281410876,-0.564333,-0.350763,0.723606,-0.186826,-1.817585,-0.922603,2.408787
78,281444210,-0.577882,-0.355078,0.707601,-0.198215,-3.619865,-0.757240,1.035450
79,281477544,-0.601730,-0.359869,0.678246,-0.220033,-7.264594,0.095370,-1.213919
80,281510878,-0.613731,-0.363721,0.662280,-0.229003,-0.297801,0.532331,0.606612
81,281544212,-0.625804,-0.359413,0.652133,-0.232229,1.731599,-1.286867,1.741576
82,281577546,-0.640208,-0.345972,0.645513,-0.231875,3.934233,0.073562,1.774372
83,281610880,-0.652377,-0.336189,0.636373,-0.237546,4.197511,0.330030,0.971213
84,281644214,-0.662898,-0.331439,0.623891,-0.247972,3.061850,0.502908,-0.088298
85,281677548,-0.670130,-0.329392,0.611740,-0.261183,2.784519,-0.438007,-0.857357
