sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-08-21_19:23:00_861 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,624815399,-0.568904,-0.318701,0.743417,-0.148706,0.072949,0.023074,0.043730
2,624848733,-0.568701,-0.319287,0.743241,-0.149107,0.179522,0.043536,0.044267
3,624882067,-0.568571,-0.319527,0.743197,-0.149306,-0.133787,-0.036708,0.094825
4,624915401,-0.568494,-0.319459,0.743296,-0.149252,-0.212100,-0.069823,0.128592
5,624948735,-0.568684,-0.319256,0.743282,-0.149030,-0.184210,-0.008696,0.146471
6,624982069,-0.568968,-0.319017,0.743237,-0.148685,-0.169221,0.022911,0.108251
7,625015403,-0.569322,-0.318658,0.743202,-0.148275,-0.109514,-0.083861,0.067912
8,625048737,-0.569647,-0.318251,0.743203,-0.147896,-0.123354,-0.105760,0.081390
9,625082071,-0.569859,-0.317832,0.743333,-0.147325,-0.182897,0.132480,0.099688
10,625115405,-0.570223,-0.317484,0.743336,-0.146646,-0.142512,0.014655,0.094796
11,625148739,-0.571256,-0.317134,0.742800,-0.146103,-0.231377,-0.213354,0.151183
12,625182073,-0.572809,-0.316269,0.742192,-0.144979,-0.253870,-0.185536,0.134618
13,625215407,-0.573938,-0.315394,0.741974,-0.143531,0.122155,-0.111269,0.064446
14,625248741,-0.575313,-0.314035,0.741960,-0.141058,0.070031,-0.075009,0.112649
15,625282075,-0.575679,-0.312959,0.742860,-0.137168,0.114988,-0.040689,0.241137
16,625315409,-0.575292,-0.312159,0.744270,-0.132903,-0.511494,-0.267580,0.160388
17,625348743,-0.574900,-0.311998,0.745673,-0.126976,-0.009502,-0.152291,0.516165
18,625382077,-0.578202,-0.310701,0.744712,-0.120654,-1.308912,-0.147466,0.185543
19,625415411,-0.584816,-0.311766,0.739634,-0.117215,-1.969108,-0.331933,0.434148
20,625448745,-0.594804,-0.316139,0.729761,-0.117121,-1.193195,-0.226648,0.365201
21,625482079,-0.607217,-0.319835,0.717574,-0.118686,0.462789,0.262765,-0.017285
22,625515413,-0.621340,-0.322207,0.703648,-0.122488,1.177212,-0.339260,0.042238
23,625548747,-0.631653,-0.324570,0.692699,-0.125861,2.884449,0.373533,-0.613985
24,625582081,-0.639556,-0.325134,0.684517,-0.129219,2.312150,1.238896,-1.242487
25,625615415,-0.647578,-0.332194,0.671189,-0.140714,-0.031354,-1.551368,0.458515
26,625648749,-0.653960,-0.344731,0.655597,-0.153926,-3.363104,-0.521551,0.599430
27,625682083,-0.659008,-0.355098,0.643176,-0.161071,-1.959931,2.537808,0.135507
28,625715417,-0.669827,-0.355611,0.630987,-0.163499,-0.930430,-0.297661,-0.519431
29,625748751,-0.680539,-0.356204,0.617900,-0.167898,-1.462068,-0.202089,0.151739
30,625782085,-0.692653,-0.349005,0.608644,-0.167285,0.445579,0.201317,-0.184820
31,625815419,-0.707094,-0.339470,0.597633,-0.166184,0.179961,-0.433499,-0.045408
32,625848753,-0.720366,-0.336961,0.582658,-0.167466,0.051930,-0.179339,-0.144884
33,625882087,-0.733903,-0.333164,0.568011,-0.166600,0.516250,-0.406826,-1.008309
34,625915421,-0.745758,-0.332068,0.552062,-0.169730,1.292223,-0.965482,-0.229411
35,625948755,-0.755356,-0.333239,0.536315,-0.175384,1.105074,-0.393066,0.205789
36,625982089,-0.764524,-0.334447,0.520539,-0.180810,0.491549,-0.032865,-0.121085
37,626015423,-0.773864,-0.334610,0.503785,-0.188085,0.663969,-0.301402,0.243920
38,626048757,-0.782834,-0.335927,0.485344,-0.196901,0.693885,0.246270,0.645608
39,626082091,-0.792076,-0.335457,0.467236,-0.204400,0.236196,0.761547,-0.940691
40,626115425,-0.800199,-0.333585,0.451616,-0.210833,-0.232193,0.614232,0.014384
41,626148759,-0.808403,-0.331397,0.435497,-0.216811,1.199177,0.049167,0.283897
42,626182093,-0.814962,-0.329391,0.422263,-0.221445,-0.634211,-0.314751,-0.561487
43,626215427,-0.819481,-0.328847,0.411069,-0.226576,0.257556,0.419530,1.312049
44,626248761,-0.825691,-0.326532,0.397738,-0.231127,0.645610,0.752931,0.158463
45,626282095,-0.831356,-0.323595,0.386532,-0.233950,-0.577291,0.605189,-0.942030
46,626315429,-0.835830,-0.321968,0.375994,-0.237398,0.364229,0.316580,1.151165
47,626348763,-0.841169,-0.320355,0.363915,-0.239537,-0.241267,0.803334,-0.896866
48,626382097,-0.845533,-0.316982,0.357017,-0.239042,-0.018140,0.135337,-0.047867
49,626415431,-0.849084,-0.315426,0.350109,-0.238729,1.348420,-0.578988,0.978903
50,626448765,-0.853171,-0.313933,0.340585,-0.239900,0.425694,-0.236722,0.245706
51,626482099,-0.856001,-0.312234,0.334271,-0.240914,0.126121,-0.271123,-0.733232
52,626515433,-0.858012,-0.312536,0.328056,-0.241913,0.615224,0.293546,0.715245
53,626548767,-0.860148,-0.312550,0.321826,-0.242673,-0.584542,0.097238,0.288373
54,626582101,-0.862692,-0.311422,0.316114,-0.242602,0.314202,-0.909562,-0.027802
55,626615435,-0.865288,-0.311512,0.308998,-0.242409,0.296984,-0.460232,-0.195075
56,626648769,-0.867476,-0.311507,0.302497,-0.242794,0.195779,0.064924,-0.143547
57,626682103,-0.869224,-0.312195,0.296746,-0.242756,0.085604,-0.696396,-0.256705
58,626715437,-0.871253,-0.314442,0.288256,-0.242815,0.396582,-0.341482,0.395849
59,626748771,-0.873743,-0.315465,0.278904,-0.243460,0.037724,-0.706398,-0.451102
60,626782105,-0.876173,-0.315948,0.269916,-0.244227,-0.020407,-0.432274,0.239256
61,626815439,-0.879294,-0.315607,0.259905,-0.244311,-0.247477,0.544271,0.191227
62,626848773,-0.883012,-0.314064,0.250517,-0.242694,-0.712966,0.945569,-0.338606
63,626882107,-0.886329,-0.312738,0.242460,-0.240485,0.068222,0.543472,0.263046
64,626915441,-0.889808,-0.312135,0.233600,-0.237169,0.373922,0.265843,0.598643
65,626948775,-0.893407,-0.310744,0.225222,-0.233543,-0.023373,0.275837,-0.096268
66,626982109,-0.896460,-0.309847,0.218144,-0.229723,0.552044,0.026339,0.258714
67,627015443,-0.899410,-0.309225,0.210713,-0.225934,0.662255,-0.038518,0.687664
68,627048777,-0.902245,-0.309019,0.202674,-0.222238,0.170401,0.684292,-0.026306
69,627082111,-0.904751,-0.309574,0.196040,-0.217169,0.195914,-0.260007,-0.182494
70,627115445,-0.907048,-0.310138,0.189768,-0.212300,0.486426,-0.983144,0.839660
71,627148779,-0.909063,-0.310843,0.183096,-0.208475,0.589044,-1.238817,0.139065
72,627182113,-0.910850,-0.312325,0.175918,-0.204606,-0.839011,-0.319933,-1.184337
73,627215447,-0.912441,-0.312630,0.170869,-0.201301,-0.132957,-0.348923,0.144053
74,627248781,-0.914481,-0.311888,0.165324,-0.197796,0.006669,0.125454,0.874969
75,627282115,-0.917087,-0.310287,0.158989,-0.193393,-0.136489,0.257123,-0.174223
76,627315449,-0.919479,-0.308518,0.153714,-0.189082,0.077625,-0.587168,-0.509068
77,627348783,-0.921424,-0.307183,0.148528,-0.185907,0.100683,-0.660639,-0.072445
78,627382117,-0.923240,-0.305807,0.143747,-0.182900,-0.186419,0.088090,0.177065
79,627415451,-0.924976,-0.303813,0.139778,-0.180510,-0.242898,-0.177273,-0.301706
80,627448785,-0.926080,-0.302840,0.136669,-0.178857,0.071191,-0.181466,0.080529
81,627482119,-0.926832,-0.301738,0.134193,-0.178700,0.212785,-0.439405,0.693086
82,627515453,-0.927660,-0.299619,0.131911,-0.179668,-0.020399,-0.432607,0.355781
83,627548787,-0.928579,-0.296584,0.129329,-0.181817,0.379056,-0.001443,0.662700
84,627582121,-0.929600,-0.293720,0.126606,-0.183163,-0.140063,0.984914,0.272486
85,627615455,-0.930574,-0.291726,0.124607,-0.182774,-0.243924,0.930150,-0.520225
86,627648789,-0.930973,-0.291306,0.123383,-0.182240,-0.111838,0.159852,-0.552032
87,627682123,-0.931183,-0.291711,0.123077,-0.180721,0.147603,0.064654,0.046946
88,627715457,-0.931486,-0.291781,0.122698,-0.179299,0.267444,-0.024154,0.060822
89,627748791,-0.931540,-0.291901,0.121458,-0.179668,0.479839,-0.749046,-0.459006
90,627782125,-0.930706,-0.294140,0.119676,-0.181523,0.210871,-0.181080,0.082153
91,627815459,-0.929883,-0.295935,0.118186,-0.183784,-0.014453,0.149413,0.359717
92,627848793,-0.930331,-0.294740,0.116465,-0.184533,0.106363,-0.273779,0.160761
93,627882127,-0.931210,-0.293374,0.115405,-0.182938,0.295297,0.214074,0.537026
94,627915461,-0.932673,-0.290642,0.114372,-0.180479,0.649312,-0.159142,0.920676
95,627948795,-0.933954,-0.287805,0.113714,-0.178809,0.911265,-0.006613,0.881111
96,627982129,-0.934744,-0.286030,0.113573,-0.177615,0.780665,0.371295,0.805346
97,628015463,-0.934956,-0.285131,0.114543,-0.177319,1.134852,-0.062345,0.707423
98,628048797,-0.934668,-0.284685,0.115701,-0.178799,0.772860,-0.615757,0.245614
99,628082131,-0.933817,-0.285217,0.117158,-0.181430,-0.435461,-0.110219,-0.392090
100,628115465,-0.932871,-0.285657,0.119860,-0.183824,-0.435870,-0.117307,-1.021145
101,628148799,-0.931752,-0.285593,0.124659,-0.186387,-0.576756,-0.325607,-1.198595
102,628182133,-0.929966,-0.285823,0.131894,-0.189939,0.606716,-0.497855,0.703952
103,628215467,-0.928193,-0.286187,0.138502,-0.193331,-0.352425,0.831031,0.518928
104,628248801,-0.926392,-0.286372,0.145629,-0.196433,0.166272,0.304908,1.456445
105,628282135,-0.924067,-0.287583,0.153093,-0.199908,0.445483,0.116233,2.093933
106,628315469,-0.921799,-0.288494,0.160424,-0.203289,0.492940,0.055517,1.610960
107,628348803,-0.919832,-0.287906,0.168098,-0.206800,0.201331,-0.256832,-0.070405
108,628382137,-0.917511,-0.287219,0.176922,-0.210672,-0.439177,0.281011,-1.293693
109,628415471,-0.914862,-0.286217,0.188204,-0.213757,-0.472898,0.877881,-1.768047
110,628448805,-0.912381,-0.283416,0.202615,-0.214915,-0.258080,0.434670,-2.790750
111,628482139,-0.909183,-0.280306,0.219642,-0.215816,0.831006,-1.376793,-1.423824
