sep=,
DeviceTag:,R_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-08-21_19:23:00_869 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,624815399,-0.655180,-0.422352,-0.380537,0.497544,0.121708,-0.264257,-0.008907
2,624848733,-0.653222,-0.423053,-0.381662,0.498660,0.191416,-0.270171,0.022626
3,624882067,-0.651388,-0.423785,-0.382644,0.499685,0.319459,-0.231524,0.062784
4,624915401,-0.650189,-0.424165,-0.383670,0.500137,0.400140,-0.225025,0.112592
5,624948735,-0.649892,-0.424171,-0.384518,0.499866,0.366119,-0.207214,0.094875
6,624982069,-0.650343,-0.424133,-0.384772,0.499114,0.304384,-0.138861,0.115750
7,625015403,-0.651232,-0.423949,-0.384672,0.498189,0.283034,-0.235235,0.215926
8,625048737,-0.652585,-0.423842,-0.383679,0.497275,0.332620,-0.829632,0.576797
9,625082071,-0.654698,-0.424971,-0.378595,0.497431,0.445227,-1.723286,1.453868
10,625115405,-0.658978,-0.425459,-0.367465,0.499703,0.305803,-2.785444,2.199545
11,625148739,-0.665781,-0.425108,-0.348540,0.504520,0.554730,-3.792710,3.282191
12,625182073,-0.675884,-0.422591,-0.321275,0.511253,1.005537,-3.710724,3.813325
13,625215407,-0.690633,-0.414952,-0.285399,0.519026,0.901018,-2.777815,3.904008
14,625248741,-0.706356,-0.405553,-0.238172,0.529020,0.317416,-1.651068,2.923184
15,625282075,-0.720196,-0.396616,-0.183400,0.538868,0.467328,-0.532251,1.872775
16,625315409,-0.733936,-0.383126,-0.132490,0.544977,0.598675,0.634269,0.576395
17,625348743,-0.747935,-0.364595,-0.089461,0.547414,0.187510,1.401251,-1.098225
18,625382077,-0.759851,-0.346073,-0.051743,0.547890,-0.221497,1.607034,-2.272981
19,625415411,-0.768980,-0.328870,-0.019532,0.547845,-0.043775,1.984646,-2.981048
20,625448745,-0.774964,-0.313856,0.008229,0.548505,-0.156050,2.154414,-3.953983
21,625482079,-0.778333,-0.300226,0.032259,0.550474,0.147892,2.372057,-4.022690
22,625515413,-0.779797,-0.290269,0.049713,0.552440,-0.502226,2.010149,-4.326700
23,625548747,-0.779677,-0.287682,0.059450,0.553000,-1.029015,2.127972,-5.388386
24,625582081,-0.777518,-0.293449,0.066858,0.552163,0.079491,2.405254,-5.018845
25,625615415,-0.775381,-0.301941,0.067925,0.550456,-0.275951,2.380814,-3.838729
26,625648749,-0.774329,-0.310462,0.061746,0.547920,-0.639328,1.979243,-3.120350
27,625682083,-0.773853,-0.320769,0.051923,0.543657,-0.963195,1.353860,-2.558764
28,625715417,-0.773214,-0.332377,0.039263,0.538632,-1.245205,0.764659,-1.646639
29,625748751,-0.771156,-0.345338,0.025960,0.534216,-1.286107,-0.439483,-0.895506
30,625782085,-0.767868,-0.358389,0.013715,0.530800,-1.194049,-2.144042,0.500378
31,625815419,-0.766715,-0.365497,0.000827,0.527788,-0.624716,-3.641837,1.738225
