sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-08-21_19:20:22_535 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,466478899,0.535479,0.362132,-0.755180,0.108767,0.634292,-0.081354,0.040473
2,466512233,0.534946,0.360865,-0.756382,0.107240,0.008779,0.195350,-0.022820
3,466545567,0.534549,0.359032,-0.757840,0.105054,-0.167772,0.054235,0.142921
4,466578901,0.534694,0.356747,-0.759104,0.102953,-0.226057,-0.274723,0.212269
5,466612235,0.535470,0.354337,-0.759946,0.101013,-0.401737,-0.157761,0.162478
6,466645569,0.536650,0.351757,-0.760612,0.098730,-0.173332,-0.033417,0.160051
7,466678903,0.537861,0.349643,-0.760970,0.096871,0.114141,-0.119271,0.084497
8,466712237,0.538896,0.348474,-0.760927,0.095663,0.348711,-0.191078,0.039100
9,466745571,0.539734,0.348367,-0.760446,0.095152,0.395685,0.022498,0.010974
10,466778905,0.540043,0.348697,-0.760087,0.095061,0.374983,0.067202,0.008249
11,466812239,0.540039,0.348877,-0.760003,0.095089,0.360420,0.023975,0.052794
12,466845573,0.540069,0.349148,-0.759807,0.095494,0.232365,0.016347,0.110763
13,466878907,0.540173,0.349116,-0.759708,0.095812,0.156709,0.109672,0.018492
14,466912241,0.540335,0.348727,-0.759770,0.095818,0.321875,0.033230,0.016234
15,466945575,0.540247,0.348330,-0.760000,0.095937,0.486143,-0.080633,-0.002759
16,466978909,0.539619,0.348072,-0.760524,0.096254,0.384597,-0.078076,-0.012063
17,467012243,0.538593,0.348397,-0.761005,0.097023,0.240335,-0.260232,-0.012307
18,467045577,0.537322,0.349651,-0.761140,0.098488,0.143598,-0.266551,0.031835
19,467078911,0.535912,0.351642,-0.760933,0.100660,-0.152365,-0.286671,0.069554
20,467112245,0.534404,0.354111,-0.760554,0.102860,-0.099379,-0.283375,0.154719
21,467145579,0.533233,0.357436,-0.759470,0.105413,-0.229936,-0.129279,0.160047
22,467178913,0.531984,0.361195,-0.758196,0.108051,0.028970,-0.215579,0.032990
23,467212247,0.531111,0.365036,-0.756582,0.110715,0.318054,-0.205157,0.082169
24,467245581,0.530022,0.368690,-0.755134,0.113676,0.303132,-0.165095,-0.023808
25,467278915,0.528666,0.372241,-0.753910,0.116500,0.476946,-0.059589,0.020798
26,467312249,0.527470,0.376066,-0.752377,0.119510,0.103938,-0.046526,0.035482
27,467345583,0.525847,0.379550,-0.751333,0.122193,0.281644,-0.048947,0.043111
28,467378917,0.524076,0.382678,-0.750608,0.124473,0.521790,0.065898,0.042239
29,467412251,0.522109,0.385872,-0.749985,0.126616,0.379804,-0.244462,-0.047722
30,467445585,0.519764,0.389889,-0.749080,0.129285,0.385751,-0.359424,0.091134
31,467478919,0.517475,0.394588,-0.747634,0.132544,0.121515,-0.135049,0.127263
32,467512253,0.515485,0.398810,-0.746261,0.135368,0.129181,0.125170,0.048737
33,467545587,0.513700,0.402471,-0.745107,0.137655,0.304522,0.051536,0.062738
34,467578921,0.512298,0.405931,-0.743793,0.139813,0.243173,0.017349,0.091035
35,467612255,0.511266,0.408826,-0.742565,0.141671,0.273221,0.268130,0.153691
36,467645589,0.510406,0.410923,-0.741752,0.142959,0.184410,0.293064,0.059237
37,467678923,0.510183,0.412335,-0.741006,0.143555,0.376303,0.256396,0.067566
38,467712257,0.510211,0.413547,-0.740196,0.144146,0.299664,0.266342,0.048891
39,467745591,0.510252,0.414203,-0.739788,0.144212,0.249488,0.247520,0.051776
40,467778925,0.510645,0.414614,-0.739268,0.144304,0.252724,0.137488,0.058577
41,467812259,0.511031,0.415016,-0.738763,0.144369,0.340593,0.171086,0.122454
42,467845593,0.511410,0.415253,-0.738376,0.144327,0.347134,0.158919,0.048709
43,467878927,0.512058,0.415250,-0.737965,0.144138,0.227110,0.181390,0.146902
44,467912261,0.512840,0.414837,-0.737753,0.143630,0.332488,0.165466,0.019669
45,467945595,0.513539,0.414240,-0.737728,0.142986,0.244885,-0.009369,-0.008971
46,467978929,0.514354,0.413792,-0.737531,0.142372,0.059377,-0.064066,0.108145
47,468012263,0.515494,0.413352,-0.737082,0.141847,0.027140,-0.081115,0.149337
48,468045597,0.516879,0.412760,-0.736544,0.141325,0.078933,-0.099593,0.052476
49,468078931,0.518441,0.412207,-0.735859,0.140788,0.249904,-0.031643,0.051466
50,468112265,0.520033,0.411904,-0.734922,0.140696,0.480109,-0.145175,-0.002357
51,468145599,0.521440,0.412182,-0.733636,0.141383,0.301850,0.086048,0.117240
52,468178933,0.522436,0.412455,-0.732697,0.141781,0.480877,0.284735,-0.078758
53,468212267,0.522658,0.413107,-0.732106,0.142112,0.754924,-0.069109,0.020379
54,468245601,0.522368,0.415154,-0.730832,0.143767,0.499218,-0.113417,0.037924
55,468278935,0.521570,0.417699,-0.729564,0.145714,0.430888,0.114334,0.018386
56,468312269,0.520253,0.419817,-0.728961,0.147347,0.365084,0.218605,-0.004686
57,468345603,0.518628,0.422103,-0.728470,0.148964,-0.030829,-0.071281,-0.017170
58,468378937,0.516918,0.424546,-0.727951,0.150495,-0.322953,-0.483747,0.034868
59,468412271,0.515662,0.426544,-0.727449,0.151574,-0.605896,-0.544870,0.151501
60,468445605,0.515039,0.428309,-0.726623,0.152672,-0.507550,-0.301318,0.213558
61,468478939,0.515145,0.429564,-0.725637,0.153478,-0.176905,-0.036355,0.144725
62,468512273,0.515567,0.430336,-0.724781,0.153945,0.174749,0.095301,-0.000507
63,468545607,0.516015,0.430340,-0.724498,0.153764,0.491228,0.276687,-0.055453
64,468578941,0.516288,0.429886,-0.724671,0.153299,0.230500,0.189308,0.091290
65,468612275,0.516715,0.429070,-0.724962,0.152772,-0.009625,0.238471,0.091865
66,468645609,0.517639,0.427865,-0.725173,0.152018,-0.152683,0.345274,0.098284
67,468678943,0.518993,0.425698,-0.725822,0.150380,0.138294,0.234565,0.073769
68,468712277,0.520323,0.423042,-0.726784,0.148620,0.189578,0.123313,0.105008
69,468745611,0.521513,0.419999,-0.728049,0.146882,0.212763,0.114035,-0.005251
70,468778945,0.522493,0.417006,-0.729440,0.145015,0.088692,0.060770,0.036794
71,468812279,0.523402,0.414283,-0.730693,0.143225,0.092785,-0.253195,0.125738
72,468845613,0.524278,0.412145,-0.731493,0.142098,0.041039,-0.391192,0.088689
