sep=,
DeviceTag:,R_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-08-21_19:20:22_545 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,466512233,0.630804,0.444150,0.399797,-0.494954,-0.049831,-0.576282,0.122074
2,466545567,0.633340,0.443360,0.398311,-0.493620,-0.258324,-0.563600,-0.001364
3,466578901,0.635911,0.442461,0.396223,-0.492802,-0.409303,-0.469434,0.018137
4,466612235,0.638048,0.441839,0.393183,-0.493033,-0.402706,-0.255223,0.076094
5,466645569,0.639799,0.441202,0.389672,-0.494120,-0.354491,-0.106114,-0.122594
6,466678903,0.641102,0.440809,0.386027,-0.495640,-0.332435,0.102209,-0.158965
7,466712237,0.641999,0.440724,0.382560,-0.497241,-0.387383,0.146427,-0.135511
8,466745571,0.642121,0.441186,0.379423,-0.499073,-0.451591,0.108405,-0.212520
9,466778905,0.641393,0.442243,0.376685,-0.501143,-0.445136,0.078053,-0.403974
10,466812239,0.639967,0.443618,0.374722,-0.503220,-0.374632,0.047826,-0.480659
11,466845573,0.638033,0.444899,0.374133,-0.504979,-0.320864,0.008752,-0.471914
12,466878907,0.635475,0.446171,0.375205,-0.506285,-0.195809,0.003002,-0.502151
13,466912241,0.632542,0.447394,0.378296,-0.506579,0.010846,-0.036921,-0.269073
14,466945575,0.629850,0.447704,0.383819,-0.505504,0.107352,-0.193428,-0.015270
15,466978909,0.627495,0.447281,0.390913,-0.503365,0.091227,-0.399798,0.159863
16,467012243,0.625518,0.446703,0.397995,-0.500785,0.103954,-0.742314,0.209491
17,467045577,0.624116,0.445962,0.404023,-0.498360,0.147273,-0.916937,0.156807
18,467078911,0.623342,0.445162,0.408283,-0.496569,0.166367,-0.953000,0.132819
19,467112245,0.623027,0.444574,0.410602,-0.495578,0.290404,-0.970051,0.104023
20,467145579,0.623317,0.443931,0.412086,-0.494558,0.492159,-0.935198,-0.043638
21,467178913,0.624589,0.442414,0.414374,-0.492395,0.651840,-0.856359,-0.140813
22,467212247,0.626985,0.439688,0.417944,-0.488761,0.642597,-0.766251,-0.121993
23,467245581,0.630225,0.436478,0.421841,-0.484101,0.664699,-0.729098,-0.025057
24,467278915,0.634190,0.433196,0.425388,-0.478737,0.601881,-0.647122,0.012728
25,467312249,0.638910,0.429859,0.428295,-0.472841,0.632467,-0.556506,-0.041975
26,467345583,0.644399,0.426310,0.430733,-0.466348,0.552931,-0.449677,0.011076
27,467378917,0.650471,0.422419,0.432900,-0.459400,0.471853,-0.360348,0.015033
28,467412251,0.656981,0.418224,0.435003,-0.451928,0.430317,-0.301506,0.035659
29,467445585,0.663939,0.413514,0.437078,-0.444021,0.306988,-0.278132,0.108953
30,467478919,0.671050,0.408754,0.438298,-0.436472,0.037490,-0.205591,0.224817
31,467512253,0.677812,0.404966,0.437615,-0.430195,-0.116133,-0.138085,0.126137
32,467545587,0.684056,0.402099,0.435507,-0.425109,-0.139625,-0.049752,-0.073126
33,467578921,0.689731,0.399496,0.433190,-0.420739,-0.241747,0.074062,-0.199520
34,467612255,0.694624,0.397216,0.430966,-0.417116,-0.357261,0.278283,-0.217842
35,467645589,0.698446,0.395673,0.428933,-0.414286,-0.344549,0.461813,-0.256932
36,467678923,0.701347,0.394417,0.428022,-0.411516,-0.278554,0.546561,-0.246158
37,467712257,0.703700,0.392451,0.429237,-0.408098,-0.222746,0.559012,-0.242032
38,467745591,0.705567,0.389839,0.432326,-0.404099,-0.323587,0.491355,-0.134871
39,467778925,0.706798,0.387612,0.435782,-0.400360,-0.390911,0.344812,-0.117682
40,467812259,0.707253,0.386632,0.438469,-0.397559,-0.391054,0.225556,-0.070669
41,467845593,0.706880,0.386796,0.440354,-0.395977,-0.388780,0.147409,0.047866
42,467878927,0.705651,0.387858,0.441700,-0.395632,-0.349522,0.053141,0.032264
43,467912261,0.703634,0.389573,0.443037,-0.396045,-0.184202,-0.107638,0.032209
44,467945595,0.701583,0.390486,0.445198,-0.396360,-0.024650,-0.254358,-0.013090
45,467978929,0.699890,0.390500,0.447647,-0.396581,-0.139663,-0.394756,-0.033616
46,468012263,0.697929,0.391140,0.448943,-0.397940,-0.129714,-0.387154,-0.161546
47,468045597,0.695474,0.392557,0.449337,-0.400390,0.080181,-0.223786,-0.200224
48,468078931,0.692931,0.393775,0.450076,-0.402765,0.196178,-0.034464,-0.186603
49,468112265,0.690233,0.395214,0.451296,-0.404619,0.257707,0.048814,-0.073434
50,468145599,0.687520,0.397336,0.452716,-0.405572,0.348758,0.080227,-0.074188
51,468178933,0.685106,0.399682,0.454761,-0.405063,0.454436,0.045610,-0.104020
52,468212267,0.683221,0.401383,0.458242,-0.402636,0.504347,-0.156253,-0.045341
53,468245601,0.681896,0.402297,0.463073,-0.398421,0.479566,-0.382910,-0.167015
54,468278935,0.681107,0.402348,0.469091,-0.392636,0.547778,-0.473951,0.087664
55,468312269,0.681146,0.400675,0.476163,-0.385706,0.559921,-0.551789,0.221850
56,468345603,0.681848,0.398604,0.482468,-0.378712,0.426889,-0.711214,-0.000532
57,468378937,0.682920,0.398132,0.485963,-0.372762,0.417461,-0.756001,0.129036
58,468412271,0.684841,0.398735,0.486230,-0.368218,0.351207,-0.676936,0.177267
59,468445605,0.687725,0.400111,0.483634,-0.364753,0.095137,-0.664233,0.085381
60,468478939,0.690866,0.402251,0.479215,-0.362287,-0.134086,-0.589468,0.194950
61,468512273,0.693984,0.403742,0.474866,-0.360391,-0.227475,-0.366972,0.076611
62,468545607,0.697109,0.403696,0.471869,-0.358343,-0.428408,-0.303549,-0.103024
63,468578941,0.699892,0.402784,0.469996,-0.356399,-0.668040,-0.459733,-0.305006
64,468612275,0.701575,0.402216,0.468447,-0.355772,-0.702697,-0.447642,-0.284013
65,468645609,0.702234,0.402029,0.466744,-0.356918,-0.683829,-0.240938,-0.177730
66,468678943,0.702034,0.402417,0.464587,-0.359678,-0.576453,-0.023071,-0.176751
67,468712277,0.700927,0.403649,0.462262,-0.363433,-0.387232,0.158547,-0.210283
68,468745611,0.699313,0.405087,0.460740,-0.366859,-0.161978,0.270273,-0.056003
69,468778945,0.697846,0.405553,0.460833,-0.369014,-0.070214,0.223318,0.139643
70,468812279,0.696720,0.405237,0.461820,-0.370253,-0.159525,0.137513,0.187354
71,468845613,0.695563,0.405530,0.462113,-0.371739,-0.205729,0.023388,0.171647
72,468878947,0.694111,0.406843,0.461264,-0.374067,-0.150773,-0.078707,0.050030
73,468912281,0.692449,0.408592,0.459827,-0.376997,-0.112272,-0.129907,-0.091154
74,468945615,0.690502,0.410590,0.458116,-0.380463,-0.174780,-0.251837,-0.090131
75,468978949,0.688139,0.412818,0.456237,-0.384569,-0.124863,-0.304535,-0.200602
76,469012283,0.685379,0.415043,0.454598,-0.389020,-0.049053,-0.345702,-0.056190
77,469045617,0.682417,0.416737,0.453583,-0.393573,-0.018796,-0.401839,0.042296
78,469078951,0.679380,0.418124,0.452967,-0.398041,0.099992,-0.408107,-0.153432
79,469112285,0.676547,0.419247,0.452675,-0.401998,0.231035,-0.434004,-0.148380
80,469145619,0.674262,0.419724,0.452811,-0.405172,0.267140,-0.470058,-0.112781
81,469178953,0.672463,0.419962,0.452792,-0.407929,0.205042,-0.482153,-0.108570
82,469212287,0.670595,0.420901,0.451861,-0.411056,0.113878,-0.458362,0.013306
83,469245621,0.668253,0.422281,0.450403,-0.415036,-0.131748,-0.427925,0.196393
84,469278955,0.665176,0.423762,0.449072,-0.419884,-0.172799,-0.441147,-0.045833
85,469312289,0.661817,0.425142,0.448217,-0.424681,-0.232163,-0.489014,-0.108930
86,469345623,0.658909,0.425795,0.447824,-0.428944,-0.286695,-0.553823,0.120265
87,469378957,0.656299,0.426209,0.446858,-0.433516,-0.484069,-0.461767,0.230644
88,469412291,0.653375,0.427278,0.444569,-0.439195,-0.451963,-0.401915,-0.004002
89,469445625,0.649723,0.428717,0.441984,-0.445773,-0.234369,-0.330648,-0.158060
90,469478959,0.645509,0.430017,0.439842,-0.452707,-0.056310,-0.141755,-0.370027
91,469512293,0.640800,0.431525,0.437931,-0.459760,0.185692,-0.063753,-0.492876
92,469545627,0.635878,0.433158,0.436485,-0.466385,0.427107,0.005221,-0.413548
93,469578961,0.630861,0.434921,0.435619,-0.472329,0.614946,0.105774,-0.302464
94,469612295,0.626096,0.436896,0.435368,-0.477055,0.779465,0.141841,-0.084139
95,469645629,0.622251,0.438527,0.436149,-0.479866,0.871155,0.054375,-0.092361
96,469678963,0.619548,0.439766,0.437912,-0.480624,0.762446,-0.141582,0.013033
97,469712297,0.617878,0.441000,0.439579,-0.480121,0.565905,-0.360951,0.162804
98,469745631,0.617009,0.442258,0.440192,-0.479520,0.405472,-0.515078,0.130195
99,469778965,0.616716,0.443525,0.439141,-0.479689,0.208434,-0.479488,0.007394
100,469812299,0.616546,0.445157,0.436322,-0.480967,0.095074,-0.402595,-0.019184
101,469845633,0.616350,0.446955,0.432520,-0.482981,0.087985,-0.154584,0.080683
102,469878967,0.616127,0.448742,0.428390,-0.485285,0.043947,0.036079,0.242532
103,469912301,0.616082,0.450616,0.423839,-0.487595,-0.052981,0.165875,0.276375
