sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-08-21_19:18:00_644 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,324609395,0.489029,-0.200532,-0.820356,-0.218305,0.114737,-0.135657,0.048167
2,324642729,0.489207,-0.201955,-0.819704,-0.219045,-0.038571,-0.154966,0.024160
3,324676063,0.489208,-0.203497,-0.819183,-0.219563,-0.192019,-0.122139,0.067850
4,324709397,0.489184,-0.204848,-0.818774,-0.219885,-0.241945,0.015483,0.153734
5,324742731,0.489297,-0.205812,-0.818343,-0.220336,-0.211127,0.100263,0.131904
6,324776065,0.489497,-0.206490,-0.817897,-0.220914,-0.240196,-0.004053,0.078516
7,324809399,0.489625,-0.206921,-0.817603,-0.221314,-0.172913,-0.241394,0.009444
8,324842733,0.489644,-0.207281,-0.817455,-0.221482,-0.114587,-0.308899,-0.000317
9,324876067,0.489524,-0.207824,-0.817390,-0.221478,-0.085640,-0.246342,-0.037029
10,324909401,0.489166,-0.208534,-0.817465,-0.221325,-0.165245,-0.207934,0.036120
11,324942735,0.488812,-0.208925,-0.817692,-0.220903,-0.186063,-0.146231,0.144125
12,324976069,0.488785,-0.208623,-0.817964,-0.220235,-0.228740,0.017899,0.085938
13,325009403,0.488770,-0.207957,-0.818352,-0.219459,-0.246020,0.048427,0.118634
14,325042737,0.488932,-0.207004,-0.818717,-0.218636,-0.327213,0.055582,0.110885
15,325076071,0.489240,-0.205995,-0.818935,-0.218084,-0.216322,0.229395,0.079060
16,325109405,0.489341,-0.205316,-0.819055,-0.218045,0.045862,0.062898,-0.022036
17,325142739,0.489191,-0.204882,-0.819192,-0.218275,0.147521,-0.350953,-0.099805
18,325176073,0.488456,-0.205162,-0.819418,-0.218808,0.188157,-0.343219,-0.385187
19,325209407,0.486714,-0.206883,-0.819827,-0.219537,-0.197869,-0.902390,-0.195617
20,325242741,0.485486,-0.207627,-0.820557,-0.218824,-0.744786,-1.109731,0.586761
21,325276075,0.484032,-0.208620,-0.821259,-0.218467,-0.354148,0.246670,0.016538
22,325309409,0.481925,-0.210615,-0.821585,-0.219982,0.062074,0.545509,-0.001548
23,325342743,0.480021,-0.213173,-0.821107,-0.223436,-0.638647,-0.091966,0.179918
24,325376077,0.477891,-0.216294,-0.820235,-0.228156,-1.365772,-0.559512,0.407093
25,325409411,0.476422,-0.218594,-0.818948,-0.233594,-1.011859,-0.375053,0.155718
26,325442745,0.476081,-0.218824,-0.817339,-0.239634,-0.556585,-0.148396,0.182734
27,325476079,0.476365,-0.217517,-0.815570,-0.246196,-0.480852,-0.141057,0.138812
28,325509413,0.477377,-0.214816,-0.813496,-0.253365,-0.926154,0.261209,0.536402
29,325542747,0.480346,-0.210105,-0.810329,-0.261714,-1.729185,1.289161,0.673949
30,325576081,0.485596,-0.203404,-0.805873,-0.270918,-2.080316,2.256726,1.140074
31,325609415,0.492761,-0.194747,-0.800805,-0.279242,-1.137454,2.139328,1.146223
32,325642749,0.500162,-0.185432,-0.796194,-0.285536,0.128559,0.818402,1.025996
33,325676083,0.506525,-0.179425,-0.791157,-0.292084,0.016137,-0.016528,1.514802
34,325709417,0.511158,-0.177903,-0.785677,-0.299639,0.078279,-0.164430,0.104476
35,325742751,0.517940,-0.172116,-0.781892,-0.301270,-1.091874,-0.077873,-0.352330
36,325776085,0.526065,-0.162021,-0.780643,-0.295984,-1.316935,-1.392277,-1.051800
37,325809419,0.532443,-0.152900,-0.780473,-0.289813,-1.656944,-1.399407,-0.428683
38,325842753,0.541547,-0.141243,-0.779300,-0.281908,-0.055727,-1.562070,-0.887444
39,325876087,0.554249,-0.127862,-0.775988,-0.272591,-0.113946,-0.625293,-0.774334
40,325909421,0.566286,-0.115697,-0.772598,-0.262735,-0.185590,-0.581706,-0.524689
41,325942755,0.575663,-0.107415,-0.770057,-0.253161,0.045189,-0.211615,-0.169106
42,325976089,0.583538,-0.102230,-0.767111,-0.246124,0.749860,0.359553,-0.195937
43,326009423,0.591715,-0.096453,-0.763715,-0.239403,0.678658,0.485333,-0.273533
44,326042757,0.598966,-0.090864,-0.760924,-0.232339,0.159894,0.442227,-0.078209
45,326076091,0.605144,-0.085485,-0.758766,-0.225325,0.031014,0.022973,0.320270
46,326109425,0.612128,-0.077759,-0.755993,-0.218474,0.331809,0.063853,0.189771
47,326142759,0.619351,-0.067259,-0.753047,-0.211672,1.156523,0.722236,-0.210660
48,326176093,0.623802,-0.058077,-0.751947,-0.205128,1.799742,0.717795,-1.021414
49,326209427,0.624888,-0.054932,-0.752908,-0.199075,1.522300,0.418380,-1.087560
50,326242761,0.623620,-0.059737,-0.754717,-0.194770,1.363219,0.544278,-1.072851
51,326276095,0.618673,-0.071328,-0.758026,-0.193796,0.580763,1.038046,-0.909883
52,326309429,0.609163,-0.086586,-0.764733,-0.191338,1.238981,1.126629,-1.081982
53,326342763,0.597246,-0.103832,-0.772128,-0.190626,1.522158,1.401323,0.025950
54,326376097,0.581146,-0.119893,-0.781734,-0.191810,1.933167,1.720506,3.228795
55,326409431,0.579215,-0.118589,-0.784491,-0.187149,-4.284216,-1.588418,3.883366
56,326442765,0.577837,-0.118089,-0.787290,-0.179829,-0.242478,2.163309,-0.992898
57,326476099,0.568049,-0.133166,-0.791871,-0.180362,0.664942,1.004442,-0.854016
58,326509433,0.561135,-0.146178,-0.794472,-0.180495,0.673630,-0.927741,-0.115985
59,326542767,0.554659,-0.157722,-0.797290,-0.178353,0.242903,-1.656424,-0.075893
60,326576101,0.546807,-0.167739,-0.801587,-0.174148,-0.563954,-1.979682,-0.196389
61,326609435,0.541615,-0.170282,-0.806428,-0.165332,0.830066,-1.009500,-0.041888
62,326642769,0.538758,-0.171939,-0.809948,-0.155451,1.362939,0.024739,-0.050759
63,326676103,0.534350,-0.180240,-0.812103,-0.149919,0.253713,-0.027126,0.079031
64,326709437,0.531281,-0.191371,-0.811919,-0.148018,-2.077505,0.005305,1.006443
65,326742771,0.529386,-0.201983,-0.810343,-0.149338,-1.665587,0.917963,0.775996
66,326776105,0.525954,-0.213962,-0.808605,-0.154126,-0.719444,0.937611,-0.330377
67,326809439,0.522696,-0.225067,-0.806488,-0.160356,-0.256919,0.162891,-0.119173
68,326842773,0.519107,-0.234904,-0.804736,-0.166592,-0.447246,-1.218231,-0.047231
69,326876107,0.513997,-0.243011,-0.804782,-0.170538,-0.263966,-1.716281,-0.433418
70,326909441,0.509397,-0.249071,-0.805450,-0.172430,-0.558644,-0.725164,-0.135921
71,326942775,0.504604,-0.254382,-0.806560,-0.173580,-1.293024,-0.324680,0.362872
72,326976109,0.499550,-0.260474,-0.807544,-0.174583,0.261660,0.229309,-0.231722
73,327009443,0.493092,-0.268071,-0.808637,-0.176377,0.552939,0.140660,-0.255550
74,327042777,0.486111,-0.275803,-0.809842,-0.178293,-0.975657,0.046971,0.135933
75,327076111,0.478149,-0.284444,-0.810911,-0.181362,-1.486084,0.875356,-0.094194
76,327109445,0.470379,-0.292057,-0.811714,-0.185933,-0.983455,1.313144,-0.361337
77,327142779,0.463279,-0.297536,-0.812536,-0.191399,-0.469010,1.630229,-0.265819
78,327176113,0.454375,-0.303932,-0.813413,-0.198828,-1.450357,0.970022,0.023506
79,327209447,0.445345,-0.311240,-0.813721,-0.206540,-1.816390,0.779805,0.544342
80,327242781,0.436492,-0.319985,-0.812846,-0.215338,-0.471868,1.234777,1.138563
81,327276115,0.426493,-0.327155,-0.811529,-0.229126,0.745928,2.729507,1.481205
82,327309449,0.420712,-0.326250,-0.810123,-0.245492,-1.518177,3.457910,1.997288
83,327342783,0.428257,-0.311993,-0.807557,-0.259060,-3.457938,3.290134,0.600893
84,327376117,0.442814,-0.291757,-0.803589,-0.270262,-2.755023,0.771776,0.170821
85,327409451,0.455136,-0.275886,-0.799153,-0.279456,-2.019627,-0.688974,0.893032
86,327442785,0.464773,-0.267318,-0.792908,-0.289532,-0.437698,-1.420670,0.507418
87,327476119,0.474786,-0.261430,-0.786104,-0.297115,0.472226,-2.372159,0.542631
88,327509453,0.488951,-0.253219,-0.778792,-0.300490,-0.027244,-2.997076,0.539076
89,327542787,0.504627,-0.241880,-0.773247,-0.298225,0.309041,-3.542585,-0.187175
90,327576121,0.519101,-0.227184,-0.770638,-0.291622,0.863293,-2.709026,-0.532907
