sep=,
DeviceTag:,D_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_17:19:19_272 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,4156887816,0.690917,0.108609,-0.470313,0.538190,-0.472975,-0.690812,1.373387
2,4156921150,0.694375,0.111917,-0.458889,0.542904,-1.020344,-0.412773,1.864489
3,4156954484,0.701669,0.109790,-0.444462,0.545954,-1.220311,-0.417769,1.908548
4,4156987818,0.711975,0.100299,-0.427993,0.547594,-1.168597,-0.393892,2.163281
5,4157021152,0.723408,0.084860,-0.408452,0.550139,-0.925954,0.078047,1.580898
6,4157054486,0.737515,0.060052,-0.388260,0.549295,-2.150836,1.270377,1.312017
7,4157087820,0.753244,0.017960,-0.374112,0.540692,-2.430800,1.618694,-0.306220
8,4157121154,0.767054,-0.038389,-0.366754,0.525025,-0.502683,-0.121790,0.170319
9,4157154488,0.778409,-0.087340,-0.356435,0.509323,-1.596045,0.092940,-2.310986
10,4157187822,0.782308,-0.148313,-0.355344,0.489626,0.468447,-0.967996,-1.404594
11,4157221156,0.780304,-0.206713,-0.357588,0.469608,1.044903,-2.228995,-0.867288
12,4157254490,0.776969,-0.247985,-0.357733,0.454812,1.075522,-1.523446,-0.516352
13,4157287824,0.774234,-0.276483,-0.357261,0.443270,1.546378,-0.810960,-1.654709
14,4157321158,0.770860,-0.302269,-0.361594,0.428561,0.825149,-0.317834,-1.390408
15,4157354492,0.767869,-0.325749,-0.370074,0.409043,0.500981,0.617873,-1.409309
16,4157387826,0.761322,-0.354188,-0.384639,0.383403,1.042079,0.670530,-1.458281
17,4157421160,0.759459,-0.368263,-0.395679,0.362005,1.263255,-0.320827,1.462919
18,4157454494,0.766787,-0.358790,-0.399634,0.351576,1.113503,0.371498,-0.122030
19,4157487828,0.770900,-0.351964,-0.406481,0.341488,1.099158,0.674412,-0.469868
20,4157521162,0.773653,-0.346074,-0.414214,0.331852,0.713513,-0.609058,0.100445
21,4157554496,0.777973,-0.333912,-0.421087,0.325503,0.316207,-0.149445,0.329319
22,4157587830,0.781839,-0.322397,-0.427340,0.319648,0.374918,-0.269528,0.269992
23,4157621164,0.785260,-0.312603,-0.432923,0.313414,0.413242,0.171521,0.795950
24,4157654498,0.788153,-0.306241,-0.436117,0.307958,0.303086,0.223089,0.220192
25,4157687832,0.789275,-0.304263,-0.438370,0.303818,0.200313,0.388911,0.473604
26,4157721166,0.788770,-0.305929,-0.440299,0.300652,0.117450,0.470740,0.269752
27,4157754500,0.787300,-0.310520,-0.441584,0.297902,0.168484,0.560088,0.175535
28,4157787834,0.786396,-0.314049,-0.441211,0.297140,0.206336,0.352960,0.371820
29,4157821168,0.783505,-0.319546,-0.441031,0.299180,0.375334,1.189932,0.020140
30,4157854502,0.778586,-0.325591,-0.441084,0.305360,0.740813,0.878268,0.392390
31,4157887836,0.773488,-0.328610,-0.441636,0.314159,0.582003,1.060454,0.006340
32,4157921170,0.766431,-0.334294,-0.444338,0.321560,0.860722,0.427622,-0.534346
33,4157954504,0.758244,-0.341060,-0.448500,0.328019,0.756081,-0.369458,0.496380
34,4157987838,0.750810,-0.344631,-0.450802,0.338079,0.337706,0.261900,-0.086740
35,4158021172,0.741974,-0.349580,-0.453345,0.348931,0.710455,0.049340,0.110137
36,4158054506,0.732541,-0.353960,-0.457070,0.359429,0.289711,0.412588,0.164393
37,4158087840,0.723663,-0.356868,-0.461049,0.369319,0.888229,0.957016,-0.001302
38,4158121174,0.714087,-0.363042,-0.465581,0.376191,0.514460,0.608103,0.601562
39,4158154508,0.704810,-0.369059,-0.469349,0.383086,0.039275,1.085614,0.547691
40,4158187842,0.695318,-0.377162,-0.472369,0.388786,-0.482131,1.305207,0.864706
41,4158221176,0.689834,-0.383624,-0.471094,0.393749,-1.169202,2.034763,0.632211
42,4158254510,0.690310,-0.390176,-0.463371,0.395636,-1.415783,2.654756,0.543632
43,4158287844,0.696320,-0.400394,-0.449455,0.390921,-0.876787,3.138102,-0.138233
44,4158321178,0.708569,-0.412405,-0.429098,0.379120,-0.187542,2.555112,0.379890
