sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_17:20:57_719 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,4255356452,-0.463528,0.555441,0.423729,0.545073,-0.065496,-0.157955,0.198165
2,4255389786,-0.462934,0.556318,0.422745,0.545447,-0.062012,-0.091375,0.131989
3,4255423120,-0.462346,0.557153,0.421779,0.545842,-0.029225,0.104667,0.141655
4,4255456454,-0.461798,0.557819,0.420939,0.546273,-0.057727,0.095588,0.150283
5,4255489788,-0.460960,0.558615,0.420250,0.546698,-0.082014,0.150798,0.093895
6,4255523122,-0.460276,0.559181,0.419740,0.547088,-0.062973,0.161456,0.070344
7,4255556456,-0.459909,0.559414,0.419495,0.547345,-0.009167,0.150233,0.161949
8,4255589790,-0.459711,0.559361,0.419581,0.547501,0.025039,0.089020,0.168582
9,4255623124,-0.459432,0.559383,0.419916,0.547456,-0.073413,0.023728,0.108438
10,4255656458,-0.459186,0.559449,0.420496,0.547149,-0.111630,-0.028866,0.079351
11,4255689792,-0.458984,0.559629,0.421356,0.546471,-0.021869,0.030731,0.126551
12,4255723126,-0.458740,0.559875,0.422507,0.545535,0.105854,0.076109,0.135756
13,4255756460,-0.458348,0.560178,0.423604,0.544702,0.160085,0.076338,0.137644
14,4255789794,-0.457910,0.560288,0.424462,0.544290,0.165422,0.047845,0.191486
15,4255823128,-0.457134,0.560528,0.424852,0.544391,0.073095,0.025737,0.120627
16,4255856462,-0.456382,0.560565,0.425158,0.544745,0.090237,0.103950,0.125115
17,4255889796,-0.455693,0.560512,0.425413,0.545176,-0.085569,-0.030937,0.225854
18,4255923130,-0.454983,0.560561,0.425697,0.545498,-0.122908,-0.154105,0.181132
19,4255956464,-0.454303,0.560769,0.426268,0.545405,-0.161683,-0.230417,0.113029
20,4255989798,-0.453496,0.561182,0.426874,0.545177,-0.163425,-0.161862,0.177479
21,4256023132,-0.452446,0.561845,0.427213,0.545102,-0.095390,-0.127359,0.160789
22,4256056466,-0.451129,0.562784,0.427023,0.545374,0.036489,-0.117870,0.134701
23,4256089800,-0.449555,0.564063,0.426538,0.545732,0.056100,0.015397,0.136711
24,4256123134,-0.447743,0.565501,0.426146,0.546038,0.011228,0.105073,0.100186
25,4256156468,-0.446183,0.566602,0.426081,0.546224,0.028627,0.148905,0.131410
26,4256189802,-0.445330,0.567090,0.426401,0.546165,0.108774,0.070908,0.162111
27,4256223136,-0.444847,0.567195,0.426930,0.546036,0.099719,-0.052301,0.195152
28,4256256470,-0.444057,0.567393,0.427192,0.546269,0.098448,-0.070402,0.111932
29,4256289804,-0.443232,0.567443,0.427281,0.546817,0.056930,-0.143114,0.262829
30,4256323138,-0.442898,0.567106,0.427395,0.547347,-0.020672,-0.319507,0.233612
