sep=,
DeviceTag:,D_Leg
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_17:15:28_512 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3926116534,-0.038636,0.712905,-0.078467,0.695798,-0.149625,-0.229615,0.071433
2,3926149868,-0.038484,0.713030,-0.078684,0.695654,0.004896,-0.207448,0.083069
3,3926183202,-0.038174,0.713452,-0.078961,0.695207,-0.013365,-0.117214,0.065715
4,3926216536,-0.038628,0.713589,-0.078747,0.695065,0.283869,-0.047416,0.012424
5,3926249870,-0.040229,0.713166,-0.078005,0.695492,0.412376,-0.049163,-0.253136
6,3926283204,-0.042243,0.711840,-0.076544,0.696892,0.524942,-0.150668,0.239482
7,3926316538,-0.044691,0.709440,-0.073908,0.699466,0.298980,-0.402412,0.299338
8,3926349872,-0.045946,0.706982,-0.071731,0.702096,0.131932,-0.585391,0.173081
9,3926383206,-0.045482,0.704952,-0.071160,0.704221,-0.177241,-0.299368,0.027033
10,3926416540,-0.044707,0.703181,-0.071106,0.706045,-0.256635,-0.071869,0.074132
11,3926449874,-0.045425,0.701104,-0.070141,0.708158,-0.079254,0.031556,-0.015362
12,3926483208,-0.047074,0.698001,-0.067458,0.711369,-0.099450,0.045130,0.055154
13,3926516542,-0.050714,0.694719,-0.062062,0.714815,0.183281,0.056783,0.276093
14,3926549876,-0.056272,0.691169,-0.054339,0.718460,0.467936,0.394307,-0.053817
15,3926583210,-0.061825,0.686535,-0.044975,0.723079,0.448243,0.413187,-0.380273
16,3926616544,-0.065621,0.680943,-0.035761,0.728526,0.509676,-0.341873,-0.440664
17,3926649878,-0.067513,0.673838,-0.027165,0.735299,-0.036293,-0.634881,0.109398
18,3926683212,-0.063339,0.665235,-0.023771,0.743575,-0.874704,-0.676482,-0.914268
19,3926716546,-0.052839,0.656888,-0.025068,0.751729,-0.197755,-0.322419,0.096735
20,3926749880,-0.041484,0.647391,-0.026245,0.760587,-0.365218,0.462206,-0.121817
21,3926783214,-0.032021,0.637399,-0.027620,0.769384,0.178924,1.208769,0.089528
22,3926816548,-0.026792,0.626215,-0.022752,0.778869,0.116283,1.374248,0.460186
23,3926849882,-0.020569,0.614873,-0.017085,0.788184,-0.052030,0.269881,-0.286957
24,3926883216,-0.012879,0.603750,-0.016184,0.796917,-0.051309,0.188710,0.339862
25,3926916550,-0.006306,0.594694,-0.017009,0.803759,-0.284594,0.186707,0.115417
26,3926949884,-0.000944,0.586339,-0.018043,0.809875,-0.363526,0.235863,0.259959
27,3926983218,0.002662,0.578219,-0.017637,0.815697,0.104186,0.128616,0.196022
28,3927016552,0.004772,0.569900,-0.015336,0.821568,-0.180450,-0.223686,-0.045724
29,3927049886,0.005981,0.562163,-0.011449,0.826936,-0.046007,-0.335091,0.096649
30,3927083220,0.008953,0.555183,-0.007808,0.831654,-0.061405,-0.619241,0.041484
31,3927116554,0.014090,0.548453,-0.005441,0.836055,-0.391939,-0.182210,-0.032078
32,3927149888,0.020595,0.541886,-0.003826,0.840202,0.175894,-0.354596,0.105448
33,3927183222,0.026326,0.536371,-0.000871,0.843582,0.289755,0.133381,-0.181299
34,3927216556,0.031430,0.531124,0.002386,0.846718,0.358448,0.165988,0.220399
35,3927249890,0.036179,0.525564,0.004883,0.849981,-0.151399,0.123723,0.514683
36,3927283224,0.040621,0.520190,0.006440,0.853070,-0.204412,0.090085,0.466604
37,3927316558,0.045292,0.514776,0.007308,0.856107,-0.269586,0.237579,0.117664
38,3927349892,0.049779,0.508805,0.008522,0.859410,-0.273714,0.194971,0.256598
39,3927383226,0.053847,0.502503,0.011144,0.862835,-0.236399,0.112466,0.185052
40,3927416560,0.057992,0.496285,0.014660,0.866107,-0.196656,-0.209723,-0.269246
41,3927449894,0.063182,0.489609,0.017221,0.869489,-0.024799,-0.424330,-0.049550
42,3927483228,0.068666,0.482788,0.020836,0.872802,-0.166281,0.047454,0.264289
43,3927516562,0.075847,0.475018,0.025199,0.876349,0.069114,0.054178,-0.209590
