sep=,
DeviceTag:,D_Wrist
FirmwareVersion:,2.2.1
AppVersion:,2023.6.0
SyncStatus:,Synced
OutputRate:,30Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Complete(Quaternion)
StartTime: ,2026-09-07_17:15:28_521 AEST
© Movella Technologies B. V. 2005-2026

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1,3926116534,0.786353,-0.563053,0.193344,0.165054,0.701279,-1.316141,-0.994994
2,3926149868,0.787505,-0.563221,0.180884,0.172926,0.499854,-1.409303,-1.094087
3,3926183202,0.788252,-0.564112,0.164853,0.182389,0.960628,-1.553250,-1.409491
4,3926216536,0.787328,-0.566936,0.146411,0.193047,0.777550,-0.296553,-0.850891
5,3926249870,0.784274,-0.572339,0.126351,0.203429,0.628509,0.475898,-0.666406
6,3926283204,0.779297,-0.580295,0.105832,0.211564,-0.794757,-0.267956,-0.204830
7,3926316538,0.775466,-0.587140,0.082502,0.217066,-0.707574,1.711550,0.500184
8,3926349872,0.772323,-0.592980,0.059683,0.219852,-0.903604,2.312302,0.416106
9,3926383206,0.769240,-0.598552,0.040251,0.219978,-1.357503,2.606116,1.390941
10,3926416540,0.768241,-0.602241,0.026254,0.215471,-1.460944,3.645391,1.166628
11,3926449874,0.765600,-0.608709,0.020790,0.207134,-1.313569,2.707822,1.352720
12,3926483208,0.761597,-0.617178,0.023434,0.196259,-1.320679,2.492437,1.367836
13,3926516542,0.759094,-0.623961,0.032638,0.182726,-0.819245,1.768087,1.265926
14,3926549876,0.759903,-0.625947,0.047796,0.168695,-1.005396,1.063197,1.904074
15,3926583210,0.765438,-0.620742,0.067644,0.155604,-0.924479,1.089887,1.482907
16,3926616544,0.765473,-0.620399,0.089428,0.145477,-1.120217,0.359329,-0.103470
17,3926649878,0.758712,-0.627084,0.109998,0.137941,-0.472251,0.483223,-0.113112
18,3926683212,0.754405,-0.630834,0.126238,0.130347,-0.568897,-0.404271,-0.739865
19,3926716546,0.751409,-0.634019,0.135228,0.122972,-0.182459,-0.792177,-1.991255
20,3926749880,0.744817,-0.642045,0.138476,0.117712,0.844608,-2.403270,-1.457993
21,3926783214,0.735695,-0.652780,0.138856,0.115564,1.586615,-2.676255,-1.376997
22,3926816548,0.724657,-0.664936,0.138364,0.116587,2.047563,-3.206894,-0.884803
23,3926849882,0.722134,-0.667863,0.136520,0.117683,2.575063,-2.974472,-0.561747
24,3926883216,0.722456,-0.667640,0.132452,0.121555,1.905685,-2.970642,-2.375739
25,3926916550,0.714299,-0.676436,0.123691,0.130067,1.896584,-2.552291,-1.814751
26,3926949884,0.700395,-0.690899,0.111132,0.140574,1.933917,-1.240718,-0.723212
27,3926983218,0.689757,-0.701510,0.097625,0.150315,1.604598,-1.668885,-0.439466
28,3927016552,0.685111,-0.706185,0.082082,0.158727,0.785281,0.273452,0.119278
29,3927049886,0.679970,-0.711251,0.065012,0.165957,0.496103,-0.724502,-0.909705
30,3927083220,0.669854,-0.720993,0.045624,0.171431,0.110254,0.216863,0.028705
31,3927116554,0.660275,-0.730343,0.024692,0.173299,-0.367361,1.358090,-0.260745
32,3927149888,0.648995,-0.741114,0.002874,0.171907,-1.020660,1.230426,-0.326610
33,3927183222,0.643403,-0.747006,-0.021321,0.166031,-1.755794,4.267176,1.251582
34,3927216556,0.647656,-0.745114,-0.041204,0.153798,-2.182769,4.637514,0.762073
35,3927249890,0.650872,-0.745112,-0.050249,0.136579,-3.030759,3.577140,1.205464
36,3927283224,0.649848,-0.749866,-0.046059,0.115251,-2.097253,4.678894,3.045219
37,3927316558,0.657187,-0.747286,-0.030031,0.093659,-1.725153,2.322820,1.667933
38,3927349892,0.660105,-0.747364,-0.007927,0.075167,-1.194832,1.368257,1.688228
39,3927383226,0.668461,-0.741229,0.015238,0.059270,-0.479268,-0.212523,1.360945
40,3927416560,0.677165,-0.733354,0.037120,0.047611,-0.137531,-1.240723,0.192440
41,3927449894,0.675877,-0.733830,0.055155,0.040579,0.714105,-1.898682,-0.482821
42,3927483228,0.676708,-0.732210,0.067762,0.036715,1.089840,-2.122451,-0.651535
43,3927516562,0.677529,-0.730759,0.075047,0.036314,1.722881,-2.931211,-1.382512
44,3927549896,0.673812,-0.733959,0.075922,0.039009,2.096116,-3.101050,-0.755996
45,3927583230,0.677960,-0.730351,0.070690,0.044341,2.174424,-2.899219,-1.452194
46,3927616564,0.679630,-0.729183,0.060075,0.052838,2.122120,-3.104073,-2.657319
